2020/11/27 0:02 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1202,17:00～18:00,11月26日,8:12,13,88

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1070,9:00～10:00,11月26日,8:12

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1202,17:00～18:00,11月25日,23:22,13,88

使用率ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1060,17:00～18:00,11月25日,23:22

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/11/26,0:00,814,800,72,1133
2020/11/26,1:00,831,816,72,1150
2020/11/26,2:00,861,849,74,1166
2020/11/26,3:00,886,882,76,1173
2020/11/26,4:00,914,909,77,1181
2020/11/26,5:00,939,938,79,1189
2020/11/26,6:00,963,966,83,1159
2020/11/26,7:00,974,981,79,1236
2020/11/26,8:00,1022,1037,80,1283
2020/11/26,9:00,1070,1070,82,1301
2020/11/26,10:00,1040,1061,77,1343
2020/11/26,11:00,1043,1036,77,1361
2020/11/26,12:00,980,980,73,1336
2020/11/26,13:00,1030,1012,81,1268
2020/11/26,14:00,1032,1019,84,1233
2020/11/26,15:00,1045,1019,89,1176
2020/11/26,16:00,1095,1053,90,1213
2020/11/26,17:00,1090,1060,91,1202
2020/11/26,18:00,1054,1032,89,1187
2020/11/26,19:00,1008,982,87,1162
2020/11/26,20:00,961,936,84,1150
2020/11/26,21:00,901,898,80,1132
2020/11/26,22:00,874,875,76,1155
2020/11/26,23:00,840,852,73,1145

最大使用率(%),時間帯
91,17:00～18:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1266,9:00～10:00,11月26日,18:02,15,87

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1110,9:00～10:00,11月26日,18:02

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1213,14:00～15:00,11月26日,18:02,14,88

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1062,14:00～15:00,11月26日,18:02

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間隔値)(万kW),風力発電実績(5分間隔値)(万kW)
2020/11/26,0:00,830,1,12
2020/11/26,0:05,816,1,12
2020/11/26,0:10,820,1,13
2020/11/26,0:15,817,1,12
2020/11/26,0:20,820,1,12
2020/11/26,0:25,813,1,13
2020/11/26,0:30,814,1,13
2020/11/26,0:35,810,1,12
2020/11/26,0:40,811,1,12
2020/11/26,0:45,805,1,13
2020/11/26,0:50,809,1,14
2020/11/26,0:55,810,1,14
2020/11/26,1:00,808,1,15
2020/11/26,1:05,821,1,15
2020/11/26,1:10,820,1,15
2020/11/26,1:15,822,2,16
2020/11/26,1:20,825,2,15
2020/11/26,1:25,830,1,16
2020/11/26,1:30,829,1,16
2020/11/26,1:35,831,1,17
2020/11/26,1:40,838,1,17
2020/11/26,1:45,839,1,18
2020/11/26,1:50,836,1,18
2020/11/26,1:55,846,1,18
2020/11/26,2:00,851,1,18
2020/11/26,2:05,850,1,19
2020/11/26,2:10,850,1,20
2020/11/26,2:15,847,1,21
2020/11/26,2:20,854,1,23
2020/11/26,2:25,859,2,24
2020/11/26,2:30,857,2,25
2020/11/26,2:35,866,1,25
2020/11/26,2:40,870,1,27
2020/11/26,2:45,868,1,28
2020/11/26,2:50,874,1,29
2020/11/26,2:55,872,1,31
2020/11/26,3:00,873,1,32
2020/11/26,3:05,877,1,33
2020/11/26,3:10,875,1,34
2020/11/26,3:15,878,2,36
2020/11/26,3:20,880,1,35
2020/11/26,3:25,886,1,37
2020/11/26,3:30,889,2,38
2020/11/26,3:35,887,2,35
2020/11/26,3:40,882,2,34
2020/11/26,3:45,893,2,34
2020/11/26,3:50,895,2,35
2020/11/26,3:55,898,2,39
2020/11/26,4:00,903,2,39
2020/11/26,4:05,909,2,40
2020/11/26,4:10,909,2,41
2020/11/26,4:15,904,2,43
2020/11/26,4:20,910,2,44
2020/11/26,4:25,915,2,42
2020/11/26,4:30,920,2,42
2020/11/26,4:35,916,2,42
2020/11/26,4:40,910,2,43
2020/11/26,4:45,920,2,46
2020/11/26,4:50,919,2,52
2020/11/26,4:55,924,2,56
2020/11/26,5:00,924,2,56
2020/11/26,5:05,930,2,56
2020/11/26,5:10,932,2,56
2020/11/26,5:15,936,2,57
2020/11/26,5:20,938,2,57
2020/11/26,5:25,935,2,60
2020/11/26,5:30,932,1,62
2020/11/26,5:35,939,1,63
2020/11/26,5:40,943,1,63
2020/11/26,5:45,944,1,65
2020/11/26,5:50,946,1,67
2020/11/26,5:55,949,1,70
2020/11/26,6:00,955,1,75
2020/11/26,6:05,955,1,76
2020/11/26,6:10,965,1,76
