2020/12/18 18:22 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1456,16:00～17:00,12月18日,6:32,8,93

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1350,9:00～10:00,12月17日,22:42

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1456,16:00～17:00,12月17日,22:42,8,93

使用率ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1350,16:00～17:00,12月17日,22:42

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/12/18,0:00,1095,1092,87,1257
2020/12/18,1:00,1111,1101,85,1313
2020/12/18,2:00,1137,1140,84,1351
2020/12/18,3:00,1165,1166,86,1362
2020/12/18,4:00,1184,1187,87,1354
2020/12/18,5:00,1217,1220,84,1453
2020/12/18,6:00,1268,1259,88,1434
2020/12/18,7:00,1260,1245,88,1431
2020/12/18,8:00,1318,1316,89,1485
2020/12/18,9:00,1341,1350,85,1586
2020/12/18,10:00,1316,1339,83,1594
2020/12/18,11:00,1305,1320,83,1572
2020/12/18,12:00,1226,1260,80,1523
2020/12/18,13:00,1242,1277,81,1525
2020/12/18,14:00,1219,1286,86,1422
2020/12/18,15:00,1226,1310,83,1481
2020/12/18,16:00,1281,1350,88,1456
2020/12/18,17:00,1266,1350,86,1467
2020/12/18,18:00,0,1321,0,1443
2020/12/18,19:00,0,1265,0,1382
2020/12/18,20:00,0,1214,0,1322
2020/12/18,21:00,0,1149,0,1292
2020/12/18,22:00,0,1083,0,1214
2020/12/18,23:00,0,1064,0,1312

最大使用率(%),時間帯
89,8:00～9:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間隔値)(万kW),風力発電実績(5分間隔値)(万kW)
2020/12/18,0:00,1109,0,125
2020/12/18,0:05,1113,0,124
2020/12/18,0:10,1105,0,125
2020/12/18,0:15,1105,0,126
2020/12/18,0:20,1104,0,126
2020/12/18,0:25,1102,0,125
2020/12/18,0:30,1098,0,125
2020/12/18,0:35,1082,0,127
2020/12/18,0:40,1086,0,129
2020/12/18,0:45,1084,0,129
2020/12/18,0:50,1084,0,127
2020/12/18,0:55,1079,0,127
2020/12/18,1:00,1078,0,125
2020/12/18,1:05,1104,0,124
2020/12/18,1:10,1109,0,123
2020/12/18,1:15,1110,0,124
2020/12/18,1:20,1106,0,125
2020/12/18,1:25,1109,0,123
2020/12/18,1:30,1109,0,124
2020/12/18,1:35,1102,0,123
2020/12/18,1:40,1117,0,124
2020/12/18,1:45,1122,0,124
2020/12/18,1:50,1125,0,124
2020/12/18,1:55,1122,0,124
2020/12/18,2:00,1120,0,126
2020/12/18,2:05,1123,0,126
2020/12/18,2:10,1130,0,126
2020/12/18,2:15,1131,0,124
2020/12/18,2:20,1127,0,124
2020/12/18,2:25,1127,0,126
2020/12/18,2:30,1138,0,124
2020/12/18,2:35,1142,0,124
2020/12/18,2:40,1148,0,125
2020/12/18,2:45,1153,0,125
2020/12/18,2:50,1146,0,123
2020/12/18,2:55,1146,0,125
2020/12/18,3:00,1149,0,125
2020/12/18,3:05,1157,0,124
2020/12/18,3:10,1156,0,125
2020/12/18,3:15,1156,0,126
2020/12/18,3:20,1160,0,125
2020/12/18,3:25,1164,0,125
2020/12/18,3:30,1171,0,125
2020/12/18,3:35,1168,0,124
2020/12/18,3:40,1169,0,120
2020/12/18,3:45,1175,0,122
2020/12/18,3:50,1173,0,125
2020/12/18,3:55,1170,0,125
2020/12/18,4:00,1170,0,124
2020/12/18,4:05,1174,0,122
2020/12/18,4:10,1179,0,120
2020/12/18,4:15,1173,0,121
2020/12/18,4:20,1180,0,122
2020/12/18,4:25,1183,0,123
2020/12/18,4:30,1185,0,123
2020/12/18,4:35,1186,0,121
2020/12/18,4:40,1192,0,123
2020/12/18,4:45,1193,0,123
2020/12/18,4:50,1189,0,121
2020/12/18,4:55,1195,0,119
2020/12/18,5:00,1191,0,119
2020/12/18,5:05,1198,0,118
2020/12/18,5:10,1199,0,117
2020/12/18,5:15,1204,0,117
2020/12/18,5:20,1208,0,118
2020/12/18,5:25,1218,0,116
2020/12/18,5:30,1218,0,117
2020/12/18,5:35,1227,0,116
2020/12/18,5:40,1228,0,115
2020/12/18,5:45,1234,0,112
2020/12/18,5:50,1232,0,116
2020/12/18,5:55,1232,0,114
2020/12/18,6:00,1233,0,115
2020/12/18,6:05,1239,0,115
2020/12/18,6:10,1258,0,113
2020/12/18,6:15,1270,0,114
2020/12/18,6:20,1271,0,116
2020/12/18,6:25,1270,0,116
2020/12/18,6:30,1267,0,115
