2018/7/19 0:02 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1496,11:00～12:00,7月18日,7:12,21,83

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1242,11:00～12:00,7月18日,7:12

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2018/7/18,0:00,842,824,56
2018/7/18,1:00,810,799,54
2018/7/18,2:00,813,803,54
2018/7/18,3:00,826,830,55
2018/7/18,4:00,830,842,56
2018/7/18,5:00,828,839,55
2018/7/18,6:00,860,865,57
2018/7/18,7:00,939,941,63
2018/7/18,8:00,1079,1080,72
2018/7/18,9:00,1194,1178,80
2018/7/18,10:00,1208,1218,81
2018/7/18,11:00,1237,1242,83
2018/7/18,12:00,1214,1171,81
2018/7/18,13:00,1264,1220,85
2018/7/18,14:00,1272,1233,85
2018/7/18,15:00,1265,1222,85
2018/7/18,16:00,1275,1223,85
2018/7/18,17:00,1221,1164,82
2018/7/18,18:00,1170,1127,78
2018/7/18,19:00,1134,1093,76
2018/7/18,20:00,1070,1023,72
2018/7/18,21:00,1004,954,67
2018/7/18,22:00,961,913,64
2018/7/18,23:00,903,865,60

最大使用率(%),時間帯
85,13:00～14:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1233,14:00～15:00,,

DATE,TIME,当日実績(5分間隔値)(万kW)
2018/7/18,0:00,864
2018/7/18,0:05,860
2018/7/18,0:10,858
2018/7/18,0:15,856
2018/7/18,0:20,851
2018/7/18,0:25,849
2018/7/18,0:30,848
2018/7/18,0:35,844
2018/7/18,0:40,831
2018/7/18,0:45,826
2018/7/18,0:50,823
2018/7/18,0:55,822
2018/7/18,1:00,818
2018/7/18,1:05,823
2018/7/18,1:10,818
2018/7/18,1:15,810
2018/7/18,1:20,808
2018/7/18,1:25,809
2018/7/18,1:30,805
2018/7/18,1:35,807
2018/7/18,1:40,810
2018/7/18,1:45,806
2018/7/18,1:50,804
2018/7/18,1:55,802
2018/7/18,2:00,806
2018/7/18,2:05,804
2018/7/18,2:10,806
2018/7/18,2:15,810
2018/7/18,2:20,808
2018/7/18,2:25,809
2018/7/18,2:30,814
2018/7/18,2:35,815
2018/7/18,2:40,818
2018/7/18,2:45,816
2018/7/18,2:50,821
2018/7/18,2:55,824
2018/7/18,3:00,816
2018/7/18,3:05,820
2018/7/18,3:10,822
2018/7/18,3:15,823
2018/7/18,3:20,824
2018/7/18,3:25,831
2018/7/18,3:30,828
2018/7/18,3:35,828
2018/7/18,3:40,830
2018/7/18,3:45,831
2018/7/18,3:50,827
2018/7/18,3:55,830
2018/7/18,4:00,833
2018/7/18,4:05,826
2018/7/18,4:10,827
2018/7/18,4:15,834
2018/7/18,4:20,832
2018/7/18,4:25,835
2018/7/18,4:30,833
2018/7/18,4:35,833
2018/7/18,4:40,835
2018/7/18,4:45,830
2018/7/18,4:50,827
2018/7/18,4:55,822
2018/7/18,5:00,827
2018/7/18,5:05,831
2018/7/18,5:10,822
2018/7/18,5:15,829
2018/7/18,5:20,832
2018/7/18,5:25,830
2018/7/18,5:30,834
2018/7/18,5:35,829
2018/7/18,5:40,822
2018/7/18,5:45,825
2018/7/18,5:50,829
2018/7/18,5:55,830
2018/7/18,6:00,827
2018/7/18,6:05,830
2018/7/18,6:10,839
2018/7/18,6:15,844
2018/7/18,6:20,850
2018/7/18,6:25,858
2018/7/18,6:30,856
2018/7/18,6:35,865
2018/7/18,6:40,877
2018/7/18,6:45,869
2018/7/18,6:50,881
2018/7/18,6:55,888
2018/7/18,7:00,894
2018/7/18,7:05,892
2018/7/18,7:10,910
2018/7/18,7:15,913
2018/7/18,7:20,914
2018/7/18,7:25,928
2018/7/18,7:30,934
2018/7/18,7:35,948
2018/7/18,7:40,954
2018/7/18,7:45,972
2018/7/18,7:50,977
2018/7/18,7:55,983
2018/7/18,8:00,981
2018/7/18,8:05,1000
2018/7/18,8:10,1016
2018/7/18,8:15,1039
2018/7/18,8:20,1055
2018/7/18,8:25,1072
2018/7/18,8:30,1080
2018/7/18,8:35,1098
2018/7/18,8:40,1119
2018/7/18,8:45,1130
2018/7/18,8:50,1134
2018/7/18,8:55,1145
2018/7/18,9:00,1152
2018/7/18,9:05,1170
2018/7/18,9:10,1175
2018/7/18,9:15,1189
2018/7/18,9:20,1193
2018/7/18,9:25,1195
2018/7/18,9:30,1200
2018/7/18,9:35,1198
2018/7/18,9:40,1210
2018/7/18,9:45,1203
2018/7/18,9:50,1202
2018/7/18,9:55,1212
2018/7/18,10:00,1209
2018/7/18,10:05,1193
2018/7/18,10:10,1189
2018/7/18,10:15,1196
2018/7/18,10:20,1203
2018/7/18,10:25,1207
2018/7/18,10:30,1208
2018/7/18,10:35,1209
2018/7/18,10:40,1217
2018/7/18,10:45,1215
2018/7/18,10:50,1221
2018/7/18,10:55,1220
2018/7/18,11:00,1221
2018/7/18,11:05,1226
2018/7/18,11:10,1229
2018/7/18,11:15,1231
2018/7/18,11:20,1230
2018/7/18,11:25,1240
2018/7/18,11:30,1236
2018/7/18,11:35,1244
2018/7/18,11:40,1246
2018/7/18,11:45,1246
2018/7/18,11:50,1245
2018/7/18,11:55,1246
2018/7/18,12:00,1239
2018/7/18,12:05,1218
2018/7/18,12:10,1216
2018/7/18,12:15,1211
2018/7/18,12:20,1215
2018/7/18,12:25,1209
2018/7/18,12:30,1208
2018/7/18,12:35,1207
2018/7/18,12:40,1208
2018/7/18,12:45,1207
2018/7/18,12:50,1213
2018/7/18,12:55,1221
2018/7/18,13:00,1225
2018/7/18,13:05,1241
2018/7/18,13:10,1253
2018/7/18,13:15,1265
2018/7/18,13:20,1268
2018/7/18,13:25,1273
2018/7/18,13:30,1265
2018/7/18,13:35,1269
2018/7/18,13:40,1276
2018/7/18,13:45,1273
2018/7/18,13:50,1266
2018/7/18,13:55,1276
2018/7/18,14:00,1268
2018/7/18,14:05,1269
2018/7/18,14:10,1269
2018/7/18,14:15,1268
2018/7/18,14:20,1273
2018/7/18,14:25,1270
2018/7/18,14:30,1274
2018/7/18,14:35,1275
2018/7/18,14:40,1276
2018/7/18,14:45,1277
2018/7/18,14:50,1273
2018/7/18,14:55,1273
2018/7/18,15:00,1264
2018/7/18,15:05,1252
2018/7/18,15:10,1253
2018/7/18,15:15,1257
2018/7/18,15:20,1263
2018/7/18,15:25,1266
2018/7/18,15:30,1269
2018/7/18,15:35,1267
2018/7/18,15:40,1272
2018/7/18,15:45,1270
2018/7/18,15:50,1268
2018/7/18,15:55,1276
2018/7/18,16:00,1273
2018/7/18,16:05,1276
2018/7/18,16:10,1273
2018/7/18,16:15,1279
2018/7/18,16:20,1277
2018/7/18,16:25,1281
2018/7/18,16:30,1279
2018/7/18,16:35,1278
2018/7/18,16:40,1281
2018/7/18,16:45,1276
2018/7/18,16:50,1270
2018/7/18,16:55,1268
2018/7/18,17:00,1257
2018/7/18,17:05,1247
2018/7/18,17:10,1241
2018/7/18,17:15,1233
2018/7/18,17:20,1229
2018/7/18,17:25,1228
2018/7/18,17:30,1219
