2019/12/11 0:02 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1383,9:00～10:00,12月9日,22:23,16,86

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1190,9:00～10:00,12月10日,3:57

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2019/12/10,0:00,956,950,69
2019/12/10,1:00,975,984,71
2019/12/10,2:00,1015,1012,73
2019/12/10,3:00,1038,1045,75
2019/12/10,4:00,1061,1063,77
2019/12/10,5:00,1095,1093,79
2019/12/10,6:00,1141,1146,83
2019/12/10,7:00,1109,1124,80
2019/12/10,8:00,1143,1161,83
2019/12/10,9:00,1156,1190,84
2019/12/10,10:00,1132,1150,82
2019/12/10,11:00,1096,1132,79
2019/12/10,12:00,1027,1027,74
2019/12/10,13:00,1055,1056,76
2019/12/10,14:00,1055,1062,76
2019/12/10,15:00,1077,1047,78
2019/12/10,16:00,1133,1130,82
2019/12/10,17:00,1135,1150,82
2019/12/10,18:00,1102,1124,80
2019/12/10,19:00,1064,1068,77
2019/12/10,20:00,1026,1006,74
2019/12/10,21:00,975,936,71
2019/12/10,22:00,954,905,69
2019/12/10,23:00,936,899,68

最大使用率(%),時間帯
84,9:00～10:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1290,17:00～18:00,12月10日,18:02,14,88

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1130,17:00～18:00,12月10日,18:02

DATE,TIME,当日実績(5分間隔値)(万kW)
2019/12/10,0:00,974
2019/12/10,0:05,972
2019/12/10,0:10,968
2019/12/10,0:15,961
2019/12/10,0:20,961
2019/12/10,0:25,959
2019/12/10,0:30,954
2019/12/10,0:35,943
2019/12/10,0:40,940
2019/12/10,0:45,945
2019/12/10,0:50,951
2019/12/10,0:55,949
2019/12/10,1:00,951
2019/12/10,1:05,966
2019/12/10,1:10,964
2019/12/10,1:15,968
2019/12/10,1:20,966
2019/12/10,1:25,967
2019/12/10,1:30,972
2019/12/10,1:35,975
2019/12/10,1:40,986
2019/12/10,1:45,985
2019/12/10,1:50,985
2019/12/10,1:55,995
2019/12/10,2:00,998
2019/12/10,2:05,997
2019/12/10,2:10,1006
2019/12/10,2:15,1011
2019/12/10,2:20,1008
2019/12/10,2:25,1006
2019/12/10,2:30,1009
2019/12/10,2:35,1017
2019/12/10,2:40,1023
2019/12/10,2:45,1028
2019/12/10,2:50,1028
2019/12/10,2:55,1029
2019/12/10,3:00,1027
2019/12/10,3:05,1039
2019/12/10,3:10,1030
2019/12/10,3:15,1030
2019/12/10,3:20,1039
2019/12/10,3:25,1040
2019/12/10,3:30,1038
2019/12/10,3:35,1041
2019/12/10,3:40,1040
2019/12/10,3:45,1041
2019/12/10,3:50,1042
2019/12/10,3:55,1045
2019/12/10,4:00,1039
2019/12/10,4:05,1051
2019/12/10,4:10,1058
2019/12/10,4:15,1062
2019/12/10,4:20,1061
2019/12/10,4:25,1067
2019/12/10,4:30,1069
2019/12/10,4:35,1068
2019/12/10,4:40,1064
2019/12/10,4:45,1057
2019/12/10,4:50,1054
2019/12/10,4:55,1064
2019/12/10,5:00,1067
2019/12/10,5:05,1078
2019/12/10,5:10,1088
2019/12/10,5:15,1092
2019/12/10,5:20,1100
2019/12/10,5:25,1095
2019/12/10,5:30,1097
2019/12/10,5:35,1097
2019/12/10,5:40,1100
2019/12/10,5:45,1099
2019/12/10,5:50,1101
2019/12/10,5:55,1105
2019/12/10,6:00,1116
2019/12/10,6:05,1133
2019/12/10,6:10,1143
2019/12/10,6:15,1146
2019/12/10,6:20,1146
2019/12/10,6:25,1154
2019/12/10,6:30,1146
2019/12/10,6:35,1150
2019/12/10,6:40,1152
2019/12/10,6:45,1142
2019/12/10,6:50,1138
2019/12/10,6:55,1130
2019/12/10,7:00,1121
2019/12/10,7:05,1109
2019/12/10,7:10,1106
2019/12/10,7:15,1101
2019/12/10,7:20,1099
2019/12/10,7:25,1102
2019/12/10,7:30,1100
2019/12/10,7:35,1119
2019/12/10,7:40,1115
2019/12/10,7:45,1122
2019/12/10,7:50,1111
2019/12/10,7:55,1113
2019/12/10,8:00,1107
2019/12/10,8:05,1116
2019/12/10,8:10,1116
2019/12/10,8:15,1122
2019/12/10,8:20,1134
2019/12/10,8:25,1141
2019/12/10,8:30,1148
2019/12/10,8:35,1159
2019/12/10,8:40,1158
2019/12/10,8:45,1157
2019/12/10,8:50,1165
2019/12/10,8:55,1169
2019/12/10,9:00,1165
2019/12/10,9:05,1170
2019/12/10,9:10,1179
2019/12/10,9:15,1175
2019/12/10,9:20,1170
2019/12/10,9:25,1164
2019/12/10,9:30,1159
2019/12/10,9:35,1152
2019/12/10,9:40,1150
2019/12/10,9:45,1144
2019/12/10,9:50,1130
2019/12/10,9:55,1133
2019/12/10,10:00,1131
2019/12/10,10:05,1122
2019/12/10,10:10,1131
2019/12/10,10:15,1139
2019/12/10,10:20,1138
2019/12/10,10:25,1132
2019/12/10,10:30,1131
2019/12/10,10:35,1131
2019/12/10,10:40,1133
2019/12/10,10:45,1131
2019/12/10,10:50,1135
2019/12/10,10:55,1128
2019/12/10,11:00,1124
2019/12/10,11:05,1118
2019/12/10,11:10,1121
2019/12/10,11:15,1110
2019/12/10,11:20,1099
2019/12/10,11:25,1096
2019/12/10,11:30,1089
2019/12/10,11:35,1091
2019/12/10,11:40,1090
2019/12/10,11:45,1083
2019/12/10,11:50,1077
2019/12/10,11:55,1078
2019/12/10,12:00,1067
2019/12/10,12:05,1042
2019/12/10,12:10,1038
2019/12/10,12:15,1033
2019/12/10,12:20,1029
2019/12/10,12:25,1018
2019/12/10,12:30,1013
2019/12/10,12:35,1009
2019/12/10,12:40,1016
2019/12/10,12:45,1019
2019/12/10,12:50,1024
2019/12/10,12:55,1028
2019/12/10,13:00,1033
2019/12/10,13:05,1047
2019/12/10,13:10,1058
2019/12/10,13:15,1055
2019/12/10,13:20,1057
2019/12/10,13:25,1054
2019/12/10,13:30,1046
2019/12/10,13:35,1052
2019/12/10,13:40,1058
2019/12/10,13:45,1061
2019/12/10,13:50,1064
2019/12/10,13:55,1063
2019/12/10,14:00,1056
2019/12/10,14:05,1055
2019/12/10,14:10,1052
2019/12/10,14:15,1049
2019/12/10,14:20,1052
2019/12/10,14:25,1050
2019/12/10,14:30,1049
2019/12/10,14:35,1052
