2016/7/31 0:02 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1386,11:00～12:00,7月29日,18:52,29,78

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1076,11:00～12:00,7月30日,8:12

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/7/30,0:00,802,0,58
2016/7/30,1:00,770,0,56
2016/7/30,2:00,769,0,55
2016/7/30,3:00,779,0,56
2016/7/30,4:00,780,0,56
2016/7/30,5:00,766,0,55
2016/7/30,6:00,778,0,56
2016/7/30,7:00,822,0,59
2016/7/30,8:00,899,0,65
2016/7/30,9:00,996,0,72
2016/7/30,10:00,1031,0,74
2016/7/30,11:00,1058,0,76
2016/7/30,12:00,1039,0,75
2016/7/30,13:00,1055,0,76
2016/7/30,14:00,1051,0,76
2016/7/30,15:00,1041,0,75
2016/7/30,16:00,1040,0,75
2016/7/30,17:00,1015,0,73
2016/7/30,18:00,995,0,72
2016/7/30,19:00,987,0,71
2016/7/30,20:00,935,0,67
2016/7/30,21:00,881,0,64
2016/7/30,22:00,852,0,61
2016/7/30,23:00,810,0,58

最大使用率(%),時間帯
76,11:00～12:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1271,19:00～20:00,7月30日,18:17,27,79

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1005,19:00～20:00,7月30日,18:17

DATE,TIME,当日実績(5分間隔値)(万kW)
2016/7/30,0:00,829
2016/7/30,0:05,822
2016/7/30,0:10,820
2016/7/30,0:15,811
2016/7/30,0:20,809
2016/7/30,0:25,804
2016/7/30,0:30,805
2016/7/30,0:35,799
2016/7/30,0:40,796
2016/7/30,0:45,793
2016/7/30,0:50,779
2016/7/30,0:55,783
2016/7/30,1:00,785
2016/7/30,1:05,784
2016/7/30,1:10,788
2016/7/30,1:15,779
2016/7/30,1:20,774
2016/7/30,1:25,771
2016/7/30,1:30,773
2016/7/30,1:35,768
2016/7/30,1:40,758
2016/7/30,1:45,753
2016/7/30,1:50,758
2016/7/30,1:55,766
2016/7/30,2:00,757
2016/7/30,2:05,763
2016/7/30,2:10,766
2016/7/30,2:15,770
2016/7/30,2:20,769
2016/7/30,2:25,769
2016/7/30,2:30,764
2016/7/30,2:35,774
2016/7/30,2:40,769
2016/7/30,2:45,769
2016/7/30,2:50,768
2016/7/30,2:55,775
2016/7/30,3:00,776
2016/7/30,3:05,772
2016/7/30,3:10,776
2016/7/30,3:15,776
2016/7/30,3:20,780
2016/7/30,3:25,782
2016/7/30,3:30,776
2016/7/30,3:35,773
2016/7/30,3:40,773
2016/7/30,3:45,784
2016/7/30,3:50,786
2016/7/30,3:55,785
2016/7/30,4:00,784
2016/7/30,4:05,785
2016/7/30,4:10,786
2016/7/30,4:15,784
2016/7/30,4:20,788
2016/7/30,4:25,782
2016/7/30,4:30,782
2016/7/30,4:35,779
2016/7/30,4:40,772
2016/7/30,4:45,777
2016/7/30,4:50,775
2016/7/30,4:55,770
2016/7/30,5:00,775
2016/7/30,5:05,777
2016/7/30,5:10,779
2016/7/30,5:15,777
2016/7/30,5:20,772
2016/7/30,5:25,766
2016/7/30,5:30,767
2016/7/30,5:35,761
2016/7/30,5:40,760
2016/7/30,5:45,760
2016/7/30,5:50,753
2016/7/30,5:55,755
2016/7/30,6:00,758
2016/7/30,6:05,773
2016/7/30,6:10,775
2016/7/30,6:15,770
2016/7/30,6:20,771
2016/7/30,6:25,774
2016/7/30,6:30,760
2016/7/30,6:35,781
2016/7/30,6:40,785
2016/7/30,6:45,786
2016/7/30,6:50,791
2016/7/30,6:55,792
2016/7/30,7:00,798
2016/7/30,7:05,810
2016/7/30,7:10,810
2016/7/30,7:15,812
2016/7/30,7:20,807
2016/7/30,7:25,811
2016/7/30,7:30,812
2016/7/30,7:35,831
2016/7/30,7:40,827
2016/7/30,7:45,845
2016/7/30,7:50,839
2016/7/30,7:55,844
2016/7/30,8:00,835
2016/7/30,8:05,855
2016/7/30,8:10,861
2016/7/30,8:15,872
2016/7/30,8:20,877
2016/7/30,8:25,888
2016/7/30,8:30,896
2016/7/30,8:35,912
2016/7/30,8:40,924
2016/7/30,8:45,924
2016/7/30,8:50,934
2016/7/30,8:55,946
2016/7/30,9:00,952
2016/7/30,9:05,976
2016/7/30,9:10,981
2016/7/30,9:15,981
2016/7/30,9:20,982
2016/7/30,9:25,990
2016/7/30,9:30,994
2016/7/30,9:35,1006
2016/7/30,9:40,1016
2016/7/30,9:45,1013
2016/7/30,9:50,1009
2016/7/30,9:55,1018
2016/7/30,10:00,1023
2016/7/30,10:05,1021
2016/7/30,10:10,1020
2016/7/30,10:15,1024
2016/7/30,10:20,1028
2016/7/30,10:25,1029
2016/7/30,10:30,1027
2016/7/30,10:35,1033
2016/7/30,10:40,1037
2016/7/30,10:45,1034
2016/7/30,10:50,1039
2016/7/30,10:55,1042
2016/7/30,11:00,1047
2016/7/30,11:05,1048
2016/7/30,11:10,1054
2016/7/30,11:15,1053
2016/7/30,11:20,1047
2016/7/30,11:25,1058
2016/7/30,11:30,1063
2016/7/30,11:35,1060
2016/7/30,11:40,1064
2016/7/30,11:45,1060
2016/7/30,11:50,1062
2016/7/30,11:55,1068
2016/7/30,12:00,1071
2016/7/30,12:05,1053
2016/7/30,12:10,1046
2016/7/30,12:15,1044
2016/7/30,12:20,1041
2016/7/30,12:25,1043
2016/7/30,12:30,1033
2016/7/30,12:35,1029
2016/7/30,12:40,1031
2016/7/30,12:45,1034
2016/7/30,12:50,1029
2016/7/30,12:55,1037
2016/7/30,13:00,1039
2016/7/30,13:05,1043
2016/7/30,13:10,1051
2016/7/30,13:15,1056
2016/7/30,13:20,1061
2016/7/30,13:25,1063
2016/7/30,13:30,1060
2016/7/30,13:35,1052
2016/7/30,13:40,1054
2016/7/30,13:45,1056
2016/7/30,13:50,1051
2016/7/30,13:55,1058
2016/7/30,14:00,1059
2016/7/30,14:05,1046
2016/7/30,14:10,1047
2016/7/30,14:15,1047
2016/7/30,14:20,1049
2016/7/30,14:25,1051
2016/7/30,14:30,1053
2016/7/30,14:35,1044
2016/7/30,14:40,1050
2016/7/30,14:45,1054
2016/7/30,14:50,1051
2016/7/30,14:55,1058
2016/7/30,15:00,1051
2016/7/30,15:05,1031
2016/7/30,15:10,1034
2016/7/30,15:15,1034
2016/7/30,15:20,1041
2016/7/30,15:25,1040
2016/7/30,15:30,1039
2016/7/30,15:35,1036
2016/7/30,15:40,1042
2016/7/30,15:45,1046
2016/7/30,15:50,1043
2016/7/30,15:55,1051
2016/7/30,16:00,1048
2016/7/30,16:05,1041
2016/7/30,16:10,1042
2016/7/30,16:15,1042
2016/7/30,16:20,1038
2016/7/30,16:25,1044
2016/7/30,16:30,1042
2016/7/30,16:35,1034
2016/7/30,16:40,1041
2016/7/30,16:45,1041
2016/7/30,16:50,1036
2016/7/30,16:55,1039
2016/7/30,17:00,1037
2016/7/30,17:05,1025
2016/7/30,17:10,1030
2016/7/30,17:15,1018
2016/7/30,17:20,1020
2016/7/30,17:25,1023
2016/7/30,17:30,1020
2016/7/30,17:35,1007
2016/7/30,17:40,1004
2016/7/30,17:45,1007
2016/7/30,17:50,1003
2016/7/30,17:55,1006
2016/7/30,18:00,1004
2016/7/30,18:05,994
2016/7/30,18:10,990
2016/7/30,18:15,994
2016/7/30,18:20,994
2016/7/30,18:25,992
2016/7/30,18:30,999
2016/7/30,18:35,986
2016/7/30,18:40,990
2016/7/30,18:45,1000
2016/7/30,18:50,995
2016/7/30,18:55,998
2016/7/30,19:00,1005
2016/7/30,19:05,1001
2016/7/30,19:10,1001
2016/7/30,19:15,999
2016/7/30,19:20,994
2016/7/30,19:25,997
2016/7/30,19:30,983
2016/7/30,19:35,985
2016/7/30,19:40,980
2016/7/30,19:45,980
2016/7/30,19:50,969
2016/7/30,19:55,975
2016/7/30,20:00,965
2016/7/30,20:05,958
2016/7/30,20:10,947
2016/7/30,20:15,946
2016/7/30,20:20,944
2016/7/30,20:25,940
2016/7/30,20:30,932
2016/7/30,20:35,932
2016/7/30,20:40,921
2016/7/30,20:45,924
2016/7/30,20:50,918
2016/7/30,20:55,914
2016/7/30,21:00,913
2016/7/30,21:05,909
2016/7/30,21:10,898
2016/7/30,21:15,891
2016/7/30,21:20,888
2016/7/30,21:25,885
2016/7/30,21:30,873
2016/7/30,21:35,877
2016/7/30,21:40,873
2016/7/30,21:45,866
2016/7/30,21:50,866
2016/7/30,21:55,862
2016/7/30,22:00,856
2016/7/30,22:05,865
2016/7/30,22:10,858
2016/7/30,22:15,863
2016/7/30,22:20,861
2016/7/30,22:25,850
2016/7/30,22:30,852
2016/7/30,22:35,854
2016/7/30,22:40,847
2016/7/30,22:45,847
2016/7/30,22:50,844
2016/7/30,22:55,843
2016/7/30,23:00,831
2016/7/30,23:05,826
2016/7/30,23:10,828
2016/7/30,23:15,823
2016/7/30,23:20,816
2016/7/30,23:25,817
2016/7/30,23:30,813
2016/7/30,23:35,810
2016/7/30,23:40,803
2016/7/30,23:45,795
2016/7/30,23:50,793
2016/7/30,23:55,791
