DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,êÖóÕÅkMWhÅl,âŒóÕÅkMWhÅl,å¥éqóÕÅkMWhÅl,ëæózåıé¿ê—ÅkMWhÅl,ëæózåıó}êßó ÅkMWhÅl,ïóóÕé¿ê—ÅkMWhÅl,ïóóÕó}êßó ÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,ógêÖÅkMWhÅl,òAånê¸ÅkMWhÅl
2016/4/1 0:00,7887,1812,8072,0,0,0,46,0,116,41,0,-2200
2016/4/1 1:00,8158,1831,8299,0,0,0,50,0,116,40,0,-2178
2016/4/1 2:00,8420,1876,8514,0,0,0,48,0,115,38,0,-2171
2016/4/1 3:00,8584,1882,8677,0,0,0,47,0,117,38,0,-2177
2016/4/1 4:00,8806,1864,8929,0,0,0,43,0,112,38,0,-2180
2016/4/1 5:00,9107,1864,9200,0,4,0,36,0,116,39,0,-2152
2016/4/1 6:00,9025,1886,8963,0,193,0,41,0,114,39,0,-2211
2016/4/1 7:00,8649,1796,8105,0,735,0,50,0,116,38,-1,-2190
2016/4/1 8:00,9076,1795,7896,0,1246,0,53,0,115,44,-2,-2071
2016/4/1 9:00,9433,1783,8061,0,1525,0,82,0,116,41,-2,-2173
2016/4/1 10:00,9465,1780,7864,0,1778,0,146,0,99,40,-2,-2240
2016/4/1 11:00,9404,1766,7731,0,1858,0,208,0,92,40,-2,-2289
2016/4/1 12:00,8778,1730,7160,0,1676,0,241,0,94,45,-2,-2166
2016/4/1 13:00,8966,1731,7866,0,1257,0,239,0,92,41,-2,-2258
2016/4/1 14:00,9007,1785,8151,0,897,0,272,0,91,41,-2,-2228
2016/4/1 15:00,8977,1770,8389,0,586,0,301,0,92,40,-2,-2199
2016/4/1 16:00,9125,1830,8704,0,233,0,347,0,90,40,-2,-2117
2016/4/1 17:00,9201,1978,8789,0,22,0,377,0,90,38,-2,-2091
2016/4/1 18:00,9599,2017,9100,0,0,0,423,0,100,39,-2,-2078
2016/4/1 19:00,9348,1979,8809,0,0,0,458,0,113,38,-1,-2048
2016/4/1 20:00,8893,1914,8422,0,0,0,484,0,116,42,0,-2085
2016/4/1 21:00,8443,1824,8207,0,0,0,468,0,115,41,0,-2212
2016/4/1 22:00,8235,1799,8109,0,0,0,441,0,115,39,0,-2268
2016/4/1 23:00,8151,1769,8031,0,0,0,412,0,111,37,1,-2210
2016/4/2 0:00,7845,1652,7819,0,0,0,394,0,117,41,0,-2178
2016/4/2 1:00,8073,1661,7961,0,0,0,395,0,114,43,0,-2101
2016/4/2 2:00,8315,1728,8106,0,0,0,388,0,117,45,0,-2069
2016/4/2 3:00,8449,1780,8183,0,0,0,380,0,116,44,0,-2054
2016/4/2 4:00,8660,1796,8382,0,0,0,372,0,113,45,0,-2048
2016/4/2 5:00,8806,1784,8551,0,0,0,351,0,114,45,-1,-2038
2016/4/2 6:00,8533,1794,8231,0,108,0,352,0,116,43,-2,-2109
2016/4/2 7:00,8352,1730,7802,0,372,0,371,0,117,42,-2,-2080
2016/4/2 8:00,9050,1786,8000,0,739,0,363,0,115,43,-2,-1994
2016/4/2 9:00,9535,1783,8111,0,1113,0,368,0,114,41,-2,-1993
