îNåéì˙,éûä‘ë—,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,â´ìÍ,ÇPÇOÉGÉäÉAåv
2016/04/01,00:00Å`01:00,,,25547,,,,,,,,
2016/04/01,01:00Å`02:00,,,24334,,,,,,,,
2016/04/01,02:00Å`03:00,,,23934,,,,,,,,
2016/04/01,03:00Å`04:00,,,23753,,,,,,,,
2016/04/01,04:00Å`05:00,,,23897,,,,,,,,
2016/04/01,05:00Å`06:00,,,24669,,,,,,,,
2016/04/01,06:00Å`07:00,,,26313,,,,,,,,
2016/04/01,07:00Å`08:00,,,27754,,,,,,,,
2016/04/01,08:00Å`09:00,,,29653,,,,,,,,
2016/04/01,09:00Å`10:00,,,31585,,,,,,,,
2016/04/01,10:00Å`11:00,,,32110,,,,,,,,
2016/04/01,11:00Å`12:00,,,32648,,,,,,,,
2016/04/01,12:00Å`13:00,,,31597,,,,,,,,
2016/04/01,13:00Å`14:00,,,32878,,,,,,,,
2016/04/01,14:00Å`15:00,,,33614,,,,,,,,
2016/04/01,15:00Å`16:00,,,33619,,,,,,,,
2016/04/01,16:00Å`17:00,,,34056,,,,,,,,
2016/04/01,17:00Å`18:00,,,34383,,,,,,,,
2016/04/01,18:00Å`19:00,,,35010,,,,,,,,
2016/04/01,19:00Å`20:00,,,33806,,,,,,,,
2016/04/01,20:00Å`21:00,,,32423,,,,,,,,
2016/04/01,21:00Å`22:00,,,30840,,,,,,,,
2016/04/01,22:00Å`23:00,,,29733,,,,,,,,
2016/04/01,23:00Å`24:00,,,28109,,,,,,,,
2016/04/01,ì˙ìdóÕó (MWh),,,716265,,,,,,,,
2016/04/01,ì˙ç≈ëÂìdóÕ(MW),,,35010,,,,,,,,
2016/04/02,00:00Å`01:00,,,26129,,,,,,,,
2016/04/02,01:00Å`02:00,,,24920,,,,,,,,
2016/04/02,02:00Å`03:00,,,24310,,,,,,,,
2016/04/02,03:00Å`04:00,,,24030,,,,,,,,
2016/04/02,04:00Å`05:00,,,23903,,,,,,,,
2016/04/02,05:00Å`06:00,,,24317,,,,,,,,
2016/04/02,06:00Å`07:00,,,25428,,,,,,,,
2016/04/02,07:00Å`08:00,,,27335,,,,,,,,
2016/04/02,08:00Å`09:00,,,30192,,,,,,,,
2016/04/02,09:00Å`10:00,,,32250,,,,,,,,
2016/04/02,10:00Å`11:00,,,32579,,,,,,,,
2016/04/02,11:00Å`12:00,,,32389,,,,,,,,
2016/04/02,12:00Å`13:00,,,31669,,,,,,,,
2016/04/02,13:00Å`14:00,,,31116,,,,,,,,
2016/04/02,14:00Å`15:00,,,30489,,,,,,,,
2016/04/02,15:00Å`16:00,,,30427,,,,,,,,
2016/04/02,16:00Å`17:00,,,30981,,,,,,,,
2016/04/02,17:00Å`18:00,,,32156,,,,,,,,
2016/04/02,18:00Å`19:00,,,33278,,,,,,,,
2016/04/02,19:00Å`20:00,,,32763,,,,,,,,
2016/04/02,20:00Å`21:00,,,31728,,,,,,,,
2016/04/02,21:00Å`22:00,,,30069,,,,,,,,
2016/04/02,22:00Å`23:00,,,28558,,,,,,,,
2016/04/02,23:00Å`24:00,,,26741,,,,,,,,
2016/04/02,ì˙ìdóÕó (MWh),,,697757,,,,,,,,
2016/04/02,ì˙ç≈ëÂìdóÕ(MW),,,33278,,,,,,,,
2016/04/03,00:00Å`01:00,,,24545,,,,,,,,
2016/04/03,01:00Å`02:00,,,23253,,,,,,,,
2016/04/03,02:00Å`03:00,,,22795,,,,,,,,
2016/04/03,03:00Å`04:00,,,22649,,,,,,,,
2016/04/03,04:00Å`05:00,,,22533,,,,,,,,
2016/04/03,05:00Å`06:00,,,22758,,,,,,,,
2016/04/03,06:00Å`07:00,,,23300,,,,,,,,
2016/04/03,07:00Å`08:00,,,24928,,,,,,,,
2016/04/03,08:00Å`09:00,,,26997,,,,,,,,
2016/04/03,09:00Å`10:00,,,28324,,,,,,,,
2016/04/03,10:00Å`11:00,,,28345,,,,,,,,
2016/04/03,11:00Å`12:00,,,28328,,,,,,,,
2016/04/03,12:00Å`13:00,,,28198,,,,,,,,
2016/04/03,13:00Å`14:00,,,27375,,,,,,,,
2016/04/03,14:00Å`15:00,,,26942,,,,,,,,
2016/04/03,15:00Å`16:00,,,26838,,,,,,,,
2016/04/03,16:00Å`17:00,,,27548,,,,,,,,
2016/04/03,17:00Å`18:00,,,29195,,,,,,,,
2016/04/03,18:00Å`19:00,,,31318,,,,,,,,
2016/04/03,19:00Å`20:00,,,31135,,,,,,,,
2016/04/03,20:00Å`21:00,,,30204,,,,,,,,
2016/04/03,21:00Å`22:00,,,28603,,,,,,,,
2016/04/03,22:00Å`23:00,,,26900,,,,,,,,
2016/04/03,23:00Å`24:00,,,24938,,,,,,,,
2016/04/03,ì˙ìdóÕó (MWh),,,637949,,,,,,,,
2016/04/03,ì˙ç≈ëÂìdóÕ(MW),,,31318,,,,,,,,
2016/04/04,00:00Å`01:00,,,23038,,,,,,,,
2016/04/04,01:00Å`02:00,,,22056,,,,,,,,
2016/04/04,02:00Å`03:00,,,21787,,,,,,,,
2016/04/04,03:00Å`04:00,,,21885,,,,,,,,
2016/04/04,04:00Å`05:00,,,22159,,,,,,,,
2016/04/04,05:00Å`06:00,,,23203,,,,,,,,
2016/04/04,06:00Å`07:00,,,25275,,,,,,,,
2016/04/04,07:00Å`08:00,,,28346,,,,,,,,
2016/04/04,08:00Å`09:00,,,31680,,,,,,,,
2016/04/04,09:00Å`10:00,,,34179,,,,,,,,
2016/04/04,10:00Å`11:00,,,34796,,,,,,,,
2016/04/04,11:00Å`12:00,,,34216,,,,,,,,
2016/04/04,12:00Å`13:00,,,32002,,,,,,,,
2016/04/04,13:00Å`14:00,,,33229,,,,,,,,
2016/04/04,14:00Å`15:00,,,33220,,,,,,,,
2016/04/04,15:00Å`16:00,,,33121,,,,,,,,
2016/04/04,16:00Å`17:00,,,33490,,,,,,,,
2016/04/04,17:00Å`18:00,,,33462,,,,,,,,
2016/04/04,18:00Å`19:00,,,34356,,,,,,,,
2016/04/04,19:00Å`20:00,,,33368,,,,,,,,
2016/04/04,20:00Å`21:00,,,32127,,,,,,,,
2016/04/04,21:00Å`22:00,,,30673,,,,,,,,
2016/04/04,22:00Å`23:00,,,29819,,,,,,,,
2016/04/04,23:00Å`24:00,,,27968,,,,,,,,
2016/04/04,ì˙ìdóÕó (MWh),,,709455,,,,,,,,
2016/04/04,ì˙ç≈ëÂìdóÕ(MW),,,34796,,,,,,,,
2016/04/05,00:00Å`01:00,,,25508,,,,,,,,
2016/04/05,01:00Å`02:00,,,24271,,,,,,,,
2016/04/05,02:00Å`03:00,,,23920,,,,,,,,
2016/04/05,03:00Å`04:00,,,23798,,,,,,,,
2016/04/05,04:00Å`05:00,,,24149,,,,,,,,
2016/04/05,05:00Å`06:00,,,25244,,,,,,,,
2016/04/05,06:00Å`07:00,,,27666,,,,,,,,
2016/04/05,07:00Å`08:00,,,30556,,,,,,,,
2016/04/05,08:00Å`09:00,,,33998,,,,,,,,
2016/04/05,09:00Å`10:00,,,36783,,,,,,,,
2016/04/05,10:00Å`11:00,,,37470,,,,,,,,
2016/04/05,11:00Å`12:00,,,37269,,,,,,,,
2016/04/05,12:00Å`13:00,,,35324,,,,,,,,
2016/04/05,13:00Å`14:00,,,36699,,,,,,,,
2016/04/05,14:00Å`15:00,,,36404,,,,,,,,
2016/04/05,15:00Å`16:00,,,35885,,,,,,,,
2016/04/05,16:00Å`17:00,,,35794,,,,,,,,
2016/04/05,17:00Å`18:00,,,35789,,,,,,,,
2016/04/05,18:00Å`19:00,,,36642,,,,,,,,
2016/04/05,19:00Å`20:00,,,35590,,,,,,,,
2016/04/05,20:00Å`21:00,,,34144,,,,,,,,
2016/04/05,21:00Å`22:00,,,32342,,,,,,,,
2016/04/05,22:00Å`23:00,,,31354,,,,,,,,
2016/04/05,23:00Å`24:00,,,29134,,,,,,,,
2016/04/05,ì˙ìdóÕó (MWh),,,765733,,,,,,,,
2016/04/05,ì˙ç≈ëÂìdóÕ(MW),,,37470,,,,,,,,
2016/04/06,00:00Å`01:00,,,26342,,,,,,,,
2016/04/06,01:00Å`02:00,,,24956,,,,,,,,
2016/04/06,02:00Å`03:00,,,24508,,,,,,,,
2016/04/06,03:00Å`04:00,,,24404,,,,,,,,
2016/04/06,04:00Å`05:00,,,24777,,,,,,,,
2016/04/06,05:00Å`06:00,,,25928,,,,,,,,
2016/04/06,06:00Å`07:00,,,27866,,,,,,,,
2016/04/06,07:00Å`08:00,,,29550,,,,,,,,
2016/04/06,08:00Å`09:00,,,31426,,,,,,,,
2016/04/06,09:00Å`10:00,,,33007,,,,,,,,
2016/04/06,10:00Å`11:00,,,33043,,,,,,,,
2016/04/06,11:00Å`12:00,,,32761,,,,,,,,
2016/04/06,12:00Å`13:00,,,31061,,,,,,,,
2016/04/06,13:00Å`14:00,,,32158,,,,,,,,
2016/04/06,14:00Å`15:00,,,32821,,,,,,,,
2016/04/06,15:00Å`16:00,,,32577,,,,,,,,
2016/04/06,16:00Å`17:00,,,32702,,,,,,,,
2016/04/06,17:00Å`18:00,,,32622,,,,,,,,
2016/04/06,18:00Å`19:00,,,33918,,,,,,,,
2016/04/06,19:00Å`20:00,,,33191,,,,,,,,
2016/04/06,20:00Å`21:00,,,32057,,,,,,,,
2016/04/06,21:00Å`22:00,,,30548,,,,,,,,
2016/04/06,22:00Å`23:00,,,29475,,,,,,,,
2016/04/06,23:00Å`24:00,,,27462,,,,,,,,
2016/04/06,ì˙ìdóÕó (MWh),,,719160,,,,,,,,
2016/04/06,ì˙ç≈ëÂìdóÕ(MW),,,33918,,,,,,,,
2016/04/07,00:00Å`01:00,,,25122,,,,,,,,
2016/04/07,01:00Å`02:00,,,23865,,,,,,,,
2016/04/07,02:00Å`03:00,,,23489,,,,,,,,
2016/04/07,03:00Å`04:00,,,23442,,,,,,,,
2016/04/07,04:00Å`05:00,,,23666,,,,,,,,
2016/04/07,05:00Å`06:00,,,24620,,,,,,,,
2016/04/07,06:00Å`07:00,,,26946,,,,,,,,
2016/04/07,07:00Å`08:00,,,30101,,,,,,,,
2016/04/07,08:00Å`09:00,,,33623,,,,,,,,
2016/04/07,09:00Å`10:00,,,36561,,,,,,,,
2016/04/07,10:00Å`11:00,,,37643,,,,,,,,
2016/04/07,11:00Å`12:00,,,37875,,,,,,,,
2016/04/07,12:00Å`13:00,,,36290,,,,,,,,
2016/04/07,13:00Å`14:00,,,37396,,,,,,,,
2016/04/07,14:00Å`15:00,,,37166,,,,,,,,
2016/04/07,15:00Å`16:00,,,36562,,,,,,,,
2016/04/07,16:00Å`17:00,,,36542,,,,,,,,
2016/04/07,17:00Å`18:00,,,36053,,,,,,,,
2016/04/07,18:00Å`19:00,,,36365,,,,,,,,
2016/04/07,19:00Å`20:00,,,34980,,,,,,,,
2016/04/07,20:00Å`21:00,,,33344,,,,,,,,
2016/04/07,21:00Å`22:00,,,31614,,,,,,,,
2016/04/07,22:00Å`23:00,,,30084,,,,,,,,
2016/04/07,23:00Å`24:00,,,27898,,,,,,,,
2016/04/07,ì˙ìdóÕó (MWh),,,761247,,,,,,,,
2016/04/07,ì˙ç≈ëÂìdóÕ(MW),,,37875,,,,,,,,
2016/04/08,00:00Å`01:00,,,25573,,,,,,,,
2016/04/08,01:00Å`02:00,,,24402,,,,,,,,
2016/04/08,02:00Å`03:00,,,24030,,,,,,,,
2016/04/08,03:00Å`04:00,,,23888,,,,,,,,
2016/04/08,04:00Å`05:00,,,24183,,,,,,,,
2016/04/08,05:00Å`06:00,,,24875,,,,,,,,
2016/04/08,06:00Å`07:00,,,26516,,,,,,,,
2016/04/08,07:00Å`08:00,,,28276,,,,,,,,
2016/04/08,08:00Å`09:00,,,30703,,,,,,,,
2016/04/08,09:00Å`10:00,,,32695,,,,,,,,
2016/04/08,10:00Å`11:00,,,33401,,,,,,,,
2016/04/08,11:00Å`12:00,,,33006,,,,,,,,
2016/04/08,12:00Å`13:00,,,31528,,,,,,,,
2016/04/08,13:00Å`14:00,,,33192,,,,,,,,
2016/04/08,14:00Å`15:00,,,33084,,,,,,,,
2016/04/08,15:00Å`16:00,,,32737,,,,,,,,
2016/04/08,16:00Å`17:00,,,32735,,,,,,,,
2016/04/08,17:00Å`18:00,,,32549,,,,,,,,
2016/04/08,18:00Å`19:00,,,33374,,,,,,,,
2016/04/08,19:00Å`20:00,,,32396,,,,,,,,
2016/04/08,20:00Å`21:00,,,31181,,,,,,,,
2016/04/08,21:00Å`22:00,,,29824,,,,,,,,
2016/04/08,22:00Å`23:00,,,28831,,,,,,,,
2016/04/08,23:00Å`24:00,,,27092,,,,,,,,
2016/04/08,ì˙ìdóÕó (MWh),,,710071,,,,,,,,
2016/04/08,ì˙ç≈ëÂìdóÕ(MW),,,33401,,,,,,,,
2016/04/09,00:00Å`01:00,,,24837,,,,,,,,
2016/04/09,01:00Å`02:00,,,23689,,,,,,,,
2016/04/09,02:00Å`03:00,,,23363,,,,,,,,
2016/04/09,03:00Å`04:00,,,23283,,,,,,,,
2016/04/09,04:00Å`05:00,,,23267,,,,,,,,
2016/04/09,05:00Å`06:00,,,23342,,,,,,,,
2016/04/09,06:00Å`07:00,,,23608,,,,,,,,
2016/04/09,07:00Å`08:00,,,24728,,,,,,,,
2016/04/09,08:00Å`09:00,,,26369,,,,,,,,
2016/04/09,09:00Å`10:00,,,27654,,,,,,,,
2016/04/09,10:00Å`11:00,,,28051,,,,,,,,
2016/04/09,11:00Å`12:00,,,28218,,,,,,,,
2016/04/09,12:00Å`13:00,,,27765,,,,,,,,
2016/04/09,13:00Å`14:00,,,28503,,,,,,,,
2016/04/09,14:00Å`15:00,,,28381,,,,,,,,
2016/04/09,15:00Å`16:00,,,28142,,,,,,,,
