2016/06/12 23:58 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
-,-,-,-,-,-

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
9629,19:00 20:00,-,-

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/06/12,00:00,7563,4409,-
2016/06/12,01:00,7251,4303,-
2016/06/12,02:00,7319,4450,-
2016/06/12,03:00,7572,4660,-
2016/06/12,04:00,7580,4675,-
2016/06/12,05:00,7318,4457,-
2016/06/12,06:00,7215,4267,-
2016/06/12,07:00,7485,4363,-
2016/06/12,08:00,7986,4592,-
2016/06/12,09:00,8530,4848,-
2016/06/12,10:00,8779,5005,-
2016/06/12,11:00,8968,5070,-
2016/06/12,12:00,8982,5104,-
2016/06/12,13:00,8989,5092,-
2016/06/12,14:00,8967,5082,-
2016/06/12,15:00,8914,5116,-
2016/06/12,16:00,8982,5196,-
2016/06/12,17:00,9226,5365,-
2016/06/12,18:00,9480,5508,-
2016/06/12,19:00,9553,5572,-
2016/06/12,20:00,9204,5397,-
2016/06/12,21:00,8765,5145,-
2016/06/12,22:00,8263,4866,-
2016/06/12,23:00,0,4627,-

最大使用率(%),時間帯
-,-

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
-,-,-,-,-,-

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,-,-,-

DATE,TIME,当日実績(５分間隔値)(万kW)
2016/6/12,0:00,7870
2016/6/12,0:05,7830
2016/6/12,0:10,7774
2016/6/12,0:15,7734
2016/6/12,0:20,7712
2016/6/12,0:25,7650
2016/6/12,0:30,7582
2016/6/12,0:35,7529
2016/6/12,0:40,7492
2016/6/12,0:45,7444
2016/6/12,0:50,7412
2016/6/12,0:55,7366
2016/6/12,1:00,7375
2016/6/12,1:05,7339
2016/6/12,1:10,7342
2016/6/12,1:15,7286
2016/6/12,1:20,7261
2016/6/12,1:25,7278
2016/6/12,1:30,7288
2016/6/12,1:35,7266
2016/6/12,1:40,7255
2016/6/12,1:45,7280
2016/6/12,1:50,7275
2016/6/12,1:55,7263
2016/6/12,2:00,7270
2016/6/12,2:05,7285
2016/6/12,2:10,7292
2016/6/12,2:15,7299
2016/6/12,2:20,7293
2016/6/12,2:25,7308
2016/6/12,2:30,7345
2016/6/12,2:35,7356
2016/6/12,2:40,7424
2016/6/12,2:45,7433
2016/6/12,2:50,7474
2016/6/12,2:55,7488
2016/6/12,3:00,7502
2016/6/12,3:05,7552
2016/6/12,3:10,7516
2016/6/12,3:15,7574
2016/6/12,3:20,7599
2016/6/12,3:25,7626
2016/6/12,3:30,7618
2016/6/12,3:35,7615
2016/6/12,3:40,7642
2016/6/12,3:45,7669
2016/6/12,3:50,7702
2016/6/12,3:55,7694
2016/6/12,4:00,7694
2016/6/12,4:05,7680
2016/6/12,4:10,7704
2016/6/12,4:15,7673
2016/6/12,4:20,7640
2016/6/12,4:25,7625
2016/6/12,4:30,7634
2016/6/12,4:35,7628
2016/6/12,4:40,7619
