2016/08/25 23:18 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
-,-,-,-,-,-

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
15024,14:00 15:00,-,-

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/08/25,00:00,9421,5659,-
2016/08/25,01:00,8861,5357,-
2016/08/25,02:00,8664,5302,-
2016/08/25,03:00,8699,5359,-
2016/08/25,04:00,8730,5365,-
2016/08/25,05:00,8744,5359,-
2016/08/25,06:00,9219,5550,-
2016/08/25,07:00,10368,6196,-
2016/08/25,08:00,12214,7360,-
2016/08/25,09:00,13741,8239,-
2016/08/25,10:00,14302,8607,-
2016/08/25,11:00,14706,8835,-
2016/08/25,12:00,14274,8546,-
2016/08/25,13:00,14837,8938,-
2016/08/25,14:00,14963,9009,-
2016/08/25,15:00,14882,8946,-
2016/08/25,16:00,14848,8875,-
2016/08/25,17:00,14260,8500,-
2016/08/25,18:00,13995,8245,-
2016/08/25,19:00,13555,8014,-
2016/08/25,20:00,12698,7523,-
2016/08/25,21:00,11875,7069,-
2016/08/25,22:00,11272,6693,-
2016/08/25,23:00,10214,6259,-

最大使用率(%),時間帯
-,-

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
-,-,-,-,-,-

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
8989,14:00 15:00,-,-

DATE,TIME,当日実績(５分間隔値)(万kW)
2016/8/25,0:00,9846
2016/8/25,0:05,9751
2016/8/25,0:10,9680
2016/8/25,0:15,9588
2016/8/25,0:20,9539
2016/8/25,0:25,9465
2016/8/25,0:30,9373
2016/8/25,0:35,9326
2016/8/25,0:40,9281
2016/8/25,0:45,9217
2016/8/25,0:50,9115
2016/8/25,0:55,9081
2016/8/25,1:00,9036
2016/8/25,1:05,9052
2016/8/25,1:10,9018
2016/8/25,1:15,8943
2016/8/25,1:20,8899
2016/8/25,1:25,8881
2016/8/25,1:30,8838
2016/8/25,1:35,8806
2016/8/25,1:40,8778
2016/8/25,1:45,8752
2016/8/25,1:50,8729
2016/8/25,1:55,8726
2016/8/25,2:00,8691
2016/8/25,2:05,8673
2016/8/25,2:10,8668
2016/8/25,2:15,8660
2016/8/25,2:20,8643
2016/8/25,2:25,8647
2016/8/25,2:30,8654
2016/8/25,2:35,8646
2016/8/25,2:40,8675
2016/8/25,2:45,8691
2016/8/25,2:50,8701
2016/8/25,2:55,8696
2016/8/25,3:00,8658
2016/8/25,3:05,8688
2016/8/25,3:10,8695
2016/8/25,3:15,8714
2016/8/25,3:20,8718
2016/8/25,3:25,8713
2016/8/25,3:30,8697
2016/8/25,3:35,8702
2016/8/25,3:40,8709
2016/8/25,3:45,8719
2016/8/25,3:50,8704
2016/8/25,3:55,8717
2016/8/25,4:00,8723
2016/8/25,4:05,8736
2016/8/25,4:10,8726
2016/8/25,4:15,8725
2016/8/25,4:20,8731
2016/8/25,4:25,8729
2016/8/25,4:30,8704
2016/8/25,4:35,8712
2016/8/25,4:40,8740
2016/8/25,4:45,8773
2016/8/25,4:50,8774
2016/8/25,4:55,8764
2016/8/25,5:00,8759
2016/8/25,5:05,8760
2016/8/25,5:10,8781
2016/8/25,5:15,8769
2016/8/25,5:20,8781
2016/8/25,5:25,8756
2016/8/25,5:30,8724
2016/8/25,5:35,8749
2016/8/25,5:40,8745
2016/8/25,5:45,8743
2016/8/25,5:50,8744
2016/8/25,5:55,8733
2016/8/25,6:00,8814
2016/8/25,6:05,8909
2016/8/25,6:10,8984
2016/8/25,6:15,9020
2016/8/25,6:20,9034
2016/8/25,6:25,9139
2016/8/25,6:30,9224
2016/8/25,6:35,9350
2016/8/25,6:40,9423
2016/8/25,6:45,9485
2016/8/25,6:50,9562
2016/8/25,6:55,9636
2016/8/25,7:00,9736
2016/8/25,7:05,9909
2016/8/25,7:10,9995
2016/8/25,7:15,10077
2016/8/25,7:20,10156
2016/8/25,7:25,10253
2016/8/25,7:30,10369
2016/8/25,7:35,10538
2016/8/25,7:40,10641
2016/8/25,7:45,10782
2016/8/25,7:50,10860
2016/8/25,7:55,10955
2016/8/25,8:00,11169
2016/8/25,8:05,11412
2016/8/25,8:10,11589
2016/8/25,8:15,11764
2016/8/25,8:20,11921
2016/8/25,8:25,12109
2016/8/25,8:30,12318
2016/8/25,8:35,12541
2016/8/25,8:40,12703
2016/8/25,8:45,12840
2016/8/25,8:50,12977
2016/8/25,8:55,13105
2016/8/25,9:00,13218
2016/8/25,9:05,13435
2016/8/25,9:10,13485
2016/8/25,9:15,13561
2016/8/25,9:20,13669
2016/8/25,9:25,13770
2016/8/25,9:30,13830
2016/8/25,9:35,13892
2016/8/25,9:40,13980
2016/8/25,9:45,13989
2016/8/25,9:50,14080
2016/8/25,9:55,14107
2016/8/25,10:00,14119
2016/8/25,10:05,14112
2016/8/25,10:10,14126
2016/8/25,10:15,14224
2016/8/25,10:20,14250
2016/8/25,10:25,14323
2016/8/25,10:30,14359
2016/8/25,10:35,14382
2016/8/25,10:40,14423
2016/8/25,10:45,14474
2016/8/25,10:50,14519
2016/8/25,10:55,14558
2016/8/25,11:00,14592
2016/8/25,11:05,14659
2016/8/25,11:10,14658
2016/8/25,11:15,14717
2016/8/25,11:20,14709
2016/8/25,11:25,14708
2016/8/25,11:30,14750
2016/8/25,11:35,14773
2016/8/25,11:40,14809
2016/8/25,11:45,14813
2016/8/25,11:50,14818
2016/8/25,11:55,14817
2016/8/25,12:00,14657
2016/8/25,12:05,14446
2016/8/25,12:10,14398
2016/8/25,12:15,14296
2016/8/25,12:20,14181
2016/8/25,12:25,14175
2016/8/25,12:30,14199
2016/8/25,12:35,14208
2016/8/25,12:40,14151
2016/8/25,12:45,14225
2016/8/25,12:50,14349
2016/8/25,12:55,14391
2016/8/25,13:00,14554
2016/8/25,13:05,14681
2016/8/25,13:10,14775
2016/8/25,13:15,14802
2016/8/25,13:20,14818
2016/8/25,13:25,14890
2016/8/25,13:30,14926
2016/8/25,13:35,14951
2016/8/25,13:40,14951
2016/8/25,13:45,14979
2016/8/25,13:50,14982
2016/8/25,13:55,14968
2016/8/25,14:00,14970
2016/8/25,14:05,15011
2016/8/25,14:10,14991
2016/8/25,14:15,14986
2016/8/25,14:20,14968
2016/8/25,14:25,15010
2016/8/25,14:30,15006
2016/8/25,14:35,14983
2016/8/25,14:40,14977
2016/8/25,14:45,14992
2016/8/25,14:50,15003
2016/8/25,14:55,15009
2016/8/25,15:00,14899
2016/8/25,15:05,14805
2016/8/25,15:10,14813
2016/8/25,15:15,14854
2016/8/25,15:20,14918
2016/8/25,15:25,14888
2016/8/25,15:30,14923
2016/8/25,15:35,14945
2016/8/25,15:40,14957
2016/8/25,15:45,14954
2016/8/25,15:50,14965
2016/8/25,15:55,14966
2016/8/25,16:00,14917
2016/8/25,16:05,14921
2016/8/25,16:10,14923
2016/8/25,16:15,14939
2016/8/25,16:20,14949
2016/8/25,16:25,14939
2016/8/25,16:30,14897
2016/8/25,16:35,14880
2016/8/25,16:40,14837
2016/8/25,16:45,14785
2016/8/25,16:50,14746
2016/8/25,16:55,14721
2016/8/25,17:00,14584
2016/8/25,17:05,14488
2016/8/25,17:10,14442
2016/8/25,17:15,14417
2016/8/25,17:20,14353
2016/8/25,17:25,14295
2016/8/25,17:30,14209
2016/8/25,17:35,14181
2016/8/25,17:40,14164
2016/8/25,17:45,14116
2016/8/25,17:50,14118
2016/8/25,17:55,14094
2016/8/25,18:00,14045
2016/8/25,18:05,13996
2016/8/25,18:10,13984
2016/8/25,18:15,13972
2016/8/25,18:20,13993
2016/8/25,18:25,14006
2016/8/25,18:30,14047
2016/8/25,18:35,14036
2016/8/25,18:40,14038
2016/8/25,18:45,14024
2016/8/25,18:50,13993
2016/8/25,18:55,13978
2016/8/25,19:00,13942
2016/8/25,19:05,13891
2016/8/25,19:10,13806
2016/8/25,19:15,13756
2016/8/25,19:20,13689
2016/8/25,19:25,13628
2016/8/25,19:30,13522
2016/8/25,19:35,13487
2016/8/25,19:40,13394
2016/8/25,19:45,13338
2016/8/25,19:50,13276
2016/8/25,19:55,13229
2016/8/25,20:00,13152
2016/8/25,20:05,13042
2016/8/25,20:10,12943
2016/8/25,20:15,12886
2016/8/25,20:20,12814
2016/8/25,20:25,12743
2016/8/25,20:30,12675
2016/8/25,20:35,12626
2016/8/25,20:40,12524
2016/8/25,20:45,12495
2016/8/25,20:50,12421
2016/8/25,20:55,12378
2016/8/25,21:00,12314
2016/8/25,21:05,12218
2016/8/25,21:10,12130
2016/8/25,21:15,12076
2016/8/25,21:20,11997
2016/8/25,21:25,11915
2016/8/25,21:30,11835
2016/8/25,21:35,11797
2016/8/25,21:40,11723
2016/8/25,21:45,11674
2016/8/25,21:50,11602
2016/8/25,21:55,11522
2016/8/25,22:00,11453
2016/8/25,22:05,11497
2016/8/25,22:10,11475
2016/8/25,22:15,11456
2016/8/25,22:20,11388
2016/8/25,22:25,11347
2016/8/25,22:30,11326
2016/8/25,22:35,11250
2016/8/25,22:40,11176
2016/8/25,22:45,11111
2016/8/25,22:50,11026
2016/8/25,22:55,10976
2016/8/25,23:00,10931
2016/8/25,23:05,10888
2016/8/25,23:10,10815
2016/8/25,23:15,10771
2016/8/25,23:20,10685
2016/8/25,23:25,10603
2016/8/25,23:30,10536
2016/8/25,23:35,10461
2016/8/25,23:40,10382
2016/8/25,23:45,10322
2016/8/25,23:50,10220
2016/8/25,23:55,10116
