2016/08/30 23:44 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
-,-,-,-,-,-

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
13088,14:00 15:00,-,-

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/08/30,00:00,8624,5001,-
2016/08/30,01:00,8177,4797,-
2016/08/30,02:00,8110,4808,-
2016/08/30,03:00,8251,4926,-
2016/08/30,04:00,8341,5002,-
2016/08/30,05:00,8383,4981,-
2016/08/30,06:00,8658,5120,-
2016/08/30,07:00,9317,5575,-
2016/08/30,08:00,10676,6415,-
2016/08/30,09:00,11793,6996,-
2016/08/30,10:00,12129,7248,-
2016/08/30,11:00,12349,7420,-
2016/08/30,12:00,11757,7085,-
2016/08/30,13:00,12069,7482,-
2016/08/30,14:00,12216,7561,-
2016/08/30,15:00,12068,7512,-
2016/08/30,16:00,12047,7435,-
2016/08/30,17:00,11631,7157,-
2016/08/30,18:00,11511,7021,-
2016/08/30,19:00,11123,6817,-
2016/08/30,20:00,10452,6448,-
2016/08/30,21:00,9858,6087,-
2016/08/30,22:00,9359,5805,-
2016/08/30,23:00,8584,5487,-

最大使用率(%),時間帯
-,-

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
-,-,-,-,-,-

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
-,-,-,-

DATE,TIME,当日実績(５分間隔値)(万kW)
2016/8/30,0:00,9010
2016/8/30,0:05,8911
2016/8/30,0:10,8841
2016/8/30,0:15,8774
2016/8/30,0:20,8721
2016/8/30,0:25,8687
2016/8/30,0:30,8591
2016/8/30,0:35,8554
2016/8/30,0:40,8490
2016/8/30,0:45,8425
2016/8/30,0:50,8421
2016/8/30,0:55,8360
2016/8/30,1:00,8326
2016/8/30,1:05,8326
2016/8/30,1:10,8285
2016/8/30,1:15,8244
2016/8/30,1:20,8174
2016/8/30,1:25,8153
2016/8/30,1:30,8173
2016/8/30,1:35,8169
2016/8/30,1:40,8156
2016/8/30,1:45,8122
2016/8/30,1:50,8094
2016/8/30,1:55,8095
2016/8/30,2:00,8065
2016/8/30,2:05,8102
2016/8/30,2:10,8125
2016/8/30,2:15,8088
2016/8/30,2:20,8052
2016/8/30,2:25,8069
2016/8/30,2:30,8087
2016/8/30,2:35,8126
2016/8/30,2:40,8176
2016/8/30,2:45,8186
2016/8/30,2:50,8186
2016/8/30,2:55,8182
2016/8/30,3:00,8187
2016/8/30,3:05,8215
2016/8/30,3:10,8206
2016/8/30,3:15,8239
2016/8/30,3:20,8272
2016/8/30,3:25,8253
2016/8/30,3:30,8258
2016/8/30,3:35,8242
2016/8/30,3:40,8257
2016/8/30,3:45,8321
2016/8/30,3:50,8338
2016/8/30,3:55,8337
2016/8/30,4:00,8324
2016/8/30,4:05,8341
2016/8/30,4:10,8326
2016/8/30,4:15,8336
2016/8/30,4:20,8360
2016/8/30,4:25,8334
2016/8/30,4:30,8346
2016/8/30,4:35,8348
2016/8/30,4:40,8389
2016/8/30,4:45,8367
2016/8/30,4:50,8363
2016/8/30,4:55,8376
2016/8/30,5:00,8383
2016/8/30,5:05,8406
2016/8/30,5:10,8425
2016/8/30,5:15,8437
2016/8/30,5:20,8396
2016/8/30,5:25,8379
2016/8/30,5:30,8361
2016/8/30,5:35,8389
2016/8/30,5:40,8400
2016/8/30,5:45,8386
2016/8/30,5:50,8362
2016/8/30,5:55,8380
2016/8/30,6:00,8439
2016/8/30,6:05,8470
2016/8/30,6:10,8528
2016/8/30,6:15,8580
2016/8/30,6:20,8575
2016/8/30,6:25,8606
2016/8/30,6:30,8654
2016/8/30,6:35,8725
2016/8/30,6:40,8789
2016/8/30,6:45,8803
2016/8/30,6:50,8823
2016/8/30,6:55,8901
2016/8/30,7:00,8974
2016/8/30,7:05,9058
2016/8/30,7:10,9128
2016/8/30,7:15,9132
2016/8/30,7:20,9184
2016/8/30,7:25,9253
2016/8/30,7:30,9333
2016/8/30,7:35,9443
2016/8/30,7:40,9474
2016/8/30,7:45,9509
2016/8/30,7:50,9572
2016/8/30,7:55,9653
2016/8/30,8:00,9874
2016/8/30,8:05,10092
2016/8/30,8:10,10207
2016/8/30,8:15,10337
