2016/12/20 23:47 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
-,-,-,-,-,-

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
7273,09:00～10:00,-,-

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/12/20,00:00,9501,5595,-
2016/12/20,01:00,9389,5570,-
2016/12/20,02:00,9531,5746,-
2016/12/20,03:00,9628,5860,-
2016/12/20,04:00,9665,5859,-
2016/12/20,05:00,9827,5847,-
2016/12/20,06:00,10588,6168,-
2016/12/20,07:00,11190,6516,-
2016/12/20,08:00,12031,7008,-
2016/12/20,09:00,12559,7273,-
2016/12/20,10:00,12371,7170,-
2016/12/20,11:00,12160,7058,-
2016/12/20,12:00,11398,6596,-
2016/12/20,13:00,11807,6900,-
2016/12/20,14:00,11709,6916,-
2016/12/20,15:00,11643,6883,-
2016/12/20,16:00,12116,7074,-
2016/12/20,17:00,12522,7272,-
2016/12/20,18:00,12414,7197,-
2016/12/20,19:00,11997,6914,-
2016/12/20,20:00,11542,6623,-
2016/12/20,21:00,11076,6362,-
2016/12/20,22:00,10556,6088,-
2016/12/20,23:00,10091,5841,-

最大使用率(%),時間帯
-,-

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
-,-,-,-,-,-

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
-,-,-,-

DATE,TIME,当日実績(５分間隔値)(万kW)
2016/12/20,0:00,9703
2016/12/20,0:05,9691
2016/12/20,0:10,9672
2016/12/20,0:15,9623
2016/12/20,0:20,9585
2016/12/20,0:25,9533
2016/12/20,0:30,9487
2016/12/20,0:35,9451
2016/12/20,0:40,9426
2016/12/20,0:45,9385
2016/12/20,0:50,9319
2016/12/20,0:55,9302
2016/12/20,1:00,9321
2016/12/20,1:05,9365
2016/12/20,1:10,9375
2016/12/20,1:15,9370
2016/12/20,1:20,9376
2016/12/20,1:25,9404
2016/12/20,1:30,9433
2016/12/20,1:35,9437
2016/12/20,1:40,9411
2016/12/20,1:45,9392
2016/12/20,1:50,9407
2016/12/20,1:55,9410
2016/12/20,2:00,9446
2016/12/20,2:05,9483
2016/12/20,2:10,9483
2016/12/20,2:15,9525
2016/12/20,2:20,9524
2016/12/20,2:25,9522
2016/12/20,2:30,9540
2016/12/20,2:35,9543
2016/12/20,2:40,9566
2016/12/20,2:45,9592
2016/12/20,2:50,9623
2016/12/20,2:55,9601
2016/12/20,3:00,9617
2016/12/20,3:05,9619
2016/12/20,3:10,9620
2016/12/20,3:15,9656
2016/12/20,3:20,9665
2016/12/20,3:25,9670
2016/12/20,3:30,9630
2016/12/20,3:35,9630
2016/12/20,3:40,9628
2016/12/20,3:45,9636
2016/12/20,3:50,9642
2016/12/20,3:55,9640
2016/12/20,4:00,9649
2016/12/20,4:05,9663
2016/12/20,4:10,9656
2016/12/20,4:15,9662
2016/12/20,4:20,9691
2016/12/20,4:25,9679
2016/12/20,4:30,9682
2016/12/20,4:35,9667
2016/12/20,4:40,9686
2016/12/20,4:45,9672
2016/12/20,4:50,9679
2016/12/20,4:55,9686
2016/12/20,5:00,9720
2016/12/20,5:05,9757
2016/12/20,5:10,9783
2016/12/20,5:15,9787
2016/12/20,5:20,9790
2016/12/20,5:25,9790
2016/12/20,5:30,9804
2016/12/20,5:35,9869
2016/12/20,5:40,9890
