2019/03/10 01:00 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
-,-,-,-,-,-

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
10180,18:00～19:00,-,-

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2019/03/10,00:00,8453,8543,-
2019/03/10,01:00,8368,8467,-
2019/03/10,02:00,8546,8637,-
2019/03/10,03:00,8701,8759,-
2019/03/10,04:00,8692,8726,-
2019/03/10,05:00,8536,8577,-
2019/03/10,06:00,8431,8559,-
2019/03/10,07:00,8431,8722,-
2019/03/10,08:00,8748,9137,-
2019/03/10,09:00,9063,9329,-
2019/03/10,10:00,9097,9191,-
2019/03/10,11:00,9057,9065,-
2019/03/10,12:00,8923,8939,-
2019/03/10,13:00,8887,8834,-
2019/03/10,14:00,8836,8781,-
2019/03/10,15:00,8914,8841,-
2019/03/10,16:00,9239,9120,-
2019/03/10,17:00,9872,9751,-
2019/03/10,18:00,10249,10180,-
2019/03/10,19:00,10170,10118,-
2019/03/10,20:00,9907,9898,-
2019/03/10,21:00,9496,9490,-
2019/03/10,22:00,8944,8920,-
2019/03/10,23:00,8534,8538,-

最大使用率(%),時間帯
-,-

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
-,-,-,-,-,-

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
11857,9:00～10:00,-,-

DATE,TIME,当日実績(５分間隔値)(万kW)
2019/3/10,0:00,8668
2019/3/10,0:05,8652
2019/3/10,0:10,8595
2019/3/10,0:15,8546
2019/3/10,0:20,8491
2019/3/10,0:25,8473
2019/3/10,0:30,8460
2019/3/10,0:35,8421
2019/3/10,0:40,8390
2019/3/10,0:45,8331
2019/3/10,0:50,8300
2019/3/10,0:55,8280
2019/3/10,1:00,8322
2019/3/10,1:05,8339
2019/3/10,1:10,8352
2019/3/10,1:15,8338
2019/3/10,1:20,8318
2019/3/10,1:25,8346
2019/3/10,1:30,8365
2019/3/10,1:35,8371
2019/3/10,1:40,8424
2019/3/10,1:45,8429
2019/3/10,1:50,8426
2019/3/10,1:55,8423
2019/3/10,2:00,8435
2019/3/10,2:05,8489
2019/3/10,2:10,8489
2019/3/10,2:15,8506
2019/3/10,2:20,8523
2019/3/10,2:25,8518
2019/3/10,2:30,8527
2019/3/10,2:35,8537
2019/3/10,2:40,8605
2019/3/10,2:45,8635
2019/3/10,2:50,8645
2019/3/10,2:55,8654
2019/3/10,3:00,8696
2019/3/10,3:05,8704
2019/3/10,3:10,8733
2019/3/10,3:15,8712
2019/3/10,3:20,8707
2019/3/10,3:25,8718
2019/3/10,3:30,8701
2019/3/10,3:35,8689
2019/3/10,3:40,8682
2019/3/10,3:45,8730
2019/3/10,3:50,8732
2019/3/10,3:55,8704
2019/3/10,4:00,8708
2019/3/10,4:05,8730
2019/3/10,4:10,8720
2019/3/10,4:15,8739
2019/3/10,4:20,8734
2019/3/10,4:25,8693
2019/3/10,4:30,8673
2019/3/10,4:35,8691
2019/3/10,4:40,8667
2019/3/10,4:45,8670
2019/3/10,4:50,8675
2019/3/10,4:55,8658
2019/3/10,5:00,8643
2019/3/10,5:05,8629
2019/3/10,5:10,8624
2019/3/10,5:15,8579
2019/3/10,5:20,8593
2019/3/10,5:25,8579
2019/3/10,5:30,8531
2019/3/10,5:35,8536
2019/3/10,5:40,8503
2019/3/10,5:45,8450
2019/3/10,5:50,8458
2019/3/10,5:55,8437
2019/3/10,6:00,8477
2019/3/10,6:05,8489
2019/3/10,6:10,8489
2019/3/10,6:15,8512
2019/3/10,6:20,8458
2019/3/10,6:25,8433
2019/3/10,6:30,8424
2019/3/10,6:35,8433
2019/3/10,6:40,8434
2019/3/10,6:45,8391
2019/3/10,6:50,8369
2019/3/10,6:55,8374
2019/3/10,7:00,8356
2019/3/10,7:05,8349
2019/3/10,7:10,8359
2019/3/10,7:15,8402
2019/3/10,7:20,8382
2019/3/10,7:25,8399
2019/3/10,7:30,8432
2019/3/10,7:35,8484
2019/3/10,7:40,8443
2019/3/10,7:45,8521
2019/3/10,7:50,8518
2019/3/10,7:55,8503
2019/3/10,8:00,8551
2019/3/10,8:05,8618
2019/3/10,8:10,8631
2019/3/10,8:15,8687
2019/3/10,8:20,8703
2019/3/10,8:25,8752
2019/3/10,8:30,8799
2019/3/10,8:35,8773
2019/3/10,8:40,8823
2019/3/10,8:45,8842
2019/3/10,8:50,8847
2019/3/10,8:55,8883
2019/3/10,9:00,8941
2019/3/10,9:05,9003
2019/3/10,9:10,9045
2019/3/10,9:15,9056
2019/3/10,9:20,9093
2019/3/10,9:25,9091
2019/3/10,9:30,9081
2019/3/10,9:35,9102
2019/3/10,9:40,9091
2019/3/10,9:45,9078
2019/3/10,9:50,9093
2019/3/10,9:55,9129
2019/3/10,10:00,9155
2019/3/10,10:05,9180
2019/3/10,10:10,9162
2019/3/10,10:15,9153
2019/3/10,10:20,9131
2019/3/10,10:25,9103
2019/3/10,10:30,9085
2019/3/10,10:35,9105
2019/3/10,10:40,9102
2019/3/10,10:45,9073
2019/3/10,10:50,9067
2019/3/10,10:55,9073
2019/3/10,11:00,9075
2019/3/10,11:05,9123
2019/3/10,11:10,9119
2019/3/10,11:15,9131
2019/3/10,11:20,9086
2019/3/10,11:25,9088
2019/3/10,11:30,9046
2019/3/10,11:35,9056
2019/3/10,11:40,9058
2019/3/10,11:45,9058
2019/3/10,11:50,9031
2019/3/10,11:55,9027
2019/3/10,12:00,9044
2019/3/10,12:05,9042
2019/3/10,12:10,9008
2019/3/10,12:15,8999
2019/3/10,12:20,8961
2019/3/10,12:25,8952
2019/3/10,12:30,8924
2019/3/10,12:35,8945
2019/3/10,12:40,8928
2019/3/10,12:45,8930
2019/3/10,12:50,8883
2019/3/10,12:55,8848
2019/3/10,13:00,8867
2019/3/10,13:05,8921
2019/3/10,13:10,8945
2019/3/10,13:15,8941
2019/3/10,13:20,8912
2019/3/10,13:25,8923
2019/3/10,13:30,8892
2019/3/10,13:35,8915
2019/3/10,13:40,8919
2019/3/10,13:45,8880
2019/3/10,13:50,8848
2019/3/10,13:55,8835
2019/3/10,14:00,8823
2019/3/10,14:05,8848
2019/3/10,14:10,8852
2019/3/10,14:15,8882
2019/3/10,14:20,8837
2019/3/10,14:25,8855
2019/3/10,14:30,8836
2019/3/10,14:35,8873
2019/3/10,14:40,8858
2019/3/10,14:45,8838
2019/3/10,14:50,8859
2019/3/10,14:55,8825
2019/3/10,15:00,8850
2019/3/10,15:05,8878
2019/3/10,15:10,8883
2019/3/10,15:15,8900
2019/3/10,15:20,8897
2019/3/10,15:25,8929
2019/3/10,15:30,8915
2019/3/10,15:35,8945
2019/3/10,15:40,8958
2019/3/10,15:45,8968
2019/3/10,15:50,8977
2019/3/10,15:55,8994
2019/3/10,16:00,9019
2019/3/10,16:05,9061
2019/3/10,16:10,9117
2019/3/10,16:15,9125
2019/3/10,16:20,9172
2019/3/10,16:25,9234
2019/3/10,16:30,9228
2019/3/10,16:35,9306
2019/3/10,16:40,9356
2019/3/10,16:45,9397
2019/3/10,16:50,9410
2019/3/10,16:55,9445
2019/3/10,17:00,9502
2019/3/10,17:05,9565
2019/3/10,17:10,9649
2019/3/10,17:15,9721
2019/3/10,17:20,9774
2019/3/10,17:25,9875
2019/3/10,17:30,9927
2019/3/10,17:35,10003
2019/3/10,17:40,10067
2019/3/10,17:45,10079
2019/3/10,17:50,10116
2019/3/10,17:55,10132
2019/3/10,18:00,10179
2019/3/10,18:05,10243
2019/3/10,18:10,10239
2019/3/10,18:15,10229
2019/3/10,18:20,10214
2019/3/10,18:25,10281
2019/3/10,18:30,10242
2019/3/10,18:35,10282
2019/3/10,18:40,10299
2019/3/10,18:45,10293
2019/3/10,18:50,10277
2019/3/10,18:55,10278
2019/3/10,19:00,10270
2019/3/10,19:05,10264
2019/3/10,19:10,10215
2019/3/10,19:15,10210
2019/3/10,19:20,10216
2019/3/10,19:25,10199
2019/3/10,19:30,10159
2019/3/10,19:35,10183
2019/3/10,19:40,10153
2019/3/10,19:45,10130
2019/3/10,19:50,10101
2019/3/10,19:55,10090
2019/3/10,20:00,10096
2019/3/10,20:05,10054
2019/3/10,20:10,9994
2019/3/10,20:15,9976
2019/3/10,20:20,9934
2019/3/10,20:25,9898
2019/3/10,20:30,9874
2019/3/10,20:35,9895
2019/3/10,20:40,9847
2019/3/10,20:45,9867
2019/3/10,20:50,9817
2019/3/10,20:55,9816
2019/3/10,21:00,9775
2019/3/10,21:05,9727
2019/3/10,21:10,9658
2019/3/10,21:15,9622
2019/3/10,21:20,9522
2019/3/10,21:25,9550
2019/3/10,21:30,9483
2019/3/10,21:35,9436
2019/3/10,21:40,9419
2019/3/10,21:45,9357
2019/3/10,21:50,9321
2019/3/10,21:55,9284
2019/3/10,22:00,9198
2019/3/10,22:05,9137
2019/3/10,22:10,9105
2019/3/10,22:15,9064
2019/3/10,22:20,9039
2019/3/10,22:25,9017
2019/3/10,22:30,8955
2019/3/10,22:35,8902
2019/3/10,22:40,8855
2019/3/10,22:45,8810
2019/3/10,22:50,8736
2019/3/10,22:55,8694
2019/3/10,23:00,8673
2019/3/10,23:05,8716
2019/3/10,23:10,8690
2019/3/10,23:15,8668
2019/3/10,23:20,8635
2019/3/10,23:25,8619
2019/3/10,23:30,8568
2019/3/10,23:35,8508
2019/3/10,23:40,8438
2019/3/10,23:45,8393
2019/3/10,23:50,8368
2019/3/10,23:55,0
