2020/11/02 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
-,-,-,-,-,-

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
8956,18:00～19:00,-,-

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
-,-,-,-,-,-

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
-,-,-,-

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/11/01,00:00,7287,7262,-,9487
2020/11/01,01:00,7114,7114,-,9428
2020/11/01,02:00,7339,7327,-,9516
2020/11/01,03:00,7672,7628,-,9669
2020/11/01,04:00,7797,7771,-,9804
2020/11/01,05:00,7715,7701,-,9730
2020/11/01,06:00,7563,7546,-,9618
2020/11/01,07:00,7626,7522,-,9730
2020/11/01,08:00,7819,7573,-,10296
2020/11/01,09:00,8038,7677,-,10760
2020/11/01,10:00,7957,7749,-,10989
2020/11/01,11:00,7992,7855,-,10935
2020/11/01,12:00,8020,7784,-,10589
2020/11/01,13:00,8037,7718,-,10266
2020/11/01,14:00,7977,7660,-,9850
2020/11/01,15:00,7927,7787,-,9795
2020/11/01,16:00,8289,8170,-,10118
2020/11/01,17:00,8940,8771,-,10448
2020/11/01,18:00,9055,8956,-,10652
2020/11/01,19:00,8861,8812,-,10578
2020/11/01,20:00,8597,8566,-,10434
2020/11/01,21:00,8200,8195,-,10296
2020/11/01,22:00,7746,7765,-,10105
2020/11/01,23:00,7424,7440,-,9862

最大使用率(%),時間帯
-,-

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
-,-,-,-,-,-

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
10536,17:00～18:00,-,-

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
-,-,-,-,-,-

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
-,-,-,-

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2020/11/01,00:00,7458,0
2020/11/01,00:05,7425,0
2020/11/01,00:10,7419,0
2020/11/01,00:15,7369,0
2020/11/01,00:20,7340,0
2020/11/01,00:25,7281,0
2020/11/01,00:30,7278,0
2020/11/01,00:35,7240,0
2020/11/01,00:40,7221,0
2020/11/01,00:45,7199,0
2020/11/01,00:50,7141,0
2020/11/01,00:55,7138,0
2020/11/01,01:00,7111,0
2020/11/01,01:05,7134,0
2020/11/01,01:10,7087,0
2020/11/01,01:15,7082,0
2020/11/01,01:20,7082,0
2020/11/01,01:25,7040,0
2020/11/01,01:30,7063,0
2020/11/01,01:35,7104,0
2020/11/01,01:40,7116,0
2020/11/01,01:45,7166,0
2020/11/01,01:50,7146,0
2020/11/01,01:55,7139,0
2020/11/01,02:00,7180,0
2020/11/01,02:05,7221,0
2020/11/01,02:10,7227,0
2020/11/01,02:15,7231,0
2020/11/01,02:20,7238,0
2020/11/01,02:25,7251,0
2020/11/01,02:30,7315,0
2020/11/01,02:35,7368,0
2020/11/01,02:40,7406,0
2020/11/01,02:45,7461,0
2020/11/01,02:50,7492,0
2020/11/01,02:55,7515,0
2020/11/01,03:00,7560,0
2020/11/01,03:05,7564,0
2020/11/01,03:10,7582,0
2020/11/01,03:15,7648,0
2020/11/01,03:20,7690,0
2020/11/01,03:25,7697,0
2020/11/01,03:30,7694,0
2020/11/01,03:35,7694,0
2020/11/01,03:40,7751,0
2020/11/01,03:45,7720,0
2020/11/01,03:50,7718,0
2020/11/01,03:55,7744,0
2020/11/01,04:00,7752,0
2020/11/01,04:05,7826,0
2020/11/01,04:10,7795,0
2020/11/01,04:15,7781,0
2020/11/01,04:20,7800,0
2020/11/01,04:25,7806,0
2020/11/01,04:30,7805,0
2020/11/01,04:35,7813,0
2020/11/01,04:40,7803,0
2020/11/01,04:45,7809,0
2020/11/01,04:50,7804,0
2020/11/01,04:55,7777,0
2020/11/01,05:00,7781,0
2020/11/01,05:05,7798,0
2020/11/01,05:10,7777,0
2020/11/01,05:15,7774,0
2020/11/01,05:20,7775,0
2020/11/01,05:25,7741,0
2020/11/01,05:30,7737,0
2020/11/01,05:35,7720,0
2020/11/01,05:40,7671,0
2020/11/01,05:45,7646,0
2020/11/01,05:50,7607,0
2020/11/01,05:55,7598,0
2020/11/01,06:00,7599,0
2020/11/01,06:05,7629,0
2020/11/01,06:10,7596,1
2020/11/01,06:15,7578,2
2020/11/01,06:20,7594,6
2020/11/01,06:25,7545,11
2020/11/01,06:30,7531,25
2020/11/01,06:35,7544,56
2020/11/01,06:40,7529,94
2020/11/01,06:45,7528,135
2020/11/01,06:50,7533,190
2020/11/01,06:55,7505,251
2020/11/01,07:00,7493,319
2020/11/01,07:05,7522,396
2020/11/01,07:10,7563,469
2020/11/01,07:15,7566,542
2020/11/01,07:20,7558,627
2020/11/01,07:25,7576,711
2020/11/01,07:30,7595,805
2020/11/01,07:35,7730,879
2020/11/01,07:40,7717,947
2020/11/01,07:45,7722,1013
2020/11/01,07:50,7677,1085
2020/11/01,07:55,7669,1153
2020/11/01,08:00,7701,1231
2020/11/01,08:05,7735,1326
2020/11/01,08:10,7745,1402
2020/11/01,08:15,7763,1464
2020/11/01,08:20,7778,1558
2020/11/01,08:25,7814,1660
2020/11/01,08:30,7812,1742
2020/11/01,08:35,7837,1828
2020/11/01,08:40,7854,1922
2020/11/01,08:45,7855,2007
2020/11/01,08:50,7907,2081
2020/11/01,08:55,7915,2143
2020/11/01,09:00,7931,2208
2020/11/01,09:05,7956,2257
2020/11/01,09:10,7985,2316
2020/11/01,09:15,7979,2363
2020/11/01,09:20,8019,2419
2020/11/01,09:25,8053,2474
2020/11/01,09:30,8103,2534
2020/11/01,09:35,8114,2569
2020/11/01,09:40,8094,2621
2020/11/01,09:45,8071,2631
2020/11/01,09:50,8075,2650
2020/11/01,09:55,8034,2658
2020/11/01,10:00,8029,2691
