2016/04/05 21:33 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
145,19:00～20:00,04月05日,00:00,57,63

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
92,19:00～20:00,04月05日,00:00

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/04/05,00:00,66,67,45
2016/04/05,01:00,64,66,44
2016/04/05,02:00,65,67,44
2016/04/05,03:00,67,69,46
2016/04/05,04:00,67,69,46
2016/04/05,05:00,66,66,45
2016/04/05,06:00,68,69,46
2016/04/05,07:00,75,75,51
2016/04/05,08:00,84,79,57
2016/04/05,09:00,90,81,62
2016/04/05,10:00,91,80,62
2016/04/05,11:00,89,83,61
2016/04/05,12:00,88,80,60
2016/04/05,13:00,91,84,62
2016/04/05,14:00,90,88,62
2016/04/05,15:00,90,89,62
2016/04/05,16:00,91,90,62
2016/04/05,17:00,92,89,63
2016/04/05,18:00,94,90,64
2016/04/05,19:00,95,92,65
2016/04/05,20:00,92,89,63
2016/04/05,21:00,,84,
2016/04/05,22:00,,78,
2016/04/05,23:00,,72,

最大使用率(%),時間帯
65,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
146,19:00～20:00,04月05日,14:29,55,64

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
94,19:00～20:00,04月05日,14:29

DATE,TIME,当日実績(5分間隔値)(万kW)
2016/04/05,00:00,70
2016/04/05,00:05,69
2016/04/05,00:10,69
2016/04/05,00:15,68
2016/04/05,00:20,68
2016/04/05,00:25,67
2016/04/05,00:30,67
2016/04/05,00:35,66
2016/04/05,00:40,66
2016/04/05,00:45,66
2016/04/05,00:50,65
2016/04/05,00:55,65
2016/04/05,01:00,65
2016/04/05,01:05,65
2016/04/05,01:10,65
2016/04/05,01:15,65
2016/04/05,01:20,64
2016/04/05,01:25,64
2016/04/05,01:30,64
2016/04/05,01:35,64
2016/04/05,01:40,64
2016/04/05,01:45,64
2016/04/05,01:50,64
2016/04/05,01:55,64
2016/04/05,02:00,64
2016/04/05,02:05,64
2016/04/05,02:10,65
2016/04/05,02:15,65
2016/04/05,02:20,65
2016/04/05,02:25,65
2016/04/05,02:30,65
2016/04/05,02:35,66
2016/04/05,02:40,66
2016/04/05,02:45,66
2016/04/05,02:50,67
2016/04/05,02:55,67
2016/04/05,03:00,67
2016/04/05,03:05,67
2016/04/05,03:10,67
2016/04/05,03:15,67
2016/04/05,03:20,68
2016/04/05,03:25,68
2016/04/05,03:30,68
2016/04/05,03:35,68
2016/04/05,03:40,68
2016/04/05,03:45,68
2016/04/05,03:50,68
2016/04/05,03:55,68
2016/04/05,04:00,68
2016/04/05,04:05,68
2016/04/05,04:10,68
2016/04/05,04:15,68
2016/04/05,04:20,68
2016/04/05,04:25,68
2016/04/05,04:30,68
2016/04/05,04:35,68
2016/04/05,04:40,68
2016/04/05,04:45,68
2016/04/05,04:50,67
2016/04/05,04:55,67
2016/04/05,05:00,67
