2018/02/07 23:57 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
141,09:00～10:00,02月07日,19:41,33,75

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
105,19:00～20:00,02月07日,19:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2018/02/07,00:00,79,80,56
2018/02/07,01:00,77,78,54
2018/02/07,02:00,78,80,55
2018/02/07,03:00,79,81,56
2018/02/07,04:00,78,81,55
2018/02/07,05:00,78,80,55
2018/02/07,06:00,83,84,58
2018/02/07,07:00,90,91,63
2018/02/07,08:00,89,96,63
2018/02/07,09:00,90,99,63
2018/02/07,10:00,89,97,63
2018/02/07,11:00,86,96,60
2018/02/07,12:00,86,86,60
2018/02/07,13:00,89,88,63
2018/02/07,14:00,90,95,63
2018/02/07,15:00,89,98,63
2018/02/07,16:00,91,99,64
2018/02/07,17:00,94,99,66
2018/02/07,18:00,102,104,72
2018/02/07,19:00,104,105,73
2018/02/07,20:00,102,103,72
2018/02/07,21:00,98,99,69
2018/02/07,22:00,90,92,63
2018/02/07,23:00,,86,

最大使用率(%),時間帯
73,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
152,19:00～20:00,02月07日,15:14,49,67

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
102,19:00～20:00,02月07日,15:14

DATE,TIME,当日実績(5分間隔値)(万kW)
2018/02/07,00:00,83
2018/02/07,00:05,82
2018/02/07,00:10,82
2018/02/07,00:15,81
2018/02/07,00:20,81
2018/02/07,00:25,80
2018/02/07,00:30,79
2018/02/07,00:35,79
2018/02/07,00:40,79
2018/02/07,00:45,78
2018/02/07,00:50,78
2018/02/07,00:55,78
2018/02/07,01:00,78
2018/02/07,01:05,78
2018/02/07,01:10,78
2018/02/07,01:15,78
2018/02/07,01:20,77
2018/02/07,01:25,77
2018/02/07,01:30,77
2018/02/07,01:35,77
2018/02/07,01:40,78
2018/02/07,01:45,78
2018/02/07,01:50,77
2018/02/07,01:55,78
2018/02/07,02:00,78
2018/02/07,02:05,78
2018/02/07,02:10,78
2018/02/07,02:15,78
2018/02/07,02:20,78
2018/02/07,02:25,79
2018/02/07,02:30,79
2018/02/07,02:35,79
2018/02/07,02:40,79
2018/02/07,02:45,79
2018/02/07,02:50,79
2018/02/07,02:55,79
2018/02/07,03:00,79
2018/02/07,03:05,79
2018/02/07,03:10,79
2018/02/07,03:15,79
2018/02/07,03:20,79
2018/02/07,03:25,79
2018/02/07,03:30,79
2018/02/07,03:35,79
2018/02/07,03:40,79
2018/02/07,03:45,79
2018/02/07,03:50,79
2018/02/07,03:55,79
2018/02/07,04:00,79
2018/02/07,04:05,79
2018/02/07,04:10,79
2018/02/07,04:15,79
2018/02/07,04:20,79
2018/02/07,04:25,79
2018/02/07,04:30,79
2018/02/07,04:35,79
2018/02/07,04:40,79
2018/02/07,04:45,79
2018/02/07,04:50,78
2018/02/07,04:55,78
2018/02/07,05:00,78
2018/02/07,05:05,78
2018/02/07,05:10,78
2018/02/07,05:15,78
2018/02/07,05:20,78
2018/02/07,05:25,78
2018/02/07,05:30,78
2018/02/07,05:35,78
2018/02/07,05:40,78
2018/02/07,05:45,78
2018/02/07,05:50,78
2018/02/07,05:55,78
2018/02/07,06:00,79
2018/02/07,06:05,79
2018/02/07,06:10,80
2018/02/07,06:15,81
2018/02/07,06:20,82
2018/02/07,06:25,83
2018/02/07,06:30,83
2018/02/07,06:35,84
2018/02/07,06:40,85
2018/02/07,06:45,86
2018/02/07,06:50,87
2018/02/07,06:55,88
2018/02/07,07:00,89
2018/02/07,07:05,89
2018/02/07,07:10,90
2018/02/07,07:15,91
2018/02/07,07:20,91
2018/02/07,07:25,91
2018/02/07,07:30,91
2018/02/07,07:35,91
2018/02/07,07:40,91
2018/02/07,07:45,91
2018/02/07,07:50,90
2018/02/07,07:55,90
2018/02/07,08:00,90
2018/02/07,08:05,91
2018/02/07,08:10,91
2018/02/07,08:15,91
2018/02/07,08:20,90
2018/02/07,08:25,90
2018/02/07,08:30,89
2018/02/07,08:35,92
2018/02/07,08:40,91
2018/02/07,08:45,90
2018/02/07,08:50,89
2018/02/07,08:55,89
2018/02/07,09:00,89
2018/02/07,09:05,92
2018/02/07,09:10,93
2018/02/07,09:15,92
2018/02/07,09:20,90
2018/02/07,09:25,90
2018/02/07,09:30,91
2018/02/07,09:35,93
2018/02/07,09:40,92
2018/02/07,09:45,91
2018/02/07,09:50,91
2018/02/07,09:55,90
2018/02/07,10:00,90
2018/02/07,10:05,92
2018/02/07,10:10,92
2018/02/07,10:15,91
2018/02/07,10:20,90
2018/02/07,10:25,89
2018/02/07,10:30,89
2018/02/07,10:35,89
2018/02/07,10:40,89
2018/02/07,10:45,89
2018/02/07,10:50,89
2018/02/07,10:55,89
2018/02/07,11:00,90
2018/02/07,11:05,90
2018/02/07,11:10,89
2018/02/07,11:15,88
2018/02/07,11:20,88
2018/02/07,11:25,87
2018/02/07,11:30,88
2018/02/07,11:35,84
2018/02/07,11:40,85
2018/02/07,11:45,86
2018/02/07,11:50,87
2018/02/07,11:55,88
2018/02/07,12:00,87
2018/02/07,12:05,88
2018/02/07,12:10,87
2018/02/07,12:15,87
2018/02/07,12:20,86
2018/02/07,12:25,86
2018/02/07,12:30,86
2018/02/07,12:35,87
2018/02/07,12:40,87
2018/02/07,12:45,87
2018/02/07,12:50,88
2018/02/07,12:55,89
2018/02/07,13:00,88
2018/02/07,13:05,90
2018/02/07,13:10,91
2018/02/07,13:15,89
2018/02/07,13:20,88
2018/02/07,13:25,87
2018/02/07,13:30,87
2018/02/07,13:35,90
2018/02/07,13:40,93
2018/02/07,13:45,95
2018/02/07,13:50,95
2018/02/07,13:55,94
2018/02/07,14:00,93
2018/02/07,14:05,90
2018/02/07,14:10,91
2018/02/07,14:15,91
2018/02/07,14:20,91
2018/02/07,14:25,90
2018/02/07,14:30,90
2018/02/07,14:35,88
2018/02/07,14:40,89
2018/02/07,14:45,90
2018/02/07,14:50,91
2018/02/07,14:55,92
2018/02/07,15:00,92
