2018/05/28 00:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
161,19:00～20:00,05月27日,19:45,37,72

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
113,19:00～20:00,05月27日,19:45

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2018/05/27,00:00,90,91,55
2018/05/27,01:00,85,86,52
2018/05/27,02:00,84,85,52
2018/05/27,03:00,84,85,52
2018/05/27,04:00,84,85,52
2018/05/27,05:00,82,83,50
2018/05/27,06:00,81,80,50
2018/05/27,07:00,86,85,53
2018/05/27,08:00,94,93,58
2018/05/27,09:00,104,98,64
2018/05/27,10:00,105,102,65
2018/05/27,11:00,108,105,67
2018/05/27,12:00,110,106,68
2018/05/27,13:00,109,108,67
2018/05/27,14:00,109,108,67
2018/05/27,15:00,109,109,67
2018/05/27,16:00,111,109,68
2018/05/27,17:00,111,110,68
2018/05/27,18:00,112,111,69
2018/05/27,19:00,116,113,72
2018/05/27,20:00,116,112,72
2018/05/27,21:00,112,107,69
2018/05/27,22:00,105,101,65
2018/05/27,23:00,97,94,60

最大使用率(%),時間帯
72,20:00～21:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
169,16:00～17:00,05月28日,00:00,40,71

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
129,14:00～15:00,05月28日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW)
2018/05/27,00:00,95
2018/05/27,00:05,95
2018/05/27,00:10,94
2018/05/27,00:15,93
2018/05/27,00:20,90
2018/05/27,00:25,91
2018/05/27,00:30,91
2018/05/27,00:35,91
2018/05/27,00:40,90
2018/05/27,00:45,90
2018/05/27,00:50,90
2018/05/27,00:55,90
2018/05/27,01:00,89
2018/05/27,01:05,86
2018/05/27,01:10,86
2018/05/27,01:15,88
2018/05/27,01:20,87
2018/05/27,01:25,87
2018/05/27,01:30,86
2018/05/27,01:35,86
2018/05/27,01:40,86
2018/05/27,01:45,86
2018/05/27,01:50,85
2018/05/27,01:55,82
2018/05/27,02:00,85
2018/05/27,02:05,86
2018/05/27,02:10,86
2018/05/27,02:15,83
2018/05/27,02:20,85
2018/05/27,02:25,85
2018/05/27,02:30,85
2018/05/27,02:35,86
2018/05/27,02:40,83
2018/05/27,02:45,84
2018/05/27,02:50,87
2018/05/27,02:55,87
2018/05/27,03:00,87
2018/05/27,03:05,86
2018/05/27,03:10,87
2018/05/27,03:15,87
2018/05/27,03:20,87
2018/05/27,03:25,85
2018/05/27,03:30,83
2018/05/27,03:35,86
2018/05/27,03:40,86
2018/05/27,03:45,84
2018/05/27,03:50,85
2018/05/27,03:55,84
2018/05/27,04:00,86
2018/05/27,04:05,86
2018/05/27,04:10,86
2018/05/27,04:15,85
2018/05/27,04:20,83
2018/05/27,04:25,84
2018/05/27,04:30,86
2018/05/27,04:35,86
2018/05/27,04:40,85
2018/05/27,04:45,84
2018/05/27,04:50,86
2018/05/27,04:55,85
2018/05/27,05:00,85
