2020/05/25 00:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
151,12:00～13:00,05月24日,19:55,54,64

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
95,19:00～20:00,05月24日,19:55

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
145,13:00～14:00,05月24日,19:55,51,66

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
96,13:00～14:00,05月24日,19:55

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/05/24,00:00,73,75,52,138
2020/05/24,01:00,71,72,51,138
2020/05/24,02:00,72,73,52,138
2020/05/24,03:00,74,75,53,138
2020/05/24,04:00,74,76,53,138
2020/05/24,05:00,71,73,51,138
2020/05/24,06:00,66,69,51,129
2020/05/24,07:00,70,71,53,132
2020/05/24,08:00,75,76,55,136
2020/05/24,09:00,81,82,57,140
2020/05/24,10:00,85,85,59,143
2020/05/24,11:00,91,84,60,150
2020/05/24,12:00,94,83,62,150
2020/05/24,13:00,94,82,64,146
2020/05/24,14:00,94,85,64,146
2020/05/24,15:00,88,87,59,149
2020/05/24,16:00,90,89,60,148
2020/05/24,17:00,90,92,57,156
2020/05/24,18:00,92,93,60,153
2020/05/24,19:00,95,95,62,152
2020/05/24,20:00,94,93,61,152
2020/05/24,21:00,90,90,59,152
2020/05/24,22:00,85,85,55,152
2020/05/24,23:00,79,80,51,152

最大使用率(%),時間帯
64,14:00～15:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
156,14:00～15:00,05月22日,09:36,73,57

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
104,17:00～18:00,05月22日,09:36

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
156,14:00～15:00,05月22日,09:36,73,57

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
90,14:00～15:00,05月22日,09:36

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2020/05/24,00:00,79,0
2020/05/24,00:05,78,0
2020/05/24,00:10,78,0
2020/05/24,00:15,75,0
2020/05/24,00:20,74,0
2020/05/24,00:25,74,0
2020/05/24,00:30,75,0
2020/05/24,00:35,76,0
2020/05/24,00:40,76,0
2020/05/24,00:45,75,0
