2017/4/2 0:05 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1244,19:00～20:00,4/1,9:00,21,83

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1121,18:00～19:00,4/1,9:00

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2017/4/1,0:00,838,836,63
2017/4/1,1:00,850,849,64
2017/4/1,2:00,890,877,67
2017/4/1,3:00,932,911,70
2017/4/1,4:00,948,916,71
2017/4/1,5:00,935,914,70
2017/4/1,6:00,933,914,69
2017/4/1,7:00,925,917,69
2017/4/1,8:00,938,948,70
2017/4/1,9:00,938,958,70
2017/4/1,10:00,898,959,66
2017/4/1,11:00,903,1067,66
2017/4/1,12:00,866,1034,63
2017/4/1,13:00,863,1072,63
2017/4/1,14:00,860,1051,63
2017/4/1,15:00,841,1024,63
2017/4/1,16:00,855,1041,64
2017/4/1,17:00,910,1072,68
2017/4/1,18:00,976,1121,76
2017/4/1,19:00,1013,1119,81
2017/4/1,20:00,982,1085,77
2017/4/1,21:00,939,1029,73
2017/4/1,22:00,886,965,68
2017/4/1,23:00,833,897,64

最大使用率(%),時間帯
81,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
985,19:00～20:00,,

DATE,TIME,当日実績(５分間隔値）(万kW)
2017/4/1,0:00,882
2017/4/1,0:05,848
2017/4/1,0:10,845
2017/4/1,0:15,847
2017/4/1,0:20,854
2017/4/1,0:25,838
2017/4/1,0:30,830
2017/4/1,0:35,815
2017/4/1,0:40,828
2017/4/1,0:45,834
2017/4/1,0:50,827
2017/4/1,0:55,818
2017/4/1,1:00,829
2017/4/1,1:05,846
2017/4/1,1:10,846
2017/4/1,1:15,844
2017/4/1,1:20,842
2017/4/1,1:25,840
2017/4/1,1:30,851
2017/4/1,1:35,854
2017/4/1,1:40,859
2017/4/1,1:45,858
2017/4/1,1:50,864
2017/4/1,1:55,866
2017/4/1,2:00,874
2017/4/1,2:05,878
2017/4/1,2:10,883
2017/4/1,2:15,875
2017/4/1,2:20,886
2017/4/1,2:25,886
2017/4/1,2:30,884
2017/4/1,2:35,899
2017/4/1,2:40,904
2017/4/1,2:45,904
2017/4/1,2:50,901
2017/4/1,2:55,913
2017/4/1,3:00,922
2017/4/1,3:05,927
2017/4/1,3:10,925
2017/4/1,3:15,912
2017/4/1,3:20,926
2017/4/1,3:25,935
2017/4/1,3:30,937
2017/4/1,3:35,939
2017/4/1,3:40,935
2017/4/1,3:45,941
2017/4/1,3:50,948
2017/4/1,3:55,935
2017/4/1,4:00,944
2017/4/1,4:05,940
2017/4/1,4:10,943
2017/4/1,4:15,945
2017/4/1,4:20,952
2017/4/1,4:25,958
2017/4/1,4:30,946
2017/4/1,4:35,953
2017/4/1,4:40,948
2017/4/1,4:45,956
2017/4/1,4:50,950
2017/4/1,4:55,942
2017/4/1,5:00,941
2017/4/1,5:05,942
2017/4/1,5:10,949
2017/4/1,5:15,952
2017/4/1,5:20,925
2017/4/1,5:25,930
2017/4/1,5:30,936
2017/4/1,5:35,940
2017/4/1,5:40,928
2017/4/1,5:45,931
2017/4/1,5:50,920
2017/4/1,5:55,922
2017/4/1,6:00,933
2017/4/1,6:05,939
2017/4/1,6:10,931
2017/4/1,6:15,935
2017/4/1,6:20,936
2017/4/1,6:25,931
2017/4/1,6:30,944
2017/4/1,6:35,929
2017/4/1,6:40,924
2017/4/1,6:45,927
2017/4/1,6:50,929
2017/4/1,6:55,934
2017/4/1,7:00,926
2017/4/1,7:05,921
2017/4/1,7:10,918
2017/4/1,7:15,931
2017/4/1,7:20,927
2017/4/1,7:25,928
2017/4/1,7:30,914
2017/4/1,7:35,941
2017/4/1,7:40,919
2017/4/1,7:45,920
2017/4/1,7:50,913
2017/4/1,7:55,922
2017/4/1,8:00,922
2017/4/1,8:05,930
2017/4/1,8:10,925
2017/4/1,8:15,932
2017/4/1,8:20,940
2017/4/1,8:25,926
2017/4/1,8:30,937
2017/4/1,8:35,951
2017/4/1,8:40,949
2017/4/1,8:45,944
2017/4/1,8:50,936
2017/4/1,8:55,942
2017/4/1,9:00,943
2017/4/1,9:05,953
2017/4/1,9:10,942
2017/4/1,9:15,938
2017/4/1,9:20,949
2017/4/1,9:25,949
2017/4/1,9:30,942
2017/4/1,9:35,943
2017/4/1,9:40,929
2017/4/1,9:45,912
2017/4/1,9:50,932
2017/4/1,9:55,920
2017/4/1,10:00,900
2017/4/1,10:05,909
2017/4/1,10:10,881
2017/4/1,10:15,903
2017/4/1,10:20,907
2017/4/1,10:25,900
2017/4/1,10:30,907
2017/4/1,10:35,902
2017/4/1,10:40,885
2017/4/1,10:45,904
2017/4/1,10:50,891
2017/4/1,10:55,883
2017/4/1,11:00,875
2017/4/1,11:05,888
2017/4/1,11:10,934
2017/4/1,11:15,910
2017/4/1,11:20,918
2017/4/1,11:25,894
2017/4/1,11:30,914
2017/4/1,11:35,899
2017/4/1,11:40,913
2017/4/1,11:45,891
2017/4/1,11:50,911
2017/4/1,11:55,898
2017/4/1,12:00,877
2017/4/1,12:05,886
2017/4/1,12:10,890
2017/4/1,12:15,845
2017/4/1,12:20,852
2017/4/1,12:25,869
2017/4/1,12:30,888
2017/4/1,12:35,888
2017/4/1,12:40,867
2017/4/1,12:45,828
2017/4/1,12:50,840
2017/4/1,12:55,858
2017/4/1,13:00,852
2017/4/1,13:05,866
2017/4/1,13:10,869
2017/4/1,13:15,884
2017/4/1,13:20,879
2017/4/1,13:25,864
2017/4/1,13:30,853
2017/4/1,13:35,844
2017/4/1,13:40,868
2017/4/1,13:45,859
