2018/1/21 12:29 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1160,8:00～9:00,,

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2018/1/20,0:00,0,960,0
2018/1/20,1:00,0,975,0
2018/1/20,2:00,0,1010,0
2018/1/20,3:00,0,1045,0
2018/1/20,4:00,0,1060,0
2018/1/20,5:00,0,1045,0
2018/1/20,6:00,0,1095,0
2018/1/20,7:00,0,1140,0
2018/1/20,8:00,0,1160,0
2018/1/20,9:00,0,1155,0
2018/1/20,10:00,0,1090,0
2018/1/20,11:00,0,1070,0
2018/1/20,12:00,0,1000,0
2018/1/20,13:00,0,990,0
2018/1/20,14:00,0,960,0
2018/1/20,15:00,0,955,0
2018/1/20,16:00,0,1010,0
2018/1/20,17:00,0,1075,0
2018/1/20,18:00,0,1140,0
2018/1/20,19:00,0,1120,0
2018/1/20,20:00,0,1085,0
2018/1/20,21:00,0,1055,0
2018/1/20,22:00,0,1020,0
2018/1/20,23:00,0,970,0

最大使用率(%),時間帯
0,23:00～0:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1339,18:00～19:00,1/21,9:00,23,81

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1090,18:00～19:00,1/21,9:00

DATE,TIME,当日実績(５分間隔値）(万kW)
