2018/11/14 0:09 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1127,18:00～19:00,11/13,9:00,9,91

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1030,18:00～19:00,11/13,9:00

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2018/11/13,0:00,766,760,83
2018/11/13,1:00,760,755,81
2018/11/13,2:00,810,805,85
2018/11/13,3:00,871,870,85
2018/11/13,4:00,901,905,87
2018/11/13,5:00,902,915,86
2018/11/13,6:00,906,935,86
2018/11/13,7:00,921,935,86
2018/11/13,8:00,933,920,89
2018/11/13,9:00,950,955,88
2018/11/13,10:00,929,955,83
2018/11/13,11:00,938,960,80
2018/11/13,12:00,888,930,73
2018/11/13,13:00,903,945,76
2018/11/13,14:00,915,950,78
2018/11/13,15:00,942,945,81
2018/11/13,16:00,970,945,86
2018/11/13,17:00,1005,995,89
2018/11/13,18:00,1026,1030,91
2018/11/13,19:00,994,995,88
2018/11/13,20:00,953,950,88
2018/11/13,21:00,913,895,84
2018/11/13,22:00,872,860,85
2018/11/13,23:00,828,795,87

最大使用率(%),時間帯
91,18:00～19:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1142,18:00～19:00,11/13,18:00,10,91

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1040,18:00～19:00,11/13,18:00

DATE,TIME,当日実績(５分間隔値）(万kW)
2018/11/13,0:00,784
2018/11/13,0:05,785
2018/11/13,0:10,781
2018/11/13,0:15,779
2018/11/13,0:20,760
2018/11/13,0:25,770
2018/11/13,0:30,764
2018/11/13,0:35,761
2018/11/13,0:40,761
2018/11/13,0:45,748
2018/11/13,0:50,751
2018/11/13,0:55,751
2018/11/13,1:00,752
2018/11/13,1:05,763
2018/11/13,1:10,760
2018/11/13,1:15,761
2018/11/13,1:20,762
2018/11/13,1:25,761
2018/11/13,1:30,763
2018/11/13,1:35,755
2018/11/13,1:40,770
2018/11/13,1:45,769
2018/11/13,1:50,776
2018/11/13,1:55,779
2018/11/13,2:00,776
2018/11/13,2:05,779
2018/11/13,2:10,792
2018/11/13,2:15,795
2018/11/13,2:20,798
2018/11/13,2:25,811
2018/11/13,2:30,824
2018/11/13,2:35,826
2018/11/13,2:40,829
2018/11/13,2:45,830
2018/11/13,2:50,832
2018/11/13,2:55,834
2018/11/13,3:00,844
2018/11/13,3:05,845
2018/11/13,3:10,852
2018/11/13,3:15,862
2018/11/13,3:20,869
2018/11/13,3:25,880
2018/11/13,3:30,871
2018/11/13,3:35,882
2018/11/13,3:40,881
2018/11/13,3:45,888
2018/11/13,3:50,901
2018/11/13,3:55,891
2018/11/13,4:00,901
2018/11/13,4:05,900
2018/11/13,4:10,904
2018/11/13,4:15,898
2018/11/13,4:20,907
2018/11/13,4:25,902
2018/11/13,4:30,902
2018/11/13,4:35,902
2018/11/13,4:40,902
2018/11/13,4:45,904
2018/11/13,4:50,910
2018/11/13,4:55,908
2018/11/13,5:00,913
2018/11/13,5:05,903
2018/11/13,5:10,906
2018/11/13,5:15,917
2018/11/13,5:20,913
2018/11/13,5:25,905
2018/11/13,5:30,900
2018/11/13,5:35,909
2018/11/13,5:40,904
2018/11/13,5:45,899
2018/11/13,5:50,895
2018/11/13,5:55,895
2018/11/13,6:00,894
2018/11/13,6:05,907
2018/11/13,6:10,904
2018/11/13,6:15,898
2018/11/13,6:20,896
2018/11/13,6:25,910
2018/11/13,6:30,909
2018/11/13,6:35,913
2018/11/13,6:40,902
2018/11/13,6:45,911
2018/11/13,6:50,911
2018/11/13,6:55,912
2018/11/13,7:00,919
2018/11/13,7:05,911
2018/11/13,7:10,920
2018/11/13,7:15,927
2018/11/13,7:20,922
2018/11/13,7:25,918
2018/11/13,7:30,920
2018/11/13,7:35,931
2018/11/13,7:40,936
2018/11/13,7:45,933
2018/11/13,7:50,926
2018/11/13,7:55,929
2018/11/13,8:00,923
2018/11/13,8:05,932
2018/11/13,8:10,934
2018/11/13,8:15,929
2018/11/13,8:20,938
2018/11/13,8:25,931
2018/11/13,8:30,940
2018/11/13,8:35,942
2018/11/13,8:40,936
2018/11/13,8:45,938
2018/11/13,8:50,945
2018/11/13,8:55,936
2018/11/13,9:00,943
2018/11/13,9:05,949
2018/11/13,9:10,956
2018/11/13,9:15,948
2018/11/13,9:20,950
2018/11/13,9:25,937
2018/11/13,9:30,943
2018/11/13,9:35,959
2018/11/13,9:40,949
2018/11/13,9:45,948
2018/11/13,9:50,958
2018/11/13,9:55,939
2018/11/13,10:00,930
2018/11/13,10:05,936
2018/11/13,10:10,926
2018/11/13,10:15,939
2018/11/13,10:20,937
2018/11/13,10:25,937
2018/11/13,10:30,936
2018/11/13,10:35,925
2018/11/13,10:40,921
2018/11/13,10:45,919
2018/11/13,10:50,920
2018/11/13,10:55,917
2018/11/13,11:00,915
2018/11/13,11:05,931
2018/11/13,11:10,937
2018/11/13,11:15,919
2018/11/13,11:20,944
2018/11/13,11:25,945
2018/11/13,11:30,940
2018/11/13,11:35,943
2018/11/13,11:40,959
2018/11/13,11:45,953
2018/11/13,11:50,944
2018/11/13,11:55,919
2018/11/13,12:00,930
2018/11/13,12:05,891
2018/11/13,12:10,901
2018/11/13,12:15,911
2018/11/13,12:20,895
2018/11/13,12:25,889
2018/11/13,12:30,904
2018/11/13,12:35,903
2018/11/13,12:40,867
2018/11/13,12:45,894
2018/11/13,12:50,888
2018/11/13,12:55,858
2018/11/13,13:00,888
2018/11/13,13:05,909
2018/11/13,13:10,916
2018/11/13,13:15,900
2018/11/13,13:20,868
2018/11/13,13:25,942
2018/11/13,13:30,939
2018/11/13,13:35,917
2018/11/13,13:40,904
2018/11/13,13:45,897
2018/11/13,13:50,903
2018/11/13,13:55,890
2018/11/13,14:00,917
2018/11/13,14:05,903
2018/11/13,14:10,902
2018/11/13,14:15,909
2018/11/13,14:20,915
2018/11/13,14:25,907
2018/11/13,14:30,931
2018/11/13,14:35,923
2018/11/13,14:40,928
2018/11/13,14:45,926
2018/11/13,14:50,934
2018/11/13,14:55,929
2018/11/13,15:00,931
2018/11/13,15:05,927
2018/11/13,15:10,927
2018/11/13,15:15,947
2018/11/13,15:20,933
2018/11/13,15:25,960
2018/11/13,15:30,965
2018/11/13,15:35,963
2018/11/13,15:40,958
2018/11/13,15:45,948
