2020/12/19 0:05 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1521,18:00～19:00,12/18,9:00,10,91

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1380,18:00～19:00,12/18,9:00

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1521,18:00～19:00,12/18,9:00,10,91

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1380,18:00～19:00,12/18,9:00

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/12/18,0:00,1092,1085,77,1428
2020/12/18,1:00,1078,1075,75,1428
2020/12/18,2:00,1108,1110,78,1426
2020/12/18,3:00,1133,1125,79,1431
2020/12/18,4:00,1143,1140,80,1436
2020/12/18,5:00,1164,1155,80,1457
2020/12/18,6:00,1257,1235,88,1428
2020/12/18,7:00,1341,1310,93,1448
2020/12/18,8:00,1369,1360,89,1545
2020/12/18,9:00,1335,1340,82,1625
2020/12/18,10:00,1297,1285,78,1673
2020/12/18,11:00,1259,1235,76,1667
2020/12/18,12:00,1167,1170,70,1662
2020/12/18,13:00,1163,1210,71,1646
2020/12/18,14:00,1160,1195,72,1617
2020/12/18,15:00,1177,1195,77,1519
2020/12/18,16:00,1241,1255,85,1454
2020/12/18,17:00,1317,1340,87,1509
2020/12/18,18:00,1337,1380,88,1521
2020/12/18,19:00,1306,1340,86,1515
2020/12/18,20:00,1263,1290,86,1477
2020/12/18,21:00,1193,1230,84,1424
2020/12/18,22:00,1132,1160,82,1378
2020/12/18,23:00,1065,1090,78,1358

最大使用率(%),時間帯
93,7:00～8:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1367,18:00～19:00,12/18,18:00,13,88

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1210,18:00～19:00,12/18,18:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1323,17:00～18:00,12/18,18:00,12,90

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1185,17:00～18:00,12/18,18:00

DATE,TIME,当日実績(５分間隔値）(万kW),太陽光発電実績(５分間隔値）(万kW)
2020/12/18,0:00,1119,0
2020/12/18,0:05,1117,0
