2016/5/11 1:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
2083,16:00～17:00,5/10,9:30,20,83

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1740,16:00～17:00,5/10,9:30

DATE,TIME,当日実績(万kW),予想値(万kW),使用率(%)
2016/5/10,0:00,1249,1280,59
2016/5/10,1:00,1195,1250,57
2016/5/10,2:00,1248,1310,59
2016/5/10,3:00,1304,1350,62
2016/5/10,4:00,1296,1330,62
2016/5/10,5:00,1264,1290,60
2016/5/10,6:00,1300,1310,62
2016/5/10,7:00,1400,1410,67
2016/5/10,8:00,1564,1570,75
2016/5/10,9:00,1696,1680,81
2016/5/10,10:00,1693,1690,81
2016/5/10,11:00,1689,1700,81
2016/5/10,12:00,1607,1600,77
2016/5/10,13:00,1723,1720,82
2016/5/10,14:00,1743,1730,83
2016/5/10,15:00,1740,1720,83
2016/5/10,16:00,1764,1740,84
2016/5/10,17:00,1747,1720,83
2016/5/10,18:00,1732,1700,83
2016/5/10,19:00,1691,1660,81
2016/5/10,20:00,1600,1580,76
2016/5/10,21:00,1523,1490,73
2016/5/10,22:00,1451,1430,69
2016/5/10,23:00,1378,1340,66

最大使用率(%),時間帯
84,16:00～17:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
2094,16:00～17:00,5/10,18:30,21,82

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1730,16:00～17:00,5/10,18:30

DATE,TIME,当日実績(５分間隔値)(万kW)
2016/5/10,0:00,1290
2016/5/10,0:05,1279
2016/5/10,0:10,1268
2016/5/10,0:15,1268
2016/5/10,0:20,1256
2016/5/10,0:25,1248
2016/5/10,0:30,1247
2016/5/10,0:35,1247
2016/5/10,0:40,1236
2016/5/10,0:45,1219
2016/5/10,0:50,1219
2016/5/10,0:55,1213
2016/5/10,1:00,1207
2016/5/10,1:05,1212
2016/5/10,1:10,1197
2016/5/10,1:15,1185
2016/5/10,1:20,1189
2016/5/10,1:25,1190
2016/5/10,1:30,1185
2016/5/10,1:35,1189
2016/5/10,1:40,1184
2016/5/10,1:45,1192
2016/5/10,1:50,1196
2016/5/10,1:55,1214
2016/5/10,2:00,1205
2016/5/10,2:05,1215
2016/5/10,2:10,1222
2016/5/10,2:15,1237
2016/5/10,2:20,1240
2016/5/10,2:25,1233
2016/5/10,2:30,1255
2016/5/10,2:35,1264
2016/5/10,2:40,1268
2016/5/10,2:45,1279
2016/5/10,2:50,1274
2016/5/10,2:55,1281
2016/5/10,3:00,1281
2016/5/10,3:05,1288
2016/5/10,3:10,1291
2016/5/10,3:15,1301
2016/5/10,3:20,1303
2016/5/10,3:25,1313
2016/5/10,3:30,1306
2016/5/10,3:35,1319
2016/5/10,3:40,1308
2016/5/10,3:45,1316
2016/5/10,3:50,1315
2016/5/10,3:55,1309
2016/5/10,4:00,1306
2016/5/10,4:05,1292
2016/5/10,4:10,1296
2016/5/10,4:15,1297
2016/5/10,4:20,1301
2016/5/10,4:25,1303
2016/5/10,4:30,1292
2016/5/10,4:35,1294
2016/5/10,4:40,1298
2016/5/10,4:45,1294
2016/5/10,4:50,1289
2016/5/10,4:55,1287
