2020/11/3 1:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1868,16:00～17:00,11/2,13:00,9,92

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1718,16:00～17:00,11/2,13:00

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1868,16:00～17:00,11/2,13:00,9,92

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1720,16:00～17:00,11/2,13:00

DATE,TIME,当日実績(万kW),予想値(万kW),使用率(%),供給力想定値(万kW)
2020/11/2,0:00,1117,1098,59,1537
2020/11/2,1:00,1085,1080,58,1513
2020/11/2,2:00,1143,1140,61,1534
2020/11/2,3:00,1212,1202,64,1608
2020/11/2,4:00,1217,1223,65,1616
2020/11/2,5:00,1202,1222,64,1616
2020/11/2,6:00,1243,1282,66,1630
2020/11/2,7:00,1376,1410,73,1652
2020/11/2,8:00,1532,1560,82,1805
2020/11/2,9:00,1655,1673,88,1821
2020/11/2,10:00,1688,1702,90,1844
2020/11/2,11:00,1696,1685,90,1835
2020/11/2,12:00,1623,1602,86,1777
2020/11/2,13:00,1703,1702,91,1850
2020/11/2,14:00,1716,1712,91,1861
2020/11/2,15:00,1706,1710,91,1845
2020/11/2,16:00,1711,1718,91,1868
2020/11/2,17:00,1694,1699,90,1942
2020/11/2,18:00,1652,1660,88,1926
2020/11/2,19:00,1576,1579,84,1913
2020/11/2,20:00,1502,1500,80,1908
2020/11/2,21:00,1429,1431,76,1829
2020/11/2,22:00,1385,1383,74,1768
2020/11/2,23:00,1327,1331,71,1703

最大使用率(%),時間帯
91,13:00～14:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1750,18:00～19:00,11/2,18:30,15,86

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1532,18:00～19:00,11/2,18:30

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1750,18:00～19:00,11/2,18:30,15,86

