2017/08/05 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
512,13:00～16:00,8月5日,9:00,15,87

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
447,14:00～15:00,8月5日,9:00

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2017/08/05,0:00,306,305,60
2017/08/05,1:00,288,290,56
2017/08/05,2:00,288,290,56
2017/08/05,3:00,294,296,57
2017/08/05,4:00,302,304,59
2017/08/05,5:00,309,308,60
2017/08/05,6:00,309,306,60
2017/08/05,7:00,321,315,63
2017/08/05,8:00,375,362,73
2017/08/05,9:00,411,397,80
2017/08/05,10:00,427,416,83
2017/08/05,11:00,444,427,87
2017/08/05,12:00,442,423,86
2017/08/05,13:00,456,439,89
2017/08/05,14:00,457,447,89
2017/08/05,15:00,454,443,89
2017/08/05,16:00,448,443,88
2017/08/05,17:00,433,427,85
2017/08/05,18:00,418,416,82
2017/08/05,19:00,408,406,80
2017/08/05,20:00,388,388,76
2017/08/05,21:00,365,364,71
2017/08/05,22:00,340,337,66
2017/08/05,23:00,320,316,63

最大使用率(%),時間帯
89,14:00～15:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
458,17:00～20:00,8月5日,18:00,13,88

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
409,18:00～19:00,8月5日,18:00

DATE,TIME,当日実績(5分間隔値)(万kW)
2017/08/05,0:00,321
2017/08/05,0:05,320
2017/08/05,0:10,317
2017/08/05,0:15,314
2017/08/05,0:20,312
2017/08/05,0:25,309
2017/08/05,0:30,307
2017/08/05,0:35,304
2017/08/05,0:40,303
2017/08/05,0:45,300
2017/08/05,0:50,300
2017/08/05,0:55,298
2017/08/05,1:00,295
2017/08/05,1:05,294
2017/08/05,1:10,293
2017/08/05,1:15,290
2017/08/05,1:20,290
2017/08/05,1:25,290
2017/08/05,1:30,287
2017/08/05,1:35,288
2017/08/05,1:40,288
2017/08/05,1:45,288
2017/08/05,1:50,287
2017/08/05,1:55,286
2017/08/05,2:00,287
2017/08/05,2:05,287
2017/08/05,2:10,287
2017/08/05,2:15,288
2017/08/05,2:20,287
2017/08/05,2:25,287
2017/08/05,2:30,288
2017/08/05,2:35,289
2017/08/05,2:40,291
2017/08/05,2:45,292
2017/08/05,2:50,292
2017/08/05,2:55,293
2017/08/05,3:00,292
2017/08/05,3:05,292
2017/08/05,3:10,292
2017/08/05,3:15,293
2017/08/05,3:20,295
2017/08/05,3:25,295
2017/08/05,3:30,294
2017/08/05,3:35,294
2017/08/05,3:40,296
2017/08/05,3:45,297
2017/08/05,3:50,298
2017/08/05,3:55,298
2017/08/05,4:00,298
2017/08/05,4:05,299
2017/08/05,4:10,300
2017/08/05,4:15,300
2017/08/05,4:20,301
2017/08/05,4:25,301
2017/08/05,4:30,302
2017/08/05,4:35,302
2017/08/05,4:40,306
2017/08/05,4:45,306
2017/08/05,4:50,307
2017/08/05,4:55,306
2017/08/05,5:00,307
2017/08/05,5:05,308
2017/08/05,5:10,308
2017/08/05,5:15,309
2017/08/05,5:20,310
2017/08/05,5:25,309
2017/08/05,5:30,310
2017/08/05,5:35,311
2017/08/05,5:40,308
2017/08/05,5:45,309
2017/08/05,5:50,309
2017/08/05,5:55,310
2017/08/05,6:00,311
2017/08/05,6:05,313
2017/08/05,6:10,313
2017/08/05,6:15,313
2017/08/05,6:20,311
2017/08/05,6:25,309
2017/08/05,6:30,308
2017/08/05,6:35,308
2017/08/05,6:40,306
2017/08/05,6:45,305
2017/08/05,6:50,307
2017/08/05,6:55,307
2017/08/05,7:00,307
2017/08/05,7:05,308
2017/08/05,7:10,310
2017/08/05,7:15,314
2017/08/05,7:20,314
2017/08/05,7:25,316
2017/08/05,7:30,319
2017/08/05,7:35,323
2017/08/05,7:40,325
2017/08/05,7:45,329
2017/08/05,7:50,333
2017/08/05,7:55,336
2017/08/05,8:00,342
2017/08/05,8:05,349
2017/08/05,8:10,355
2017/08/05,8:15,359
2017/08/05,8:20,365
2017/08/05,8:25,370
2017/08/05,8:30,374
2017/08/05,8:35,381
2017/08/05,8:40,384
2017/08/05,8:45,386
2017/08/05,8:50,391
2017/08/05,8:55,396
2017/08/05,9:00,399
2017/08/05,9:05,404
2017/08/05,9:10,403
2017/08/05,9:15,404
2017/08/05,9:20,406
2017/08/05,9:25,408
2017/08/05,9:30,412
2017/08/05,9:35,417
2017/08/05,9:40,419
2017/08/05,9:45,419
2017/08/05,9:50,418
2017/08/05,9:55,420
2017/08/05,10:00,421
2017/08/05,10:05,421
2017/08/05,10:10,422
2017/08/05,10:15,424
2017/08/05,10:20,423
2017/08/05,10:25,423
2017/08/05,10:30,423
2017/08/05,10:35,427
2017/08/05,10:40,429
2017/08/05,10:45,430
2017/08/05,10:50,432
2017/08/05,10:55,434
2017/08/05,11:00,437
2017/08/05,11:05,439
2017/08/05,11:10,438
2017/08/05,11:15,441
2017/08/05,11:20,443
2017/08/05,11:25,444
2017/08/05,11:30,446
2017/08/05,11:35,447
2017/08/05,11:40,449
2017/08/05,11:45,451
2017/08/05,11:50,447
2017/08/05,11:55,448
2017/08/05,12:00,444
2017/08/05,12:05,440
2017/08/05,12:10,441
2017/08/05,12:15,441
2017/08/05,12:20,439
2017/08/05,12:25,439
2017/08/05,12:30,439
2017/08/05,12:35,443
2017/08/05,12:40,445
2017/08/05,12:45,444
2017/08/05,12:50,445
2017/08/05,12:55,446
2017/08/05,13:00,450
2017/08/05,13:05,456
2017/08/05,13:10,459
2017/08/05,13:15,459
2017/08/05,13:20,458
2017/08/05,13:25,458
2017/08/05,13:30,459
2017/08/05,13:35,459
2017/08/05,13:40,461
2017/08/05,13:45,455
2017/08/05,13:50,453
2017/08/05,13:55,457
2017/08/05,14:00,456
2017/08/05,14:05,457
2017/08/05,14:10,458
2017/08/05,14:15,459
2017/08/05,14:20,461
2017/08/05,14:25,463
2017/08/05,14:30,463
2017/08/05,14:35,459
2017/08/05,14:40,456
2017/08/05,14:45,457
2017/08/05,14:50,454
2017/08/05,14:55,456
2017/08/05,15:00,453
2017/08/05,15:05,453
2017/08/05,15:10,456
2017/08/05,15:15,456
2017/08/05,15:20,457
2017/08/05,15:25,459
2017/08/05,15:30,458
2017/08/05,15:35,456
2017/08/05,15:40,457
2017/08/05,15:45,454
2017/08/05,15:50,451
2017/08/05,15:55,455
2017/08/05,16:00,453
2017/08/05,16:05,451
2017/08/05,16:10,450
2017/08/05,16:15,452
2017/08/05,16:20,451
2017/08/05,16:25,450
2017/08/05,16:30,450
2017/08/05,16:35,451
2017/08/05,16:40,450
2017/08/05,16:45,448
2017/08/05,16:50,445
2017/08/05,16:55,443
2017/08/05,17:00,441
2017/08/05,17:05,440
2017/08/05,17:10,438
2017/08/05,17:15,437
2017/08/05,17:20,437
2017/08/05,17:25,436
2017/08/05,17:30,435
2017/08/05,17:35,434
2017/08/05,17:40,433
2017/08/05,17:45,432
2017/08/05,17:50,431
2017/08/05,17:55,429
2017/08/05,18:00,429
2017/08/05,18:05,426
2017/08/05,18:10,423
2017/08/05,18:15,422
2017/08/05,18:20,421
2017/08/05,18:25,419
2017/08/05,18:30,419
2017/08/05,18:35,419
2017/08/05,18:40,418
2017/08/05,18:45,416
2017/08/05,18:50,414
2017/08/05,18:55,415
2017/08/05,19:00,415
2017/08/05,19:05,413
2017/08/05,19:10,412
2017/08/05,19:15,412
2017/08/05,19:20,411
2017/08/05,19:25,411
2017/08/05,19:30,408
2017/08/05,19:35,406
2017/08/05,19:40,407
2017/08/05,19:45,404
2017/08/05,19:50,403
2017/08/05,19:55,403
2017/08/05,20:00,400
2017/08/05,20:05,396
2017/08/05,20:10,395
2017/08/05,20:15,394
2017/08/05,20:20,392
2017/08/05,20:25,391
2017/08/05,20:30,391
2017/08/05,20:35,388
2017/08/05,20:40,387
2017/08/05,20:45,385
2017/08/05,20:50,384
2017/08/05,20:55,381
2017/08/05,21:00,380
2017/08/05,21:05,375
2017/08/05,21:10,374
2017/08/05,21:15,373
2017/08/05,21:20,369
2017/08/05,21:25,366
2017/08/05,21:30,366
2017/08/05,21:35,364
2017/08/05,21:40,363
2017/08/05,21:45,361
2017/08/05,21:50,360
2017/08/05,21:55,356
2017/08/05,22:00,355
2017/08/05,22:05,352
2017/08/05,22:10,348
2017/08/05,22:15,347
2017/08/05,22:20,345
2017/08/05,22:25,344
2017/08/05,22:30,341
2017/08/05,22:35,340
2017/08/05,22:40,338
2017/08/05,22:45,336
2017/08/05,22:50,333
2017/08/05,22:55,331
2017/08/05,23:00,330
2017/08/05,23:05,331
2017/08/05,23:10,330
2017/08/05,23:15,327
2017/08/05,23:20,325
2017/08/05,23:25,324
2017/08/05,23:30,322
2017/08/05,23:35,319
2017/08/05,23:40,317
2017/08/05,23:45,315
2017/08/05,23:50,312
2017/08/05,23:55,310
