2020/10/06 23:45 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
432,14:00～15:00,10月6日,9:00,33,75

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
326,14:00～15:00,10月6日,9:00

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
371,18:00～19:00,10月6日,9:00,18,85

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
315,18:00～19:00,10月6日,9:00

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/10/06,0:00,219,223,66,332
2020/10/06,1:00,212,215,66,323
2020/10/06,2:00,221,224,67,330
2020/10/06,3:00,244,247,75,325
2020/10/06,4:00,264,264,74,358
2020/10/06,5:00,269,268,75,359
2020/10/06,6:00,256,255,70,364
2020/10/06,7:00,255,255,70,365
2020/10/06,8:00,289,289,73,398
2020/10/06,9:00,300,308,70,428
2020/10/06,10:00,313,315,71,440
2020/10/06,11:00,317,323,73,436
2020/10/06,12:00,305,309,71,427
2020/10/06,13:00,322,324,74,435
2020/10/06,14:00,321,326,74,432
2020/10/06,15:00,318,323,74,427
2020/10/06,16:00,322,324,76,424
2020/10/06,17:00,312,315,82,380
2020/10/06,18:00,312,315,84,371
2020/10/06,19:00,296,297,84,351
2020/10/06,20:00,279,280,76,366
2020/10/06,21:00,262,260,71,370
2020/10/06,22:00,245,243,67,363
2020/10/06,23:00,236,234,55,361

最大使用率(%),時間帯
84,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
439,14:00～15:00,10月6日,18:00,33,75

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
325,14:00～15:00,10月6日,18:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
365,18:00～19:00,10月6日,18:00,14,87

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
319,18:00～19:00,10月6日,18:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間隔値)(万kW)
2020/10/06,0:00,230,0
2020/10/06,0:05,226,0
2020/10/06,0:10,225,0
2020/10/06,0:15,221,0
2020/10/06,0:20,220,0
2020/10/06,0:25,219,0
2020/10/06,0:30,217,0
2020/10/06,0:35,217,0
2020/10/06,0:40,215,0
2020/10/06,0:45,214,0
2020/10/06,0:50,213,0
2020/10/06,0:55,214,0
2020/10/06,1:00,212,0
2020/10/06,1:05,213,0
2020/10/06,1:10,211,0
2020/10/06,1:15,211,0
2020/10/06,1:20,211,0
2020/10/06,1:25,211,0
2020/10/06,1:30,210,0
2020/10/06,1:35,210,0
2020/10/06,1:40,210,0
2020/10/06,1:45,209,0
2020/10/06,1:50,211,0
2020/10/06,1:55,210,0
2020/10/06,2:00,212,0
2020/10/06,2:05,214,0
2020/10/06,2:10,216,0
2020/10/06,2:15,215,0
2020/10/06,2:20,216,0
2020/10/06,2:25,217,0
2020/10/06,2:30,219,0
2020/10/06,2:35,221,0
2020/10/06,2:40,223,0
2020/10/06,2:45,225,0
2020/10/06,2:50,226,0
2020/10/06,2:55,228,0
2020/10/06,3:00,230,0
2020/10/06,3:05,233,0
2020/10/06,3:10,234,0
2020/10/06,3:15,237,0
2020/10/06,3:20,240,0
2020/10/06,3:25,241,0
2020/10/06,3:30,243,0
2020/10/06,3:35,244,0
2020/10/06,3:40,246,0
2020/10/06,3:45,250,0
2020/10/06,3:50,252,0
2020/10/06,3:55,253,0
2020/10/06,4:00,256,0
2020/10/06,4:05,258,0
2020/10/06,4:10,258,0
2020/10/06,4:15,259,0
2020/10/06,4:20,260,0
2020/10/06,4:25,262,0
2020/10/06,4:30,264,0
2020/10/06,4:35,265,0
2020/10/06,4:40,268,0
2020/10/06,4:45,269,0
2020/10/06,4:50,270,0
2020/10/06,4:55,271,0
2020/10/06,5:00,271,0
2020/10/06,5:05,272,0
2020/10/06,5:10,272,0
2020/10/06,5:15,272,0
2020/10/06,5:20,272,0
2020/10/06,5:25,271,0
2020/10/06,5:30,272,0
2020/10/06,5:35,271,0
2020/10/06,5:40,270,0
2020/10/06,5:45,268,0
2020/10/06,5:50,266,0
2020/10/06,5:55,265,0
2020/10/06,6:00,263,0
2020/10/06,6:05,266,0
2020/10/06,6:10,264,1
2020/10/06,6:15,262,2
2020/10/06,6:20,260,2
2020/10/06,6:25,256,2
2020/10/06,6:30,253,3
2020/10/06,6:35,253,7
2020/10/06,6:40,251,10
2020/10/06,6:45,250,13
2020/10/06,6:50,247,16
2020/10/06,6:55,246,19
2020/10/06,7:00,245,22
2020/10/06,7:05,245,25
2020/10/06,7:10,247,27
2020/10/06,7:15,246,29
2020/10/06,7:20,246,32
2020/10/06,7:25,246,34
2020/10/06,7:30,250,37
2020/10/06,7:35,256,40
2020/10/06,7:40,258,45
2020/10/06,7:45,261,49
2020/10/06,7:50,262,54
2020/10/06,7:55,268,57
2020/10/06,8:00,268,60
2020/10/06,8:05,276,63
2020/10/06,8:10,286,68
2020/10/06,8:15,289,72
2020/10/06,8:20,289,74
2020/10/06,8:25,291,75
2020/10/06,8:30,293,78
2020/10/06,8:35,290,84
2020/10/06,8:40,287,89
2020/10/06,8:45,287,96
2020/10/06,8:50,290,104
2020/10/06,8:55,288,106
2020/10/06,9:00,287,109
2020/10/06,9:05,289,111
2020/10/06,9:10,291,117
2020/10/06,9:15,292,123
2020/10/06,9:20,293,129
2020/10/06,9:25,294,135
2020/10/06,9:30,294,142
2020/10/06,9:35,293,149
2020/10/06,9:40,294,155
2020/10/06,9:45,299,162
2020/10/06,9:50,303,168
2020/10/06,9:55,306,173
2020/10/06,10:00,307,177
2020/10/06,10:05,305,180
2020/10/06,10:10,304,182
2020/10/06,10:15,307,184
2020/10/06,10:20,310,187
2020/10/06,10:25,313,188
2020/10/06,10:30,314,190
2020/10/06,10:35,316,191
2020/10/06,10:40,315,192
2020/10/06,10:45,317,194
2020/10/06,10:50,316,196
2020/10/06,10:55,317,198
2020/10/06,11:00,317,198
2020/10/06,11:05,319,199
2020/10/06,11:10,318,200
2020/10/06,11:15,319,201
2020/10/06,11:20,317,201
2020/10/06,11:25,319,202
2020/10/06,11:30,318,202
2020/10/06,11:35,318,202
2020/10/06,11:40,316,200
2020/10/06,11:45,318,203
2020/10/06,11:50,318,203
2020/10/06,11:55,318,204
2020/10/06,12:00,315,204
2020/10/06,12:05,309,204
2020/10/06,12:10,308,204
2020/10/06,12:15,304,204
2020/10/06,12:20,305,204
2020/10/06,12:25,304,203
2020/10/06,12:30,303,202
2020/10/06,12:35,302,202
2020/10/06,12:40,304,201
2020/10/06,12:45,305,200
2020/10/06,12:50,309,198
2020/10/06,12:55,309,197
