2016/4/26 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4235,14:00～15:00,4/26,8:30,22,82

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3481,14:00～15:00,4/26,8:30

DATE,TIME,当日実績(万kW),予測値（万kW),使用率(%)
2016/4/26,0:00,2546,0,60
2016/4/26,1:00,2427,0,57
2016/4/26,2:00,2409,0,57
2016/4/26,3:00,2432,0,57
2016/4/26,4:00,2464,0,58
2016/4/26,5:00,2501,0,59
2016/4/26,6:00,2656,0,63
2016/4/26,7:00,2864,0,68
2016/4/26,8:00,3099,0,73
2016/4/26,9:00,3345,0,79
2016/4/26,10:00,3427,0,81
2016/4/26,11:00,3470,0,82
2016/4/26,12:00,3316,0,78
2016/4/26,13:00,3446,0,81
2016/4/26,14:00,3477,0,82
2016/4/26,15:00,3461,0,82
2016/4/26,16:00,3468,0,82
2016/4/26,17:00,3389,0,80
2016/4/26,18:00,3436,0,81
2016/4/26,19:00,3370,0,80
2016/4/26,20:00,3192,0,75
2016/4/26,21:00,3048,0,72
2016/4/26,22:00,2954,0,70
2016/4/26,23:00,0,0,

最大使用率(%),時間帯
82,16:00～17:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
3885,18:00～19:00,4/26,17:30,13,88

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3432,18:00～19:00,4/26,17:30

DATE,TIME,当日実績（５分間隔値）(万kW)
2016/4/26,0:00,2630
2016/4/26,0:05,2628
2016/4/26,0:10,2613
2016/4/26,0:15,2588
2016/4/26,0:20,2581
2016/4/26,0:25,2553
2016/4/26,0:30,2542
2016/4/26,0:35,2509
2016/4/26,0:40,2518
2016/4/26,0:45,2477
2016/4/26,0:50,2470
2016/4/26,0:55,2450
2016/4/26,1:00,2448
2016/4/26,1:05,2449
2016/4/26,1:10,2451
2016/4/26,1:15,2436
2016/4/26,1:20,2437
2016/4/26,1:25,2409
2016/4/26,1:30,2418
2016/4/26,1:35,2427
2016/4/26,1:40,2417
2016/4/26,1:45,2419
2016/4/26,1:50,2411
2016/4/26,1:55,2406
2016/4/26,2:00,2397
2016/4/26,2:05,2406
2016/4/26,2:10,2422
2016/4/26,2:15,2419
2016/4/26,2:20,2408
2016/4/26,2:25,2401
2016/4/26,2:30,2402
2016/4/26,2:35,2402
2016/4/26,2:40,2424
2016/4/26,2:45,2413
2016/4/26,2:50,2408
2016/4/26,2:55,2412
2016/4/26,3:00,2416
2016/4/26,3:05,2427
2016/4/26,3:10,2432
2016/4/26,3:15,2439
2016/4/26,3:20,2443
2016/4/26,3:25,2436
2016/4/26,3:30,2431
2016/4/26,3:35,2431
2016/4/26,3:40,2426
2016/4/26,3:45,2432
2016/4/26,3:50,2437
2016/4/26,3:55,2434
2016/4/26,4:00,2438
2016/4/26,4:05,2452
2016/4/26,4:10,2456
2016/4/26,4:15,2465
2016/4/26,4:20,2464
2016/4/26,4:25,2462
2016/4/26,4:30,2455
2016/4/26,4:35,2466
2016/4/26,4:40,2472
2016/4/26,4:45,2485
