2016/8/21 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4676,19:00～20:00,8/21,8:30,18,85

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3975,19:00～20:00,8/21,8:30

DATE,TIME,当日実績(万kW),予測値（万kW),使用率(%)
2016/8/21,0:00,2694,0,58
2016/8/21,1:00,2494,0,53
2016/8/21,2:00,2378,0,51
2016/8/21,3:00,2324,0,50
2016/8/21,4:00,2326,0,50
2016/8/21,5:00,2317,0,50
2016/8/21,6:00,2363,0,51
2016/8/21,7:00,2594,0,55
2016/8/21,8:00,2946,0,63
2016/8/21,9:00,3361,0,72
2016/8/21,10:00,3552,0,76
2016/8/21,11:00,3698,0,79
2016/8/21,12:00,3786,0,81
2016/8/21,13:00,3906,0,84
2016/8/21,14:00,3898,0,83
2016/8/21,15:00,3862,0,83
2016/8/21,16:00,3804,0,81
2016/8/21,17:00,3775,0,81
2016/8/21,18:00,3922,0,84
2016/8/21,19:00,3929,0,84
2016/8/21,20:00,3768,0,81
2016/8/21,21:00,3586,0,77
2016/8/21,22:00,3419,0,73
2016/8/21,23:00,3171,0,68

最大使用率(%),時間帯
84,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
5242,11:00～12:00,8/21,17:30,19,84

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
4403,11:00～12:00,8/21,17:30

DATE,TIME,当日実績（５分間隔値）(万kW)
2016/8/21,0:00,2809
2016/8/21,0:05,2806
2016/8/21,0:10,2788
2016/8/21,0:15,2764
2016/8/21,0:20,2730
2016/8/21,0:25,2702
2016/8/21,0:30,2676
2016/8/21,0:35,2643
2016/8/21,0:40,2627
2016/8/21,0:45,2605
2016/8/21,0:50,2606
2016/8/21,0:55,2569
2016/8/21,1:00,2564
2016/8/21,1:05,2560
2016/8/21,1:10,2548
2016/8/21,1:15,2522
2016/8/21,1:20,2500
2016/8/21,1:25,2500
2016/8/21,1:30,2489
2016/8/21,1:35,2476
2016/8/21,1:40,2461
2016/8/21,1:45,2437
2016/8/21,1:50,2445
2016/8/21,1:55,2429
2016/8/21,2:00,2428
2016/8/21,2:05,2408
2016/8/21,2:10,2376
2016/8/21,2:15,2378
2016/8/21,2:20,2376
2016/8/21,2:25,2363
2016/8/21,2:30,2367
2016/8/21,2:35,2361
2016/8/21,2:40,2369
2016/8/21,2:45,2370
2016/8/21,2:50,2374
2016/8/21,2:55,2370
2016/8/21,3:00,2339
2016/8/21,3:05,2346
2016/8/21,3:10,2314
2016/8/21,3:15,2328
2016/8/21,3:20,2311
2016/8/21,3:25,2322
2016/8/21,3:30,2325
2016/8/21,3:35,2314
2016/8/21,3:40,2311
2016/8/21,3:45,2327
2016/8/21,3:50,2318
2016/8/21,3:55,2337
2016/8/21,4:00,2337
2016/8/21,4:05,2326
2016/8/21,4:10,2328
2016/8/21,4:15,2304
2016/8/21,4:20,2307
2016/8/21,4:25,2312
2016/8/21,4:30,2330
2016/8/21,4:35,2331
2016/8/21,4:40,2331
2016/8/21,4:45,2330
2016/8/21,4:50,2341
