2020/9/24 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4326,16:00～17:00,9/24,8:40,21,82

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3573,16:00～17:00,9/24,8:40

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
4295,17:00～18:00,9/24,8:40,21,82

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
3547,17:00～18:00,9/24,8:40

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/9/24,0:00,2476,2472,72,3431
2020/9/24,1:00,2340,2340,69,3346
2020/9/24,2:00,2299,2312,68,3341
2020/9/24,3:00,2324,2333,70,3311
2020/9/24,4:00,2357,2379,71,3308
2020/9/24,5:00,2416,2433,70,3403
2020/9/24,6:00,2554,2574,71,3584
2020/9/24,7:00,2795,2841,74,3745
2020/9/24,8:00,3119,3191,78,3966
2020/9/24,9:00,3342,3431,77,4321
2020/9/24,10:00,3389,3513,75,4465
2020/9/24,11:00,3403,3548,75,4492
2020/9/24,12:00,3279,3390,72,4505
2020/9/24,13:00,3381,3519,76,4445
2020/9/24,14:00,3399,3530,77,4375
2020/9/24,15:00,3396,3533,78,4303
2020/9/24,16:00,3439,3573,79,4326
2020/9/24,17:00,3426,3547,79,4295
2020/9/24,18:00,3395,3472,79,4292
2020/9/24,19:00,3238,3292,75,4307
2020/9/24,20:00,3066,3115,71,4264
2020/9/24,21:00,2896,2937,70,4131
2020/9/24,22:00,2775,2818,70,3933
2020/9/24,23:00,2632,2664,70,3740

最大使用率(%),時間帯
79,18:00～19:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4245,16:00～17:00,9/24,17:40,19,84

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3581,11:00～12:00,9/24,17:40

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
4245,16:00～17:00,9/24,17:40,19,84

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
3576,16:00～17:00,9/24,17:40

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2020/9/24,0:00,2571,0
2020/9/24,0:05,2547,0
2020/9/24,0:10,2532,0
2020/9/24,0:15,2509,0
2020/9/24,0:20,2494,0
2020/9/24,0:25,2486,0
2020/9/24,0:30,2481,0
2020/9/24,0:35,2463,0
2020/9/24,0:40,2423,0
2020/9/24,0:45,2427,0
2020/9/24,0:50,2391,0
2020/9/24,0:55,2385,0
2020/9/24,1:00,2385,0
2020/9/24,1:05,2373,0
2020/9/24,1:10,2365,0
2020/9/24,1:15,2341,0
2020/9/24,1:20,2345,0
2020/9/24,1:25,2342,0
2020/9/24,1:30,2336,0
2020/9/24,1:35,2332,0
2020/9/24,1:40,2333,0
2020/9/24,1:45,2314,0
2020/9/24,1:50,2306,0
2020/9/24,1:55,2309,0
2020/9/24,2:00,2307,0
2020/9/24,2:05,2310,0
2020/9/24,2:10,2300,0
2020/9/24,2:15,2294,0
2020/9/24,2:20,2291,0
2020/9/24,2:25,2298,0
2020/9/24,2:30,2294,0
2020/9/24,2:35,2298,0
2020/9/24,2:40,2287,0
2020/9/24,2:45,2305,0
2020/9/24,2:50,2300,0
2020/9/24,2:55,2307,0
2020/9/24,3:00,2298,0
2020/9/24,3:05,2315,0
2020/9/24,3:10,2319,0
2020/9/24,3:15,2313,0
2020/9/24,3:20,2311,0
2020/9/24,3:25,2325,0
2020/9/24,3:30,2323,0
2020/9/24,3:35,2332,0
2020/9/24,3:40,2331,0
2020/9/24,3:45,2340,0
2020/9/24,3:50,2334,0
2020/9/24,3:55,2345,0
2020/9/24,4:00,2341,0
2020/9/24,4:05,2341,0
2020/9/24,4:10,2346,0
2020/9/24,4:15,2343,0
2020/9/24,4:20,2341,0
2020/9/24,4:25,2360,0
2020/9/24,4:30,2361,0
2020/9/24,4:35,2362,0
2020/9/24,4:40,2369,0
2020/9/24,4:45,2376,0
2020/9/24,4:50,2364,0
2020/9/24,4:55,2380,0
2020/9/24,5:00,2383,0
2020/9/24,5:05,2397,0
2020/9/24,5:10,2404,0
2020/9/24,5:15,2403,0
2020/9/24,5:20,2406,0
2020/9/24,5:25,2411,0
2020/9/24,5:30,2418,0
2020/9/24,5:35,2428,0
2020/9/24,5:40,2433,0
2020/9/24,5:45,2425,1
2020/9/24,5:50,2441,3
2020/9/24,5:55,2440,5
2020/9/24,6:00,2464,8
2020/9/24,6:05,2486,12
2020/9/24,6:10,2506,17
2020/9/24,6:15,2508,21
2020/9/24,6:20,2520,24
2020/9/24,6:25,2546,29
2020/9/24,6:30,2552,34
2020/9/24,6:35,2585,40
2020/9/24,6:40,2596,46
2020/9/24,6:45,2606,52
2020/9/24,6:50,2633,58
2020/9/24,6:55,2652,64
2020/9/24,7:00,2673,72
2020/9/24,7:05,2713,78
2020/9/24,7:10,2742,84
2020/9/24,7:15,2744,91
2020/9/24,7:20,2760,98
2020/9/24,7:25,2783,105
2020/9/24,7:30,2791,111
2020/9/24,7:35,2824,119
2020/9/24,7:40,2835,127
2020/9/24,7:45,2871,137
2020/9/24,7:50,2894,146
2020/9/24,7:55,2909,147
2020/9/24,8:00,2951,147
2020/9/24,8:05,2993,144
2020/9/24,8:10,3014,146
2020/9/24,8:15,3039,152
2020/9/24,8:20,3077,155
2020/9/24,8:25,3102,157
2020/9/24,8:30,3143,160
2020/9/24,8:35,3185,160
2020/9/24,8:40,3180,163
2020/9/24,8:45,3230,163
2020/9/24,8:50,3262,162
2020/9/24,8:55,3252,153
2020/9/24,9:00,3268,149
2020/9/24,9:05,3301,142
2020/9/24,9:10,3298,135
2020/9/24,9:15,3307,136
2020/9/24,9:20,3331,139
2020/9/24,9:25,3337,147
2020/9/24,9:30,3347,156
2020/9/24,9:35,3375,162
2020/9/24,9:40,3371,165
2020/9/24,9:45,3386,165
2020/9/24,9:50,3405,168
2020/9/24,9:55,3380,170
2020/9/24,10:00,3385,171
2020/9/24,10:05,3379,173
2020/9/24,10:10,3362,175
2020/9/24,10:15,3386,180
2020/9/24,10:20,3392,185
2020/9/24,10:25,3397,189
2020/9/24,10:30,3407,196
2020/9/24,10:35,3405,198
2020/9/24,10:40,3396,200
2020/9/24,10:45,3394,203
2020/9/24,10:50,3391,207
2020/9/24,10:55,3380,211
2020/9/24,11:00,3397,216
2020/9/24,11:05,3401,223
2020/9/24,11:10,3408,230
