2016/4/4 0:02 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1131,18:00～19:00,4月2日,18:37,20.8,83

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
936,18:00～19:00,4月2日,18:37

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/4/3,0:00,766,0,68
2016/4/3,1:00,783,0,69
2016/4/3,2:00,802,0,71
2016/4/3,3:00,822,0,73
2016/4/3,4:00,842,0,74
2016/4/3,5:00,842,0,74
2016/4/3,6:00,813,0,72
2016/4/3,7:00,758,0,67
2016/4/3,8:00,764,0,68
2016/4/3,9:00,785,0,69
2016/4/3,10:00,787,0,70
2016/4/3,11:00,783,0,69
2016/4/3,12:00,779,0,69
2016/4/3,13:00,781,0,69
2016/4/3,14:00,777,0,69
2016/4/3,15:00,781,0,69
2016/4/3,16:00,811,0,72
2016/4/3,17:00,870,0,77
2016/4/3,18:00,923,0,82
2016/4/3,19:00,910,0,80
2016/4/3,20:00,879,0,78
2016/4/3,21:00,830,0,73
2016/4/3,22:00,780,0,69
2016/4/3,23:00,759,0,67

最大使用率(%),時間帯
82,18:00～19:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1241,18:00～19:00,4月3日,18:42,18.0,85

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1052,18:00～19:00,4月3日,18:42

DATE,TIME,当日実績(5分間隔値)(万kW)
2016/4/3,0:00,788
2016/4/3,0:05,781
2016/4/3,0:10,773
2016/4/3,0:15,762
2016/4/3,0:20,767
2016/4/3,0:25,764
2016/4/3,0:30,765
2016/4/3,0:35,761
2016/4/3,0:40,757
2016/4/3,0:45,758
2016/4/3,0:50,761
2016/4/3,0:55,763
2016/4/3,1:00,761
2016/4/3,1:05,764
2016/4/3,1:10,764
2016/4/3,1:15,776
2016/4/3,1:20,783
2016/4/3,1:25,791
2016/4/3,1:30,793
2016/4/3,1:35,798
2016/4/3,1:40,794
2016/4/3,1:45,789
2016/4/3,1:50,790
2016/4/3,1:55,784
2016/4/3,2:00,789
2016/4/3,2:05,789
2016/4/3,2:10,789
2016/4/3,2:15,791
2016/4/3,2:20,799
2016/4/3,2:25,801
2016/4/3,2:30,806
2016/4/3,2:35,807
2016/4/3,2:40,811
2016/4/3,2:45,810
2016/4/3,2:50,810
2016/4/3,2:55,812
2016/4/3,3:00,815
2016/4/3,3:05,815
2016/4/3,3:10,814
2016/4/3,3:15,814
2016/4/3,3:20,819
2016/4/3,3:25,817
2016/4/3,3:30,825
2016/4/3,3:35,823
2016/4/3,3:40,826
2016/4/3,3:45,822
2016/4/3,3:50,832
2016/4/3,3:55,832
2016/4/3,4:00,838
2016/4/3,4:05,840
2016/4/3,4:10,840
2016/4/3,4:15,836
2016/4/3,4:20,841
2016/4/3,4:25,837
2016/4/3,4:30,842
2016/4/3,4:35,848
2016/4/3,4:40,850
2016/4/3,4:45,841
2016/4/3,4:50,848
2016/4/3,4:55,843
2016/4/3,5:00,842
2016/4/3,5:05,847
2016/4/3,5:10,840
2016/4/3,5:15,839
2016/4/3,5:20,846
2016/4/3,5:25,842
2016/4/3,5:30,845
2016/4/3,5:35,847
2016/4/3,5:40,842
2016/4/3,5:45,842
2016/4/3,5:50,839
2016/4/3,5:55,837
2016/4/3,6:00,835
2016/4/3,6:05,841
2016/4/3,6:10,836
2016/4/3,6:15,834
2016/4/3,6:20,829
2016/4/3,6:25,821
2016/4/3,6:30,809
2016/4/3,6:35,817
2016/4/3,6:40,811
2016/4/3,6:45,799
2016/4/3,6:50,790
2016/4/3,6:55,773
2016/4/3,7:00,766
2016/4/3,7:05,763
2016/4/3,7:10,768
2016/4/3,7:15,756
2016/4/3,7:20,754
2016/4/3,7:25,750
2016/4/3,7:30,748
2016/4/3,7:35,768
2016/4/3,7:40,758
2016/4/3,7:45,765
2016/4/3,7:50,758
2016/4/3,7:55,747
2016/4/3,8:00,748
2016/4/3,8:05,760
2016/4/3,8:10,752
2016/4/3,8:15,756
2016/4/3,8:20,754
2016/4/3,8:25,758
2016/4/3,8:30,761
2016/4/3,8:35,774
2016/4/3,8:40,780
2016/4/3,8:45,775
2016/4/3,8:50,776
2016/4/3,8:55,768
2016/4/3,9:00,772
2016/4/3,9:05,784
2016/4/3,9:10,788
2016/4/3,9:15,787
2016/4/3,9:20,792
2016/4/3,9:25,781
2016/4/3,9:30,786
2016/4/3,9:35,792
2016/4/3,9:40,791
2016/4/3,9:45,790
2016/4/3,9:50,769
2016/4/3,9:55,779
2016/4/3,10:00,780
2016/4/3,10:05,790
2016/4/3,10:10,784
2016/4/3,10:15,789
