2018/5/18 16:34 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1237,11:00～12:00,5月17日,7:17,26,79

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
979,11:00～12:00,5月17日,7:17

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2018/5/17,0:00,743,748,60
2018/5/17,1:00,748,746,60
2018/5/17,2:00,767,768,62
2018/5/17,3:00,784,786,63
2018/5/17,4:00,777,786,63
2018/5/17,5:00,777,787,63
2018/5/17,6:00,805,802,65
2018/5/17,7:00,828,843,67
2018/5/17,8:00,893,904,72
2018/5/17,9:00,936,959,76
2018/5/17,10:00,963,978,78
2018/5/17,11:00,964,979,78
2018/5/17,12:00,900,907,73
2018/5/17,13:00,941,965,76
2018/5/17,14:00,954,978,77
2018/5/17,15:00,955,967,77
2018/5/17,16:00,980,971,79
2018/5/17,17:00,952,944,77
2018/5/17,18:00,936,932,76
2018/5/17,19:00,914,913,74
2018/5/17,20:00,871,869,70
2018/5/17,21:00,824,826,67
2018/5/17,22:00,807,807,65
2018/5/17,23:00,781,778,63

最大使用率(%),時間帯
79,16:00～17:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
996,11:00～12:00,,

DATE,TIME,当日実績(5分間隔値)(万kW)
2018/5/17,0:00,767
2018/5/17,0:05,753
2018/5/17,0:10,755
2018/5/17,0:15,749
2018/5/17,0:20,749
2018/5/17,0:25,743
2018/5/17,0:30,741
2018/5/17,0:35,737
2018/5/17,0:40,737
2018/5/17,0:45,732
2018/5/17,0:50,729
2018/5/17,0:55,733
2018/5/17,1:00,740
2018/5/17,1:05,745
2018/5/17,1:10,747
2018/5/17,1:15,747
2018/5/17,1:20,744
2018/5/17,1:25,744
2018/5/17,1:30,744
2018/5/17,1:35,749
2018/5/17,1:40,741
2018/5/17,1:45,749
2018/5/17,1:50,752
2018/5/17,1:55,760
2018/5/17,2:00,756
2018/5/17,2:05,758
2018/5/17,2:10,759
2018/5/17,2:15,765
2018/5/17,2:20,768
2018/5/17,2:25,762
2018/5/17,2:30,763
2018/5/17,2:35,768
2018/5/17,2:40,770
2018/5/17,2:45,772
2018/5/17,2:50,776
2018/5/17,2:55,779
2018/5/17,3:00,780
2018/5/17,3:05,786
2018/5/17,3:10,789
2018/5/17,3:15,783
2018/5/17,3:20,781
2018/5/17,3:25,784
2018/5/17,3:30,785
2018/5/17,3:35,787
2018/5/17,3:40,788
2018/5/17,3:45,784
2018/5/17,3:50,781
2018/5/17,3:55,783
2018/5/17,4:00,785
2018/5/17,4:05,785
2018/5/17,4:10,776
2018/5/17,4:15,777
2018/5/17,4:20,780
2018/5/17,4:25,782
2018/5/17,4:30,781
2018/5/17,4:35,775
2018/5/17,4:40,775
2018/5/17,4:45,773
2018/5/17,4:50,773
2018/5/17,4:55,769
2018/5/17,5:00,768
2018/5/17,5:05,769
2018/5/17,5:10,777
2018/5/17,5:15,779
2018/5/17,5:20,779
2018/5/17,5:25,780
2018/5/17,5:30,776
2018/5/17,5:35,774
2018/5/17,5:40,778
2018/5/17,5:45,778
2018/5/17,5:50,783
2018/5/17,5:55,778
2018/5/17,6:00,780
2018/5/17,6:05,794
2018/5/17,6:10,798
2018/5/17,6:15,806
2018/5/17,6:20,804
2018/5/17,6:25,811
2018/5/17,6:30,809
2018/5/17,6:35,809
2018/5/17,6:40,811
2018/5/17,6:45,807
2018/5/17,6:50,806
2018/5/17,6:55,806
2018/5/17,7:00,812
2018/5/17,7:05,812
2018/5/17,7:10,818
2018/5/17,7:15,819
2018/5/17,7:20,820
2018/5/17,7:25,830
2018/5/17,7:30,829
2018/5/17,7:35,833
2018/5/17,7:40,827
2018/5/17,7:45,841
2018/5/17,7:50,829
2018/5/17,7:55,842
2018/5/17,8:00,860
2018/5/17,8:05,854
2018/5/17,8:10,867
2018/5/17,8:15,880
2018/5/17,8:20,889
2018/5/17,8:25,895
2018/5/17,8:30,903
2018/5/17,8:35,905
2018/5/17,8:40,910
2018/5/17,8:45,905
2018/5/17,8:50,908
2018/5/17,8:55,912
2018/5/17,9:00,923
2018/5/17,9:05,926
2018/5/17,9:10,926
2018/5/17,9:15,929
2018/5/17,9:20,928
2018/5/17,9:25,929
2018/5/17,9:30,938
2018/5/17,9:35,941
2018/5/17,9:40,945
2018/5/17,9:45,943
2018/5/17,9:50,939
2018/5/17,9:55,950
2018/5/17,10:00,952
2018/5/17,10:05,948
2018/5/17,10:10,953
2018/5/17,10:15,960
2018/5/17,10:20,966
2018/5/17,10:25,967
2018/5/17,10:30,962
2018/5/17,10:35,964
2018/5/17,10:40,963
2018/5/17,10:45,965
2018/5/17,10:50,970
2018/5/17,10:55,973
2018/5/17,11:00,973
2018/5/17,11:05,973
2018/5/17,11:10,971
2018/5/17,11:15,968
2018/5/17,11:20,966
2018/5/17,11:25,966
2018/5/17,11:30,966
2018/5/17,11:35,965
2018/5/17,11:40,962
2018/5/17,11:45,961
2018/5/17,11:50,952
2018/5/17,11:55,956
2018/5/17,12:00,943
2018/5/17,12:05,925
2018/5/17,12:10,913
2018/5/17,12:15,891
2018/5/17,12:20,892
2018/5/17,12:25,887
2018/5/17,12:30,879
2018/5/17,12:35,882
2018/5/17,12:40,886
2018/5/17,12:45,893
2018/5/17,12:50,901
2018/5/17,12:55,915
2018/5/17,13:00,922
2018/5/17,13:05,931
2018/5/17,13:10,931
2018/5/17,13:15,931
2018/5/17,13:20,936
2018/5/17,13:25,939
2018/5/17,13:30,933
2018/5/17,13:35,943
2018/5/17,13:40,945
2018/5/17,13:45,955
2018/5/17,13:50,950
2018/5/17,13:55,961
2018/5/17,14:00,954
2018/5/17,14:05,954
2018/5/17,14:10,954
2018/5/17,14:15,951
2018/5/17,14:20,956
2018/5/17,14:25,953
2018/5/17,14:30,952
2018/5/17,14:35,952
2018/5/17,14:40,952
2018/5/17,14:45,959
2018/5/17,14:50,955
2018/5/17,14:55,955
2018/5/17,15:00,948
2018/5/17,15:05,936
2018/5/17,15:10,938
2018/5/17,15:15,939
2018/5/17,15:20,948
2018/5/17,15:25,950
2018/5/17,15:30,946
2018/5/17,15:35,956
2018/5/17,15:40,964
2018/5/17,15:45,973
2018/5/17,15:50,970
2018/5/17,15:55,977
2018/5/17,16:00,976
2018/5/17,16:05,978
2018/5/17,16:10,979
2018/5/17,16:15,979
2018/5/17,16:20,982
