2018/6/3 0:02 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1075,16:00～17:00,6月2日,8:07,21,82

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
886,11:00～12:00,6月2日,8:07

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2018/6/2,0:00,720,756,67
2018/6/2,1:00,711,752,66
2018/6/2,2:00,736,770,68
2018/6/2,3:00,760,786,71
2018/6/2,4:00,755,767,70
2018/6/2,5:00,737,747,69
2018/6/2,6:00,722,746,67
2018/6/2,7:00,727,771,68
2018/6/2,8:00,778,814,72
2018/6/2,9:00,833,858,77
2018/6/2,10:00,855,872,80
2018/6/2,11:00,864,886,80
2018/6/2,12:00,835,867,78
2018/6/2,13:00,842,875,78
2018/6/2,14:00,853,878,79
2018/6/2,15:00,855,875,80
2018/6/2,16:00,880,886,82
2018/6/2,17:00,872,877,81
2018/6/2,18:00,858,863,80
2018/6/2,19:00,863,874,80
2018/6/2,20:00,830,837,77
2018/6/2,21:00,784,786,73
2018/6/2,22:00,741,747,69
2018/6/2,23:00,708,721,66

最大使用率(%),時間帯
82,16:00～17:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
997,19:00～20:00,6月2日,19:42,15,87

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
867,19:00～20:00,6月2日,19:42

DATE,TIME,当日実績(5分間隔値)(万kW)
2018/6/2,0:00,737
2018/6/2,0:05,734
2018/6/2,0:10,733
2018/6/2,0:15,728
2018/6/2,0:20,723
2018/6/2,0:25,719
2018/6/2,0:30,712
2018/6/2,0:35,716
2018/6/2,0:40,715
2018/6/2,0:45,710
2018/6/2,0:50,712
2018/6/2,0:55,712
2018/6/2,1:00,713
2018/6/2,1:05,712
2018/6/2,1:10,708
2018/6/2,1:15,712
2018/6/2,1:20,711
2018/6/2,1:25,710
2018/6/2,1:30,707
2018/6/2,1:35,703
2018/6/2,1:40,711
2018/6/2,1:45,715
2018/6/2,1:50,715
2018/6/2,1:55,709
2018/6/2,2:00,719
2018/6/2,2:05,723
2018/6/2,2:10,727
2018/6/2,2:15,726
2018/6/2,2:20,735
2018/6/2,2:25,735
2018/6/2,2:30,739
2018/6/2,2:35,740
2018/6/2,2:40,738
2018/6/2,2:45,746
2018/6/2,2:50,744
2018/6/2,2:55,748
2018/6/2,3:00,750
2018/6/2,3:05,758
2018/6/2,3:10,758
2018/6/2,3:15,754
2018/6/2,3:20,762
2018/6/2,3:25,764
2018/6/2,3:30,761
2018/6/2,3:35,761
2018/6/2,3:40,761
2018/6/2,3:45,759
2018/6/2,3:50,762
2018/6/2,3:55,761
2018/6/2,4:00,759
2018/6/2,4:05,770
2018/6/2,4:10,765
2018/6/2,4:15,761
2018/6/2,4:20,758
2018/6/2,4:25,762
2018/6/2,4:30,762
2018/6/2,4:35,760
2018/6/2,4:40,756
2018/6/2,4:45,738
2018/6/2,4:50,738
2018/6/2,4:55,737
2018/6/2,5:00,737
2018/6/2,5:05,746
2018/6/2,5:10,754
2018/6/2,5:15,746
2018/6/2,5:20,747
2018/6/2,5:25,737
2018/6/2,5:30,742
2018/6/2,5:35,742
2018/6/2,5:40,732
2018/6/2,5:45,723
2018/6/2,5:50,728
2018/6/2,5:55,724
