2020/7/3 0:02 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1175,10:00～11:00,7月2日,11:57,18,85

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1000,14:00～15:00,7月2日,11:57

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1125,16:00～17:00,7月2日,13:17,17,86

使用率ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
964,16:00～17:00,7月2日,13:17

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/7/2,0:00,699,702,74,947
2020/7/2,1:00,689,691,73,944
2020/7/2,2:00,698,702,72,968
2020/7/2,3:00,724,727,73,998
2020/7/2,4:00,737,739,73,1005
2020/7/2,5:00,730,745,72,1007
2020/7/2,6:00,722,753,71,1019
2020/7/2,7:00,765,785,71,1071
2020/7/2,8:00,854,898,79,1083
2020/7/2,9:00,939,987,83,1132
2020/7/2,10:00,999,993,85,1175
2020/7/2,11:00,975,999,82,1187
2020/7/2,12:00,948,953,81,1176
2020/7/2,13:00,982,995,81,1212
2020/7/2,14:00,978,1000,83,1179
2020/7/2,15:00,952,977,83,1150
2020/7/2,16:00,967,980,86,1125
2020/7/2,17:00,922,918,86,1078
2020/7/2,18:00,899,880,86,1045
2020/7/2,19:00,881,862,86,1028
2020/7/2,20:00,837,822,84,994
2020/7/2,21:00,788,773,83,950
2020/7/2,22:00,755,749,78,971
2020/7/2,23:00,724,720,76,958

最大使用率(%),時間帯
86,16:00～17:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1188,11:00～12:00,7月2日,18:03,24,81

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
990,11:00～12:00,7月2日,18:03

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1027,18:00～19:00,7月2日,18:03,18,85

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
868,18:00～19:00,7月2日,18:03

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間隔値)(万kW),風力発電実績(5分間隔値)(万kW)
2020/7/2,0:00,719,0,6
2020/7/2,0:05,708,0,5
2020/7/2,0:10,706,0,5
2020/7/2,0:15,703,0,7
2020/7/2,0:20,706,0,7
2020/7/2,0:25,703,0,7
2020/7/2,0:30,702,0,6
2020/7/2,0:35,699,0,6
2020/7/2,0:40,692,0,6
2020/7/2,0:45,695,0,6
2020/7/2,0:50,686,0,6
2020/7/2,0:55,685,0,6
2020/7/2,1:00,681,0,6
2020/7/2,1:05,691,0,6
2020/7/2,1:10,695,0,6
2020/7/2,1:15,695,0,6
2020/7/2,1:20,692,0,6
2020/7/2,1:25,691,0,5
2020/7/2,1:30,687,0,5
2020/7/2,1:35,687,0,5
2020/7/2,1:40,691,0,6
2020/7/2,1:45,689,0,6
2020/7/2,1:50,683,0,7
2020/7/2,1:55,682,0,7
2020/7/2,2:00,689,0,8
2020/7/2,2:05,687,0,8
2020/7/2,2:10,691,0,7
2020/7/2,2:15,692,0,6
2020/7/2,2:20,696,0,6
2020/7/2,2:25,694,0,6
2020/7/2,2:30,701,0,6
2020/7/2,2:35,699,0,7
2020/7/2,2:40,705,0,6
2020/7/2,2:45,697,0,6
2020/7/2,2:50,704,0,6
2020/7/2,2:55,713,0,7
2020/7/2,3:00,714,0,7
2020/7/2,3:05,716,0,7
2020/7/2,3:10,719,0,7
2020/7/2,3:15,720,0,8
2020/7/2,3:20,721,0,8
2020/7/2,3:25,728,0,7
2020/7/2,3:30,721,0,6
2020/7/2,3:35,725,0,6
2020/7/2,3:40,724,0,6
2020/7/2,3:45,728,0,6
2020/7/2,3:50,727,0,7
2020/7/2,3:55,731,0,6
2020/7/2,4:00,734,0,6
2020/7/2,4:05,735,0,5
2020/7/2,4:10,734,0,4
2020/7/2,4:15,737,0,7
2020/7/2,4:20,738,0,8
2020/7/2,4:25,737,0,9
2020/7/2,4:30,735,0,9
2020/7/2,4:35,737,1,10
2020/7/2,4:40,744,1,10
2020/7/2,4:45,740,2,10
2020/7/2,4:50,740,4,9
2020/7/2,4:55,737,6,9
2020/7/2,5:00,733,7,11
2020/7/2,5:05,738,8,13
2020/7/2,5:10,741,10,14
2020/7/2,5:15,738,11,15
2020/7/2,5:20,732,13,16
2020/7/2,5:25,735,16,17
2020/7/2,5:30,732,17,19
2020/7/2,5:35,731,18,21
2020/7/2,5:40,724,20,23
2020/7/2,5:45,721,22,22
2020/7/2,5:50,722,26,24
2020/7/2,5:55,721,30,23
2020/7/2,6:00,723,33,22
