2020/12/21 7:17 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1578,9:00～10:00,12月21日,7:12,19,84

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1350,9:00～10:00,12月21日,7:12

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1203,1:00～2:00,12月21日,7:12,10,91

使用率ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1090,1:00～2:00,12月21日,7:12

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/12/21,0:00,1058,1060,90,1173
2020/12/21,1:00,1091,1090,91,1203
2020/12/21,2:00,1112,1125,90,1240
2020/12/21,3:00,1138,1156,89,1274
2020/12/21,4:00,1158,1178,89,1303
2020/12/21,5:00,1196,1204,87,1372
2020/12/21,6:00,1241,1254,88,1416
2020/12/21,7:00,0,1265,0,1380
2020/12/21,8:00,0,1322,0,1511
2020/12/21,9:00,0,1350,0,1578
2020/12/21,10:00,0,1339,0,1607
2020/12/21,11:00,0,1284,0,1563
2020/12/21,12:00,0,1234,0,1527
2020/12/21,13:00,0,1263,0,1528
2020/12/21,14:00,0,1273,0,1481
2020/12/21,15:00,0,1257,0,1486
2020/12/21,16:00,0,1276,0,1499
2020/12/21,17:00,0,1317,0,1482
2020/12/21,18:00,0,1308,0,1472
2020/12/21,19:00,0,1264,0,1448
2020/12/21,20:00,0,1213,0,1414
2020/12/21,21:00,0,1162,0,1348
2020/12/21,22:00,0,1133,0,1369
2020/12/21,23:00,0,1109,0,1370

最大使用率(%),時間帯
91,1:00～2:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間隔値)(万kW),風力発電実績(5分間隔値)(万kW)
2020/12/21,0:00,1062,0,104
2020/12/21,0:05,1061,0,105
2020/12/21,0:10,1062,0,104
2020/12/21,0:15,1065,0,103
2020/12/21,0:20,1061,0,106
2020/12/21,0:25,1059,0,106
2020/12/21,0:30,1054,0,105
2020/12/21,0:35,1054,0,107
2020/12/21,0:40,1055,0,109
2020/12/21,0:45,1060,0,106
2020/12/21,0:50,1055,0,106
2020/12/21,0:55,1052,0,108
2020/12/21,1:00,1061,0,108
2020/12/21,1:05,1071,0,107
2020/12/21,1:10,1071,0,110
2020/12/21,1:15,1080,0,110
2020/12/21,1:20,1089,0,110
2020/12/21,1:25,1090,0,111
2020/12/21,1:30,1084,0,112
2020/12/21,1:35,1098,0,114
2020/12/21,1:40,1103,0,115
2020/12/21,1:45,1109,0,114
2020/12/21,1:50,1107,0,113
2020/12/21,1:55,1106,0,114
2020/12/21,2:00,1101,0,115
2020/12/21,2:05,1106,0,115
2020/12/21,2:10,1112,0,115
2020/12/21,2:15,1113,0,115
2020/12/21,2:20,1114,0,116
2020/12/21,2:25,1115,0,114
2020/12/21,2:30,1110,0,117
2020/12/21,2:35,1118,0,117
2020/12/21,2:40,1110,0,118
2020/12/21,2:45,1113,0,118
2020/12/21,2:50,1110,0,119
2020/12/21,2:55,1111,0,118
2020/12/21,3:00,1124,0,117
2020/12/21,3:05,1134,0,117
2020/12/21,3:10,1132,0,119
2020/12/21,3:15,1134,0,118
2020/12/21,3:20,1138,0,118
2020/12/21,3:25,1140,0,119
2020/12/21,3:30,1142,0,118
2020/12/21,3:35,1145,0,119
2020/12/21,3:40,1142,0,119
2020/12/21,3:45,1141,0,120
2020/12/21,3:50,1137,0,120
2020/12/21,3:55,1139,0,120
2020/12/21,4:00,1136,0,118
2020/12/21,4:05,1148,0,117
2020/12/21,4:10,1152,0,117
2020/12/21,4:15,1152,0,117
2020/12/21,4:20,1152,0,119
2020/12/21,4:25,1153,0,119
2020/12/21,4:30,1151,0,117
2020/12/21,4:35,1157,0,119
2020/12/21,4:40,1162,0,119
2020/12/21,4:45,1171,0,118
2020/12/21,4:50,1169,0,118
2020/12/21,4:55,1174,0,120
2020/12/21,5:00,1178,0,121
2020/12/21,5:05,1181,0,121
2020/12/21,5:10,1192,0,119
2020/12/21,5:15,1190,0,121
2020/12/21,5:20,1193,0,121
2020/12/21,5:25,1189,0,120
2020/12/21,5:30,1190,0,119
2020/12/21,5:35,1197,0,121
2020/12/21,5:40,1202,0,120
2020/12/21,5:45,1205,0,119
2020/12/21,5:50,1209,0,117
2020/12/21,5:55,1213,0,117
2020/12/21,6:00,1210,0,115
2020/12/21,6:05,1217,0,114
2020/12/21,6:10,1234,0,115
2020/12/21,6:15,1241,0,116
2020/12/21,6:20,1226,0,117
2020/12/21,6:25,1234,0,118
2020/12/21,6:30,1232,0,118
2020/12/21,6:35,1259,0,117
2020/12/21,6:40,1263,0,116
2020/12/21,6:45,1260,0,115
2020/12/21,6:50,1252,0,115
2020/12/21,6:55,1243,0,115
2020/12/21,7:00,1238,0,114
2020/12/21,7:05,1211,1,116
2020/12/21,7:10,1224,2,114
2020/12/21,7:15,1218,3,113
2020/12/21,7:20,,,
2020/12/21,7:25,,,
2020/12/21,7:30,,,
2020/12/21,7:35,,,
2020/12/21,7:40,,,
2020/12/21,7:45,,,
2020/12/21,7:50,,,
2020/12/21,7:55,,,
2020/12/21,8:00,,,
2020/12/21,8:05,,,
2020/12/21,8:10,,,
2020/12/21,8:15,,,
2020/12/21,8:20,,,
2020/12/21,8:25,,,
2020/12/21,8:30,,,
2020/12/21,8:35,,,
2020/12/21,8:40,,,
2020/12/21,8:45,,,
2020/12/21,8:50,,,
2020/12/21,8:55,,,
2020/12/21,9:00,,,
2020/12/21,9:05,,,
2020/12/21,9:10,,,
2020/12/21,9:15,,,
2020/12/21,9:20,,,
2020/12/21,9:25,,,
2020/12/21,9:30,,,
2020/12/21,9:35,,,
2020/12/21,9:40,,,
2020/12/21,9:45,,,
2020/12/21,9:50,,,
2020/12/21,9:55,,,
2020/12/21,10:00,,,
2020/12/21,10:05,,,
2020/12/21,10:10,,,
2020/12/21,10:15,,,
2020/12/21,10:20,,,
2020/12/21,10:25,,,
2020/12/21,10:30,,,
2020/12/21,10:35,,,
2020/12/21,10:40,,,
2020/12/21,10:45,,,
2020/12/21,10:50,,,
2020/12/21,10:55,,,
2020/12/21,11:00,,,
2020/12/21,11:05,,,
2020/12/21,11:10,,,
2020/12/21,11:15,,,
2020/12/21,11:20,,,
2020/12/21,11:25,,,
2020/12/21,11:30,,,
2020/12/21,11:35,,,
2020/12/21,11:40,,,
2020/12/21,11:45,,,
2020/12/21,11:50,,,
2020/12/21,11:55,,,
2020/12/21,12:00,,,
2020/12/21,12:05,,,
2020/12/21,12:10,,,
2020/12/21,12:15,,,
2020/12/21,12:20,,,
2020/12/21,12:25,,,
2020/12/21,12:30,,,
2020/12/21,12:35,,,
2020/12/21,12:40,,,
2020/12/21,12:45,,,
2020/12/21,12:50,,,
2020/12/21,12:55,,,
2020/12/21,13:00,,,
2020/12/21,13:05,,,
2020/12/21,13:10,,,
2020/12/21,13:15,,,
2020/12/21,13:20,,,
2020/12/21,13:25,,,
2020/12/21,13:30,,,
2020/12/21,13:35,,,
2020/12/21,13:40,,,
2020/12/21,13:45,,,
2020/12/21,13:50,,,
2020/12/21,13:55,,,
2020/12/21,14:00,,,
2020/12/21,14:05,,,
2020/12/21,14:10,,,
2020/12/21,14:15,,,
2020/12/21,14:20,,,
2020/12/21,14:25,,,
2020/12/21,14:30,,,
2020/12/21,14:35,,,
2020/12/21,14:40,,,
2020/12/21,14:45,,,
2020/12/21,14:50,,,
2020/12/21,14:55,,,
2020/12/21,15:00,,,
2020/12/21,15:05,,,
2020/12/21,15:10,,,
2020/12/21,15:15,,,
2020/12/21,15:20,,,
2020/12/21,15:25,,,
2020/12/21,15:30,,,
2020/12/21,15:35,,,
2020/12/21,15:40,,,
2020/12/21,15:45,,,
2020/12/21,15:50,,,
2020/12/21,15:55,,,
2020/12/21,16:00,,,
2020/12/21,16:05,,,
2020/12/21,16:10,,,
2020/12/21,16:15,,,
2020/12/21,16:20,,,
2020/12/21,16:25,,,
2020/12/21,16:30,,,
2020/12/21,16:35,,,
2020/12/21,16:40,,,
2020/12/21,16:45,,,
2020/12/21,16:50,,,
2020/12/21,16:55,,,
2020/12/21,17:00,,,
2020/12/21,17:05,,,
2020/12/21,17:10,,,
2020/12/21,17:15,,,
2020/12/21,17:20,,,
2020/12/21,17:25,,,
2020/12/21,17:30,,,
2020/12/21,17:35,,,
2020/12/21,17:40,,,
2020/12/21,17:45,,,
2020/12/21,17:50,,,
2020/12/21,17:55,,,
2020/12/21,18:00,,,
2020/12/21,18:05,,,
2020/12/21,18:10,,,
2020/12/21,18:15,,,
2020/12/21,18:20,,,
2020/12/21,18:25,,,
2020/12/21,18:30,,,
2020/12/21,18:35,,,
2020/12/21,18:40,,,
2020/12/21,18:45,,,
2020/12/21,18:50,,,
2020/12/21,18:55,,,
2020/12/21,19:00,,,
2020/12/21,19:05,,,
2020/12/21,19:10,,,
2020/12/21,19:15,,,
2020/12/21,19:20,,,
2020/12/21,19:25,,,
2020/12/21,19:30,,,
2020/12/21,19:35,,,
2020/12/21,19:40,,,
2020/12/21,19:45,,,
2020/12/21,19:50,,,
2020/12/21,19:55,,,
2020/12/21,20:00,,,
2020/12/21,20:05,,,
2020/12/21,20:10,,,
2020/12/21,20:15,,,
2020/12/21,20:20,,,
2020/12/21,20:25,,,
2020/12/21,20:30,,,
2020/12/21,20:35,,,
2020/12/21,20:40,,,
2020/12/21,20:45,,,
2020/12/21,20:50,,,
2020/12/21,20:55,,,
2020/12/21,21:00,,,
2020/12/21,21:05,,,
2020/12/21,21:10,,,
2020/12/21,21:15,,,
2020/12/21,21:20,,,
2020/12/21,21:25,,,
2020/12/21,21:30,,,
2020/12/21,21:35,,,
2020/12/21,21:40,,,
2020/12/21,21:45,,,
2020/12/21,21:50,,,
2020/12/21,21:55,,,
2020/12/21,22:00,,,
2020/12/21,22:05,,,
2020/12/21,22:10,,,
2020/12/21,22:15,,,
2020/12/21,22:20,,,
2020/12/21,22:25,,,
2020/12/21,22:30,,,
2020/12/21,22:35,,,
2020/12/21,22:40,,,
2020/12/21,22:45,,,
2020/12/21,22:50,,,
2020/12/21,22:55,,,
2020/12/21,23:00,,,
2020/12/21,23:05,,,
2020/12/21,23:10,,,
2020/12/21,23:15,,,
2020/12/21,23:20,,,
2020/12/21,23:25,,,
2020/12/21,23:30,,,
2020/12/21,23:35,,,
2020/12/21,23:40,,,
2020/12/21,23:45,,,
2020/12/21,23:50,,,
2020/12/21,23:55,,,
