2016/09/06 00:04 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
996,14:00～15:00,09月05日,09:45,14,87

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
873,14:00～15:00,09月05日,09:45

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/9/5,0:00,586,574,58
2016/9/5,1:00,555,548,55
2016/9/5,2:00,570,567,57
2016/9/5,3:00,601,588,60
2016/9/5,4:00,612,598,61
2016/9/5,5:00,597,588,59
2016/9/5,6:00,626,598,62
2016/9/5,7:00,676,656,67
2016/9/5,8:00,778,760,78
2016/9/5,9:00,850,825,85
2016/9/5,10:00,856,851,85
2016/9/5,11:00,855,862,85
2016/9/5,12:00,795,821,79
2016/9/5,13:00,811,868,81
2016/9/5,14:00,823,873,82
2016/9/5,15:00,832,861,83
2016/9/5,16:00,839,844,84
2016/9/5,17:00,823,832,82
2016/9/5,18:00,809,820,81
2016/9/5,19:00,781,788,78
2016/9/5,20:00,737,742,73
2016/9/5,21:00,707,705,70
2016/9/5,22:00,681,673,68
2016/9/5,23:00,645,648,64

最大使用率(%),時間帯
85,10:00～11:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

DATE,TIME,当日実績(５分間隔値)(万kW)
2016/9/5,0:00,595
2016/9/5,0:05,595
2016/9/5,0:10,592
2016/9/5,0:15,593
2016/9/5,0:20,601
2016/9/5,0:25,599
2016/9/5,0:30,585
2016/9/5,0:35,580
2016/9/5,0:40,572
2016/9/5,0:45,578
2016/9/5,0:50,570
2016/9/5,0:55,570
2016/9/5,1:00,557
2016/9/5,1:05,553
2016/9/5,1:10,550
2016/9/5,1:15,547
2016/9/5,1:20,556
2016/9/5,1:25,563
2016/9/5,1:30,563
2016/9/5,1:35,563
2016/9/5,1:40,554
2016/9/5,1:45,554
2016/9/5,1:50,553
2016/9/5,1:55,550
2016/9/5,2:00,563
2016/9/5,2:05,570
2016/9/5,2:10,568
2016/9/5,2:15,566
2016/9/5,2:20,559
2016/9/5,2:25,563
2016/9/5,2:30,574
2016/9/5,2:35,573
2016/9/5,2:40,572
2016/9/5,2:45,578
2016/9/5,2:50,574
2016/9/5,2:55,580
2016/9/5,3:00,590
2016/9/5,3:05,594
2016/9/5,3:10,595
2016/9/5,3:15,600
2016/9/5,3:20,605
2016/9/5,3:25,599
2016/9/5,3:30,597
2016/9/5,3:35,597
2016/9/5,3:40,597
2016/9/5,3:45,609
2016/9/5,3:50,617
2016/9/5,3:55,615
2016/9/5,4:00,609
2016/9/5,4:05,612
2016/9/5,4:10,614
2016/9/5,4:15,621
2016/9/5,4:20,615
2016/9/5,4:25,609
2016/9/5,4:30,602
2016/9/5,4:35,603
2016/9/5,4:40,612
2016/9/5,4:45,619
2016/9/5,4:50,616
2016/9/5,4:55,615
2016/9/5,5:00,612
2016/9/5,5:05,606
2016/9/5,5:10,606
2016/9/5,5:15,599
2016/9/5,5:20,603
2016/9/5,5:25,597
2016/9/5,5:30,589
2016/9/5,5:35,584
2016/9/5,5:40,589
2016/9/5,5:45,585
2016/9/5,5:50,596
2016/9/5,5:55,600
2016/9/5,6:00,605
2016/9/5,6:05,607
2016/9/5,6:10,619
2016/9/5,6:15,624
2016/9/5,6:20,626
2016/9/5,6:25,621
2016/9/5,6:30,630
2016/9/5,6:35,625
2016/9/5,6:40,633
2016/9/5,6:45,635
2016/9/5,6:50,645
2016/9/5,6:55,645
2016/9/5,7:00,657
2016/9/5,7:05,664
2016/9/5,7:10,657
2016/9/5,7:15,667
2016/9/5,7:20,665
2016/9/5,7:25,669
2016/9/5,7:30,676
2016/9/5,7:35,679
2016/9/5,7:40,692
2016/9/5,7:45,696
2016/9/5,7:50,695
2016/9/5,7:55,694
2016/9/5,8:00,719
2016/9/5,8:05,734
2016/9/5,8:10,742
