2019/01/03 00:04 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
770,18:00～19:00,01月02日,11:10,13,88

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
682,18:00～19:00,01月02日,11:10

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2019/1/2,0:00,576,586,74
2019/1/2,1:00,577,583,74
2019/1/2,2:00,612,603,79
2019/1/2,3:00,624,603,81
2019/1/2,4:00,614,582,79
2019/1/2,5:00,590,557,76
2019/1/2,6:00,579,547,75
2019/1/2,7:00,618,590,80
2019/1/2,8:00,656,633,85
2019/1/2,9:00,654,645,84
2019/1/2,10:00,618,618,80
2019/1/2,11:00,598,587,77
2019/1/2,12:00,587,576,76
2019/1/2,13:00,561,573,72
2019/1/2,14:00,568,572,73
2019/1/2,15:00,582,577,75
2019/1/2,16:00,590,604,76
2019/1/2,17:00,655,643,85
2019/1/2,18:00,681,682,88
2019/1/2,19:00,686,670,89
2019/1/2,20:00,676,647,87
2019/1/2,21:00,662,633,85
2019/1/2,22:00,632,618,82
2019/1/2,23:00,624,606,81

最大使用率(%),時間帯
89,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
793,18:00～19:00,01月02日,17:10,12,89

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
711,18:00～19:00,01月02日,17:10

DATE,TIME,当日実績(５分間隔値)(万kW)
2019/1/2,0:00,581
2019/1/2,0:05,580
2019/1/2,0:10,580
2019/1/2,0:15,579
2019/1/2,0:20,572
2019/1/2,0:25,572
2019/1/2,0:30,577
2019/1/2,0:35,577
2019/1/2,0:40,574
2019/1/2,0:45,576
2019/1/2,0:50,571
2019/1/2,0:55,571
2019/1/2,1:00,569
2019/1/2,1:05,567
2019/1/2,1:10,570
2019/1/2,1:15,572
2019/1/2,1:20,573
2019/1/2,1:25,575
2019/1/2,1:30,577
2019/1/2,1:35,579
2019/1/2,1:40,582
2019/1/2,1:45,585
2019/1/2,1:50,589
2019/1/2,1:55,590
2019/1/2,2:00,596
2019/1/2,2:05,605
2019/1/2,2:10,608
2019/1/2,2:15,613
2019/1/2,2:20,613
2019/1/2,2:25,612
2019/1/2,2:30,611
2019/1/2,2:35,613
2019/1/2,2:40,615
2019/1/2,2:45,616
2019/1/2,2:50,620
2019/1/2,2:55,624
2019/1/2,3:00,623
2019/1/2,3:05,626
2019/1/2,3:10,624
2019/1/2,3:15,623
2019/1/2,3:20,625
2019/1/2,3:25,624
2019/1/2,3:30,621
2019/1/2,3:35,624
2019/1/2,3:40,622
2019/1/2,3:45,624
2019/1/2,3:50,625
2019/1/2,3:55,624
2019/1/2,4:00,625
2019/1/2,4:05,623
2019/1/2,4:10,624
2019/1/2,4:15,620
2019/1/2,4:20,612
2019/1/2,4:25,614
2019/1/2,4:30,613
2019/1/2,4:35,610
2019/1/2,4:40,610
2019/1/2,4:45,608
2019/1/2,4:50,607
2019/1/2,4:55,605
2019/1/2,5:00,602
2019/1/2,5:05,603
2019/1/2,5:10,602
2019/1/2,5:15,600
2019/1/2,5:20,598
2019/1/2,5:25,593
2019/1/2,5:30,589
2019/1/2,5:35,584
2019/1/2,5:40,581
2019/1/2,5:45,575
2019/1/2,5:50,575
2019/1/2,5:55,576
2019/1/2,6:00,577
2019/1/2,6:05,579
2019/1/2,6:10,580
2019/1/2,6:15,578
2019/1/2,6:20,576
2019/1/2,6:25,577
2019/1/2,6:30,576
2019/1/2,6:35,575
2019/1/2,6:40,582
2019/1/2,6:45,585
2019/1/2,6:50,582
2019/1/2,6:55,586
2019/1/2,7:00,594
2019/1/2,7:05,604
2019/1/2,7:10,607
2019/1/2,7:15,608
2019/1/2,7:20,615
2019/1/2,7:25,618
2019/1/2,7:30,624
2019/1/2,7:35,626
2019/1/2,7:40,627
2019/1/2,7:45,630
2019/1/2,7:50,629
2019/1/2,7:55,634
2019/1/2,8:00,641
2019/1/2,8:05,646
2019/1/2,8:10,636
2019/1/2,8:15,646
2019/1/2,8:20,649
2019/1/2,8:25,655
2019/1/2,8:30,669
2019/1/2,8:35,666
2019/1/2,8:40,669
2019/1/2,8:45,670
2019/1/2,8:50,664
2019/1/2,8:55,664
2019/1/2,9:00,668
2019/1/2,9:05,670
2019/1/2,9:10,666
2019/1/2,9:15,662
2019/1/2,9:20,657
2019/1/2,9:25,655
2019/1/2,9:30,656
2019/1/2,9:35,649
2019/1/2,9:40,649
2019/1/2,9:45,646
2019/1/2,9:50,636
2019/1/2,9:55,638
2019/1/2,10:00,639
2019/1/2,10:05,637
2019/1/2,10:10,632
2019/1/2,10:15,620
2019/1/2,10:20,613
2019/1/2,10:25,619
2019/1/2,10:30,622
2019/1/2,10:35,625
2019/1/2,10:40,610
2019/1/2,10:45,606
2019/1/2,10:50,598
2019/1/2,10:55,598
2019/1/2,11:00,602
2019/1/2,11:05,608
2019/1/2,11:10,604
2019/1/2,11:15,600
2019/1/2,11:20,601
2019/1/2,11:25,602
2019/1/2,11:30,591
2019/1/2,11:35,600
2019/1/2,11:40,592
2019/1/2,11:45,588
2019/1/2,11:50,590
2019/1/2,11:55,593
2019/1/2,12:00,602
2019/1/2,12:05,599
2019/1/2,12:10,594
2019/1/2,12:15,593
2019/1/2,12:20,589
2019/1/2,12:25,585
2019/1/2,12:30,581
2019/1/2,12:35,585
2019/1/2,12:40,579
2019/1/2,12:45,579
2019/1/2,12:50,577
2019/1/2,12:55,582
2019/1/2,13:00,568
2019/1/2,13:05,572
2019/1/2,13:10,565
2019/1/2,13:15,559
2019/1/2,13:20,562
2019/1/2,13:25,563
2019/1/2,13:30,561
2019/1/2,13:35,562
2019/1/2,13:40,555
2019/1/2,13:45,549
2019/1/2,13:50,550
2019/1/2,13:55,564
2019/1/2,14:00,559
2019/1/2,14:05,560
2019/1/2,14:10,562
2019/1/2,14:15,566
2019/1/2,14:20,569
2019/1/2,14:25,571
2019/1/2,14:30,567
2019/1/2,14:35,569
2019/1/2,14:40,566
2019/1/2,14:45,564
2019/1/2,14:50,574
2019/1/2,14:55,583
2019/1/2,15:00,577
2019/1/2,15:05,579
2019/1/2,15:10,583
2019/1/2,15:15,588
2019/1/2,15:20,585
2019/1/2,15:25,585
2019/1/2,15:30,579
2019/1/2,15:35,578
2019/1/2,15:40,578
2019/1/2,15:45,581
2019/1/2,15:50,587
2019/1/2,15:55,591
2019/1/2,16:00,583
2019/1/2,16:05,583
2019/1/2,16:10,578
2019/1/2,16:15,582
2019/1/2,16:20,580
2019/1/2,16:25,585
2019/1/2,16:30,580
2019/1/2,16:35,586
2019/1/2,16:40,598
2019/1/2,16:45,600
2019/1/2,16:50,607
2019/1/2,16:55,616
2019/1/2,17:00,623
2019/1/2,17:05,632
2019/1/2,17:10,635
2019/1/2,17:15,645
2019/1/2,17:20,650
2019/1/2,17:25,658
2019/1/2,17:30,663
2019/1/2,17:35,668
2019/1/2,17:40,673
2019/1/2,17:45,666
2019/1/2,17:50,672
2019/1/2,17:55,679
2019/1/2,18:00,679
2019/1/2,18:05,677
2019/1/2,18:10,677
2019/1/2,18:15,681
2019/1/2,18:20,679
2019/1/2,18:25,679
2019/1/2,18:30,678
2019/1/2,18:35,685
2019/1/2,18:40,686
2019/1/2,18:45,687
2019/1/2,18:50,685
2019/1/2,18:55,682
2019/1/2,19:00,690
2019/1/2,19:05,694
2019/1/2,19:10,687
2019/1/2,19:15,686
2019/1/2,19:20,685
2019/1/2,19:25,682
2019/1/2,19:30,687
2019/1/2,19:35,685
2019/1/2,19:40,685
2019/1/2,19:45,684
2019/1/2,19:50,681
2019/1/2,19:55,681
2019/1/2,20:00,678
2019/1/2,20:05,678
2019/1/2,20:10,677
2019/1/2,20:15,674
2019/1/2,20:20,673
