2019/05/10 00:05 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
809,10:00～11:00,05月09日,07:40,17,85

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
691,10:00～11:00,05月09日,07:40

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2019/5/9,0:00,545,549,67
2019/5/9,1:00,549,533,67
2019/5/9,2:00,587,571,72
2019/5/9,3:00,620,606,76
2019/5/9,4:00,624,617,77
2019/5/9,5:00,609,614,75
2019/5/9,6:00,619,609,76
2019/5/9,7:00,639,613,78
2019/5/9,8:00,680,654,84
2019/5/9,9:00,700,686,86
2019/5/9,10:00,689,691,85
2019/5/9,11:00,646,682,79
2019/5/9,12:00,600,640,74
2019/5/9,13:00,651,690,80
2019/5/9,14:00,645,689,79
2019/5/9,15:00,648,676,80
2019/5/9,16:00,666,673,82
2019/5/9,17:00,661,659,81
2019/5/9,18:00,663,670,81
2019/5/9,19:00,662,661,81
2019/5/9,20:00,635,640,78
2019/5/9,21:00,610,613,75
2019/5/9,22:00,584,582,72
2019/5/9,23:00,562,558,69

最大使用率(%),時間帯
86,09:00～10:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
694,16:00～17:00,,

DATE,TIME,当日実績(５分間隔値)(万kW)
2019/5/9,0:00,542
2019/5/9,0:05,548
2019/5/9,0:10,547
2019/5/9,0:15,554
2019/5/9,0:20,557
2019/5/9,0:25,551
2019/5/9,0:30,558
2019/5/9,0:35,541
2019/5/9,0:40,542
2019/5/9,0:45,537
2019/5/9,0:50,529
2019/5/9,0:55,536
2019/5/9,1:00,536
2019/5/9,1:05,533
2019/5/9,1:10,537
2019/5/9,1:15,544
2019/5/9,1:20,551
2019/5/9,1:25,551
2019/5/9,1:30,554
2019/5/9,1:35,559
2019/5/9,1:40,556
2019/5/9,1:45,560
2019/5/9,1:50,552
2019/5/9,1:55,560
2019/5/9,2:00,571
2019/5/9,2:05,575
2019/5/9,2:10,581
2019/5/9,2:15,576
2019/5/9,2:20,577
2019/5/9,2:25,581
2019/5/9,2:30,590
2019/5/9,2:35,591
2019/5/9,2:40,601
2019/5/9,2:45,596
2019/5/9,2:50,597
2019/5/9,2:55,602
2019/5/9,3:00,604
2019/5/9,3:05,603
2019/5/9,3:10,607
2019/5/9,3:15,617
2019/5/9,3:20,619
2019/5/9,3:25,619
2019/5/9,3:30,627
2019/5/9,3:35,634
2019/5/9,3:40,636
2019/5/9,3:45,627
2019/5/9,3:50,619
2019/5/9,3:55,625
2019/5/9,4:00,630
2019/5/9,4:05,627
2019/5/9,4:10,629
2019/5/9,4:15,627
2019/5/9,4:20,624
2019/5/9,4:25,623
2019/5/9,4:30,616
2019/5/9,4:35,624
2019/5/9,4:40,622
2019/5/9,4:45,627
2019/5/9,4:50,622
2019/5/9,4:55,613
2019/5/9,5:00,616
2019/5/9,5:05,616
2019/5/9,5:10,619
2019/5/9,5:15,617
2019/5/9,5:20,609
2019/5/9,5:25,608
2019/5/9,5:30,608
2019/5/9,5:35,612
2019/5/9,5:40,612
2019/5/9,5:45,603
2019/5/9,5:50,598
2019/5/9,5:55,595
2019/5/9,6:00,607
2019/5/9,6:05,613
2019/5/9,6:10,618
2019/5/9,6:15,614
2019/5/9,6:20,617
2019/5/9,6:25,613
2019/5/9,6:30,614
2019/5/9,6:35,622
2019/5/9,6:40,621
2019/5/9,6:45,626
2019/5/9,6:50,627
2019/5/9,6:55,638
2019/5/9,7:00,636
2019/5/9,7:05,638
2019/5/9,7:10,640
2019/5/9,7:15,635
2019/5/9,7:20,639
2019/5/9,7:25,642
2019/5/9,7:30,645
2019/5/9,7:35,639
2019/5/9,7:40,636
2019/5/9,7:45,637
2019/5/9,7:50,636
2019/5/9,7:55,640
2019/5/9,8:00,654
2019/5/9,8:05,661
2019/5/9,8:10,660
2019/5/9,8:15,669
2019/5/9,8:20,671
2019/5/9,8:25,675
2019/5/9,8:30,683
2019/5/9,8:35,689
2019/5/9,8:40,696
2019/5/9,8:45,696
2019/5/9,8:50,696
2019/5/9,8:55,705
2019/5/9,9:00,712
2019/5/9,9:05,702
2019/5/9,9:10,701
2019/5/9,9:15,701
2019/5/9,9:20,708
2019/5/9,9:25,705
2019/5/9,9:30,706
2019/5/9,9:35,699
2019/5/9,9:40,691
2019/5/9,9:45,686
2019/5/9,9:50,691
2019/5/9,9:55,696
2019/5/9,10:00,696
2019/5/9,10:05,699
2019/5/9,10:10,708
2019/5/9,10:15,702
2019/5/9,10:20,705
2019/5/9,10:25,703
2019/5/9,10:30,692
2019/5/9,10:35,687
2019/5/9,10:40,682
2019/5/9,10:45,669
2019/5/9,10:50,662
2019/5/9,10:55,666
2019/5/9,11:00,669
2019/5/9,11:05,674
2019/5/9,11:10,666
2019/5/9,11:15,661
2019/5/9,11:20,657
2019/5/9,11:25,646
2019/5/9,11:30,642
2019/5/9,11:35,638
2019/5/9,11:40,628
2019/5/9,11:45,626
2019/5/9,11:50,625
2019/5/9,11:55,622
2019/5/9,12:00,607
2019/5/9,12:05,603
2019/5/9,12:10,596
2019/5/9,12:15,588
2019/5/9,12:20,584
2019/5/9,12:25,587
2019/5/9,12:30,584
2019/5/9,12:35,596
2019/5/9,12:40,603
2019/5/9,12:45,604
2019/5/9,12:50,621
2019/5/9,12:55,628
2019/5/9,13:00,643
2019/5/9,13:05,647
2019/5/9,13:10,655
2019/5/9,13:15,654
2019/5/9,13:20,648
2019/5/9,13:25,650
2019/5/9,13:30,662
2019/5/9,13:35,656
2019/5/9,13:40,657
2019/5/9,13:45,651
2019/5/9,13:50,643
2019/5/9,13:55,644
2019/5/9,14:00,641
2019/5/9,14:05,641
2019/5/9,14:10,642
2019/5/9,14:15,650
2019/5/9,14:20,656
2019/5/9,14:25,651
2019/5/9,14:30,643
2019/5/9,14:35,646
2019/5/9,14:40,647
2019/5/9,14:45,637
2019/5/9,14:50,641
2019/5/9,14:55,648
2019/5/9,15:00,642
2019/5/9,15:05,635
2019/5/9,15:10,639
2019/5/9,15:15,642
2019/5/9,15:20,646
2019/5/9,15:25,651
2019/5/9,15:30,654
2019/5/9,15:35,649
2019/5/9,15:40,653
2019/5/9,15:45,652
2019/5/9,15:50,652
2019/5/9,15:55,656
2019/5/9,16:00,653
2019/5/9,16:05,662
2019/5/9,16:10,665
2019/5/9,16:15,664
2019/5/9,16:20,669
2019/5/9,16:25,677
2019/5/9,16:30,671
2019/5/9,16:35,666
2019/5/9,16:40,670
2019/5/9,16:45,667
2019/5/9,16:50,663
2019/5/9,16:55,661
2019/5/9,17:00,649
2019/5/9,17:05,649
2019/5/9,17:10,658
2019/5/9,17:15,657
2019/5/9,17:20,660
2019/5/9,17:25,670
2019/5/9,17:30,665
2019/5/9,17:35,664
2019/5/9,17:40,662
2019/5/9,17:45,664
2019/5/9,17:50,670
2019/5/9,17:55,668
2019/5/9,18:00,664
2019/5/9,18:05,665
2019/5/9,18:10,660
2019/5/9,18:15,662
2019/5/9,18:20,655
2019/5/9,18:25,664
2019/5/9,18:30,663
2019/5/9,18:35,664
