2020/01/12 00:05 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
954,08:00～09:00,01月11日,13:25,14,88

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
840,8:00～9:00,01月11日,13:25

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
873,08:00～09:00,01月11日,13:25,14,88

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
769,08:00～09:00,01月11日,13:25

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/1/11,0:00,702,677,91,769
2020/1/11,1:00,702,683,90,776
2020/1/11,2:00,734,723,89,822
2020/1/11,3:00,756,748,88,850
2020/1/11,4:00,745,751,87,853
2020/1/11,5:00,719,735,86,835
2020/1/11,6:00,725,734,86,834
2020/1/11,7:00,765,781,86,887
2020/1/11,8:00,831,840,87,954
2020/1/11,9:00,821,839,86,954
2020/1/11,10:00,764,810,83,920
2020/1/11,11:00,720,780,81,886
2020/1/11,12:00,685,729,82,829
2020/1/11,13:00,685,718,83,816
2020/1/11,14:00,671,695,84,790
2020/1/11,15:00,670,695,84,790
2020/1/11,16:00,668,718,81,815
2020/1/11,17:00,718,757,83,860
2020/1/11,18:00,740,769,84,873
2020/1/11,19:00,739,748,86,850
2020/1/11,20:00,718,725,87,823
2020/1/11,21:00,694,698,87,793
2020/1/11,22:00,659,673,86,764
2020/1/11,23:00,634,648,86,736

最大使用率(%),時間帯
91,00:00～01:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
881,18:00～19:00,01月11日,15:45,12,89

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
756,18:00～19:00,01月11日,15:45

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
881,18:00～19:00,01月11日,15:45,12,89

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
786,18:00～19:00,01月11日,15:45

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2020/1/11,0:00,708,0
2020/1/11,0:05,706,0
2020/1/11,0:10,715,0
2020/1/11,0:15,696,0
2020/1/11,0:20,700,0
2020/1/11,0:25,709,0
2020/1/11,0:30,708,0
2020/1/11,0:35,694,0
2020/1/11,0:40,688,0
2020/1/11,0:45,691,0
2020/1/11,0:50,700,0
2020/1/11,0:55,706,0
2020/1/11,1:00,707,0
2020/1/11,1:05,702,0
2020/1/11,1:10,707,0
2020/1/11,1:15,703,0
2020/1/11,1:20,694,0
2020/1/11,1:25,697,0
2020/1/11,1:30,699,0
2020/1/11,1:35,704,0
2020/1/11,1:40,701,0
2020/1/11,1:45,698,0
2020/1/11,1:50,702,0
2020/1/11,1:55,708,0
2020/1/11,2:00,721,0
2020/1/11,2:05,731,0
2020/1/11,2:10,737,0
2020/1/11,2:15,729,0
2020/1/11,2:20,719,0
2020/1/11,2:25,719,0
2020/1/11,2:30,724,0
2020/1/11,2:35,738,0
2020/1/11,2:40,752,0
2020/1/11,2:45,748,0
2020/1/11,2:50,745,0
2020/1/11,2:55,747,0
2020/1/11,3:00,746,0
2020/1/11,3:05,743,0
2020/1/11,3:10,755,0
2020/1/11,3:15,758,0
2020/1/11,3:20,760,0
2020/1/11,3:25,752,0
2020/1/11,3:30,756,0
2020/1/11,3:35,755,0
2020/1/11,3:40,762,0
2020/1/11,3:45,760,0
2020/1/11,3:50,763,0
2020/1/11,3:55,760,0
2020/1/11,4:00,749,0
2020/1/11,4:05,751,0
2020/1/11,4:10,751,0
2020/1/11,4:15,751,0
2020/1/11,4:20,750,0
2020/1/11,4:25,746,0
2020/1/11,4:30,741,0
2020/1/11,4:35,736,0
2020/1/11,4:40,741,0
2020/1/11,4:45,745,0
2020/1/11,4:50,739,0
2020/1/11,4:55,742,0
2020/1/11,5:00,742,0
2020/1/11,5:05,733,0
2020/1/11,5:10,722,0
2020/1/11,5:15,721,0
2020/1/11,5:20,717,0
2020/1/11,5:25,723,0
2020/1/11,5:30,721,0
2020/1/11,5:35,721,0
2020/1/11,5:40,707,0
2020/1/11,5:45,705,0
2020/1/11,5:50,706,0
2020/1/11,5:55,708,0
2020/1/11,6:00,713,0
2020/1/11,6:05,722,0
2020/1/11,6:10,717,0
2020/1/11,6:15,714,0
2020/1/11,6:20,701,0
2020/1/11,6:25,719,0
2020/1/11,6:30,733,0
2020/1/11,6:35,736,0
2020/1/11,6:40,735,0
2020/1/11,6:45,735,0
2020/1/11,6:50,732,0
2020/1/11,6:55,742,0
2020/1/11,7:00,746,0
2020/1/11,7:05,750,0
2020/1/11,7:10,752,0
2020/1/11,7:15,755,0
2020/1/11,7:20,751,0
2020/1/11,7:25,754,0
2020/1/11,7:30,756,0
2020/1/11,7:35,769,4
2020/1/11,7:40,776,9
2020/1/11,7:45,781,15
2020/1/11,7:50,786,23
2020/1/11,7:55,800,31
2020/1/11,8:00,797,41
2020/1/11,8:05,812,51
2020/1/11,8:10,813,62
2020/1/11,8:15,823,71
2020/1/11,8:20,830,80
2020/1/11,8:25,839,88
2020/1/11,8:30,844,97
2020/1/11,8:35,843,105
2020/1/11,8:40,838,114
2020/1/11,8:45,846,122
2020/1/11,8:50,841,130
2020/1/11,8:55,847,137
2020/1/11,9:00,844,145
