2016/04/27 23:59 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1859,10:00～11:00,04月27日,08:18,12,89

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1662,10:00～11:00,04月27日,08:18

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/04/27,00:00,1181,1208,64
2016/04/27,01:00,1151,1179,62
2016/04/27,02:00,1161,1192,62
2016/04/27,03:00,1184,1210,64
2016/04/27,04:00,1176,1206,63
2016/04/27,05:00,1159,1198,62
2016/04/27,06:00,1192,1247,64
2016/04/27,07:00,1289,1339,69
2016/04/27,08:00,1481,1530,80
2016/04/27,09:00,1623,1652,87
2016/04/27,10:00,1630,1662,88
2016/04/27,11:00,1638,1654,88
2016/04/27,12:00,1508,1531,81
2016/04/27,13:00,1619,1643,87
2016/04/27,14:00,1631,1651,88
2016/04/27,15:00,1603,1626,86
2016/04/27,16:00,1614,1634,87
2016/04/27,17:00,1568,1597,84
2016/04/27,18:00,0,1631,
2016/04/27,19:00,1525,1593,82
2016/04/27,20:00,0,1502,
2016/04/27,21:00,0,1439,
2016/04/27,22:00,0,1351,
2016/04/27,23:00,0,1287,

最大使用率(%),時間帯
88,14:00～15:00

翌日ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1885,11:00～12:00,04月27日,16:59,13,89

翌日予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1672,11:00～12:00,04月27日,16:59

DATE,TIME,当日実績(５分間隔値)(万kW)
2016/04/27,00:00,1240
2016/04/27,00:05,1227
2016/04/27,00:10,1210
2016/04/27,00:15,1204
2016/04/27,00:20,1195
2016/04/27,00:25,1195
2016/04/27,00:30,1193
2016/04/27,00:35,1189
2016/04/27,00:40,1188
2016/04/27,00:45,1176
2016/04/27,00:50,1174
2016/04/27,00:55,1170
2016/04/27,01:00,1163
2016/04/27,01:05,1164
2016/04/27,01:10,1166
2016/04/27,01:15,1163
2016/04/27,01:20,1162
2016/04/27,01:25,1157
2016/04/27,01:30,1164
2016/04/27,01:35,1164
2016/04/27,01:40,1169
2016/04/27,01:45,1156
2016/04/27,01:50,1160
2016/04/27,01:55,1155
2016/04/27,02:00,1157
2016/04/27,02:05,1157
2016/04/27,02:10,1162
2016/04/27,02:15,1161
2016/04/27,02:20,1164
2016/04/27,02:25,1175
2016/04/27,02:30,1166
2016/04/27,02:35,1174
2016/04/27,02:40,1185
2016/04/27,02:45,1187
2016/04/27,02:50,1185
2016/04/27,02:55,1197
2016/04/27,03:00,1189
2016/04/27,03:05,1193
2016/04/27,03:10,1191
2016/04/27,03:15,1194
2016/04/27,03:20,1199
2016/04/27,03:25,1195
2016/04/27,03:30,1204
2016/04/27,03:35,1200
2016/04/27,03:40,1204
2016/04/27,03:45,1190
2016/04/27,03:50,1196
2016/04/27,03:55,1195
2016/04/27,04:00,1189
2016/04/27,04:05,1190
2016/04/27,04:10,1198
2016/04/27,04:15,1194
2016/04/27,04:20,1198
2016/04/27,04:25,1190
2016/04/27,04:30,1187
2016/04/27,04:35,1181
2016/04/27,04:40,1187
2016/04/27,04:45,1185
2016/04/27,04:50,1184
2016/04/27,04:55,1173
2016/04/27,05:00,1181
2016/04/27,05:05,1187
2016/04/27,05:10,1190
2016/04/27,05:15,1167
2016/04/27,05:20,1185
2016/04/27,05:25,1182
2016/04/27,05:30,1177
2016/04/27,05:35,1159
2016/04/27,05:40,1162
2016/04/27,05:45,1154
2016/04/27,05:50,1160
2016/04/27,05:55,1164
2016/04/27,06:00,1168
2016/04/27,06:05,1166
2016/04/27,06:10,1170
2016/04/27,06:15,1186
2016/04/27,06:20,1194
2016/04/27,06:25,1201
2016/04/27,06:30,1200
2016/04/27,06:35,1211
2016/04/27,06:40,1223
2016/04/27,06:45,1228
2016/04/27,06:50,1238
2016/04/27,06:55,1230
2016/04/27,07:00,1227
2016/04/27,07:05,1246
2016/04/27,07:10,1261
2016/04/27,07:15,1271
2016/04/27,07:20,1273
2016/04/27,07:25,1283
2016/04/27,07:30,1300
2016/04/27,07:35,1316
2016/04/27,07:40,1318
2016/04/27,07:45,1334
2016/04/27,07:50,1346
2016/04/27,07:55,1353
2016/04/27,08:00,1370
2016/04/27,08:05,1401
2016/04/27,08:10,1422
2016/04/27,08:15,1443
2016/04/27,08:20,1465
2016/04/27,08:25,1480
2016/04/27,08:30,1489
2016/04/27,08:35,1509
2016/04/27,08:40,1535
2016/04/27,08:45,1551
2016/04/27,08:50,1562
2016/04/27,08:55,1577
2016/04/27,09:00,1595
2016/04/27,09:05,1606
2016/04/27,09:10,1607
2016/04/27,09:15,1618
2016/04/27,09:20,1623
2016/04/27,09:25,1634
2016/04/27,09:30,1632
2016/04/27,09:35,1637
2016/04/27,09:40,1641
2016/04/27,09:45,1645
2016/04/27,09:50,1637
2016/04/27,09:55,1640
2016/04/27,10:00,1638
2016/04/27,10:05,1614
2016/04/27,10:10,1610
2016/04/27,10:15,1628
2016/04/27,10:20,1625
2016/04/27,10:25,1642
2016/04/27,10:30,1641
2016/04/27,10:35,1639
2016/04/27,10:40,1636
2016/04/27,10:45,1646
2016/04/27,10:50,1636
2016/04/27,10:55,1637
2016/04/27,11:00,1652
2016/04/27,11:05,1642
2016/04/27,11:10,1650
2016/04/27,11:15,1645
2016/04/27,11:20,1646
2016/04/27,11:25,1656
2016/04/27,11:30,1644
2016/04/27,11:35,1646
2016/04/27,11:40,1640
2016/04/27,11:45,1643
2016/04/27,11:50,1620
2016/04/27,11:55,1617
2016/04/27,12:00,1585
2016/04/27,12:05,1537
2016/04/27,12:10,1516
2016/04/27,12:15,1518
2016/04/27,12:20,1499
2016/04/27,12:25,1496
2016/04/27,12:30,1483
2016/04/27,12:35,1487
2016/04/27,12:40,1490
2016/04/27,12:45,1512
2016/04/27,12:50,1528
2016/04/27,12:55,1546
2016/04/27,13:00,1589
2016/04/27,13:05,1609
2016/04/27,13:10,1626
2016/04/27,13:15,1632
2016/04/27,13:20,1628
2016/04/27,13:25,1643
2016/04/27,13:30,1634
2016/04/27,13:35,1642
2016/04/27,13:40,1639
2016/04/27,13:45,1639
2016/04/27,13:50,1635
2016/04/27,13:55,1633
2016/04/27,14:00,1648
2016/04/27,14:05,1647
2016/04/27,14:10,1647
2016/04/27,14:15,1654
2016/04/27,14:20,1641
2016/04/27,14:25,1652
2016/04/27,14:30,1649
2016/04/27,14:35,1649
2016/04/27,14:40,1646
2016/04/27,14:45,1640
2016/04/27,14:50,1629
2016/04/27,14:55,1624
2016/04/27,15:00,1609
2016/04/27,15:05,1583
2016/04/27,15:10,1599
2016/04/27,15:15,1611
2016/04/27,15:20,1615
2016/04/27,15:25,1611
2016/04/27,15:30,1617
2016/04/27,15:35,1625
2016/04/27,15:40,1627
2016/04/27,15:45,1626
2016/04/27,15:50,1626
2016/04/27,15:55,1623
2016/04/27,16:00,1626
2016/04/27,16:05,1615
2016/04/27,16:10,1614
2016/04/27,16:15,1625
2016/04/27,16:20,1632
2016/04/27,16:25,1636
2016/04/27,16:30,1618
2016/04/27,16:35,1624
2016/04/27,16:40,1620
2016/04/27,16:45,1622
2016/04/27,16:50,1616
2016/04/27,16:55,1604
2016/04/27,17:00,1601
2016/04/27,17:05,1588
2016/04/27,17:10,1582
2016/04/27,17:15,1576
2016/04/27,17:20,1574
