2016/04/28 23:59 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1890,11:00～12:00,04月28日,08:10,13,88

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1673,11:00～12:00,04月28日,08:10

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/04/28,00:00,1169,1178,62
2016/04/28,01:00,1136,1156,60
2016/04/28,02:00,1149,1170,61
2016/04/28,03:00,1166,1182,62
2016/04/28,04:00,1159,1174,61
2016/04/28,05:00,1156,1169,61
2016/04/28,06:00,1201,1212,64
2016/04/28,07:00,1294,1314,68
2016/04/28,08:00,1489,1504,79
2016/04/28,09:00,1615,1628,85
2016/04/28,10:00,1627,1658,86
2016/04/28,11:00,1617,1673,86
2016/04/28,12:00,1494,1533,79
2016/04/28,13:00,1582,1651,84
2016/04/28,14:00,1592,1652,84
2016/04/28,15:00,0,1611,
2016/04/28,16:00,0,1590,
2016/04/28,17:00,0,1549,
2016/04/28,18:00,0,1562,
2016/04/28,19:00,1467,1521,78
2016/04/28,20:00,1402,1434,74
2016/04/28,21:00,1346,1377,71
2016/04/28,22:00,1275,1313,67
2016/04/28,23:00,0,1259,

最大使用率(%),時間帯
86,11:00～12:00

翌日ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1620,19:00～20:00,04月28日,19:34,21,82

翌日予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1336,19:00～20:00,04月28日,19:34

DATE,TIME,当日実績(５分間隔値)(万kW)
2016/04/28,00:00,1214
2016/04/28,00:05,1205
2016/04/28,00:10,1209
2016/04/28,00:15,1203
2016/04/28,00:20,1186
2016/04/28,00:25,1185
2016/04/28,00:30,1177
2016/04/28,00:35,1164
2016/04/28,00:40,1165
2016/04/28,00:45,1158
2016/04/28,00:50,1155
2016/04/28,00:55,1150
2016/04/28,01:00,1148
2016/04/28,01:05,1151
2016/04/28,01:10,1153
2016/04/28,01:15,1152
2016/04/28,01:20,1142
2016/04/28,01:25,1139
2016/04/28,01:30,1134
2016/04/28,01:35,1136
2016/04/28,01:40,1144
2016/04/28,01:45,1156
2016/04/28,01:50,1151
2016/04/28,01:55,1150
2016/04/28,02:00,1154
2016/04/28,02:05,1158
2016/04/28,02:10,1159
2016/04/28,02:15,1157
2016/04/28,02:20,1150
2016/04/28,02:25,1149
2016/04/28,02:30,1157
2016/04/28,02:35,1162
2016/04/28,02:40,1162
2016/04/28,02:45,1171
2016/04/28,02:50,1170
2016/04/28,02:55,1173
2016/04/28,03:00,1179
2016/04/28,03:05,1176
2016/04/28,03:10,1180
2016/04/28,03:15,1174
2016/04/28,03:20,1183
2016/04/28,03:25,1176
2016/04/28,03:30,1178
2016/04/28,03:35,1171
2016/04/28,03:40,1171
2016/04/28,03:45,1181
2016/04/28,03:50,1183
2016/04/28,03:55,1173
2016/04/28,04:00,1176
2016/04/28,04:05,1173
2016/04/28,04:10,1180
2016/04/28,04:15,1181
2016/04/28,04:20,1166
2016/04/28,04:25,1177
2016/04/28,04:30,1174
2016/04/28,04:35,1164
2016/04/28,04:40,1166
2016/04/28,04:45,1165
2016/04/28,04:50,1162
2016/04/28,04:55,1166
2016/04/28,05:00,1170
2016/04/28,05:05,1171
2016/04/28,05:10,1168
2016/04/28,05:15,1174
2016/04/28,05:20,1164
2016/04/28,05:25,1168
2016/04/28,05:30,1176
2016/04/28,05:35,1179
2016/04/28,05:40,1163
2016/04/28,05:45,1164
2016/04/28,05:50,1161
2016/04/28,05:55,1158
2016/04/28,06:00,1179
2016/04/28,06:05,1185
2016/04/28,06:10,1187
2016/04/28,06:15,1191
2016/04/28,06:20,1193
2016/04/28,06:25,1212
2016/04/28,06:30,1210
2016/04/28,06:35,1221
2016/04/28,06:40,1229
2016/04/28,06:45,1231
2016/04/28,06:50,1246
2016/04/28,06:55,1252
2016/04/28,07:00,1257
2016/04/28,07:05,1270
2016/04/28,07:10,1261
2016/04/28,07:15,1276
2016/04/28,07:20,1278
2016/04/28,07:25,1297
2016/04/28,07:30,1301
2016/04/28,07:35,1320
2016/04/28,07:40,1322
2016/04/28,07:45,1340
2016/04/28,07:50,1344
2016/04/28,07:55,1346
2016/04/28,08:00,1381
2016/04/28,08:05,1419
2016/04/28,08:10,1437
2016/04/28,08:15,1454
2016/04/28,08:20,1476
2016/04/28,08:25,1494
2016/04/28,08:30,1514
2016/04/28,08:35,1528
2016/04/28,08:40,1538
2016/04/28,08:45,1546
2016/04/28,08:50,1563
2016/04/28,08:55,1580
2016/04/28,09:00,1590
2016/04/28,09:05,1600
2016/04/28,09:10,1603
2016/04/28,09:15,1611
2016/04/28,09:20,1610
2016/04/28,09:25,1619
2016/04/28,09:30,1625
2016/04/28,09:35,1630
2016/04/28,09:40,1639
2016/04/28,09:45,1631
2016/04/28,09:50,1633
2016/04/28,09:55,1634
2016/04/28,10:00,1638
2016/04/28,10:05,1623
2016/04/28,10:10,1621
2016/04/28,10:15,1635
2016/04/28,10:20,1633
2016/04/28,10:25,1632
2016/04/28,10:30,1633
2016/04/28,10:35,1649
2016/04/28,10:40,1657
2016/04/28,10:45,1648
2016/04/28,10:50,1638
2016/04/28,10:55,1632
2016/04/28,11:00,1632
2016/04/28,11:05,1641
2016/04/28,11:10,1633
2016/04/28,11:15,1641
2016/04/28,11:20,1627
2016/04/28,11:25,1638
2016/04/28,11:30,1626
2016/04/28,11:35,1630
2016/04/28,11:40,1625
2016/04/28,11:45,1624
2016/04/28,11:50,1614
2016/04/28,11:55,1598
2016/04/28,12:00,1576
2016/04/28,12:05,1525
2016/04/28,12:10,1515
2016/04/28,12:15,1507
2016/04/28,12:20,1487
2016/04/28,12:25,1486
2016/04/28,12:30,1470
2016/04/28,12:35,1474
2016/04/28,12:40,1476
2016/04/28,12:45,1476
2016/04/28,12:50,1487
2016/04/28,12:55,1503
2016/04/28,13:00,1542
2016/04/28,13:05,1574
2016/04/28,13:10,1591
2016/04/28,13:15,1597
2016/04/28,13:20,1600
2016/04/28,13:25,1600
2016/04/28,13:30,1605
2016/04/28,13:35,1606
2016/04/28,13:40,1600
2016/04/28,13:45,1614
2016/04/28,13:50,1605
2016/04/28,13:55,1608
2016/04/28,14:00,1611
2016/04/28,14:05,1605
2016/04/28,14:10,1606
2016/04/28,14:15,1605
2016/04/28,14:20,1604
2016/04/28,14:25,1602
2016/04/28,14:30,1603
2016/04/28,14:35,1603
2016/04/28,14:40,1594
2016/04/28,14:45,1594
2016/04/28,14:50,1594
2016/04/28,14:55,1587
2016/04/28,15:00,1573
2016/04/28,15:05,1550
2016/04/28,15:10,1548
2016/04/28,15:15,1565
2016/04/28,15:20,1565
2016/04/28,15:25,1570
2016/04/28,15:30,1565
2016/04/28,15:35,1574
2016/04/28,15:40,1571
2016/04/28,15:45,1571
2016/04/28,15:50,1575
2016/04/28,15:55,1570
2016/04/28,16:00,1572
2016/04/28,16:05,1577
2016/04/28,16:10,1571
2016/04/28,16:15,1577
2016/04/28,16:20,1584
2016/04/28,16:25,1577
2016/04/28,16:30,1575
2016/04/28,16:35,1580
2016/04/28,16:40,1576
