2016/05/05 23:59 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1610,19:00～20:00,05月05日,08:34,34,74

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1199,19:00～20:00,05月05日,08:34

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/05/05,00:00,878,872,55
2016/05/05,01:00,860,853,53
2016/05/05,02:00,885,879,55
2016/05/05,03:00,905,900,56
2016/05/05,04:00,899,893,56
2016/05/05,05:00,861,856,53
2016/05/05,06:00,868,883,54
2016/05/05,07:00,921,939,57
2016/05/05,08:00,1020,1035,63
2016/05/05,09:00,1085,1109,67
2016/05/05,10:00,1109,1139,69
2016/05/05,11:00,1113,1150,69
2016/05/05,12:00,1096,1129,68
2016/05/05,13:00,1093,1109,68
2016/05/05,14:00,1085,1099,67
2016/05/05,15:00,1066,1099,66
2016/05/05,16:00,1073,1102,67
2016/05/05,17:00,1089,1116,68
2016/05/05,18:00,1148,1158,71
2016/05/05,19:00,0,1199,
2016/05/05,20:00,1134,1163,70
2016/05/05,21:00,1100,1107,68
2016/05/05,22:00,1033,1042,64
2016/05/05,23:00,0,993,

最大使用率(%),時間帯
71,18:00～19:00

翌日ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1787,14:00～15:00,05月05日,17:31,15,87

翌日予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1553,14:00～15:00,05月05日,17:31

DATE,TIME,当日実績(５分間隔値)(万kW)
2016/05/05,00:00,921
2016/05/05,00:05,914
2016/05/05,00:10,908
2016/05/05,00:15,900
2016/05/05,00:20,893
2016/05/05,00:25,887
2016/05/05,00:30,876
2016/05/05,00:35,878
2016/05/05,00:40,883
2016/05/05,00:45,883
2016/05/05,00:50,882
2016/05/05,00:55,876
2016/05/05,01:00,865
2016/05/05,01:05,874
2016/05/05,01:10,871
2016/05/05,01:15,871
2016/05/05,01:20,872
2016/05/05,01:25,862
2016/05/05,01:30,859
2016/05/05,01:35,861
2016/05/05,01:40,871
2016/05/05,01:45,876
2016/05/05,01:50,883
2016/05/05,01:55,889
2016/05/05,02:00,888
2016/05/05,02:05,879
2016/05/05,02:10,885
2016/05/05,02:15,895
2016/05/05,02:20,907
2016/05/05,02:25,909
2016/05/05,02:30,910
2016/05/05,02:35,899
2016/05/05,02:40,897
2016/05/05,02:45,909
2016/05/05,02:50,908
2016/05/05,02:55,913
2016/05/05,03:00,922
2016/05/05,03:05,929
2016/05/05,03:10,920
2016/05/05,03:15,921
2016/05/05,03:20,914
2016/05/05,03:25,906
2016/05/05,03:30,916
2016/05/05,03:35,921
2016/05/05,03:40,927
2016/05/05,03:45,920
2016/05/05,03:50,929
2016/05/05,03:55,926
2016/05/05,04:00,932
2016/05/05,04:05,945
2016/05/05,04:10,934
2016/05/05,04:15,934
2016/05/05,04:20,927
2016/05/05,04:25,911
2016/05/05,04:30,908
2016/05/05,04:35,907
2016/05/05,04:40,906
2016/05/05,04:45,901
2016/05/05,04:50,902
2016/05/05,04:55,898
2016/05/05,05:00,894
2016/05/05,05:05,893
2016/05/05,05:10,892
2016/05/05,05:15,880
