2016/05/06 23:59 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1669,14:00～15:00,05月06日,07:32,13,89

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1483,14:00～15:00,05月06日,07:32

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/05/06,00:00,913,927,55
2016/05/06,01:00,902,914,54
2016/05/06,02:00,934,948,56
2016/05/06,03:00,969,965,58
2016/05/06,04:00,971,975,58
2016/05/06,05:00,966,972,58
2016/05/06,06:00,1023,1018,61
2016/05/06,07:00,1134,1141,68
2016/05/06,08:00,1338,1323,80
2016/05/06,09:00,1460,1442,87
2016/05/06,10:00,1494,1469,89
2016/05/06,11:00,1506,1476,90
2016/05/06,12:00,1410,1375,84
2016/05/06,13:00,1523,1481,91
2016/05/06,14:00,1539,1483,92
2016/05/06,15:00,1516,1458,91
2016/05/06,16:00,0,1449,
2016/05/06,17:00,1478,1400,89
2016/05/06,18:00,1473,1426,88
2016/05/06,19:00,1429,1391,86
2016/05/06,20:00,1389,1330,83
2016/05/06,21:00,1318,1278,79
2016/05/06,22:00,1252,1212,75
2016/05/06,23:00,0,1154,

最大使用率(%),時間帯
92,14:00～15:00

翌日ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1698,14:00～15:00,05月06日,17:02,11,90

翌日予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1524,14:00～15:00,05月06日,17:02

DATE,TIME,当日実績(５分間隔値)(万kW)
2016/05/06,00:00,954
2016/05/06,00:05,951
2016/05/06,00:10,955
2016/05/06,00:15,950
2016/05/06,00:20,950
2016/05/06,00:25,921
2016/05/06,00:30,913
2016/05/06,00:35,917
2016/05/06,00:40,910
2016/05/06,00:45,902
2016/05/06,00:50,909
2016/05/06,00:55,919
2016/05/06,01:00,919
2016/05/06,01:05,916
2016/05/06,01:10,917
2016/05/06,01:15,914
2016/05/06,01:20,923
2016/05/06,01:25,913
2016/05/06,01:30,921
2016/05/06,01:35,916
2016/05/06,01:40,918
2016/05/06,01:45,907
2016/05/06,01:50,922
2016/05/06,01:55,922
2016/05/06,02:00,938
2016/05/06,02:05,940
2016/05/06,02:10,933
2016/05/06,02:15,942
2016/05/06,02:20,946
2016/05/06,02:25,950
2016/05/06,02:30,956
2016/05/06,02:35,956
2016/05/06,02:40,960
2016/05/06,02:45,955
2016/05/06,02:50,957
2016/05/06,02:55,965
2016/05/06,03:00,965
2016/05/06,03:05,974
2016/05/06,03:10,964
2016/05/06,03:15,977
2016/05/06,03:20,983
2016/05/06,03:25,998
2016/05/06,03:30,979
2016/05/06,03:35,979
2016/05/06,03:40,986
2016/05/06,03:45,995
2016/05/06,03:50,989
2016/05/06,03:55,991
2016/05/06,04:00,998
2016/05/06,04:05,990
2016/05/06,04:10,974
2016/05/06,04:15,980
2016/05/06,04:20,981
2016/05/06,04:25,981
2016/05/06,04:30,982
2016/05/06,04:35,983
2016/05/06,04:40,980
2016/05/06,04:45,995
2016/05/06,04:50,991
2016/05/06,04:55,988
2016/05/06,05:00,992
2016/05/06,05:05,990
2016/05/06,05:10,989
2016/05/06,05:15,984
