2016/05/10 23:59 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1926,14:00～15:00,05月10日,07:24,13,88

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1699,14:00～15:00,05月10日,07:24

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/05/10,00:00,1100,1139,57
2016/05/10,01:00,1072,1109,56
2016/05/10,02:00,1090,1120,57
2016/05/10,03:00,1115,1150,58
2016/05/10,04:00,1120,1155,58
2016/05/10,05:00,1119,1148,58
2016/05/10,06:00,1162,1210,60
2016/05/10,07:00,1287,1319,67
2016/05/10,08:00,1507,1520,78
2016/05/10,09:00,1646,1660,85
2016/05/10,10:00,1668,1674,87
2016/05/10,11:00,1682,1680,87
2016/05/10,12:00,1543,1562,80
2016/05/10,13:00,1665,1683,86
2016/05/10,14:00,1680,1699,87
2016/05/10,15:00,1659,1673,86
2016/05/10,16:00,1661,1691,86
2016/05/10,17:00,0,1668,
2016/05/10,18:00,1612,1658,84
2016/05/10,19:00,1546,1587,80
2016/05/10,20:00,1470,1507,76
2016/05/10,21:00,1444,1453,75
2016/05/10,22:00,1383,1382,72
2016/05/10,23:00,0,1315,

最大使用率(%),時間帯
87,14:00～15:00

翌日ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1954,14:00～15:00,05月10日,17:48,14,88

翌日予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1710,14:00～15:00,05月10日,17:48

DATE,TIME,当日実績(５分間隔値)(万kW)
2016/05/10,00:00,1166
2016/05/10,00:05,1151
2016/05/10,00:10,1145
2016/05/10,00:15,1139
2016/05/10,00:20,1123
2016/05/10,00:25,1112
2016/05/10,00:30,1118
2016/05/10,00:35,1110
2016/05/10,00:40,1123
2016/05/10,00:45,1107
2016/05/10,00:50,1094
2016/05/10,00:55,1094
2016/05/10,01:00,1091
2016/05/10,01:05,1098
2016/05/10,01:10,1096
2016/05/10,01:15,1097
2016/05/10,01:20,1080
2016/05/10,01:25,1090
2016/05/10,01:30,1094
2016/05/10,01:35,1091
2016/05/10,01:40,1095
2016/05/10,01:45,1097
2016/05/10,01:50,1088
2016/05/10,01:55,1094
2016/05/10,02:00,1077
2016/05/10,02:05,1087
2016/05/10,02:10,1106
2016/05/10,02:15,1107
2016/05/10,02:20,1108
2016/05/10,02:25,1114
2016/05/10,02:30,1110
2016/05/10,02:35,1114
2016/05/10,02:40,1117
2016/05/10,02:45,1122
2016/05/10,02:50,1125
2016/05/10,02:55,1129
2016/05/10,03:00,1120
2016/05/10,03:05,1126
2016/05/10,03:10,1132
2016/05/10,03:15,1126
2016/05/10,03:20,1130
2016/05/10,03:25,1128
2016/05/10,03:30,1127
2016/05/10,03:35,1137
2016/05/10,03:40,1141
2016/05/10,03:45,1149
2016/05/10,03:50,1148
2016/05/10,03:55,1151
2016/05/10,04:00,1151
2016/05/10,04:05,1156
2016/05/10,04:10,1154
2016/05/10,04:15,1141
2016/05/10,04:20,1137
2016/05/10,04:25,1134
2016/05/10,04:30,1125
2016/05/10,04:35,1130
2016/05/10,04:40,1137
2016/05/10,04:45,1136
2016/05/10,04:50,1135
2016/05/10,04:55,1142
2016/05/10,05:00,1139
2016/05/10,05:05,1139
2016/05/10,05:10,1151
2016/05/10,05:15,1147
2016/05/10,05:20,1147
2016/05/10,05:25,1140
2016/05/10,05:30,1141
2016/05/10,05:35,1136
2016/05/10,05:40,1136
2016/05/10,05:45,1133
2016/05/10,05:50,1140
2016/05/10,05:55,1125
2016/05/10,06:00,1138
2016/05/10,06:05,1147
2016/05/10,06:10,1166
2016/05/10,06:15,1162
2016/05/10,06:20,1163
2016/05/10,06:25,1164
2016/05/10,06:30,1171
2016/05/10,06:35,1188
2016/05/10,06:40,1198
2016/05/10,06:45,1213
2016/05/10,06:50,1212
2016/05/10,06:55,1227
2016/05/10,07:00,1233
2016/05/10,07:05,1249
2016/05/10,07:10,1261
2016/05/10,07:15,1275
2016/05/10,07:20,1278
2016/05/10,07:25,1283
2016/05/10,07:30,1304
2016/05/10,07:35,1315
2016/05/10,07:40,1338
2016/05/10,07:45,1350
2016/05/10,07:50,1358
2016/05/10,07:55,1375
2016/05/10,08:00,1409
2016/05/10,08:05,1445
2016/05/10,08:10,1457
2016/05/10,08:15,1477
2016/05/10,08:20,1497
2016/05/10,08:25,1512
2016/05/10,08:30,1536
2016/05/10,08:35,1549
2016/05/10,08:40,1577
2016/05/10,08:45,1600
2016/05/10,08:50,1611
2016/05/10,08:55,1616
2016/05/10,09:00,1617
2016/05/10,09:05,1644
2016/05/10,09:10,1653
2016/05/10,09:15,1666
2016/05/10,09:20,1678
2016/05/10,09:25,1692
2016/05/10,09:30,1688
2016/05/10,09:35,1683
2016/05/10,09:40,1682
2016/05/10,09:45,1699
2016/05/10,09:50,1696
2016/05/10,09:55,1686
2016/05/10,10:00,1689
2016/05/10,10:05,1673
2016/05/10,10:10,1667
2016/05/10,10:15,1699
2016/05/10,10:20,1692
2016/05/10,10:25,1707
2016/05/10,10:30,1702
2016/05/10,10:35,1694
2016/05/10,10:40,1680
2016/05/10,10:45,1693
2016/05/10,10:50,1688
2016/05/10,10:55,1685
2016/05/10,11:00,1686
2016/05/10,11:05,1679
2016/05/10,11:10,1692
2016/05/10,11:15,1709
2016/05/10,11:20,1712
2016/05/10,11:25,1717
2016/05/10,11:30,1714
2016/05/10,11:35,1720
2016/05/10,11:40,1707
2016/05/10,11:45,1714
2016/05/10,11:50,1694
2016/05/10,11:55,1681
2016/05/10,12:00,1654
2016/05/10,12:05,1606
2016/05/10,12:10,1581
2016/05/10,12:15,1560
2016/05/10,12:20,1557
2016/05/10,12:25,1565
2016/05/10,12:30,1565
2016/05/10,12:35,1566
2016/05/10,12:40,1553
2016/05/10,12:45,1556
2016/05/10,12:50,1570
2016/05/10,12:55,1594
2016/05/10,13:00,1642
2016/05/10,13:05,1665
2016/05/10,13:10,1684
2016/05/10,13:15,1690
2016/05/10,13:20,1706
2016/05/10,13:25,1707
2016/05/10,13:30,1705
2016/05/10,13:35,1709
2016/05/10,13:40,1721
2016/05/10,13:45,1717
2016/05/10,13:50,1712
2016/05/10,13:55,1710
2016/05/10,14:00,1715
2016/05/10,14:05,1713
2016/05/10,14:10,1718
2016/05/10,14:15,1713
2016/05/10,14:20,1717
2016/05/10,14:25,1724
2016/05/10,14:30,1723
2016/05/10,14:35,1720
2016/05/10,14:40,1719
2016/05/10,14:45,1706
2016/05/10,14:50,1699
2016/05/10,14:55,1688
2016/05/10,15:00,1686
2016/05/10,15:05,1667
2016/05/10,15:10,1670
2016/05/10,15:15,1688
2016/05/10,15:20,1692
2016/05/10,15:25,1697
2016/05/10,15:30,1689
2016/05/10,15:35,1702
2016/05/10,15:40,1702
2016/05/10,15:45,1710
2016/05/10,15:50,1704
2016/05/10,15:55,1692
2016/05/10,16:00,1685
2016/05/10,16:05,1681
2016/05/10,16:10,1687
2016/05/10,16:15,1701
2016/05/10,16:20,1698
2016/05/10,16:25,1704
2016/05/10,16:30,1704
2016/05/10,16:35,1695
2016/05/10,16:40,1696
2016/05/10,16:45,1696
2016/05/10,16:50,1693
2016/05/10,16:55,1681
2016/05/10,17:00,1678
2016/05/10,17:05,1652
2016/05/10,17:10,1653
2016/05/10,17:15,1657
2016/05/10,17:20,1666
2016/05/10,17:25,1667
2016/05/10,17:30,1652
2016/05/10,17:35,1650
2016/05/10,17:40,1651
2016/05/10,17:45,1655
2016/05/10,17:50,1659
2016/05/10,17:55,1652
2016/05/10,18:00,1666
2016/05/10,18:05,1649
2016/05/10,18:10,1640
2016/05/10,18:15,1644
2016/05/10,18:20,1645
2016/05/10,18:25,1654
2016/05/10,18:30,1643
2016/05/10,18:35,1644
2016/05/10,18:40,1648
2016/05/10,18:45,1646
2016/05/10,18:50,1644
2016/05/10,18:55,1637
2016/05/10,19:00,1628
2016/05/10,19:05,1609
2016/05/10,19:10,1600
2016/05/10,19:15,1605
2016/05/10,19:20,1595
2016/05/10,19:25,1582
2016/05/10,19:30,1567
2016/05/10,19:35,1571
2016/05/10,19:40,1555
2016/05/10,19:45,1569
2016/05/10,19:50,1551
2016/05/10,19:55,1545
2016/05/10,20:00,1546
2016/05/10,20:05,1530
2016/05/10,20:10,1517
2016/05/10,20:15,1508
2016/05/10,20:20,1496
2016/05/10,20:25,1496
2016/05/10,20:30,1487
2016/05/10,20:35,1491
2016/05/10,20:40,1480
2016/05/10,20:45,1479
2016/05/10,20:50,1468
2016/05/10,20:55,1467
2016/05/10,21:00,1462
2016/05/10,21:05,1465
2016/05/10,21:10,1458
2016/05/10,21:15,1455
2016/05/10,21:20,1453
2016/05/10,21:25,1447
2016/05/10,21:30,1445
2016/05/10,21:35,1447
2016/05/10,21:40,1437
2016/05/10,21:45,1427
2016/05/10,21:50,1424
2016/05/10,21:55,1418
2016/05/10,22:00,1419
2016/05/10,22:05,1404
2016/05/10,22:10,1416
2016/05/10,22:15,1388
2016/05/10,22:20,1397
2016/05/10,22:25,1380
2016/05/10,22:30,1373
2016/05/10,22:35,1378
2016/05/10,22:40,1376
2016/05/10,22:45,1376
2016/05/10,22:50,1353
