2016/05/17 23:59 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
2070,14:00～15:00,05月17日,07:21,19,84

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1745,14:00～15:00,05月17日,07:21

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/05/17,00:00,1247,1278,60
2016/05/17,01:00,1207,1239,58
2016/05/17,02:00,1204,1221,58
2016/05/17,03:00,1226,1246,59
2016/05/17,04:00,1212,1236,59
2016/05/17,05:00,1199,1229,58
2016/05/17,06:00,1259,1279,61
2016/05/17,07:00,1371,1375,66
2016/05/17,08:00,1569,1580,76
2016/05/17,09:00,1700,1701,82
2016/05/17,10:00,1707,1722,82
2016/05/17,11:00,1700,1733,82
2016/05/17,12:00,1573,1598,76
2016/05/17,13:00,1690,1736,82
2016/05/17,14:00,1694,1745,82
2016/05/17,15:00,1654,1717,80
2016/05/17,16:00,1639,1695,79
2016/05/17,17:00,1624,1620,78
2016/05/17,18:00,1607,1598,78
2016/05/17,19:00,1600,1583,77
2016/05/17,20:00,1522,1500,74
2016/05/17,21:00,0,1441,
2016/05/17,22:00,1392,1376,67
2016/05/17,23:00,0,1317,

最大使用率(%),時間帯
82,14:00～15:00

翌日ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
2018,14:00～15:00,05月17日,17:08,14,88

翌日予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1765,14:00～15:00,05月17日,17:08

DATE,TIME,当日実績(５分間隔値)(万kW)
2016/05/17,00:00,1334
2016/05/17,00:05,1318
2016/05/17,00:10,1312
2016/05/17,00:15,1301
2016/05/17,00:20,1298
2016/05/17,00:25,1281
2016/05/17,00:30,1285
2016/05/17,00:35,1286
2016/05/17,00:40,1268
2016/05/17,00:45,1265
2016/05/17,00:50,1261
2016/05/17,00:55,1259
2016/05/17,01:00,1249
2016/05/17,01:05,1265
2016/05/17,01:10,1257
2016/05/17,01:15,1249
2016/05/17,01:20,1240
2016/05/17,01:25,1246
2016/05/17,01:30,1253
2016/05/17,01:35,1249
2016/05/17,01:40,1248
2016/05/17,01:45,1251
2016/05/17,01:50,1235
2016/05/17,01:55,1235
2016/05/17,02:00,1229
2016/05/17,02:05,1230
2016/05/17,02:10,1226
2016/05/17,02:15,1247
2016/05/17,02:20,1242
2016/05/17,02:25,1250
2016/05/17,02:30,1248
2016/05/17,02:35,1249
2016/05/17,02:40,1260
2016/05/17,02:45,1261
2016/05/17,02:50,1239
2016/05/17,02:55,1237
2016/05/17,03:00,1254
2016/05/17,03:05,1273
2016/05/17,03:10,1281
2016/05/17,03:15,1278
2016/05/17,03:20,1262
2016/05/17,03:25,1265
2016/05/17,03:30,1261
2016/05/17,03:35,1265
2016/05/17,03:40,1272
2016/05/17,03:45,1259
2016/05/17,03:50,1261
2016/05/17,03:55,1259
2016/05/17,04:00,1255
2016/05/17,04:05,1259
2016/05/17,04:10,1272
2016/05/17,04:15,1262
2016/05/17,04:20,1262
2016/05/17,04:25,1262
2016/05/17,04:30,1250
2016/05/17,04:35,1239
2016/05/17,04:40,1246
2016/05/17,04:45,1237
2016/05/17,04:50,1242
2016/05/17,04:55,1237
