2016/06/17 23:59 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
2151,14:00～15:00,06月17日,08:12,12,89

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1917,14:00～15:00,06月17日,08:12

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/06/17,00:00,1271,1276,59
2016/06/17,01:00,1212,1221,56
2016/06/17,02:00,1212,1221,56
2016/06/17,03:00,1240,1243,58
2016/06/17,04:00,1239,1240,58
2016/06/17,05:00,1220,1217,57
2016/06/17,06:00,1267,1278,59
2016/06/17,07:00,1392,1410,65
2016/06/17,08:00,1636,1636,76
2016/06/17,09:00,1801,1805,84
2016/06/17,10:00,1860,1866,86
2016/06/17,11:00,1883,1891,88
2016/06/17,12:00,1761,1783,82
2016/06/17,13:00,1892,1910,88
2016/06/17,14:00,1909,1917,89
2016/06/17,15:00,1866,1876,87
2016/06/17,16:00,1831,1863,85
2016/06/17,17:00,1702,1756,79
2016/06/17,18:00,1649,1706,77
2016/06/17,19:00,1625,1662,76
2016/06/17,20:00,1547,1579,72
2016/06/17,21:00,1482,1511,69
2016/06/17,22:00,1427,1444,66
2016/06/17,23:00,0,1392,

最大使用率(%),時間帯
89,14:00～15:00

翌日ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1815,14:00～15:00,06月17日,17:59,17,85

翌日予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1548,14:00～15:00,06月17日,17:59

DATE,TIME,当日実績(５分間隔値)(万kW)
2016/06/17,00:00,1325
2016/06/17,00:05,1317
2016/06/17,00:10,1301
2016/06/17,00:15,1290
2016/06/17,00:20,1297
2016/06/17,00:25,1283
2016/06/17,00:30,1289
2016/06/17,00:35,1276
2016/06/17,00:40,1267
2016/06/17,00:45,1261
2016/06/17,00:50,1259
2016/06/17,00:55,1254
2016/06/17,01:00,1243
2016/06/17,01:05,1237
2016/06/17,01:10,1239
2016/06/17,01:15,1227
2016/06/17,01:20,1223
2016/06/17,01:25,1215
2016/06/17,01:30,1219
2016/06/17,01:35,1229
2016/06/17,01:40,1225
2016/06/17,01:45,1211
2016/06/17,01:50,1211
2016/06/17,01:55,1227
2016/06/17,02:00,1224
2016/06/17,02:05,1217
2016/06/17,02:10,1216
2016/06/17,02:15,1210
2016/06/17,02:20,1218
2016/06/17,02:25,1216
2016/06/17,02:30,1225
2016/06/17,02:35,1227
2016/06/17,02:40,1236
2016/06/17,02:45,1241
2016/06/17,02:50,1246
2016/06/17,02:55,1243
2016/06/17,03:00,1243
2016/06/17,03:05,1249
2016/06/17,03:10,1240
2016/06/17,03:15,1247
2016/06/17,03:20,1256
2016/06/17,03:25,1255
2016/06/17,03:30,1257
2016/06/17,03:35,1257
2016/06/17,03:40,1242
2016/06/17,03:45,1253
2016/06/17,03:50,1265
2016/06/17,03:55,1256
2016/06/17,04:00,1254
2016/06/17,04:05,1251
2016/06/17,04:10,1248
2016/06/17,04:15,1254
2016/06/17,04:20,1257
2016/06/17,04:25,1244
2016/06/17,04:30,1243
2016/06/17,04:35,1239
2016/06/17,04:40,1252
2016/06/17,04:45,1252
2016/06/17,04:50,1248
2016/06/17,04:55,1247
2016/06/17,05:00,1248
2016/06/17,05:05,1247
2016/06/17,05:10,1242
2016/06/17,05:15,1244
2016/06/17,05:20,1238
2016/06/17,05:25,1246
2016/06/17,05:30,1231
2016/06/17,05:35,1225
2016/06/17,05:40,1215
2016/06/17,05:45,1216
2016/06/17,05:50,1212
2016/06/17,05:55,1210
2016/06/17,06:00,1220
2016/06/17,06:05,1236
2016/06/17,06:10,1238
2016/06/17,06:15,1232
2016/06/17,06:20,1244
2016/06/17,06:25,1252
2016/06/17,06:30,1259
2016/06/17,06:35,1293
2016/06/17,06:40,1300
2016/06/17,06:45,1311
2016/06/17,06:50,1333
2016/06/17,06:55,1323
2016/06/17,07:00,1331
2016/06/17,07:05,1342
2016/06/17,07:10,1345
2016/06/17,07:15,1359
2016/06/17,07:20,1360
2016/06/17,07:25,1390
2016/06/17,07:30,1406
2016/06/17,07:35,1426
2016/06/17,07:40,1420
2016/06/17,07:45,1425
2016/06/17,07:50,1441
2016/06/17,07:55,1455
2016/06/17,08:00,1498
2016/06/17,08:05,1549
2016/06/17,08:10,1556
2016/06/17,08:15,1589
2016/06/17,08:20,1611
2016/06/17,08:25,1634
2016/06/17,08:30,1654
2016/06/17,08:35,1673
2016/06/17,08:40,1678
2016/06/17,08:45,1707
2016/06/17,08:50,1737
2016/06/17,08:55,1755
2016/06/17,09:00,1768
2016/06/17,09:05,1793
2016/06/17,09:10,1789
2016/06/17,09:15,1773
2016/06/17,09:20,1797
2016/06/17,09:25,1812
2016/06/17,09:30,1818
2016/06/17,09:35,1833
2016/06/17,09:40,1825
2016/06/17,09:45,1828
2016/06/17,09:50,1823
2016/06/17,09:55,1829
2016/06/17,10:00,1846
2016/06/17,10:05,1829
2016/06/17,10:10,1846
2016/06/17,10:15,1867
2016/06/17,10:20,1875
2016/06/17,10:25,1868
2016/06/17,10:30,1887
2016/06/17,10:35,1907
2016/06/17,10:40,1899
2016/06/17,10:45,1905
2016/06/17,10:50,1900
2016/06/17,10:55,1906
2016/06/17,11:00,1907
2016/06/17,11:05,1910
2016/06/17,11:10,1918
2016/06/17,11:15,1901
2016/06/17,11:20,1906
2016/06/17,11:25,1927
2016/06/17,11:30,1940
2016/06/17,11:35,1939
2016/06/17,11:40,1931
2016/06/17,11:45,1927
2016/06/17,11:50,1917
2016/06/17,11:55,1898
2016/06/17,12:00,1875
2016/06/17,12:05,1819
2016/06/17,12:10,1799
2016/06/17,12:15,1786
2016/06/17,12:20,1762
2016/06/17,12:25,1752
2016/06/17,12:30,1749
2016/06/17,12:35,1756
2016/06/17,12:40,1774
2016/06/17,12:45,1798
2016/06/17,12:50,1822
2016/06/17,12:55,1825
2016/06/17,13:00,1854
2016/06/17,13:05,1891
2016/06/17,13:10,1912
2016/06/17,13:15,1929
2016/06/17,13:20,1937
2016/06/17,13:25,1942
2016/06/17,13:30,1936
2016/06/17,13:35,1936
2016/06/17,13:40,1935
2016/06/17,13:45,1936
2016/06/17,13:50,1935
2016/06/17,13:55,1917
2016/06/17,14:00,1929
2016/06/17,14:05,1955
2016/06/17,14:10,1958
2016/06/17,14:15,1966
2016/06/17,14:20,1945
2016/06/17,14:25,1954
2016/06/17,14:30,1942
2016/06/17,14:35,1936
2016/06/17,14:40,1910
2016/06/17,14:45,1933
2016/06/17,14:50,1930
2016/06/17,14:55,1916
2016/06/17,15:00,1892
2016/06/17,15:05,1879
2016/06/17,15:10,1869
2016/06/17,15:15,1888
2016/06/17,15:20,1893
2016/06/17,15:25,1906
2016/06/17,15:30,1885
2016/06/17,15:35,1892
2016/06/17,15:40,1890
2016/06/17,15:45,1902
2016/06/17,15:50,1899
2016/06/17,15:55,1902
2016/06/17,16:00,1889
2016/06/17,16:05,1861
2016/06/17,16:10,1866
2016/06/17,16:15,1862
2016/06/17,16:20,1864
2016/06/17,16:25,1868
2016/06/17,16:30,1864
2016/06/17,16:35,1859
2016/06/17,16:40,1837
2016/06/17,16:45,1819
2016/06/17,16:50,1813
2016/06/17,16:55,1784
2016/06/17,17:00,1776
2016/06/17,17:05,1752
2016/06/17,17:10,1744
2016/06/17,17:15,1737
2016/06/17,17:20,1718
2016/06/17,17:25,1732
2016/06/17,17:30,1719
2016/06/17,17:35,1715
2016/06/17,17:40,1708
2016/06/17,17:45,1704
2016/06/17,17:50,1709
2016/06/17,17:55,1689
2016/06/17,18:00,1686
2016/06/17,18:05,1673
2016/06/17,18:10,1678
2016/06/17,18:15,1671
2016/06/17,18:20,1670
2016/06/17,18:25,1677
2016/06/17,18:30,1653
2016/06/17,18:35,1662
2016/06/17,18:40,1672
2016/06/17,18:45,1674
2016/06/17,18:50,1670
2016/06/17,18:55,1673
2016/06/17,19:00,1671
2016/06/17,19:05,1663
2016/06/17,19:10,1653
2016/06/17,19:15,1651
2016/06/17,19:20,1655
2016/06/17,19:25,1655
2016/06/17,19:30,1648
2016/06/17,19:35,1639
2016/06/17,19:40,1640
2016/06/17,19:45,1630
2016/06/17,19:50,1633
2016/06/17,19:55,1626
2016/06/17,20:00,1610
2016/06/17,20:05,1607
2016/06/17,20:10,1599
2016/06/17,20:15,1592
2016/06/17,20:20,1581
2016/06/17,20:25,1569
2016/06/17,20:30,1562
2016/06/17,20:35,1556
2016/06/17,20:40,1552
2016/06/17,20:45,1539
2016/06/17,20:50,1526
2016/06/17,20:55,1530
2016/06/17,21:00,1527
2016/06/17,21:05,1530
2016/06/17,21:10,1514
2016/06/17,21:15,1502
2016/06/17,21:20,1494
2016/06/17,21:25,1498
2016/06/17,21:30,1499
2016/06/17,21:35,1489
2016/06/17,21:40,1490
2016/06/17,21:45,1475
2016/06/17,21:50,1467
2016/06/17,21:55,1458
2016/06/17,22:00,1450
2016/06/17,22:05,1455
2016/06/17,22:10,1454
2016/06/17,22:15,1465
2016/06/17,22:20,1446
2016/06/17,22:25,1439
2016/06/17,22:30,1423
2016/06/17,22:35,1423
2016/06/17,22:40,1421
2016/06/17,22:45,1407
2016/06/17,22:50,1393
2016/06/17,22:55,1392
2016/06/17,23:00,1407
2016/06/17,23:05,1407
2016/06/17,23:10,1388
2016/06/17,23:15,1382
2016/06/17,23:20,1382
2016/06/17,23:25,1386
2016/06/17,23:30,1375
2016/06/17,23:35,1372
2016/06/17,23:40,1347
2016/06/17,23:45,1358
2016/06/17,23:50,1351
2016/06/17,23:55,1332
