2016/07/31 23:59 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1909,19:00～20:00,07月31日,07:32,22,82

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1567,19:00～20:00,07月31日,07:32

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/07/31,00:00,1150,1167,60
2016/07/31,01:00,1083,1101,57
2016/07/31,02:00,1063,1098,56
2016/07/31,03:00,1069,1123,56
2016/07/31,04:00,1061,1114,56
2016/07/31,05:00,1032,1082,54
2016/07/31,06:00,1042,1077,55
2016/07/31,07:00,1123,1150,59
2016/07/31,08:00,1249,1268,65
2016/07/31,09:00,1377,1391,72
2016/07/31,10:00,1447,1442,76
2016/07/31,11:00,1501,1477,79
2016/07/31,12:00,1535,1505,80
2016/07/31,13:00,1560,1526,82
2016/07/31,14:00,1565,1535,82
2016/07/31,15:00,1570,1523,82
2016/07/31,16:00,0,1519,
2016/07/31,17:00,0,1511,
2016/07/31,18:00,0,1540,
2016/07/31,19:00,0,1567,
2016/07/31,20:00,0,1511,
2016/07/31,21:00,0,1435,
2016/07/31,22:00,0,1341,
2016/07/31,23:00,0,1265,

最大使用率(%),時間帯
82,15:00～16:00

翌日ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
2592,14:00～15:00,07月31日,22:04,11,90

翌日予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2344,14:00～15:00,07月31日,22:04

DATE,TIME,当日実績(５分間隔値)(万kW)
2016/07/31,00:00,1190
2016/07/31,00:05,1179
2016/07/31,00:10,1173
2016/07/31,00:15,1173
2016/07/31,00:20,1171
2016/07/31,00:25,1165
2016/07/31,00:30,1151
2016/07/31,00:35,1137
2016/07/31,00:40,1120
2016/07/31,00:45,1110
2016/07/31,00:50,1110
2016/07/31,00:55,1107
2016/07/31,01:00,1109
2016/07/31,01:05,1098
2016/07/31,01:10,1086
2016/07/31,01:15,1096
2016/07/31,01:20,1076
2016/07/31,01:25,1080
2016/07/31,01:30,1075
2016/07/31,01:35,1081
2016/07/31,01:40,1070
2016/07/31,01:45,1069
2016/07/31,01:50,1066
2016/07/31,01:55,1053
2016/07/31,02:00,1061
2016/07/31,02:05,1058
2016/07/31,02:10,1051
2016/07/31,02:15,1055
2016/07/31,02:20,1054
2016/07/31,02:25,1060
2016/07/31,02:30,1057
2016/07/31,02:35,1059
2016/07/31,02:40,1064
2016/07/31,02:45,1068
2016/07/31,02:50,1073
2016/07/31,02:55,1073
2016/07/31,03:00,1066
2016/07/31,03:05,1067
2016/07/31,03:10,1062
2016/07/31,03:15,1068
2016/07/31,03:20,1067
2016/07/31,03:25,1066
2016/07/31,03:30,1073
2016/07/31,03:35,1076
2016/07/31,03:40,1083
2016/07/31,03:45,1076
2016/07/31,03:50,1068
2016/07/31,03:55,1078
2016/07/31,04:00,1072
2016/07/31,04:05,1063
2016/07/31,04:10,1077
2016/07/31,04:15,1080
2016/07/31,04:20,1076
2016/07/31,04:25,1071
2016/07/31,04:30,1068
2016/07/31,04:35,1056
2016/07/31,04:40,1062
2016/07/31,04:45,1059
2016/07/31,04:50,1055
2016/07/31,04:55,1050
2016/07/31,05:00,1046
2016/07/31,05:05,1047
2016/07/31,05:10,1041
2016/07/31,05:15,1039
2016/07/31,05:20,1039
2016/07/31,05:25,1041
2016/07/31,05:30,1035
2016/07/31,05:35,1027
2016/07/31,05:40,1025
2016/07/31,05:45,1018
2016/07/31,05:50,1009
2016/07/31,05:55,1012
2016/07/31,06:00,1012
2016/07/31,06:05,1020
2016/07/31,06:10,1030
2016/07/31,06:15,1030
2016/07/31,06:20,1029
2016/07/31,06:25,1034
2016/07/31,06:30,1031
2016/07/31,06:35,1042
2016/07/31,06:40,1049
2016/07/31,06:45,1052
2016/07/31,06:50,1036
2016/07/31,06:55,1049
2016/07/31,07:00,1064
2016/07/31,07:05,1073
2016/07/31,07:10,1081
2016/07/31,07:15,1089
2016/07/31,07:20,1083
2016/07/31,07:25,1101
2016/07/31,07:30,1107
2016/07/31,07:35,1121
2016/07/31,07:40,1131
2016/07/31,07:45,1145
2016/07/31,07:50,1161
2016/07/31,07:55,1159
2016/07/31,08:00,1172
2016/07/31,08:05,1188
2016/07/31,08:10,1188
2016/07/31,08:15,1200
2016/07/31,08:20,1214
2016/07/31,08:25,1226
2016/07/31,08:30,1240
2016/07/31,08:35,1266
2016/07/31,08:40,1278
2016/07/31,08:45,1280
2016/07/31,08:50,1285
2016/07/31,08:55,1307
2016/07/31,09:00,1321
2016/07/31,09:05,1347
2016/07/31,09:10,1359
2016/07/31,09:15,1354
2016/07/31,09:20,1357
2016/07/31,09:25,1373
2016/07/31,09:30,1385
2016/07/31,09:35,1388
2016/07/31,09:40,1391
2016/07/31,09:45,1407
2016/07/31,09:50,1412
2016/07/31,09:55,1424
2016/07/31,10:00,1436
2016/07/31,10:05,1428
2016/07/31,10:10,1441
2016/07/31,10:15,1447
2016/07/31,10:20,1442
2016/07/31,10:25,1461
2016/07/31,10:30,1464
2016/07/31,10:35,1465
2016/07/31,10:40,1465
2016/07/31,10:45,1471
2016/07/31,10:50,1468
2016/07/31,10:55,1478
2016/07/31,11:00,1478
2016/07/31,11:05,1496
2016/07/31,11:10,1497
2016/07/31,11:15,1507
2016/07/31,11:20,1501
2016/07/31,11:25,1513
2016/07/31,11:30,1515
2016/07/31,11:35,1528
2016/07/31,11:40,1536
2016/07/31,11:45,1545
2016/07/31,11:50,1543
2016/07/31,11:55,1542
2016/07/31,12:00,1546
2016/07/31,12:05,1533
2016/07/31,12:10,1531
2016/07/31,12:15,1540
2016/07/31,12:20,1548
2016/07/31,12:25,1553
2016/07/31,12:30,1555
2016/07/31,12:35,1556
2016/07/31,12:40,1555
2016/07/31,12:45,1559
2016/07/31,12:50,1564
2016/07/31,12:55,1568
2016/07/31,13:00,1578
2016/07/31,13:05,1587
2016/07/31,13:10,1572
2016/07/31,13:15,1562
2016/07/31,13:20,1561
2016/07/31,13:25,1587
2016/07/31,13:30,1592
2016/07/31,13:35,1590
2016/07/31,13:40,1592
2016/07/31,13:45,1594
2016/07/31,13:50,1582
2016/07/31,13:55,1579
2016/07/31,14:00,1587
2016/07/31,14:05,1587
2016/07/31,14:10,1584
2016/07/31,14:15,1596
2016/07/31,14:20,1589
2016/07/31,14:25,1598
2016/07/31,14:30,1588
2016/07/31,14:35,1594
2016/07/31,14:40,1600
2016/07/31,14:45,1594
2016/07/31,14:50,1589
2016/07/31,14:55,1608
2016/07/31,15:00,1578
2016/07/31,15:05,1578
2016/07/31,15:10,1594
2016/07/31,15:15,1602
2016/07/31,15:20,1590
2016/07/31,15:25,1607
2016/07/31,15:30,1594
2016/07/31,15:35,1603
2016/07/31,15:40,1600
2016/07/31,15:45,1593
2016/07/31,15:50,1587
2016/07/31,15:55,1594
2016/07/31,16:00,1591
2016/07/31,16:05,1584
