2016/09/19 23:54 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1722,18:00～19:00,09月18日,08:32,20,83

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1432,18:00～19:00,09月18日,08:32

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/09/18,00:00,1165,1165,68
2016/09/18,01:00,1113,1101,65
2016/09/18,02:00,1096,1090,64
2016/09/18,03:00,1106,1094,64
2016/09/18,04:00,1115,1088,65
2016/09/18,05:00,1094,1059,64
2016/09/18,06:00,1095,1038,64
2016/09/18,07:00,1153,1093,67
2016/09/18,08:00,1234,1188,72
2016/09/18,09:00,1319,1285,77
2016/09/18,10:00,1352,1299,78
2016/09/18,11:00,1355,1296,79
2016/09/18,12:00,1346,1311,78
2016/09/18,13:00,1341,1315,78
2016/09/18,14:00,1336,1310,78
2016/09/18,15:00,1341,1320,78
2016/09/18,16:00,1358,1338,79
2016/09/18,17:00,1422,1388,83
2016/09/18,18:00,1448,1432,84
2016/09/18,19:00,1418,1400,82
2016/09/18,20:00,1363,1359,79
2016/09/18,21:00,1294,1297,75
2016/09/18,22:00,1230,1232,71
2016/09/18,23:00,1177,1175,68

最大使用率(%),時間帯
84,18:00～19:00

翌日ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
2026,14:00～15:00,09月18日,17:25,13,88

翌日予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1792,14:00～15:00,09月18日,17:25

DATE,TIME,当日実績(５分間隔値)(万kW)
2016/09/18,00:00,1218
2016/09/18,00:05,1218
2016/09/18,00:10,1193
2016/09/18,00:15,1191
2016/09/18,00:20,1187
2016/09/18,00:25,1190
2016/09/18,00:30,1160
2016/09/18,00:35,1137
2016/09/18,00:40,1145
2016/09/18,00:45,1136
2016/09/18,00:50,1133
2016/09/18,00:55,1129
2016/09/18,01:00,1123
2016/09/18,01:05,1116
2016/09/18,01:10,1133
2016/09/18,01:15,1123
2016/09/18,01:20,1115
2016/09/18,01:25,1118
2016/09/18,01:30,1124
2016/09/18,01:35,1118
2016/09/18,01:40,1115
2016/09/18,01:45,1115
2016/09/18,01:50,1110
2016/09/18,01:55,1106
2016/09/18,02:00,1104
2016/09/18,02:05,1079
2016/09/18,02:10,1084
2016/09/18,02:15,1079
2016/09/18,02:20,1108
2016/09/18,02:25,1099
2016/09/18,02:30,1112
2016/09/18,02:35,1109
2016/09/18,02:40,1117
2016/09/18,02:45,1115
2016/09/18,02:50,1105
2016/09/18,02:55,1106
2016/09/18,03:00,1113
2016/09/18,03:05,1113
2016/09/18,03:10,1109
2016/09/18,03:15,1115
2016/09/18,03:20,1118
2016/09/18,03:25,1112
2016/09/18,03:30,1106
2016/09/18,03:35,1110
2016/09/18,03:40,1104
2016/09/18,03:45,1105
2016/09/18,03:50,1101
2016/09/18,03:55,1097
2016/09/18,04:00,1123
2016/09/18,04:05,1124
2016/09/18,04:10,1109
2016/09/18,04:15,1112
2016/09/18,04:20,1118
2016/09/18,04:25,1113
2016/09/18,04:30,1118
2016/09/18,04:35,1124
2016/09/18,04:40,1131
2016/09/18,04:45,1122
2016/09/18,04:50,1120
2016/09/18,04:55,1117
2016/09/18,05:00,1097
2016/09/18,05:05,1113
2016/09/18,05:10,1097
2016/09/18,05:15,1090
2016/09/18,05:20,1099
2016/09/18,05:25,1083
2016/09/18,05:30,1087
2016/09/18,05:35,1102
2016/09/18,05:40,1096
2016/09/18,05:45,1098
2016/09/18,05:50,1093
2016/09/18,05:55,1092
2016/09/18,06:00,1090
2016/09/18,06:05,1097
2016/09/18,06:10,1093
2016/09/18,06:15,1102
2016/09/18,06:20,1100
2016/09/18,06:25,1109
2016/09/18,06:30,1093
2016/09/18,06:35,1101
2016/09/18,06:40,1101
2016/09/18,06:45,1095
2016/09/18,06:50,1087
2016/09/18,06:55,1110
2016/09/18,07:00,1109
2016/09/18,07:05,1136
2016/09/18,07:10,1141
2016/09/18,07:15,1155
2016/09/18,07:20,1160
2016/09/18,07:25,1165
2016/09/18,07:30,1173
2016/09/18,07:35,1170
2016/09/18,07:40,1163
2016/09/18,07:45,1151
2016/09/18,07:50,1172
2016/09/18,07:55,1158
2016/09/18,08:00,1187
2016/09/18,08:05,1211
2016/09/18,08:10,1216
2016/09/18,08:15,1215
2016/09/18,08:20,1224
2016/09/18,08:25,1239
2016/09/18,08:30,1228
2016/09/18,08:35,1271
2016/09/18,08:40,1267
2016/09/18,08:45,1288
2016/09/18,08:50,1285
2016/09/18,08:55,1280
2016/09/18,09:00,1280
2016/09/18,09:05,1298
2016/09/18,09:10,1318
2016/09/18,09:15,1337
2016/09/18,09:20,1338
2016/09/18,09:25,1341
2016/09/18,09:30,1346
2016/09/18,09:35,1336
2016/09/18,09:40,1343
2016/09/18,09:45,1336
2016/09/18,09:50,1330
2016/09/18,09:55,1339
2016/09/18,10:00,1340
2016/09/18,10:05,1353
2016/09/18,10:10,1357
2016/09/18,10:15,1366
2016/09/18,10:20,1362
2016/09/18,10:25,1351
2016/09/18,10:30,1372
2016/09/18,10:35,1384
2016/09/18,10:40,1381
2016/09/18,10:45,1369
2016/09/18,10:50,1351
2016/09/18,10:55,1353
2016/09/18,11:00,1355
2016/09/18,11:05,1362
2016/09/18,11:10,1373
2016/09/18,11:15,1378
2016/09/18,11:20,1359
2016/09/18,11:25,1385
2016/09/18,11:30,1378
2016/09/18,11:35,1379
2016/09/18,11:40,1375
2016/09/18,11:45,1382
2016/09/18,11:50,1380
2016/09/18,11:55,1368
2016/09/18,12:00,1365
2016/09/18,12:05,1373
2016/09/18,12:10,1370
2016/09/18,12:15,1374
2016/09/18,12:20,1357
2016/09/18,12:25,1347
2016/09/18,12:30,1344
2016/09/18,12:35,1366
2016/09/18,12:40,1364
2016/09/18,12:45,1365
2016/09/18,12:50,1365
2016/09/18,12:55,1353
2016/09/18,13:00,1376
2016/09/18,13:05,1368
2016/09/18,13:10,1373
2016/09/18,13:15,1362
2016/09/18,13:20,1359
2016/09/18,13:25,1354
2016/09/18,13:30,1367
2016/09/18,13:35,1355
2016/09/18,13:40,1353
2016/09/18,13:45,1346
2016/09/18,13:50,1340
2016/09/18,13:55,1345
2016/09/18,14:00,1353
2016/09/18,14:05,1362
2016/09/18,14:10,1352
2016/09/18,14:15,1362
2016/09/18,14:20,1347
2016/09/18,14:25,1352
2016/09/18,14:30,1351
2016/09/18,14:35,1354
2016/09/18,14:40,1328
2016/09/18,14:45,1337
2016/09/18,14:50,1349
2016/09/18,14:55,1337
2016/09/18,15:00,1367
2016/09/18,15:05,1366
2016/09/18,15:10,1356
2016/09/18,15:15,1376
2016/09/18,15:20,1366
2016/09/18,15:25,1367
2016/09/18,15:30,1356
2016/09/18,15:35,1370
2016/09/18,15:40,1355
2016/09/18,15:45,1336
2016/09/18,15:50,1331
2016/09/18,15:55,1341
2016/09/18,16:00,1349
2016/09/18,16:05,1353
2016/09/18,16:10,1363
2016/09/18,16:15,1360
2016/09/18,16:20,1366
2016/09/18,16:25,1362
2016/09/18,16:30,1383
2016/09/18,16:35,1383
2016/09/18,16:40,1373
2016/09/18,16:45,1370
2016/09/18,16:50,1370
2016/09/18,16:55,1367
2016/09/18,17:00,1385
2016/09/18,17:05,1412
2016/09/18,17:10,1416
2016/09/18,17:15,1417
2016/09/18,17:20,1422
2016/09/18,17:25,1415
2016/09/18,17:30,1422
2016/09/18,17:35,1436
2016/09/18,17:40,1428
2016/09/18,17:45,1447
2016/09/18,17:50,1456
2016/09/18,17:55,1456
2016/09/18,18:00,1473
2016/09/18,18:05,1458
2016/09/18,18:10,1441
2016/09/18,18:15,1451
2016/09/18,18:20,1452
2016/09/18,18:25,1468
2016/09/18,18:30,1459
2016/09/18,18:35,1470
2016/09/18,18:40,1454
2016/09/18,18:45,1445
2016/09/18,18:50,1438
2016/09/18,18:55,1450
2016/09/18,19:00,1442
2016/09/18,19:05,1447
2016/09/18,19:10,1425
2016/09/18,19:15,1409
2016/09/18,19:20,1416
2016/09/18,19:25,1431
2016/09/18,19:30,1437
2016/09/18,19:35,1435
2016/09/18,19:40,1415
2016/09/18,19:45,1421
2016/09/18,19:50,1387
2016/09/18,19:55,1385
2016/09/18,20:00,1387
2016/09/18,20:05,1384
2016/09/18,20:10,1388
2016/09/18,20:15,1389
2016/09/18,20:20,1369
2016/09/18,20:25,1377
2016/09/18,20:30,1339
2016/09/18,20:35,1363
2016/09/18,20:40,1365
2016/09/18,20:45,1366
2016/09/18,20:50,1359
2016/09/18,20:55,1368
2016/09/18,21:00,1358
2016/09/18,21:05,1341
2016/09/18,21:10,1314
2016/09/18,21:15,1316
2016/09/18,21:20,1307
2016/09/18,21:25,1306
2016/09/18,21:30,1315
2016/09/18,21:35,1285
2016/09/18,21:40,1293
2016/09/18,21:45,1264
2016/09/18,21:50,1247
2016/09/18,21:55,1260
2016/09/18,22:00,1275
2016/09/18,22:05,1257
2016/09/18,22:10,1251
2016/09/18,22:15,1253
2016/09/18,22:20,1258
2016/09/18,22:25,1247
2016/09/18,22:30,1240
2016/09/18,22:35,1233
2016/09/18,22:40,1210
2016/09/18,22:45,1223
2016/09/18,22:50,1209
2016/09/18,22:55,1195
2016/09/18,23:00,1197
2016/09/18,23:05,1201
2016/09/18,23:10,1184
2016/09/18,23:15,1201
2016/09/18,23:20,1199
2016/09/18,23:25,1193
2016/09/18,23:30,1182
2016/09/18,23:35,1169
2016/09/18,23:40,1171
2016/09/18,23:45,1168
2016/09/18,23:50,1166
2016/09/18,23:55,1160
