2020/02/10 23:54 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1994,19:00～20:00,02月09日,08:25,20,83

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1655,19:00～20:00,02月09日,08:25

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1984,18:00～19:00,02月09日,08:25,20,83

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1653,18:00～19:00,02月09日,08:25

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/02/09,00:00,1364,1352,79,1734
2020/02/09,01:00,1342,1344,78,1725
2020/02/09,02:00,1356,1353,78,1736
2020/02/09,03:00,1356,1349,78,1730
2020/02/09,04:00,1336,1322,79,1699
2020/02/09,05:00,1317,1291,79,1663
2020/02/09,06:00,1356,1336,81,1669
2020/02/09,07:00,1446,1408,83,1748
2020/02/09,08:00,1532,1471,83,1841
2020/02/09,09:00,1540,1479,83,1850
2020/02/09,10:00,1488,1433,83,1794
2020/02/09,11:00,1437,1403,80,1786
2020/02/09,12:00,1407,1394,81,1735
2020/02/09,13:00,1369,1369,80,1715
2020/02/09,14:00,1362,1354,80,1694
2020/02/09,15:00,1379,1373,80,1714
2020/02/09,16:00,1457,1418,83,1759
2020/02/09,17:00,1602,1564,84,1905
2020/02/09,18:00,1702,1653,86,1984
2020/02/09,19:00,1702,1655,85,1994
2020/02/09,20:00,1693,1643,85,2003
2020/02/09,21:00,1628,1594,84,1943
2020/02/09,22:00,1527,1501,83,1842
2020/02/09,23:00,1489,1467,82,1807

最大使用率(%),時間帯
86,18:00～19:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
2639,09:00～10:00,02月09日,16:39,17,86

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2263,9:00～10:00,02月09日,16:39

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
