2016/4/26 23:50 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
460,18:00～19:00,4月25日,17:10,25,80

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
369,18:00～19:00,4月25日,17:10

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/4/26,0:00,280,299,61
2016/4/26,1:00,289,309,63
2016/4/26,2:00,302,313,66
2016/4/26,3:00,308,318,67
2016/4/26,4:00,316,323,69
2016/4/26,5:00,311,314,68
2016/4/26,6:00,305,306,66
2016/4/26,7:00,306,305,67
2016/4/26,8:00,333,327,72
2016/4/26,9:00,351,341,76
2016/4/26,10:00,339,342,74
2016/4/26,11:00,341,342,74
2016/4/26,12:00,325,320,71
2016/4/26,13:00,342,338,74
2016/4/26,14:00,340,336,74
2016/4/26,15:00,336,338,73
2016/4/26,16:00,343,346,74
2016/4/26,17:00,345,350,75
2016/4/26,18:00,361,369,78
2016/4/26,19:00,356,362,77
2016/4/26,20:00,337,346,73
2016/4/26,21:00,323,333,70
2016/4/26,22:00,305,311,66
2016/4/26,23:00,,310,

最大使用率(%),時間帯
78,18:00～19:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
468,18:00～19:00,4月26日,17:20,29,78

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
363,18:00～19:00,4月26日,17:20

DATE,TIME,当日実績(５分間隔値)(万kW)
2016/4/26,0:00,290
2016/4/26,0:05,291
2016/4/26,0:10,292
2016/4/26,0:15,289
2016/4/26,0:20,286
2016/4/26,0:25,287
2016/4/26,0:30,284
2016/4/26,0:35,285
2016/4/26,0:40,282
2016/4/26,0:45,282
2016/4/26,0:50,280
2016/4/26,0:55,279
2016/4/26,1:00,281
2016/4/26,1:05,285
2016/4/26,1:10,287
2016/4/26,1:15,287
2016/4/26,1:20,290
2016/4/26,1:25,292
2016/4/26,1:30,294
2016/4/26,1:35,296
2016/4/26,1:40,297
2016/4/26,1:45,297
2016/4/26,1:50,297
2016/4/26,1:55,297
2016/4/26,2:00,298
2016/4/26,2:05,299
2016/4/26,2:10,298
2016/4/26,2:15,299
2016/4/26,2:20,302
2016/4/26,2:25,304
2016/4/26,2:30,306
2016/4/26,2:35,305
2016/4/26,2:40,307
2016/4/26,2:45,308
2016/4/26,2:50,308
2016/4/26,2:55,309
2016/4/26,3:00,310
2016/4/26,3:05,310
2016/4/26,3:10,310
2016/4/26,3:15,310
2016/4/26,3:20,312
2016/4/26,3:25,312
2016/4/26,3:30,313
2016/4/26,3:35,311
2016/4/26,3:40,311
2016/4/26,3:45,310
2016/4/26,3:50,310
2016/4/26,3:55,311
2016/4/26,4:00,315
2016/4/26,4:05,320
2016/4/26,4:10,323
2016/4/26,4:15,323
2016/4/26,4:20,321
2016/4/26,4:25,322
2016/4/26,4:30,322
2016/4/26,4:35,317
2016/4/26,4:40,316
2016/4/26,4:45,313
2016/4/26,4:50,314
2016/4/26,4:55,315
2016/4/26,5:00,320
2016/4/26,5:05,317
2016/4/26,5:10,317
2016/4/26,5:15,319
2016/4/26,5:20,319
2016/4/26,5:25,315
2016/4/26,5:30,317
2016/4/26,5:35,315
2016/4/26,5:40,313
2016/4/26,5:45,312
2016/4/26,5:50,311
2016/4/26,5:55,311
2016/4/26,6:00,316
2016/4/26,6:05,313
2016/4/26,6:10,310
2016/4/26,6:15,309
2016/4/26,6:20,308
2016/4/26,6:25,307
2016/4/26,6:30,309
2016/4/26,6:35,309
2016/4/26,6:40,309
2016/4/26,6:45,309
2016/4/26,6:50,309
2016/4/26,6:55,308
2016/4/26,7:00,311
2016/4/26,7:05,313
2016/4/26,7:10,313
2016/4/26,7:15,312
2016/4/26,7:20,313
2016/4/26,7:25,312
2016/4/26,7:30,317
2016/4/26,7:35,318
2016/4/26,7:40,320
2016/4/26,7:45,322
2016/4/26,7:50,322
2016/4/26,7:55,323
2016/4/26,8:00,329
2016/4/26,8:05,331
2016/4/26,8:10,332
2016/4/26,8:15,334
2016/4/26,8:20,335
2016/4/26,8:25,337
2016/4/26,8:30,342
2016/4/26,8:35,344
2016/4/26,8:40,345
2016/4/26,8:45,346
2016/4/26,8:50,346
2016/4/26,8:55,348
2016/4/26,9:00,349
2016/4/26,9:05,351
2016/4/26,9:10,352
2016/4/26,9:15,350
2016/4/26,9:20,349
2016/4/26,9:25,347
2016/4/26,9:30,347
2016/4/26,9:35,347
2016/4/26,9:40,349
2016/4/26,9:45,350
2016/4/26,9:50,348
2016/4/26,9:55,347
2016/4/26,10:00,343
2016/4/26,10:05,342
2016/4/26,10:10,340
2016/4/26,10:15,337
2016/4/26,10:20,334
2016/4/26,10:25,334
2016/4/26,10:30,336
2016/4/26,10:35,335
2016/4/26,10:40,334
2016/4/26,10:45,334
2016/4/26,10:50,335
2016/4/26,10:55,334
2016/4/26,11:00,337
2016/4/26,11:05,338
2016/4/26,11:10,337
2016/4/26,11:15,338
2016/4/26,11:20,339
2016/4/26,11:25,339
2016/4/26,11:30,338
2016/4/26,11:35,338
2016/4/26,11:40,335
2016/4/26,11:45,334
2016/4/26,11:50,331
2016/4/26,11:55,329
2016/4/26,12:00,324
2016/4/26,12:05,321
2016/4/26,12:10,321
2016/4/26,12:15,319
2016/4/26,12:20,320
2016/4/26,12:25,321
2016/4/26,12:30,321
2016/4/26,12:35,322
2016/4/26,12:40,321
2016/4/26,12:45,322
2016/4/26,12:50,322
2016/4/26,12:55,326
2016/4/26,13:00,331
2016/4/26,13:05,336
2016/4/26,13:10,338
2016/4/26,13:15,340
2016/4/26,13:20,341
2016/4/26,13:25,342
2016/4/26,13:30,340
2016/4/26,13:35,340
2016/4/26,13:40,341
2016/4/26,13:45,343
2016/4/26,13:50,345
2016/4/26,13:55,343
2016/4/26,14:00,342
2016/4/26,14:05,344
2016/4/26,14:10,344
2016/4/26,14:15,344
2016/4/26,14:20,346
2016/4/26,14:25,348
2016/4/26,14:30,344
2016/4/26,14:35,345
2016/4/26,14:40,345
2016/4/26,14:45,345
2016/4/26,14:50,346
2016/4/26,14:55,346
2016/4/26,15:00,340
2016/4/26,15:05,339
2016/4/26,15:10,338
2016/4/26,15:15,339
2016/4/26,15:20,341
2016/4/26,15:25,342
2016/4/26,15:30,341
2016/4/26,15:35,340
2016/4/26,15:40,342
2016/4/26,15:45,343
2016/4/26,15:50,345
2016/4/26,15:55,347
2016/4/26,16:00,347
2016/4/26,16:05,347
2016/4/26,16:10,347
2016/4/26,16:15,348
2016/4/26,16:20,349
2016/4/26,16:25,350
2016/4/26,16:30,348
2016/4/26,16:35,349
2016/4/26,16:40,349
2016/4/26,16:45,349
2016/4/26,16:50,349
2016/4/26,16:55,349
2016/4/26,17:00,346
2016/4/26,17:05,346
2016/4/26,17:10,348
2016/4/26,17:15,348
2016/4/26,17:20,350
2016/4/26,17:25,351
2016/4/26,17:30,348
2016/4/26,17:35,349
2016/4/26,17:40,351
2016/4/26,17:45,352
2016/4/26,17:50,352
2016/4/26,17:55,353
2016/4/26,18:00,355
2016/4/26,18:05,358
2016/4/26,18:10,359
2016/4/26,18:15,360
2016/4/26,18:20,361
2016/4/26,18:25,363
2016/4/26,18:30,365
2016/4/26,18:35,368
2016/4/26,18:40,370
2016/4/26,18:45,370
2016/4/26,18:50,370
2016/4/26,18:55,369
2016/4/26,19:00,368
2016/4/26,19:05,367
2016/4/26,19:10,365
2016/4/26,19:15,363
2016/4/26,19:20,361
2016/4/26,19:25,359
2016/4/26,19:30,358
2016/4/26,19:35,358
2016/4/26,19:40,358
2016/4/26,19:45,354
2016/4/26,19:50,351
2016/4/26,19:55,349
2016/4/26,20:00,348
2016/4/26,20:05,348
2016/4/26,20:10,347
2016/4/26,20:15,345
2016/4/26,20:20,343
2016/4/26,20:25,340
2016/4/26,20:30,338
2016/4/26,20:35,337
2016/4/26,20:40,336
2016/4/26,20:45,335
2016/4/26,20:50,334
2016/4/26,20:55,334
2016/4/26,21:00,332
2016/4/26,21:05,333
2016/4/26,21:10,334
2016/4/26,21:15,332
2016/4/26,21:20,330
2016/4/26,21:25,328
2016/4/26,21:30,325
2016/4/26,21:35,325
2016/4/26,21:40,325
2016/4/26,21:45,321
2016/4/26,21:50,318
2016/4/26,21:55,317
2016/4/26,22:00,317
2016/4/26,22:05,315
2016/4/26,22:10,313
2016/4/26,22:15,314
2016/4/26,22:20,314
2016/4/26,22:25,310
2016/4/26,22:30,308
2016/4/26,22:35,308
2016/4/26,22:40,305
2016/4/26,22:45,304
2016/4/26,22:50,303
2016/4/26,22:55,300
2016/4/26,23:00,305
2016/4/26,23:05,307
2016/4/26,23:10,308
2016/4/26,23:15,308
2016/4/26,23:20,310
2016/4/26,23:25,308
2016/4/26,23:30,303
2016/4/26,23:35,301
2016/4/26,23:40,303
2016/4/26,23:45,303
2016/4/26,23:50,
2016/4/26,23:55,
