2016/5/24 19:50 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
455,19:00～20:00,5月23日,17:01,28,78

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
356,19:00～20:00,5月23日,17:01

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/5/24,0:00,259,271,57
2016/5/24,1:00,261,274,57
2016/5/24,2:00,272,286,60
2016/5/24,3:00,282,292,62
2016/5/24,4:00,274,288,60
2016/5/24,5:00,266,282,59
2016/5/24,6:00,262,283,58
2016/5/24,7:00,275,297,60
2016/5/24,8:00,299,325,66
2016/5/24,9:00,309,343,68
2016/5/24,10:00,312,350,69
2016/5/24,11:00,318,352,70
2016/5/24,12:00,307,329,67
2016/5/24,13:00,326,347,72
2016/5/24,14:00,328,344,72
2016/5/24,15:00,323,341,71
2016/5/24,16:00,333,343,73
2016/5/24,17:00,331,350,73
2016/5/24,18:00,336,354,74
2016/5/24,19:00,,356,
2016/5/24,20:00,,335,
2016/5/24,21:00,,319,
2016/5/24,22:00,,297,
2016/5/24,23:00,,291,

最大使用率(%),時間帯
74,18:00～19:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
461,18:00～19:00,5月24日,17:00,27,78

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
362,18:00～19:00,5月24日,17:00

DATE,TIME,当日実績(５分間隔値)(万kW)
2016/5/24,0:00,271
2016/5/24,0:05,270
2016/5/24,0:10,269
2016/5/24,0:15,268
2016/5/24,0:20,266
2016/5/24,0:25,265
2016/5/24,0:30,264
2016/5/24,0:35,262
2016/5/24,0:40,261
2016/5/24,0:45,259
2016/5/24,0:50,257
2016/5/24,0:55,258
2016/5/24,1:00,260
2016/5/24,1:05,261
2016/5/24,1:10,262
2016/5/24,1:15,263
2016/5/24,1:20,264
2016/5/24,1:25,263
2016/5/24,1:30,263
2016/5/24,1:35,267
2016/5/24,1:40,269
2016/5/24,1:45,268
2016/5/24,1:50,269
2016/5/24,1:55,269
2016/5/24,2:00,268
2016/5/24,2:05,269
2016/5/24,2:10,272
2016/5/24,2:15,273
2016/5/24,2:20,274
2016/5/24,2:25,274
2016/5/24,2:30,277
2016/5/24,2:35,279
2016/5/24,2:40,281
2016/5/24,2:45,281
2016/5/24,2:50,282
2016/5/24,2:55,281
2016/5/24,3:00,281
2016/5/24,3:05,283
2016/5/24,3:10,285
2016/5/24,3:15,286
2016/5/24,3:20,286
2016/5/24,3:25,287
2016/5/24,3:30,286
2016/5/24,3:35,286
2016/5/24,3:40,285
2016/5/24,3:45,285
2016/5/24,3:50,282
2016/5/24,3:55,282
2016/5/24,4:00,281
2016/5/24,4:05,282
2016/5/24,4:10,282
2016/5/24,4:15,281
2016/5/24,4:20,279
2016/5/24,4:25,278
2016/5/24,4:30,279
2016/5/24,4:35,278
2016/5/24,4:40,277
2016/5/24,4:45,277
2016/5/24,4:50,275
2016/5/24,4:55,273
2016/5/24,5:00,276
