2018/5/26 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
426,19:00～20:00,5月25日,4:21,21,83

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
353,19:00～20:00,5月25日,4:21

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2018/5/25,0:00,272,269,64
2018/5/25,1:00,274,274,64
2018/5/25,2:00,291,293,68
2018/5/25,3:00,301,298,71
2018/5/25,4:00,295,294,69
2018/5/25,5:00,287,289,67
2018/5/25,6:00,300,294,70
2018/5/25,7:00,315,305,74
2018/5/25,8:00,347,325,81
2018/5/25,9:00,362,339,85
2018/5/25,10:00,359,340,84
2018/5/25,11:00,345,334,81
2018/5/25,12:00,316,320,74
2018/5/25,13:00,333,344,78
2018/5/25,14:00,336,339,79
2018/5/25,15:00,327,338,77
2018/5/25,16:00,335,348,79
2018/5/25,17:00,332,348,78
2018/5/25,18:00,334,348,79
2018/5/25,19:00,345,353,81
2018/5/25,20:00,325,328,76
2018/5/25,21:00,311,308,73
2018/5/25,22:00,293,293,69
2018/5/25,23:00,288,284,68

最大使用率(%),時間帯
85,9:00～10:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
420,19:00～20:00,5月26日,4:17,24,81

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
338,19:00～20:00,5月26日,4:17

DATE,TIME,当日実績(５分間隔値)(万kW)
2018/5/25,0:00,278
2018/5/25,0:05,279
2018/5/25,0:10,276
2018/5/25,0:15,273
2018/5/25,0:20,271
2018/5/25,0:25,269
2018/5/25,0:30,271
2018/5/25,0:35,272
2018/5/25,0:40,270
2018/5/25,0:45,266
2018/5/25,0:50,263
2018/5/25,0:55,263
2018/5/25,1:00,264
2018/5/25,1:05,268
2018/5/25,1:10,268
2018/5/25,1:15,270
2018/5/25,1:20,268
2018/5/25,1:25,269
2018/5/25,1:30,274
2018/5/25,1:35,277
2018/5/25,1:40,278
2018/5/25,1:45,277
2018/5/25,1:50,276
2018/5/25,1:55,277
2018/5/25,2:00,278
2018/5/25,2:05,281
2018/5/25,2:10,283
2018/5/25,2:15,285
2018/5/25,2:20,283
2018/5/25,2:25,285
2018/5/25,2:30,290
2018/5/25,2:35,294
2018/5/25,2:40,296
2018/5/25,2:45,295
2018/5/25,2:50,296
2018/5/25,2:55,298
2018/5/25,3:00,301
2018/5/25,3:05,299
2018/5/25,3:10,303
2018/5/25,3:15,301
2018/5/25,3:20,298
2018/5/25,3:25,300
2018/5/25,3:30,302
2018/5/25,3:35,300
2018/5/25,3:40,301
2018/5/25,3:45,301
2018/5/25,3:50,299
2018/5/25,3:55,299
2018/5/25,4:00,299
2018/5/25,4:05,299
2018/5/25,4:10,299
2018/5/25,4:15,299
2018/5/25,4:20,299
2018/5/25,4:25,292
2018/5/25,4:30,296
2018/5/25,4:35,294
2018/5/25,4:40,292
2018/5/25,4:45,290
2018/5/25,4:50,287
2018/5/25,4:55,287
2018/5/25,5:00,290
