2018/9/6 23:50 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
455,18:00～19:00,9月5日,17:29,22,82

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
374,18:00～19:00,9月5日,17:29

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2018/9/6,0:00,277,278,61
2018/9/6,1:00,267,274,59
2018/9/6,2:00,284,283,62
2018/9/6,3:00,107,291,24
2018/9/6,4:00,2,293,0
2018/9/6,5:00,4,288,1
2018/9/6,6:00,4,293,1
2018/9/6,7:00,4,313,1
2018/9/6,8:00,4,344,1
2018/9/6,9:00,4,354,1
2018/9/6,10:00,7,364,1
2018/9/6,11:00,8,368,2
2018/9/6,12:00,12,348,3
2018/9/6,13:00,18,362,4
2018/9/6,14:00,31,357,7
2018/9/6,15:00,38,361,8
2018/9/6,16:00,44,369,10
2018/9/6,17:00,48,364,11
2018/9/6,18:00,54,374,12
2018/9/6,19:00,60,360,13
2018/9/6,20:00,68,336,15
2018/9/6,21:00,71,319,16
2018/9/6,22:00,71,303,16
2018/9/6,23:00,,288,

最大使用率(%),時間帯
62,2:00～3:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
272,22:00～23:00,,

DATE,TIME,当日実績(５分間隔値)(万kW)
2018/9/6,0:00,288
2018/9/6,0:05,289
2018/9/6,0:10,286
2018/9/6,0:15,281
2018/9/6,0:20,278
2018/9/6,0:25,278
2018/9/6,0:30,277
2018/9/6,0:35,275
2018/9/6,0:40,272
2018/9/6,0:45,271
2018/9/6,0:50,270
2018/9/6,0:55,266
2018/9/6,1:00,266
2018/9/6,1:05,268
2018/9/6,1:10,267
2018/9/6,1:15,262
2018/9/6,1:20,261
2018/9/6,1:25,263
2018/9/6,1:30,265
2018/9/6,1:35,265
2018/9/6,1:40,268
2018/9/6,1:45,271
2018/9/6,1:50,272
2018/9/6,1:55,274
2018/9/6,2:00,276
2018/9/6,2:05,278
2018/9/6,2:10,280
2018/9/6,2:15,284
2018/9/6,2:20,285
2018/9/6,2:25,281
2018/9/6,2:30,279
2018/9/6,2:35,285
2018/9/6,2:40,291
2018/9/6,2:45,289
2018/9/6,2:50,290
2018/9/6,2:55,292
2018/9/6,3:00,292
2018/9/6,3:05,279
2018/9/6,3:10,188
2018/9/6,3:15,193
2018/9/6,3:20,181
2018/9/6,3:25,143
2018/9/6,3:30,36
2018/9/6,3:35,36
2018/9/6,3:40,36
2018/9/6,3:45,36
2018/9/6,3:50,36
2018/9/6,3:55,36
2018/9/6,4:00,36
2018/9/6,4:05,35
2018/9/6,4:10,35
2018/9/6,4:15,35
2018/9/6,4:20,35
2018/9/6,4:25,35
2018/9/6,4:30,35
2018/9/6,4:35,35
2018/9/6,4:40,35
2018/9/6,4:45,35
2018/9/6,4:50,35
2018/9/6,4:55,35
2018/9/6,5:00,36
2018/9/6,5:05,36
2018/9/6,5:10,37
2018/9/6,5:15,37
2018/9/6,5:20,38
2018/9/6,5:25,38
2018/9/6,5:30,40
2018/9/6,5:35,40
2018/9/6,5:40,40
2018/9/6,5:45,40
2018/9/6,5:50,40
2018/9/6,5:55,40
2018/9/6,6:00,44
2018/9/6,6:05,44
2018/9/6,6:10,44
2018/9/6,6:15,44
2018/9/6,6:20,44
2018/9/6,6:25,43
2018/9/6,6:30,51
2018/9/6,6:35,51
2018/9/6,6:40,51
2018/9/6,6:45,51
2018/9/6,6:50,51
2018/9/6,6:55,51
2018/9/6,7:00,60
2018/9/6,7:05,60
2018/9/6,7:10,60
2018/9/6,7:15,60
2018/9/6,7:20,60
2018/9/6,7:25,60
2018/9/6,7:30,66
2018/9/6,7:35,67
2018/9/6,7:40,67
2018/9/6,7:45,67
2018/9/6,7:50,67
2018/9/6,7:55,67
2018/9/6,8:00,79
2018/9/6,8:05,79
2018/9/6,8:10,79
2018/9/6,8:15,79
2018/9/6,8:20,79
2018/9/6,8:25,72
2018/9/6,8:30,46
2018/9/6,8:35,47
2018/9/6,8:40,36
2018/9/6,8:45,15
2018/9/6,8:50,15
2018/9/6,8:55,15
2018/9/6,9:00,14
2018/9/6,9:05,14
2018/9/6,9:10,14
2018/9/6,9:15,14
2018/9/6,9:20,13
2018/9/6,9:25,4
2018/9/6,9:30,49
2018/9/6,9:35,12
2018/9/6,9:40,5
2018/9/6,9:45,5
2018/9/6,9:50,5
2018/9/6,9:55,6
2018/9/6,10:00,6
2018/9/6,10:05,6
2018/9/6,10:10,6
2018/9/6,10:15,7
2018/9/6,10:20,7
2018/9/6,10:25,7
2018/9/6,10:30,7
2018/9/6,10:35,7
2018/9/6,10:40,7
2018/9/6,10:45,7
2018/9/6,10:50,7
2018/9/6,10:55,7
2018/9/6,11:00,7
2018/9/6,11:05,7
2018/9/6,11:10,7
2018/9/6,11:15,7
2018/9/6,11:20,8
2018/9/6,11:25,8
2018/9/6,11:30,8
2018/9/6,11:35,8
2018/9/6,11:40,8
2018/9/6,11:45,8
2018/9/6,11:50,8
2018/9/6,11:55,9
