2018/9/8 10:15 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
359,19:00～20:00,9月8日,0:00,2,98

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
352,19:00～20:00,9月8日,0:00

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2018/9/8,0:00,240,274,67
2018/9/8,1:00,247,269,69
2018/9/8,2:00,259,279,72
2018/9/8,3:00,269,288,75
2018/9/8,4:00,269,293,75
2018/9/8,5:00,254,274,71
2018/9/8,6:00,251,279,70
2018/9/8,7:00,263,298,73
2018/9/8,8:00,283,313,79
2018/9/8,9:00,295,332,82
2018/9/8,10:00,,342,
2018/9/8,11:00,,347,
2018/9/8,12:00,,332,
2018/9/8,13:00,,342,
2018/9/8,14:00,,342,
2018/9/8,15:00,,342,
2018/9/8,16:00,,337,
2018/9/8,17:00,,337,
2018/9/8,18:00,,347,
2018/9/8,19:00,,352,
2018/9/8,20:00,,333,
2018/9/8,21:00,,308,
2018/9/8,22:00,,293,
2018/9/8,23:00,,284,

最大使用率(%),時間帯
82,9:00～10:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

DATE,TIME,当日実績(５分間隔値)(万kW)
2018/9/8,0:00,228
2018/9/8,0:05,228
2018/9/8,0:10,228
2018/9/8,0:15,227
2018/9/8,0:20,225
2018/9/8,0:25,224
2018/9/8,0:30,223
2018/9/8,0:35,223
2018/9/8,0:40,224
2018/9/8,0:45,225
2018/9/8,0:50,226
2018/9/8,0:55,226
2018/9/8,1:00,228
2018/9/8,1:05,229
2018/9/8,1:10,230
2018/9/8,1:15,230
2018/9/8,1:20,230
2018/9/8,1:25,232
2018/9/8,1:30,234
2018/9/8,1:35,235
2018/9/8,1:40,235
2018/9/8,1:45,235
2018/9/8,1:50,236
2018/9/8,1:55,237
2018/9/8,2:00,237
2018/9/8,2:05,240
2018/9/8,2:10,241
2018/9/8,2:15,242
2018/9/8,2:20,242
2018/9/8,2:25,243
2018/9/8,2:30,245
2018/9/8,2:35,246
2018/9/8,2:40,248
2018/9/8,2:45,249
2018/9/8,2:50,249
2018/9/8,2:55,250
2018/9/8,3:00,250
2018/9/8,3:05,252
2018/9/8,3:10,253
2018/9/8,3:15,256
2018/9/8,3:20,255
2018/9/8,3:25,255
2018/9/8,3:30,255
2018/9/8,3:35,256
2018/9/8,3:40,255
2018/9/8,3:45,256
2018/9/8,3:50,256
2018/9/8,3:55,256
2018/9/8,4:00,256
2018/9/8,4:05,257
2018/9/8,4:10,256
2018/9/8,4:15,256
2018/9/8,4:20,256
2018/9/8,4:25,256
2018/9/8,4:30,256
2018/9/8,4:35,255
2018/9/8,4:40,255
2018/9/8,4:45,254
2018/9/8,4:50,253
2018/9/8,4:55,250
2018/9/8,5:00,250
2018/9/8,5:05,247
2018/9/8,5:10,245
2018/9/8,5:15,244
2018/9/8,5:20,243
2018/9/8,5:25,241
2018/9/8,5:30,240
2018/9/8,5:35,237
2018/9/8,5:40,235
2018/9/8,5:45,232
2018/9/8,5:50,231
2018/9/8,5:55,231
2018/9/8,6:00,233
2018/9/8,6:05,234
2018/9/8,6:10,235
2018/9/8,6:15,235
2018/9/8,6:20,235
2018/9/8,6:25,235
2018/9/8,6:30,236
2018/9/8,6:35,237
2018/9/8,6:40,237
2018/9/8,6:45,237
2018/9/8,6:50,238
2018/9/8,6:55,239
2018/9/8,7:00,240
2018/9/8,7:05,242
2018/9/8,7:10,243
2018/9/8,7:15,244
2018/9/8,7:20,245
2018/9/8,7:25,247
2018/9/8,7:30,248
2018/9/8,7:35,249
2018/9/8,7:40,250
2018/9/8,7:45,251
2018/9/8,7:50,253
2018/9/8,7:55,255
2018/9/8,8:00,258
2018/9/8,8:05,259
2018/9/8,8:10,261
2018/9/8,8:15,262
2018/9/8,8:20,265
2018/9/8,8:25,267
2018/9/8,8:30,269
2018/9/8,8:35,271
2018/9/8,8:40,271
2018/9/8,8:45,272
2018/9/8,8:50,273
2018/9/8,8:55,274
2018/9/8,9:00,276
2018/9/8,9:05,278
2018/9/8,9:10,279
2018/9/8,9:15,279
2018/9/8,9:20,279
2018/9/8,9:25,278
2018/9/8,9:30,278
2018/9/8,9:35,279
2018/9/8,9:40,277
2018/9/8,9:45,276
2018/9/8,9:50,275
2018/9/8,9:55,275
2018/9/8,10:00,271
2018/9/8,10:05,266
2018/9/8,10:10,264
2018/9/8,10:15,
2018/9/8,10:20,
2018/9/8,10:25,
2018/9/8,10:30,
2018/9/8,10:35,
2018/9/8,10:40,
2018/9/8,10:45,
2018/9/8,10:50,
2018/9/8,10:55,
2018/9/8,11:00,
2018/9/8,11:05,
2018/9/8,11:10,
2018/9/8,11:15,
2018/9/8,11:20,
2018/9/8,11:25,
2018/9/8,11:30,
