2018/9/13 23:50 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
345,18:00～19:00,,

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2018/9/12,0:00,242,247,
2018/9/12,1:00,241,247,
2018/9/12,2:00,253,257,
2018/9/12,3:00,269,266,
2018/9/12,4:00,274,267,
2018/9/12,5:00,260,257,
2018/9/12,6:00,260,272,
2018/9/12,7:00,266,292,
2018/9/12,8:00,276,302,
2018/9/12,9:00,298,317,
2018/9/12,10:00,302,322,
2018/9/12,11:00,306,322,
2018/9/12,12:00,286,302,
2018/9/12,13:00,299,322,
2018/9/12,14:00,303,327,
2018/9/12,15:00,306,327,
2018/9/12,16:00,315,331,
2018/9/12,17:00,317,340,
2018/9/12,18:00,332,345,
2018/9/12,19:00,320,340,
2018/9/12,20:00,300,323,
2018/9/12,21:00,282,302,
2018/9/12,22:00,271,287,
2018/9/12,23:00,265,267,

最大使用率(%),時間帯
,

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
353,18:00～19:00,9月13日,14:17,2,98

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
345,18:00～19:00,9月13日,14:17

DATE,TIME,当日実績(５分間隔値)(万kW)
2018/9/12,0:00,248
2018/9/12,0:05,248
2018/9/12,0:10,247
2018/9/12,0:15,247
2018/9/12,0:20,245
2018/9/12,0:25,242
2018/9/12,0:30,241
2018/9/12,0:35,239
2018/9/12,0:40,237
2018/9/12,0:45,235
2018/9/12,0:50,234
2018/9/12,0:55,236
2018/9/12,1:00,238
2018/9/12,1:05,236
2018/9/12,1:10,237
2018/9/12,1:15,238
2018/9/12,1:20,237
2018/9/12,1:25,238
2018/9/12,1:30,239
2018/9/12,1:35,240
2018/9/12,1:40,241
2018/9/12,1:45,241
2018/9/12,1:50,241
2018/9/12,1:55,242
2018/9/12,2:00,244
2018/9/12,2:05,246
2018/9/12,2:10,246
2018/9/12,2:15,246
2018/9/12,2:20,247
2018/9/12,2:25,248
2018/9/12,2:30,249
2018/9/12,2:35,252
2018/9/12,2:40,256
2018/9/12,2:45,258
2018/9/12,2:50,259
2018/9/12,2:55,261
2018/9/12,3:00,262
2018/9/12,3:05,263
2018/9/12,3:10,266
2018/9/12,3:15,267
2018/9/12,3:20,270
2018/9/12,3:25,269
2018/9/12,3:30,269
2018/9/12,3:35,267
2018/9/12,3:40,268
2018/9/12,3:45,270
2018/9/12,3:50,270
2018/9/12,3:55,268
2018/9/12,4:00,269
2018/9/12,4:05,270
2018/9/12,4:10,272
2018/9/12,4:15,273
2018/9/12,4:20,272
2018/9/12,4:25,273
2018/9/12,4:30,273
2018/9/12,4:35,272
2018/9/12,4:40,273
2018/9/12,4:45,272
2018/9/12,4:50,271
2018/9/12,4:55,269
2018/9/12,5:00,268
2018/9/12,5:05,265
2018/9/12,5:10,264
2018/9/12,5:15,263
2018/9/12,5:20,261
2018/9/12,5:25,258
2018/9/12,5:30,257
2018/9/12,5:35,255
2018/9/12,5:40,252
2018/9/12,5:45,250
2018/9/12,5:50,248
2018/9/12,5:55,248
2018/9/12,6:00,256
2018/9/12,6:05,258
2018/9/12,6:10,258
2018/9/12,6:15,257
2018/9/12,6:20,256
2018/9/12,6:25,253
2018/9/12,6:30,261
2018/9/12,6:35,260
2018/9/12,6:40,259
2018/9/12,6:45,256
2018/9/12,6:50,255
2018/9/12,6:55,256
2018/9/12,7:00,262
2018/9/12,7:05,262
2018/9/12,7:10,262
2018/9/12,7:15,263
2018/9/12,7:20,261
2018/9/12,7:25,261
2018/9/12,7:30,267
2018/9/12,7:35,268
2018/9/12,7:40,267
2018/9/12,7:45,266
2018/9/12,7:50,264
2018/9/12,7:55,261
2018/9/12,8:00,272
2018/9/12,8:05,269
2018/9/12,8:10,265
2018/9/12,8:15,264
2018/9/12,8:20,264
2018/9/12,8:25,266
2018/9/12,8:30,276
2018/9/12,8:35,278
2018/9/12,8:40,278
2018/9/12,8:45,279
2018/9/12,8:50,280
2018/9/12,8:55,280
2018/9/12,9:00,292
2018/9/12,9:05,294
2018/9/12,9:10,294
2018/9/12,9:15,294
2018/9/12,9:20,292
2018/9/12,9:25,292
2018/9/12,9:30,296
2018/9/12,9:35,298
2018/9/12,9:40,297
2018/9/12,9:45,296
2018/9/12,9:50,295
2018/9/12,9:55,296
2018/9/12,10:00,298
2018/9/12,10:05,297
2018/9/12,10:10,294
2018/9/12,10:15,298
2018/9/12,10:20,298
2018/9/12,10:25,299
2018/9/12,10:30,302
2018/9/12,10:35,301
2018/9/12,10:40,300
2018/9/12,10:45,301
2018/9/12,10:50,300
2018/9/12,10:55,299
2018/9/12,11:00,302
2018/9/12,11:05,303
2018/9/12,11:10,302
2018/9/12,11:15,302
2018/9/12,11:20,303
2018/9/12,11:25,304
2018/9/12,11:30,303
2018/9/12,11:35,301
2018/9/12,11:40,299
2018/9/12,11:45,299
2018/9/12,11:50,300
2018/9/12,11:55,300
2018/9/12,12:00,292
2018/9/12,12:05,287
2018/9/12,12:10,288
2018/9/12,12:15,285
2018/9/12,12:20,283
2018/9/12,12:25,283
2018/9/12,12:30,275
2018/9/12,12:35,276
2018/9/12,12:40,277
2018/9/12,12:45,279
2018/9/12,12:50,281
2018/9/12,12:55,283
2018/9/12,13:00,285
2018/9/12,13:05,291
2018/9/12,13:10,292
2018/9/12,13:15,294
2018/9/12,13:20,295
2018/9/12,13:25,294
2018/9/12,13:30,294
2018/9/12,13:35,294
2018/9/12,13:40,295
2018/9/12,13:45,296
2018/9/12,13:50,295
2018/9/12,13:55,297
2018/9/12,14:00,294
2018/9/12,14:05,296
2018/9/12,14:10,298
2018/9/12,14:15,299
2018/9/12,14:20,300
2018/9/12,14:25,302
2018/9/12,14:30,296
2018/9/12,14:35,296
2018/9/12,14:40,297
2018/9/12,14:45,299
2018/9/12,14:50,301
2018/9/12,14:55,301
2018/9/12,15:00,294
2018/9/12,15:05,295
2018/9/12,15:10,296
2018/9/12,15:15,299
2018/9/12,15:20,303
2018/9/12,15:25,305
2018/9/12,15:30,300
2018/9/12,15:35,303
2018/9/12,15:40,304
2018/9/12,15:45,307
2018/9/12,15:50,309
2018/9/12,15:55,308
2018/9/12,16:00,306
2018/9/12,16:05,308
2018/9/12,16:10,310
2018/9/12,16:15,312
2018/9/12,16:20,315
2018/9/12,16:25,316
2018/9/12,16:30,312
2018/9/12,16:35,311
2018/9/12,16:40,310
2018/9/12,16:45,309
2018/9/12,16:50,309
2018/9/12,16:55,310
2018/9/12,17:00,307
2018/9/12,17:05,308
2018/9/12,17:10,308
2018/9/12,17:15,309
2018/9/12,17:20,311
2018/9/12,17:25,312
2018/9/12,17:30,312
2018/9/12,17:35,313
2018/9/12,17:40,314
2018/9/12,17:45,315
2018/9/12,17:50,319
2018/9/12,17:55,323
2018/9/12,18:00,328
2018/9/12,18:05,330
2018/9/12,18:10,329
2018/9/12,18:15,329
2018/9/12,18:20,331
2018/9/12,18:25,329
2018/9/12,18:30,328
2018/9/12,18:35,327
2018/9/12,18:40,326
2018/9/12,18:45,324
2018/9/12,18:50,323
2018/9/12,18:55,321
2018/9/12,19:00,322
2018/9/12,19:05,323
2018/9/12,19:10,321
2018/9/12,19:15,320
2018/9/12,19:20,318
2018/9/12,19:25,316
2018/9/12,19:30,315
2018/9/12,19:35,314
2018/9/12,19:40,312
2018/9/12,19:45,309
2018/9/12,19:50,308
2018/9/12,19:55,306
2018/9/12,20:00,304
2018/9/12,20:05,302
2018/9/12,20:10,300
2018/9/12,20:15,298
2018/9/12,20:20,296
2018/9/12,20:25,294
2018/9/12,20:30,293
2018/9/12,20:35,293
2018/9/12,20:40,293
2018/9/12,20:45,290
2018/9/12,20:50,290
2018/9/12,20:55,289
2018/9/12,21:00,286
2018/9/12,21:05,284
2018/9/12,21:10,282
2018/9/12,21:15,280
2018/9/12,21:20,278
2018/9/12,21:25,278
2018/9/12,21:30,276
2018/9/12,21:35,276
2018/9/12,21:40,274
2018/9/12,21:45,273
2018/9/12,21:50,273
2018/9/12,21:55,271
2018/9/12,22:00,265
2018/9/12,22:05,268
2018/9/12,22:10,271
2018/9/12,22:15,272
2018/9/12,22:20,270
2018/9/12,22:25,269
2018/9/12,22:30,269
2018/9/12,22:35,267
2018/9/12,22:40,267
2018/9/12,22:45,266
2018/9/12,22:50,264
2018/9/12,22:55,262
2018/9/12,23:00,264
2018/9/12,23:05,265
2018/9/12,23:10,263
2018/9/12,23:15,261
2018/9/12,23:20,260
2018/9/12,23:25,260
2018/9/12,23:30,259
2018/9/12,23:35,259
2018/9/12,23:40,258
2018/9/12,23:45,256
2018/9/12,23:50,257
2018/9/12,23:55,256
