2020/8/27 23:50 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
457,15:00～16:00,8月26日,9:34,9,91

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
418,15:00～16:00,8月26日,9:34

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
454,14:00～15:00,8月26日,9:34,9,92

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
417,14:00～15:00,8月26日,9:34

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/8/26,0:00,261,262,85,306
2020/8/26,1:00,258,258,84,306
2020/8/26,2:00,268,268,86,310
2020/8/26,3:00,282,283,89,316
2020/8/26,4:00,288,288,92,314
2020/8/26,5:00,279,279,88,317
2020/8/26,6:00,281,281,88,320
2020/8/26,7:00,300,301,85,355
2020/8/26,8:00,348,349,87,398
2020/8/26,9:00,384,370,93,413
2020/8/26,10:00,390,383,90,431
2020/8/26,11:00,399,395,90,442
2020/8/26,12:00,385,380,86,447
2020/8/26,13:00,399,398,88,452
2020/8/26,14:00,401,417,88,454
2020/8/26,15:00,400,418,87,457
2020/8/26,16:00,410,418,90,455
2020/8/26,17:00,403,400,91,441
2020/8/26,18:00,399,394,91,438
2020/8/26,19:00,390,383,92,423
2020/8/26,20:00,361,361,91,397
2020/8/26,21:00,338,338,90,376
2020/8/26,22:00,319,312,91,349
2020/8/26,23:00,301,297,91,331

最大使用率(%),時間帯
93,9:00～10:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
456,16:00～17:00,8月27日,12:37,7,93

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
426,16:00～17:00,8月27日,12:37

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
456,16:00～17:00,8月27日,12:37,7,93

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
426,16:00～17:00,8月27日,12:37

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2020/8/26,0:00,269,0
2020/8/26,0:05,272,0
2020/8/26,0:10,272,0
2020/8/26,0:15,267,0
2020/8/26,0:20,265,0
2020/8/26,0:25,263,0
2020/8/26,0:30,261,0
2020/8/26,0:35,259,0
2020/8/26,0:40,257,0
2020/8/26,0:45,257,0
2020/8/26,0:50,256,0
2020/8/26,0:55,255,0
2020/8/26,1:00,255,0
2020/8/26,1:05,256,0
2020/8/26,1:10,258,0
2020/8/26,1:15,260,0
2020/8/26,1:20,259,0
2020/8/26,1:25,259,0
2020/8/26,1:30,257,0
2020/8/26,1:35,259,0
2020/8/26,1:40,261,0
2020/8/26,1:45,260,0
2020/8/26,1:50,259,0
2020/8/26,1:55,261,0
2020/8/26,2:00,263,0
2020/8/26,2:05,266,0
2020/8/26,2:10,266,0
2020/8/26,2:15,267,0
2020/8/26,2:20,267,0
2020/8/26,2:25,265,0
2020/8/26,2:30,266,0
2020/8/26,2:35,270,0
2020/8/26,2:40,273,0
2020/8/26,2:45,273,0
2020/8/26,2:50,273,0
2020/8/26,2:55,273,0
2020/8/26,3:00,276,0
2020/8/26,3:05,277,0
2020/8/26,3:10,281,0
2020/8/26,3:15,283,0
2020/8/26,3:20,283,0
2020/8/26,3:25,282,0
2020/8/26,3:30,282,0
2020/8/26,3:35,284,0
2020/8/26,3:40,286,0
2020/8/26,3:45,287,0
2020/8/26,3:50,286,0
2020/8/26,3:55,288,0
2020/8/26,4:00,289,0
2020/8/26,4:05,291,0
2020/8/26,4:10,291,0
2020/8/26,4:15,290,0
2020/8/26,4:20,290,0
2020/8/26,4:25,290,0
2020/8/26,4:30,289,0
2020/8/26,4:35,288,0
2020/8/26,4:40,288,0
2020/8/26,4:45,287,0
2020/8/26,4:50,285,0
2020/8/26,4:55,285,0
2020/8/26,5:00,287,2
2020/8/26,5:05,288,2
2020/8/26,5:10,286,2
2020/8/26,5:15,286,2
2020/8/26,5:20,283,2
2020/8/26,5:25,279,2
2020/8/26,5:30,279,5
2020/8/26,5:35,277,5
2020/8/26,5:40,277,6
2020/8/26,5:45,274,6
2020/8/26,5:50,272,7
2020/8/26,5:55,271,8
2020/8/26,6:00,278,12
2020/8/26,6:05,280,12
2020/8/26,6:10,281,13
2020/8/26,6:15,281,13
2020/8/26,6:20,282,14
2020/8/26,6:25,281,15
2020/8/26,6:30,285,19
2020/8/26,6:35,285,20
2020/8/26,6:40,284,21
2020/8/26,6:45,283,21
2020/8/26,6:50,283,22
2020/8/26,6:55,282,23
2020/8/26,7:00,291,29
2020/8/26,7:05,294,30
2020/8/26,7:10,294,30
2020/8/26,7:15,294,31
2020/8/26,7:20,294,32
2020/8/26,7:25,295,33
2020/8/26,7:30,305,45
2020/8/26,7:35,307,47
2020/8/26,7:40,309,47
2020/8/26,7:45,309,47
2020/8/26,7:50,311,47
2020/8/26,7:55,314,48
2020/8/26,8:00,336,66
2020/8/26,8:05,337,67
2020/8/26,8:10,337,68
2020/8/26,8:15,339,69
2020/8/26,8:20,340,71
2020/8/26,8:25,342,72
2020/8/26,8:30,355,80
2020/8/26,8:35,356,81
2020/8/26,8:40,358,82
2020/8/26,8:45,360,82
2020/8/26,8:50,363,84
2020/8/26,8:55,364,85
2020/8/26,9:00,379,99
2020/8/26,9:05,379,100
2020/8/26,9:10,380,102
2020/8/26,9:15,380,104
2020/8/26,9:20,381,104
2020/8/26,9:25,382,104
2020/8/26,9:30,390,113
2020/8/26,9:35,392,114
2020/8/26,9:40,391,115
2020/8/26,9:45,391,115
2020/8/26,9:50,392,114
2020/8/26,9:55,390,115
2020/8/26,10:00,390,117
2020/8/26,10:05,388,118
2020/8/26,10:10,388,119
2020/8/26,10:15,391,118
2020/8/26,10:20,393,120
2020/8/26,10:25,393,121
2020/8/26,10:30,397,126
2020/8/26,10:35,397,129
2020/8/26,10:40,396,131
2020/8/26,10:45,396,130
2020/8/26,10:50,394,131
2020/8/26,10:55,392,132
2020/8/26,11:00,399,137
2020/8/26,11:05,399,138
2020/8/26,11:10,398,138
2020/8/26,11:15,398,138
2020/8/26,11:20,399,138
2020/8/26,11:25,400,139
2020/8/26,11:30,402,142
2020/8/26,11:35,402,142
2020/8/26,11:40,405,141
2020/8/26,11:45,405,142
2020/8/26,11:50,403,143
2020/8/26,11:55,402,143
2020/8/26,12:00,394,143
2020/8/26,12:05,392,144
2020/8/26,12:10,390,144
2020/8/26,12:15,388,144
2020/8/26,12:20,387,145
2020/8/26,12:25,387,146
2020/8/26,12:30,384,142
2020/8/26,12:35,385,142
2020/8/26,12:40,386,143
2020/8/26,12:45,388,142
2020/8/26,12:50,390,142
2020/8/26,12:55,393,141
2020/8/26,13:00,394,137
2020/8/26,13:05,399,137
2020/8/26,13:10,402,136
2020/8/26,13:15,404,137
2020/8/26,13:20,405,136
2020/8/26,13:25,407,136
2020/8/26,13:30,397,124
2020/8/26,13:35,399,124
2020/8/26,13:40,401,124
2020/8/26,13:45,402,123
2020/8/26,13:50,403,122
2020/8/26,13:55,406,121
2020/8/26,14:00,399,113
2020/8/26,14:05,401,112
2020/8/26,14:10,403,111
2020/8/26,14:15,404,110
2020/8/26,14:20,406,110
2020/8/26,14:25,408,109
2020/8/26,14:30,401,99
2020/8/26,14:35,402,98
2020/8/26,14:40,403,97
2020/8/26,14:45,404,96
2020/8/26,14:50,407,95
2020/8/26,14:55,407,94
2020/8/26,15:00,395,80
2020/8/26,15:05,395,80
2020/8/26,15:10,397,78
2020/8/26,15:15,399,77
2020/8/26,15:20,404,76
2020/8/26,15:25,407,75
2020/8/26,15:30,399,64
2020/8/26,15:35,402,62
2020/8/26,15:40,406,61
2020/8/26,15:45,407,59
2020/8/26,15:50,410,58
2020/8/26,15:55,414,56
2020/8/26,16:00,406,45
2020/8/26,16:05,409,44
2020/8/26,16:10,412,42
2020/8/26,16:15,413,40
2020/8/26,16:20,417,39
2020/8/26,16:25,417,37
2020/8/26,16:30,411,30
2020/8/26,16:35,413,29
2020/8/26,16:40,414,27
2020/8/26,16:45,415,26
2020/8/26,16:50,417,24
2020/8/26,16:55,416,23
2020/8/26,17:00,410,17
2020/8/26,17:05,410,15
2020/8/26,17:10,410,14
2020/8/26,17:15,408,13
2020/8/26,17:20,409,12
2020/8/26,17:25,409,11
2020/8/26,17:30,402,3
2020/8/26,17:35,404,3
2020/8/26,17:40,402,3
2020/8/26,17:45,402,2
2020/8/26,17:50,403,2
2020/8/26,17:55,402,2
2020/8/26,18:00,397,0
2020/8/26,18:05,396,0
2020/8/26,18:10,397,0
2020/8/26,18:15,397,0
2020/8/26,18:20,399,0
2020/8/26,18:25,400,0
2020/8/26,18:30,403,0
2020/8/26,18:35,406,0
2020/8/26,18:40,408,0
2020/8/26,18:45,407,0
2020/8/26,18:50,406,0
2020/8/26,18:55,405,0
2020/8/26,19:00,404,0
2020/8/26,19:05,403,0
2020/8/26,19:10,401,0
2020/8/26,19:15,398,0
2020/8/26,19:20,397,0
2020/8/26,19:25,395,0
2020/8/26,19:30,392,0
2020/8/26,19:35,390,0
2020/8/26,19:40,387,0
2020/8/26,19:45,384,0
2020/8/26,19:50,381,0
2020/8/26,19:55,379,0
2020/8/26,20:00,376,0
2020/8/26,20:05,374,0
2020/8/26,20:10,371,0
2020/8/26,20:15,368,0
2020/8/26,20:20,365,0
2020/8/26,20:25,364,0
2020/8/26,20:30,362,0
2020/8/26,20:35,360,0
2020/8/26,20:40,359,0
2020/8/26,20:45,358,0
2020/8/26,20:50,355,0
2020/8/26,20:55,353,0
2020/8/26,21:00,350,0
2020/8/26,21:05,348,0
2020/8/26,21:10,346,0
2020/8/26,21:15,346,0
2020/8/26,21:20,343,0
2020/8/26,21:25,341,0
2020/8/26,21:30,341,0
2020/8/26,21:35,339,0
2020/8/26,21:40,337,0
2020/8/26,21:45,335,0
2020/8/26,21:50,334,0
2020/8/26,21:55,331,0
2020/8/26,22:00,328,0
2020/8/26,22:05,330,0
2020/8/26,22:10,328,0
2020/8/26,22:15,326,0
2020/8/26,22:20,320,0
2020/8/26,22:25,320,0
2020/8/26,22:30,320,0
2020/8/26,22:35,317,0
2020/8/26,22:40,319,0
2020/8/26,22:45,318,0
2020/8/26,22:50,316,0
2020/8/26,22:55,308,0
2020/8/26,23:00,309,0
2020/8/26,23:05,311,0
2020/8/26,23:10,309,0
2020/8/26,23:15,308,0
2020/8/26,23:20,305,0
2020/8/26,23:25,304,0
2020/8/26,23:30,302,0
2020/8/26,23:35,299,0
2020/8/26,23:40,297,0
2020/8/26,23:45,296,0
2020/8/26,23:50,293,0
2020/8/26,23:55,292,0
