2016/12/28 3:00 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
469,17:00～18:00,12月27日,7:53,8,92

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
430,17:00～18:00,12月27日,7:53

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/12/27,0:00,329,335,70
2016/12/27,1:00,340,343,72
2016/12/27,2:00,361,366,77
2016/12/27,3:00,373,376,80
2016/12/27,4:00,371,375,79
2016/12/27,5:00,356,368,76
2016/12/27,6:00,351,363,75
2016/12/27,7:00,357,362,76
2016/12/27,8:00,390,395,83
2016/12/27,9:00,412,417,88
2016/12/27,10:00,406,422,87
2016/12/27,11:00,404,416,86
2016/12/27,12:00,380,397,81
2016/12/27,13:00,396,411,84
2016/12/27,14:00,398,414,85
2016/12/27,15:00,397,413,85
2016/12/27,16:00,408,424,87
2016/12/27,17:00,411,430,88
2016/12/27,18:00,405,429,86
2016/12/27,19:00,390,417,83
2016/12/27,20:00,375,403,80
2016/12/27,21:00,360,394,77
2016/12/27,22:00,357,386,76
2016/12/27,23:00,362,390,77

最大使用率(%),時間帯
88,17:00～18:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
461,9:00～10:00,12月27日,19:09,7,93

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
427,9:00～10:00,12月27日,19:09

DATE,TIME,当日実績（５分間隔値）(万kW)
2016/12/27,0:00,335
2016/12/27,0:05,334
2016/12/27,0:10,332
2016/12/27,0:15,332
2016/12/27,0:20,332
2016/12/27,0:25,330
2016/12/27,0:30,334
2016/12/27,0:35,333
2016/12/27,0:40,330
2016/12/27,0:45,331
2016/12/27,0:50,332
2016/12/27,0:55,330
2016/12/27,1:00,333
2016/12/27,1:05,335
2016/12/27,1:10,338
2016/12/27,1:15,336
2016/12/27,1:20,336
2016/12/27,1:25,337
2016/12/27,1:30,338
2016/12/27,1:35,342
2016/12/27,1:40,346
2016/12/27,1:45,350
2016/12/27,1:50,349
2016/12/27,1:55,348
2016/12/27,2:00,351
2016/12/27,2:05,354
2016/12/27,2:10,354
2016/12/27,2:15,358
2016/12/27,2:20,361
2016/12/27,2:25,361
2016/12/27,2:30,362
2016/12/27,2:35,365
2016/12/27,2:40,366
2016/12/27,2:45,370
2016/12/27,2:50,373
2016/12/27,2:55,373
2016/12/27,3:00,372
2016/12/27,3:05,376
2016/12/27,3:10,375
2016/12/27,3:15,375
2016/12/27,3:20,378
2016/12/27,3:25,377
2016/12/27,3:30,377
2016/12/27,3:35,376
2016/12/27,3:40,374
2016/12/27,3:45,375
2016/12/27,3:50,375
2016/12/27,3:55,378
2016/12/27,4:00,376
2016/12/27,4:05,379
2016/12/27,4:10,377
2016/12/27,4:15,379
2016/12/27,4:20,376
2016/12/27,4:25,377
2016/12/27,4:30,374
2016/12/27,4:35,374
2016/12/27,4:40,373
2016/12/27,4:45,370
2016/12/27,4:50,368
2016/12/27,4:55,367
2016/12/27,5:00,364
