2018/10/15 9:21 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
460,14:00～15:00,10月14日,21:55,18,82

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
376,14:00～15:00,10月14日,21:21

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2018/10/15,0:00,233,241,51
2018/10/15,1:00,237,247,52
2018/10/15,2:00,258,265,56
2018/10/15,3:00,280,283,61
2018/10/15,4:00,283,284,62
2018/10/15,5:00,277,279,60
2018/10/15,6:00,272,273,59
2018/10/15,7:00,283,290,62
2018/10/15,8:00,314,328,68
2018/10/15,9:00,0,359,0
2018/10/15,10:00,0,367,0
2018/10/15,11:00,0,371,0
2018/10/15,12:00,0,350,0
2018/10/15,13:00,0,368,0
2018/10/15,14:00,0,376,0
2018/10/15,15:00,0,371,0
2018/10/15,16:00,0,371,0
2018/10/15,17:00,0,368,0
2018/10/15,18:00,0,364,0
2018/10/15,19:00,0,347,0
2018/10/15,20:00,0,332,0
2018/10/15,21:00,0,321,0
2018/10/15,22:00,0,306,0
2018/10/15,23:00,0,296,0

最大使用率(%),時間帯
68,8:00～9:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

DATE,TIME,当日実績（５分間隔値）(万kW)
2018/10/15,0:00,236
2018/10/15,0:05,236
2018/10/15,0:10,235
2018/10/15,0:15,236
2018/10/15,0:20,235
2018/10/15,0:25,232
2018/10/15,0:30,231
2018/10/15,0:35,233
2018/10/15,0:40,232
2018/10/15,0:45,231
2018/10/15,0:50,229
2018/10/15,0:55,232
2018/10/15,1:00,232
2018/10/15,1:05,232
2018/10/15,1:10,232
2018/10/15,1:15,232
2018/10/15,1:20,232
2018/10/15,1:25,234
2018/10/15,1:30,235
2018/10/15,1:35,237
2018/10/15,1:40,236
2018/10/15,1:45,235
2018/10/15,1:50,239
2018/10/15,1:55,242
2018/10/15,2:00,244
2018/10/15,2:05,245
2018/10/15,2:10,249
2018/10/15,2:15,249
2018/10/15,2:20,252
2018/10/15,2:25,254
2018/10/15,2:30,256
2018/10/15,2:35,258
2018/10/15,2:40,260
2018/10/15,2:45,262
2018/10/15,2:50,267
2018/10/15,2:55,265
2018/10/15,3:00,269
2018/10/15,3:05,271
2018/10/15,3:10,273
2018/10/15,3:15,277
2018/10/15,3:20,277
2018/10/15,3:25,280
2018/10/15,3:30,280
2018/10/15,3:35,280
2018/10/15,3:40,281
2018/10/15,3:45,278
2018/10/15,3:50,280
2018/10/15,3:55,281
2018/10/15,4:00,281
2018/10/15,4:05,281
2018/10/15,4:10,281
2018/10/15,4:15,283
2018/10/15,4:20,280
2018/10/15,4:25,282
2018/10/15,4:30,282
2018/10/15,4:35,283
2018/10/15,4:40,282
2018/10/15,4:45,281
2018/10/15,4:50,282
2018/10/15,4:55,280
2018/10/15,5:00,280
2018/10/15,5:05,284
2018/10/15,5:10,282
2018/10/15,5:15,281
2018/10/15,5:20,281
