2020/5/24 8:00 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
312,3:00～4:00,5月23日,7:38,16,86

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
269,3:00～4:00,5月23日,7:38

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
273,18:00～19:00,5月23日,7:38,13,89

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
242,18:00～19:00,5月23日,7:38

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/5/23,0:00,234,229,75,314
2020/5/23,1:00,240,233,80,301
2020/5/23,2:00,260,252,84,308
2020/5/23,3:00,275,269,88,312
2020/5/23,4:00,269,265,86,314
2020/5/23,5:00,254,249,86,297
2020/5/23,6:00,231,228,77,299
2020/5/23,7:00,228,227,70,327
2020/5/23,8:00,235,236,67,349
2020/5/23,9:00,243,248,64,383
2020/5/23,10:00,249,248,64,389
2020/5/23,11:00,254,252,65,393
2020/5/23,12:00,251,245,65,383
2020/5/23,13:00,249,245,65,383
2020/5/23,14:00,245,244,65,378
2020/5/23,15:00,242,239,69,352
2020/5/23,16:00,242,240,75,321
2020/5/23,17:00,247,239,88,280
2020/5/23,18:00,247,242,90,273
2020/5/23,19:00,247,243,90,275
2020/5/23,20:00,237,232,90,262
2020/5/23,21:00,228,222,90,253
2020/5/23,22:00,220,218,78,281
2020/5/23,23:00,216,215,70,307

最大使用率(%),時間帯
90,21:00～22:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
348,3:00～4:00,5月24日,7:42,39,72

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
251,3:00～4:00,5月24日,7:42

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
311,19:00～20:00,5月24日,7:42,26,79

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
247,19:00～20:00,5月24日,7:42

DATE,TIME,当日実績（５分間隔値）(万kW),太陽光発電実績（５分間隔値）(万kW)
2020/5/23,0:00,235,0
2020/5/23,0:05,231,0
2020/5/23,0:10,231,0
2020/5/23,0:15,232,0
2020/5/23,0:20,229,0
2020/5/23,0:25,230,0
2020/5/23,0:30,231,0
2020/5/23,0:35,233,0
2020/5/23,0:40,232,0
2020/5/23,0:45,232,0
2020/5/23,0:50,231,0
2020/5/23,0:55,230,0
2020/5/23,1:00,233,0
2020/5/23,1:05,234,0
2020/5/23,1:10,230,0
2020/5/23,1:15,229,0
2020/5/23,1:20,231,0
2020/5/23,1:25,234,0
2020/5/23,1:30,234,0
2020/5/23,1:35,235,0
2020/5/23,1:40,237,0
2020/5/23,1:45,241,0
2020/5/23,1:50,246,0
2020/5/23,1:55,247,0
2020/5/23,2:00,246,0
2020/5/23,2:05,249,0
2020/5/23,2:10,252,0
2020/5/23,2:15,251,0
