2016/6/30 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4390,16:00～17:00,6/30,8:30,15,87

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3812,16:00～17:00,6/30,8:30

DATE,TIME,当日実績(万kW),予測値（万kW),使用率(%)
2016/6/30,0:00,2561,0,58
2016/6/30,1:00,2395,0,55
2016/6/30,2:00,2332,0,53
2016/6/30,3:00,2337,0,53
2016/6/30,4:00,2349,0,54
2016/6/30,5:00,2345,0,53
2016/6/30,6:00,2516,0,57
2016/6/30,7:00,2802,0,64
2016/6/30,8:00,3200,0,73
2016/6/30,9:00,3557,0,81
2016/6/30,10:00,3675,0,84
2016/6/30,11:00,3709,0,84
2016/6/30,12:00,3656,0,83
2016/6/30,13:00,3793,0,86
2016/6/30,14:00,3845,0,88
2016/6/30,15:00,3817,0,87
2016/6/30,16:00,3815,0,87
2016/6/30,17:00,3730,0,85
2016/6/30,18:00,3702,0,84
2016/6/30,19:00,3646,0,83
2016/6/30,20:00,3427,0,78
2016/6/30,21:00,3231,0,74
2016/6/30,22:00,3069,0,70
2016/6/30,23:00,0,0,

最大使用率(%),時間帯
88,14:00～15:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4837,14:00～15:00,6/30,17:30,12,89

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
4329,14:00～15:00,6/30,17:30

DATE,TIME,当日実績（５分間隔値）(万kW)
2016/6/30,0:00,2662
2016/6/30,0:05,2639
2016/6/30,0:10,2633
2016/6/30,0:15,2625
2016/6/30,0:20,2602
2016/6/30,0:25,2565
2016/6/30,0:30,2547
2016/6/30,0:35,2544
2016/6/30,0:40,2503
2016/6/30,0:45,2504
2016/6/30,0:50,2464
2016/6/30,0:55,2448
2016/6/30,1:00,2443
2016/6/30,1:05,2446
2016/6/30,1:10,2428
2016/6/30,1:15,2411
2016/6/30,1:20,2408
2016/6/30,1:25,2391
2016/6/30,1:30,2389
2016/6/30,1:35,2370
2016/6/30,1:40,2371
2016/6/30,1:45,2363
2016/6/30,1:50,2364
2016/6/30,1:55,2350
2016/6/30,2:00,2355
2016/6/30,2:05,2339
2016/6/30,2:10,2341
2016/6/30,2:15,2340
2016/6/30,2:20,2326
2016/6/30,2:25,2321
2016/6/30,2:30,2324
2016/6/30,2:35,2321
2016/6/30,2:40,2321
2016/6/30,2:45,2329
2016/6/30,2:50,2339
2016/6/30,2:55,2329
2016/6/30,3:00,2312
2016/6/30,3:05,2335
2016/6/30,3:10,2332
2016/6/30,3:15,2345
2016/6/30,3:20,2341
2016/6/30,3:25,2342
2016/6/30,3:30,2331
2016/6/30,3:35,2330
2016/6/30,3:40,2335
2016/6/30,3:45,2341
2016/6/30,3:50,2355
2016/6/30,3:55,2347
2016/6/30,4:00,2348
2016/6/30,4:05,2362
2016/6/30,4:10,2349
2016/6/30,4:15,2345
2016/6/30,4:20,2367
2016/6/30,4:25,2358
2016/6/30,4:30,2349
2016/6/30,4:35,2346
2016/6/30,4:40,2346
2016/6/30,4:45,2340
2016/6/30,4:50,2343
2016/6/30,4:55,2337
2016/6/30,5:00,2325
2016/6/30,5:05,2331
2016/6/30,5:10,2335
2016/6/30,5:15,2333
2016/6/30,5:20,2338
2016/6/30,5:25,2350
2016/6/30,5:30,2344
2016/6/30,5:35,2354
2016/6/30,5:40,2351
2016/6/30,5:45,2356
2016/6/30,5:50,2354
2016/6/30,5:55,2364
2016/6/30,6:00,2408
2016/6/30,6:05,2424
2016/6/30,6:10,2445
2016/6/30,6:15,2467
2016/6/30,6:20,2475
2016/6/30,6:25,2489
2016/6/30,6:30,2524
2016/6/30,6:35,2547
2016/6/30,6:40,2565
2016/6/30,6:45,2588
2016/6/30,6:50,2615
2016/6/30,6:55,2645
2016/6/30,7:00,2655
2016/6/30,7:05,2682
2016/6/30,7:10,2714
2016/6/30,7:15,2745
2016/6/30,7:20,2769
2016/6/30,7:25,2800
2016/6/30,7:30,2812
2016/6/30,7:35,2854
2016/6/30,7:40,2872
2016/6/30,7:45,2889
2016/6/30,7:50,2910
2016/6/30,7:55,2926
2016/6/30,8:00,2971
2016/6/30,8:05,3014
2016/6/30,8:10,3051
2016/6/30,8:15,3117
2016/6/30,8:20,3153
2016/6/30,8:25,3204
2016/6/30,8:30,3231
2016/6/30,8:35,3274
2016/6/30,8:40,3304
2016/6/30,8:45,3339
2016/6/30,8:50,3352
2016/6/30,8:55,3389
2016/6/30,9:00,3434
2016/6/30,9:05,3492
2016/6/30,9:10,3521
2016/6/30,9:15,3529
2016/6/30,9:20,3545
2016/6/30,9:25,3573
2016/6/30,9:30,3581
2016/6/30,9:35,3583
2016/6/30,9:40,3594
2016/6/30,9:45,3600
2016/6/30,9:50,3610
2016/6/30,9:55,3624
2016/6/30,10:00,3637
2016/6/30,10:05,3628
2016/6/30,10:10,3626
2016/6/30,10:15,3649
2016/6/30,10:20,3677
2016/6/30,10:25,3709
2016/6/30,10:30,3693
2016/6/30,10:35,3711
2016/6/30,10:40,3716
2016/6/30,10:45,3703
2016/6/30,10:50,3678
2016/6/30,10:55,3673
2016/6/30,11:00,3667
2016/6/30,11:05,3685
2016/6/30,11:10,3695
2016/6/30,11:15,3701
2016/6/30,11:20,3718
2016/6/30,11:25,3722
2016/6/30,11:30,3720
2016/6/30,11:35,3727
2016/6/30,11:40,3726
2016/6/30,11:45,3715
2016/6/30,11:50,3718
2016/6/30,11:55,3722
2016/6/30,12:00,3707
2016/6/30,12:05,3656
2016/6/30,12:10,3640
2016/6/30,12:15,3638
2016/6/30,12:20,3644
2016/6/30,12:25,3645
2016/6/30,12:30,3626
2016/6/30,12:35,3634
2016/6/30,12:40,3649
2016/6/30,12:45,3660
2016/6/30,12:50,3673
2016/6/30,12:55,3697
2016/6/30,13:00,3737
2016/6/30,13:05,3766
2016/6/30,13:10,3795
2016/6/30,13:15,3788
2016/6/30,13:20,3776
2016/6/30,13:25,3817
2016/6/30,13:30,3818
2016/6/30,13:35,3812
2016/6/30,13:40,3805
2016/6/30,13:45,3791
2016/6/30,13:50,3798
2016/6/30,13:55,3817
2016/6/30,14:00,3822
2016/6/30,14:05,3829
2016/6/30,14:10,3841
2016/6/30,14:15,3849
2016/6/30,14:20,3850
2016/6/30,14:25,3855
2016/6/30,14:30,3846
2016/6/30,14:35,3856
2016/6/30,14:40,3862
2016/6/30,14:45,3844
2016/6/30,14:50,3850
2016/6/30,14:55,3837
2016/6/30,15:00,3823
2016/6/30,15:05,3834
2016/6/30,15:10,3832
2016/6/30,15:15,3834
2016/6/30,15:20,3819
2016/6/30,15:25,3809
2016/6/30,15:30,3794
2016/6/30,15:35,3807
2016/6/30,15:40,3809
2016/6/30,15:45,3803
2016/6/30,15:50,3818
2016/6/30,15:55,3821
2016/6/30,16:00,3816
2016/6/30,16:05,3824
2016/6/30,16:10,3826
2016/6/30,16:15,3832
2016/6/30,16:20,3838
2016/6/30,16:25,3835
2016/6/30,16:30,3816
2016/6/30,16:35,3808
2016/6/30,16:40,3798
2016/6/30,16:45,3802
2016/6/30,16:50,3793
2016/6/30,16:55,3787
2016/6/30,17:00,3772
2016/6/30,17:05,3755
2016/6/30,17:10,3752
2016/6/30,17:15,3747
2016/6/30,17:20,3735
2016/6/30,17:25,3737
2016/6/30,17:30,3711
2016/6/30,17:35,3725
2016/6/30,17:40,3713
2016/6/30,17:45,3704
2016/6/30,17:50,3705
2016/6/30,17:55,3708
2016/6/30,18:00,3716
2016/6/30,18:05,3701
2016/6/30,18:10,3693
2016/6/30,18:15,3699
2016/6/30,18:20,3699
2016/6/30,18:25,3709
2016/6/30,18:30,3692
2016/6/30,18:35,3696
2016/6/30,18:40,3687
2016/6/30,18:45,3704
2016/6/30,18:50,3707
2016/6/30,18:55,3723
2016/6/30,19:00,3713
2016/6/30,19:05,3709
2016/6/30,19:10,3696
2016/6/30,19:15,3688
2016/6/30,19:20,3671
2016/6/30,19:25,3661
2016/6/30,19:30,3639
2016/6/30,19:35,3630
2016/6/30,19:40,3607
2016/6/30,19:45,3594
2016/6/30,19:50,3575
2016/6/30,19:55,3565
2016/6/30,20:00,3525
2016/6/30,20:05,3510
2016/6/30,20:10,3494
2016/6/30,20:15,3462
2016/6/30,20:20,3448
2016/6/30,20:25,3435
2016/6/30,20:30,3415
2016/6/30,20:35,3399
2016/6/30,20:40,3378
2016/6/30,20:45,3368
2016/6/30,20:50,3357
2016/6/30,20:55,3338
2016/6/30,21:00,3312
2016/6/30,21:05,3298
2016/6/30,21:10,3285
2016/6/30,21:15,3290
2016/6/30,21:20,3259
2016/6/30,21:25,3241
2016/6/30,21:30,3223
2016/6/30,21:35,3206
2016/6/30,21:40,3196
2016/6/30,21:45,3182
2016/6/30,21:50,3153
2016/6/30,21:55,3122
2016/6/30,22:00,3121
2016/6/30,22:05,3145
2016/6/30,22:10,3121
2016/6/30,22:15,3125
2016/6/30,22:20,3109
2016/6/30,22:25,3098
2016/6/30,22:30,3073
2016/6/30,22:35,3040
2016/6/30,22:40,3034
2016/6/30,22:45,3013
2016/6/30,22:50,2983
2016/6/30,22:55,2968
2016/6/30,23:00,2956
2016/6/30,23:05,2950
2016/6/30,23:10,2934
2016/6/30,23:15,2915
2016/6/30,23:20,2893
2016/6/30,23:25,2876
2016/6/30,23:30,2861
2016/6/30,23:35,2829
2016/6/30,23:40,2807
2016/6/30,23:45,2785
2016/6/30,23:50,2763
2016/6/30,23:55,2747

