2017/11/2 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
3982,17:00～18:00,11/2,8:30,13,88

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3528,17:00～18:00,11/2,8:30

DATE,TIME,当日実績(万kW),予測値（万kW),使用率(%)
2017/11/2,0:00,2575,2588,64
2017/11/2,1:00,2443,2447,61
2017/11/2,2:00,2414,2419,60
2017/11/2,3:00,2433,2432,61
2017/11/2,4:00,2467,2465,61
2017/11/2,5:00,2582,2575,64
2017/11/2,6:00,2812,2815,70
2017/11/2,7:00,2987,2997,75
2017/11/2,8:00,3220,3204,80
2017/11/2,9:00,3398,3359,85
2017/11/2,10:00,3404,3346,85
2017/11/2,11:00,3370,3307,84
2017/11/2,12:00,3195,3161,80
2017/11/2,13:00,3307,3310,83
2017/11/2,14:00,3309,3306,83
2017/11/2,15:00,3275,3282,82
2017/11/2,16:00,3345,3377,84
2017/11/2,17:00,3491,3528,87
2017/11/2,18:00,3448,3490,86
2017/11/2,19:00,3327,3368,83
2017/11/2,20:00,3187,3234,80
2017/11/2,21:00,3050,3085,76
2017/11/2,22:00,2928,2953,73
2017/11/2,23:00,2738,2753,68

最大使用率(%),時間帯
87,17:00～18:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
3886,17:00～18:00,11/2,17:30,16,86

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3336,17:00～18:00,11/2,17:30

DATE,TIME,当日実績（５分間隔値）(万kW)
2017/11/2,0:00,2658
2017/11/2,0:05,2659
2017/11/2,0:10,2653
2017/11/2,0:15,2622
2017/11/2,0:20,2594
2017/11/2,0:25,2577
2017/11/2,0:30,2572
2017/11/2,0:35,2548
2017/11/2,0:40,2529
2017/11/2,0:45,2512
2017/11/2,0:50,2499
2017/11/2,0:55,2473
2017/11/2,1:00,2483
2017/11/2,1:05,2480
2017/11/2,1:10,2477
2017/11/2,1:15,2463
2017/11/2,1:20,2435
2017/11/2,1:25,2430
2017/11/2,1:30,2427
2017/11/2,1:35,2433
2017/11/2,1:40,2429
2017/11/2,1:45,2421
2017/11/2,1:50,2421
2017/11/2,1:55,2422
2017/11/2,2:00,2415
2017/11/2,2:05,2405
2017/11/2,2:10,2414
2017/11/2,2:15,2424
2017/11/2,2:20,2411
2017/11/2,2:25,2409
2017/11/2,2:30,2408
2017/11/2,2:35,2413
2017/11/2,2:40,2413
2017/11/2,2:45,2417
2017/11/2,2:50,2418
2017/11/2,2:55,2428
2017/11/2,3:00,2423
2017/11/2,3:05,2430
2017/11/2,3:10,2428
2017/11/2,3:15,2435
2017/11/2,3:20,2433
2017/11/2,3:25,2437
2017/11/2,3:30,2424
2017/11/2,3:35,2427
2017/11/2,3:40,2422
2017/11/2,3:45,2439
2017/11/2,3:50,2458
2017/11/2,3:55,2436
2017/11/2,4:00,2442
2017/11/2,4:05,2449
2017/11/2,4:10,2459
2017/11/2,4:15,2460
2017/11/2,4:20,2459
2017/11/2,4:25,2459
2017/11/2,4:30,2473
2017/11/2,4:35,2470
2017/11/2,4:40,2472
2017/11/2,4:45,2476
2017/11/2,4:50,2488
2017/11/2,4:55,2496
2017/11/2,5:00,2503
2017/11/2,5:05,2533
2017/11/2,5:10,2545
2017/11/2,5:15,2552
2017/11/2,5:20,2569
2017/11/2,5:25,2579
2017/11/2,5:30,2585
2017/11/2,5:35,2600
2017/11/2,5:40,2608
2017/11/2,5:45,2621
2017/11/2,5:50,2634
2017/11/2,5:55,2657
2017/11/2,6:00,2701
2017/11/2,6:05,2741
2017/11/2,6:10,2769
2017/11/2,6:15,2787
2017/11/2,6:20,2796
2017/11/2,6:25,2807
2017/11/2,6:30,2811
2017/11/2,6:35,2834
2017/11/2,6:40,2857
2017/11/2,6:45,2867
2017/11/2,6:50,2888
2017/11/2,6:55,2885
2017/11/2,7:00,2894
2017/11/2,7:05,2932
2017/11/2,7:10,2949
2017/11/2,7:15,2949
2017/11/2,7:20,2967
2017/11/2,7:25,2983
2017/11/2,7:30,2992
2017/11/2,7:35,3029
2017/11/2,7:40,3038
2017/11/2,7:45,3031
2017/11/2,7:50,3036
2017/11/2,7:55,3051
2017/11/2,8:00,3074
2017/11/2,8:05,3115
2017/11/2,8:10,3135
2017/11/2,8:15,3162
2017/11/2,8:20,3178
2017/11/2,8:25,3219
2017/11/2,8:30,3241
2017/11/2,8:35,3273
2017/11/2,8:40,3293
2017/11/2,8:45,3306
2017/11/2,8:50,3308
2017/11/2,8:55,3342
2017/11/2,9:00,3365
2017/11/2,9:05,3389
2017/11/2,9:10,3396
2017/11/2,9:15,3389
2017/11/2,9:20,3381
2017/11/2,9:25,3394
2017/11/2,9:30,3404
2017/11/2,9:35,3407
2017/11/2,9:40,3402
2017/11/2,9:45,3409
2017/11/2,9:50,3411
2017/11/2,9:55,3429
2017/11/2,10:00,3421
2017/11/2,10:05,3395
2017/11/2,10:10,3390
2017/11/2,10:15,3423
2017/11/2,10:20,3408
2017/11/2,10:25,3409
2017/11/2,10:30,3405
2017/11/2,10:35,3398
2017/11/2,10:40,3401
2017/11/2,10:45,3408
2017/11/2,10:50,3389
2017/11/2,10:55,3399
2017/11/2,11:00,3398
2017/11/2,11:05,3396
2017/11/2,11:10,3401
2017/11/2,11:15,3385
2017/11/2,11:20,3357
2017/11/2,11:25,3375
2017/11/2,11:30,3365
2017/11/2,11:35,3367
2017/11/2,11:40,3351
2017/11/2,11:45,3359
2017/11/2,11:50,3350
2017/11/2,11:55,3341
2017/11/2,12:00,3296
2017/11/2,12:05,3241
2017/11/2,12:10,3230
2017/11/2,12:15,3204
2017/11/2,12:20,3188
2017/11/2,12:25,3180
2017/11/2,12:30,3153
2017/11/2,12:35,3159
2017/11/2,12:40,3147
2017/11/2,12:45,3154
2017/11/2,12:50,3179
2017/11/2,12:55,3213
2017/11/2,13:00,3224
2017/11/2,13:05,3293
2017/11/2,13:10,3307
2017/11/2,13:15,3320
2017/11/2,13:20,3318
2017/11/2,13:25,3325
2017/11/2,13:30,3318
2017/11/2,13:35,3310
2017/11/2,13:40,3326
2017/11/2,13:45,3316
2017/11/2,13:50,3314
2017/11/2,13:55,3318
2017/11/2,14:00,3320
2017/11/2,14:05,3311
2017/11/2,14:10,3312
2017/11/2,14:15,3316
2017/11/2,14:20,3293
2017/11/2,14:25,3301
2017/11/2,14:30,3299
2017/11/2,14:35,3308
2017/11/2,14:40,3316
2017/11/2,14:45,3307
2017/11/2,14:50,3306
2017/11/2,14:55,3318
2017/11/2,15:00,3296
2017/11/2,15:05,3256
2017/11/2,15:10,3256
2017/11/2,15:15,3272
2017/11/2,15:20,3273
2017/11/2,15:25,3288
2017/11/2,15:30,3286
2017/11/2,15:35,3285
2017/11/2,15:40,3277
2017/11/2,15:45,3274
2017/11/2,15:50,3270
2017/11/2,15:55,3272
2017/11/2,16:00,3276
2017/11/2,16:05,3282
2017/11/2,16:10,3285
2017/11/2,16:15,3301
2017/11/2,16:20,3307
2017/11/2,16:25,3327
2017/11/2,16:30,3339
2017/11/2,16:35,3364
2017/11/2,16:40,3391
2017/11/2,16:45,3402
2017/11/2,16:50,3417
2017/11/2,16:55,3453
2017/11/2,17:00,3458
2017/11/2,17:05,3483
2017/11/2,17:10,3485
2017/11/2,17:15,3493
2017/11/2,17:20,3488
2017/11/2,17:25,3504
2017/11/2,17:30,3491
2017/11/2,17:35,3502
2017/11/2,17:40,3503
2017/11/2,17:45,3482
2017/11/2,17:50,3496
2017/11/2,17:55,3508
2017/11/2,18:00,3492
2017/11/2,18:05,3472
2017/11/2,18:10,3453
2017/11/2,18:15,3469
2017/11/2,18:20,3454
2017/11/2,18:25,3456
2017/11/2,18:30,3449
2017/11/2,18:35,3428
2017/11/2,18:40,3428
2017/11/2,18:45,3432
2017/11/2,18:50,3423
2017/11/2,18:55,3421
2017/11/2,19:00,3385
2017/11/2,19:05,3386
2017/11/2,19:10,3362
2017/11/2,19:15,3361
2017/11/2,19:20,3340
2017/11/2,19:25,3340
2017/11/2,19:30,3313
2017/11/2,19:35,3300
2017/11/2,19:40,3290
2017/11/2,19:45,3293
2017/11/2,19:50,3277
2017/11/2,19:55,3275
2017/11/2,20:00,3216
2017/11/2,20:05,3239
2017/11/2,20:10,3213
2017/11/2,20:15,3219
2017/11/2,20:20,3197
2017/11/2,20:25,3203
2017/11/2,20:30,3175
2017/11/2,20:35,3175
2017/11/2,20:40,3154
2017/11/2,20:45,3168
2017/11/2,20:50,3150
2017/11/2,20:55,3140
2017/11/2,21:00,3119
2017/11/2,21:05,3103
2017/11/2,21:10,3088
2017/11/2,21:15,3082
2017/11/2,21:20,3075
2017/11/2,21:25,3068
2017/11/2,21:30,3051
2017/11/2,21:35,3032
