2019/12/13 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4814,17:00～18:00,12/13,8:40,14,87

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
4234,17:00～18:00,12/13,8:40

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
4814,17:00～18:00,12/13,8:40,14,87

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
4234,17:00～18:00,12/13,8:40

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2019/12/13,0:00,2982,2967,66,4453
2019/12/13,1:00,2836,2833,63,4470
2019/12/13,2:00,2804,2795,62,4453
2019/12/13,3:00,2802,2806,62,4451
2019/12/13,4:00,2838,2855,63,4442
2019/12/13,5:00,3016,3052,67,4479
2019/12/13,6:00,3404,3481,74,4593
2019/12/13,7:00,3768,3810,78,4811
2019/12/13,8:00,4129,4079,80,5120
2019/12/13,9:00,4297,4185,82,5230
2019/12/13,10:00,4259,4095,79,5334
2019/12/13,11:00,4189,4015,78,5357
2019/12/13,12:00,3968,3812,73,5420
2019/12/13,13:00,4079,3885,77,5256
2019/12/13,14:00,4062,3886,79,5096
2019/12/13,15:00,4062,3886,82,4939
2019/12/13,16:00,4223,4127,88,4769
2019/12/13,17:00,4280,4234,88,4814
2019/12/13,18:00,4197,4178,86,4851
2019/12/13,19:00,4079,4074,82,4922
2019/12/13,20:00,3959,3942,80,4911
2019/12/13,21:00,3807,3771,78,4876
2019/12/13,22:00,3633,3607,76,4780
2019/12/13,23:00,3400,3364,72,4682

最大使用率(%),時間帯
88,17:00～18:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4630,9:00～10:00,12/13,17:40,22,81

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3753,9:00～10:00,12/13,17:40

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
4353,17:00～18:00,12/13,17:40,19,84

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
3659,17:00～18:00,12/13,17:40

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2019/12/13,0:00,3090,0
2019/12/13,0:05,3082,0
2019/12/13,0:10,3058,0
2019/12/13,0:15,3032,0
2019/12/13,0:20,3014,0
2019/12/13,0:25,2996,0
2019/12/13,0:30,2975,0
2019/12/13,0:35,2953,0
2019/12/13,0:40,2923,0
2019/12/13,0:45,2906,0
2019/12/13,0:50,2893,0
2019/12/13,0:55,2866,0
2019/12/13,1:00,2871,0
2019/12/13,1:05,2864,0
2019/12/13,1:10,2867,0
2019/12/13,1:15,2858,0
2019/12/13,1:20,2839,0
2019/12/13,1:25,2823,0
2019/12/13,1:30,2842,0
2019/12/13,1:35,2823,0
2019/12/13,1:40,2814,0
2019/12/13,1:45,2815,0
2019/12/13,1:50,2804,0
2019/12/13,1:55,2808,0
2019/12/13,2:00,2818,0
2019/12/13,2:05,2812,0
2019/12/13,2:10,2803,0
2019/12/13,2:15,2802,0
2019/12/13,2:20,2795,0
2019/12/13,2:25,2807,0
2019/12/13,2:30,2796,0
2019/12/13,2:35,2793,0
2019/12/13,2:40,2808,0
2019/12/13,2:45,2809,0
2019/12/13,2:50,2800,0
2019/12/13,2:55,2801,0
2019/12/13,3:00,2817,0
2019/12/13,3:05,2813,0
2019/12/13,3:10,2794,0
2019/12/13,3:15,2796,0
2019/12/13,3:20,2787,0
2019/12/13,3:25,2802,0
2019/12/13,3:30,2803,0
2019/12/13,3:35,2800,0
2019/12/13,3:40,2797,0
2019/12/13,3:45,2809,0
2019/12/13,3:50,2803,0
2019/12/13,3:55,2798,0
2019/12/13,4:00,2801,0
2019/12/13,4:05,2820,0
2019/12/13,4:10,2824,0
2019/12/13,4:15,2813,0
2019/12/13,4:20,2816,0
2019/12/13,4:25,2823,0
2019/12/13,4:30,2838,0
2019/12/13,4:35,2844,0
2019/12/13,4:40,2860,0
2019/12/13,4:45,2857,0
2019/12/13,4:50,2884,0
2019/12/13,4:55,2873,0
2019/12/13,5:00,2896,0
2019/12/13,5:05,2928,0
2019/12/13,5:10,2946,0
2019/12/13,5:15,2969,0
2019/12/13,5:20,2990,0
2019/12/13,5:25,3002,0
2019/12/13,5:30,3023,0
2019/12/13,5:35,3043,0
2019/12/13,5:40,3072,0
2019/12/13,5:45,3097,0
2019/12/13,5:50,3100,0
2019/12/13,5:55,3123,0
2019/12/13,6:00,3179,0
2019/12/13,6:05,3239,0
2019/12/13,6:10,3277,0
2019/12/13,6:15,3307,0
2019/12/13,6:20,3343,0
2019/12/13,6:25,3397,0
2019/12/13,6:30,3424,0
2019/12/13,6:35,3473,0
2019/12/13,6:40,3504,0
2019/12/13,6:45,3540,0
2019/12/13,6:50,3576,0
2019/12/13,6:55,3586,0
2019/12/13,7:00,3599,0
2019/12/13,7:05,3637,0
2019/12/13,7:10,3677,1
2019/12/13,7:15,3697,6
2019/12/13,7:20,3725,14
2019/12/13,7:25,3753,25
2019/12/13,7:30,3768,37
2019/12/13,7:35,3817,51
2019/12/13,7:40,3847,63
2019/12/13,7:45,3880,76
2019/12/13,7:50,3896,89
2019/12/13,7:55,3918,101
2019/12/13,8:00,3951,112
2019/12/13,8:05,3998,124
2019/12/13,8:10,4024,136
2019/12/13,8:15,4070,146
2019/12/13,8:20,4090,157
2019/12/13,8:25,4122,167
2019/12/13,8:30,4151,176
2019/12/13,8:35,4194,185
2019/12/13,8:40,4211,195
2019/12/13,8:45,4232,203
2019/12/13,8:50,4244,210
2019/12/13,8:55,4260,214
