”NŒŽ“ú,DA-24(\/kWh),DA-DT(\/kWh),DA-PT(\/kWh),TTV(kWh)
2017/04/01,9.53,9.62,8.34,75287500
2017/04/02,8.61,8.81,6.83,70804500
2017/04/03,10.49,11.71,11.38,80325000
2017/04/04,9.92,10.47,9.67,83701500
2017/04/05,10.19,11.10,10.53,83600500
2017/04/06,10.59,11.82,11.81,77097500
2017/04/07,10.55,12.35,11.88,76168500
2017/04/08,9.09,10.02,9.24,62558500
2017/04/09,7.91,8.43,7.30,62743000
2017/04/10,10.51,12.44,11.92,76370000
2017/04/11,11.73,14.23,15.22,76491500
2017/04/12,8.82,9.63,7.66,80643500
2017/04/13,9.06,9.60,8.03,80198000
2017/04/14,8.40,9.27,8.01,76284000
2017/04/15,7.48,7.89,7.18,63916500
2017/04/16,7.16,7.44,6.10,62655000
2017/04/17,9.98,12.08,13.47,73461000
2017/04/18,8.37,9.42,8.58,79327000
2017/04/19,7.80,8.72,8.39,74594000
2017/04/20,7.49,8.34,8.27,75737000
2017/04/21,8.82,10.43,11.48,75549000
2017/04/22,7.00,7.17,6.63,60058500
2017/04/23,6.37,6.37,5.21,60942500
2017/04/24,7.45,8.23,8.41,75124000
2017/04/25,7.79,8.57,8.21,77610000
2017/04/26,9.04,10.55,12.06,77658500
2017/04/27,7.44,8.06,7.67,83239000
2017/04/28,7.20,7.58,7.15,81883000
2017/04/29,7.13,7.02,6.00,78763500
2017/04/30,6.76,6.44,4.88,63758500
2017/05/01,8.20,9.02,8.58,78653000
2017/05/02,8.01,8.41,7.37,85288000
2017/05/03,7.22,7.06,5.92,69100000
2017/05/04,7.11,7.04,5.99,65971500
2017/05/05,6.90,6.98,6.15,64624500
2017/05/06,6.99,7.30,6.58,74284500
2017/05/07,6.55,6.36,5.31,71512000
2017/05/08,8.16,9.02,8.53,82752000
2017/05/09,8.72,9.91,11.37,91163000
2017/05/10,8.06,9.09,9.44,87634000
2017/05/11,7.78,8.65,8.81,90856000
2017/05/12,8.51,9.91,10.91,87964500
2017/05/13,7.36,7.79,7.58,80422500
2017/05/14,6.71,6.91,6.17,75478500
2017/05/15,8.20,9.05,9.63,84371500
2017/05/16,7.95,8.78,9.16,91092500
2017/05/17,7.66,8.33,8.02,89902500
2017/05/18,7.44,8.02,7.81,86605500
2017/05/19,7.55,8.03,7.79,84298000
2017/05/20,7.57,7.85,7.48,76556000
2017/05/21,6.89,7.02,6.17,71450000
2017/05/22,7.77,8.66,8.93,89491500
2017/05/23,8.08,9.03,10.15,93651000
2017/05/24,8.67,10.03,11.73,92584000
2017/05/25,9.26,10.82,12.43,93407500
2017/05/26,8.16,9.01,9.39,88575000
2017/05/27,7.23,7.41,6.74,71795500
2017/05/28,6.96,7.09,6.02,69265000
