策定日,対象日付,対象エリア,最小総需要予想時刻,最小総需要予想（MW）,最大総需要予想時刻,最大総需要予想（MW）,最大供給力予想（MW）,予想使用率,予想予備率
2020/12/20,2020/12/21,北海道,23:00,4068,17:00,4831,5459,88.5,13
2020/12/20,2020/12/21,東北,01:00,10601,10:00,13500,15452,87.4,14.5
2020/12/20,2020/12/21,東京,04:00,29518,19:00,46586,51382,90.7,10.3
2020/12/20,2020/12/21,中部,02:00,14155,10:00,22779,25157,90.5,10.4
2020/12/20,2020/12/21,北陸,01:00,3692,10:00,4712,5111,92.2,8.5
2020/12/20,2020/12/21,関西,02:00,15294,10:00,22770,25366,89.8,11.4
2020/12/20,2020/12/21,中国,01:00,7020,10:00,9574,10407,92,8.7
2020/12/20,2020/12/21,四国,01:00,2981,19:00,4274,4744,90.1,11
2020/12/20,2020/12/21,九州,01:00,9550,19:00,13750,15202,90.4,10.6
2020/12/20,2020/12/21,9エリア計,02:00,98493,10:00,141193,163116,86.6,15.5
2020/12/20,2020/12/21,沖縄,02:00,718,19:00,942,1343,70.1,42.6
2020/12/20,2020/12/21,10エリア計,02:00,99210,10:00,142084,164505,86.4,15.8
2020/12/19,2020/12/20,北海道,23:00,4092,04:00,4707,5572,84.5,18.4
2020/12/19,2020/12/20,東北,01:00,9825,19:00,12000,14007,85.7,16.7
2020/12/19,2020/12/20,東京,05:00,29792,19:00,41846,46168,90.6,10.3
2020/12/19,2020/12/20,中部,06:00,13477,19:00,16884,20703,81.6,22.6
2020/12/19,2020/12/20,北陸,08:00,3539,19:00,3975,4591,86.6,15.5
2020/12/19,2020/12/20,関西,06:00,14618,19:00,19844,22860,86.8,15.2
2020/12/19,2020/12/20,中国,15:00,6869,19:00,8593,9452,90.9,10
2020/12/19,2020/12/20,四国,13:00,2898,19:00,3680,4513,81.5,22.6
2020/12/19,2020/12/20,九州,13:00,9700,19:00,12100,13747,88,13.6
2020/12/19,2020/12/20,9エリア計,06:00,98695,19:00,123406,141544,87.2,14.7
2020/12/19,2020/12/20,沖縄,07:00,671,19:00,922,1345,68.6,45.9
2020/12/19,2020/12/20,10エリア計,06:00,99383,19:00,124328,142889,87,14.9
2020/12/18,2020/12/19,北海道,23:00,4071,04:00,4678,5294,88.4,13.2
2020/12/18,2020/12/19,東北,01:00,10474,18:00,12520,15407,81.3,23.1
2020/12/18,2020/12/19,東京,05:00,29872,19:00,41650,45256,92,8.7
2020/12/18,2020/12/19,中部,06:00,14528,18:00,17473,20620,84.7,18
2020/12/18,2020/12/19,北陸,22:00,3509,10:00,4030,4639,86.9,15.1
2020/12/18,2020/12/19,関西,06:00,15305,19:00,20130,22771,88.4,13.1
2020/12/18,2020/12/19,中国,24:00,7125,19:00,8512,9108,93.5,7
2020/12/18,2020/12/19,四国,24:00,3030,19:00,3683,4588,80.3,24.6
2020/12/18,2020/12/19,九州,02:00,9800,19:00,12100,13721,88.2,13.4
2020/12/18,2020/12/19,9エリア計,02:00,101010,19:00,124158,141051,88,13.6
2020/12/18,2020/12/19,沖縄,02:00,717,19:00,943,1356,69.5,43.8
2020/12/18,2020/12/19,10エリア計,02:00,101727,19:00,125100,142406,87.8,13.8
2020/12/17,2020/12/18,北海道,01:00,4118,17:00,4872,5212,93.5,7
2020/12/17,2020/12/18,東北,24:00,10636,17:00,13500,14557,92.7,7.8
2020/12/17,2020/12/18,東京,04:00,31728,10:00,46070,51114,90.1,10.9
2020/12/17,2020/12/18,中部,05:00,15807,10:00,23074,25404,90.8,10.1
2020/12/17,2020/12/18,北陸,01:00,4044,10:00,4913,5296,92.8,7.8
2020/12/17,2020/12/18,関西,05:00,16133,10:00,22438,25701,87.3,14.5
2020/12/17,2020/12/18,中国,01:00,7516,10:00,9992,10901,91.7,9.1
2020/12/17,2020/12/18,四国,24:00,3180,09:00,4326,5157,83.9,19.2
2020/12/17,2020/12/18,九州,02:00,10750,19:00,13800,15207,90.7,10.2
2020/12/17,2020/12/18,9エリア計,02:00,105866,10:00,142185,160833,88.4,13.1
2020/12/17,2020/12/18,沖縄,02:00,667,19:00,930,1460,63.7,57
2020/12/17,2020/12/18,10エリア計,02:00,106533,10:00,143067,162157,88.2,13.3
2020/12/16,2020/12/17,北海道,23:00,4183,17:00,4876,5215,93.5,7
2020/12/16,2020/12/17,東北,01:00,10900,18:00,13801,14751,93.6,6.9
2020/12/16,2020/12/17,東京,04:00,31382,18:00,47258,50660,93.3,7.2
2020/12/16,2020/12/17,中部,05:00,15607,10:00,22985,25321,90.8,10.2
2020/12/16,2020/12/17,北陸,01:00,4145,10:00,4963,5436,91.3,9.5
2020/12/16,2020/12/17,関西,05:00,16431,10:00,23617,25698,91.9,8.8
2020/12/16,2020/12/17,中国,02:00,7575,10:00,10018,10589,94.6,5.7
2020/12/16,2020/12/17,四国,01:00,3337,19:00,4472,4762,93.9,6.5
2020/12/16,2020/12/17,九州,02:00,10300,19:00,14000,14873,94.1,6.2
2020/12/16,2020/12/17,9エリア計,02:00,105597,18:00,143738,153751,93.5,7
2020/12/16,2020/12/17,沖縄,02:00,659,19:00,940,1345,69.9,43.1
2020/12/16,2020/12/17,10エリア計,02:00,106255,18:00,144650,155102,93.3,7.2
2020/12/15,2020/12/16,北海道,01:00,4101,17:00,4876,5459,89.3,12
2020/12/15,2020/12/16,東北,01:00,10822,18:00,14200,15045,94.4,6
2020/12/15,2020/12/16,東京,04:00,30376,18:00,46550,50668,91.9,8.8
2020/12/15,2020/12/16,中部,05:00,15757,10:00,22926,24154,94.9,5.4
2020/12/15,2020/12/16,北陸,01:00,3947,10:00,5009,5383,93.1,7.5
2020/12/15,2020/12/16,関西,05:00,15929,10:00,22861,26246,87.1,14.8
2020/12/15,2020/12/16,中国,01:00,7304,19:00,9901,10525,94.1,6.3
2020/12/15,2020/12/16,四国,01:00,3276,19:00,4568,4878,93.6,6.8
2020/12/15,2020/12/16,九州,01:00,10050,19:00,14450,15407,93.8,6.6
2020/12/15,2020/12/16,9エリア計,02:00,103042,18:00,144257,155422,92.8,7.7
2020/12/15,2020/12/16,沖縄,02:00,648,19:00,914,1337,68.4,46.3
2020/12/15,2020/12/16,10エリア計,02:00,103689,18:00,145155,156764,92.6,8
2020/12/14,2020/12/15,北海道,23:00,4108,17:00,4873,5839,83.5,19.8
2020/12/14,2020/12/15,東北,01:00,10598,17:00,14101,15402,91.6,9.2
2020/12/14,2020/12/15,東京,03:00,29142,18:00,44004,49058,89.7,11.5
2020/12/14,2020/12/15,中部,02:00,15015,18:00,21965,23082,95.2,5.1
2020/12/14,2020/12/15,北陸,01:00,3813,10:00,4912,5336,92.1,8.6
2020/12/14,2020/12/15,関西,02:00,15107,18:00,21800,22880,95.3,5
2020/12/14,2020/12/15,中国,01:00,7213,09:00,9706,10230,94.9,5.4
2020/12/14,2020/12/15,四国,01:00,2971,19:00,4339,4561,95.1,5.1
2020/12/14,2020/12/15,九州,01:00,9800,19:00,14250,15258,93.4,7.1
