çÙíËì˙,ëŒè€ì˙ït,ëŒè€ÉGÉäÉA,ç≈è¨ëçé˘óvó\ëzéûçè,ç≈è¨ëçé˘óvó\ëzÅiMWÅj,ç≈ëÂëçé˘óvó\ëzéûçè,ç≈ëÂëçé˘óvó\ëzÅiMWÅj,ç≈ëÂãüããóÕó\ëzÅiMWÅj,ó\ëzégópó¶,ó\ëzó\îıó¶
2020/12/20,2020/12/21,ìåñk,01:00,10601,10:00,13500,15452,87.4,14.5
2020/12/19,2020/12/20,ìåñk,01:00,9825,19:00,12000,14007,85.7,16.7
2020/12/18,2020/12/19,ìåñk,01:00,10474,18:00,12520,15407,81.3,23.1
2020/12/17,2020/12/18,ìåñk,24:00,10636,17:00,13500,14557,92.7,7.8
2020/12/16,2020/12/17,ìåñk,01:00,10900,18:00,13801,14751,93.6,6.9
2020/12/15,2020/12/16,ìåñk,01:00,10822,18:00,14200,15045,94.4,6
2020/12/14,2020/12/15,ìåñk,01:00,10598,17:00,14101,15402,91.6,9.2
2020/12/13,2020/12/14,ìåñk,01:00,9146,17:00,12900,14725,87.6,14.1
2020/12/12,2020/12/13,ìåñk,01:00,8500,19:00,10700,12586,85,17.6
2020/12/11,2020/12/12,ìåñk,01:00,9023,18:00,10695,12193,87.7,14
2020/12/10,2020/12/11,ìåñk,01:00,9204,10:00,11798,12895,91.5,9.3
2020/12/09,2020/12/10,ìåñk,24:00,9246,10:00,11800,12982,90.9,10
2020/12/08,2020/12/09,ìåñk,01:00,8900,17:00,11800,13166,89.6,11.6
2020/12/07,2020/12/08,ìåñk,01:00,8751,17:00,11800,13171,89.6,11.6
2020/12/06,2020/12/07,ìåñk,01:00,8237,17:00,11200,12596,88.9,12.5
2020/12/05,2020/12/06,ìåñk,24:00,8266,18:00,9700,11204,86.6,15.5
2020/12/04,2020/12/05,ìåñk,24:00,8362,10:00,10600,12513,84.7,18
2020/12/03,2020/12/04,ìåñk,01:00,8848,17:00,11601,13392,86.6,15.4
2020/12/02,2020/12/03,ìåñk,01:00,8844,17:00,12059,13543,89,12.3
2020/12/01,2020/12/02,ìåñk,01:00,8760,17:00,11400,13248,86.1,16.2
2020/11/30,2020/12/01,ìåñk,01:00,8500,17:00,11400,13077,87.2,14.7
2020/11/29,2020/11/30,ìåñk,01:00,7943,17:00,11300,13565,83.3,20
2020/11/28,2020/11/29,ìåñk,01:00,8096,19:00,9795,11675,83.9,19.2
2020/11/27,2020/11/28,ìåñk,01:00,8421,18:00,10204,12399,82.3,21.5
2020/11/26,2020/11/27,ìåñk,01:00,8100,10:00,11100,13227,83.9,19.2
2020/11/25,2020/11/26,ìåñk,01:00,8000,10:00,10700,13010,82.2,21.6
2020/11/24,2020/11/25,ìåñk,01:00,8198,10:00,10907,12370,88.2,13.4
2020/11/23,2020/11/24,ìåñk,01:00,7547,18:00,10700,12517,85.5,17
2020/11/22,2020/11/23,ìåñk,01:00,7400,18:00,10000,11833,84.5,18.3
2020/11/21,2020/11/22,ìåñk,24:00,7757,19:00,9315,10589,88,13.7
2020/11/20,2020/11/21,ìåñk,01:00,7294,18:00,9675,11075,87.4,14.5
2020/11/19,2020/11/20,ìåñk,01:00,7390,18:00,10000,11641,85.9,16.4
2020/11/18,2020/11/19,ìåñk,24:00,7688,10:00,9850,11928,82.6,21.1
2020/11/17,2020/11/18,ìåñk,01:00,7502,10:00,10700,12312,86.9,15.1
2020/11/16,2020/11/17,ìåñk,01:00,7779,18:00,10312,12490,82.6,21.1
2020/11/15,2020/11/16,ìåñk,01:00,7383,18:00,10400,12340,84.3,18.7
2020/11/14,2020/11/15,ìåñk,01:00,7700,19:00,8900,10786,82.5,21.2
2020/11/13,2020/11/14,ìåñk,24:00,8187,18:00,9698,11273,86,16.2
2020/11/12,2020/11/13,ìåñk,24:00,8451,10:00,10804,13271,81.4,22.8
2020/11/11,2020/11/12,ìåñk,01:00,8453,10:00,11292,12986,87,15
2020/11/10,2020/11/11,ìåñk,01:00,8355,18:00,11300,12811,88.2,13.4
2020/11/09,2020/11/10,ìåñk,01:00,8071,18:00,11200,13141,85.2,17.3
2020/11/08,2020/11/09,ìåñk,01:00,6780,18:00,10691,12666,84.4,18.5
2020/11/07,2020/11/08,ìåñk,01:00,7000,19:00,8900,10559,84.3,18.6
2020/11/06,2020/11/07,ìåñk,24:00,7200,18:00,9000,10882,82.7,20.9
2020/11/05,2020/11/06,ìåñk,01:00,7563,18:00,9933,11201,88.7,12.8
2020/11/04,2020/11/05,ìåñk,01:00,7686,18:00,10055,11358,88.5,13
2020/11/03,2020/11/04,ìåñk,01:00,7208,18:00,10400,11491,90.5,10.5
2020/11/02,2020/11/03,ìåñk,01:00,7401,18:00,9600,10831,88.6,12.8
2020/11/01,2020/11/02,ìåñk,02:00,6945,18:00,9798,11116,88.1,13.5
2020/10/31,2020/11/01,ìåñk,01:00,7199,19:00,8594,9520,90.3,10.8
2020/10/30,2020/10/31,ìåñk,24:00,7481,18:00,9000,9949,90.5,10.5
2020/10/29,2020/10/30,ìåñk,01:00,7400,18:00,10000,11571,86.4,15.7
2020/10/28,2020/10/29,ìåñk,02:00,7267,18:00,9889,11123,88.9,12.5
2020/10/27,2020/10/28,ìåñk,01:00,7365,18:00,9594,10737,89.4,11.9
2020/10/26,2020/10/27,ìåñk,01:00,7327,18:00,9700,11028,88,13.7
2020/10/25,2020/10/26,ìåñk,02:00,6641,18:00,9609,10875,88.4,13.2
2020/10/24,2020/10/25,ìåñk,02:00,6702,19:00,8600,10084,85.3,17.3
2020/10/23,2020/10/24,ìåñk,02:00,7205,18:00,9066,10690,84.8,17.9
2020/10/22,2020/10/23,ìåñk,01:00,7239,18:00,9800,11483,85.3,17.2
2020/10/21,2020/10/22,ìåñk,02:00,7316,18:00,9600,10648,90.2,10.9
2020/10/20,2020/10/21,ìåñk,01:00,7366,18:00,9600,10720,89.6,11.7
2020/10/19,2020/10/20,ìåñk,01:00,7267,18:00,9588,10680,89.8,11.4
2020/10/18,2020/10/19,ìåñk,02:00,6613,18:00,9600,11727,81.9,22.2
2020/10/17,2020/10/18,ìåñk,02:00,6906,19:00,8498,9518,89.3,12
2020/10/16,2020/10/17,ìåñk,02:00,7118,18:00,9100,10681,85.2,17.4
2020/10/15,2020/10/16,ìåñk,02:00,7234,18:00,9675,11343,85.3,17.2
2020/10/14,2020/10/15,ìåñk,02:00,7040,18:00,9600,11624,82.6,21.1
2020/10/13,2020/10/14,ìåñk,02:00,7083,18:00,9594,10627,90.3,10.8
2020/10/12,2020/10/13,ìåñk,01:00,7051,18:00,9700,10729,90.4,10.6
2020/10/11,2020/10/12,ìåñk,02:00,6501,18:00,9375,10859,86.3,15.8
2020/10/10,2020/10/11,ìåñk,02:00,6503,19:00,8300,9316,89.1,12.2
2020/10/09,2020/10/10,ìåñk,24:00,7029,18:00,8500,10194,83.4,19.9
2020/10/08,2020/10/09,ìåñk,02:00,7141,12:00,9400,12664,74.2,34.7
