"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DE-LU","20.02.2020 00:00 - 20.02.2020 00:15 (CET)","4872","5820","n/e","6713","1826","431","n/e","n/e","4","171","2673","1719","110","n/e","8039","344","183","0","442","5386","20832"
"BZN|DE-LU","20.02.2020 00:15 - 20.02.2020 00:30 (CET)","4847","5857","n/e","6650","1753","431","n/e","n/e","4","165","2718","1712","111","n/e","8051","344","183","0","447","5361","20374"
"BZN|DE-LU","20.02.2020 00:30 - 20.02.2020 00:45 (CET)","4857","5789","n/e","6553","1741","431","n/e","n/e","4","211","2739","1711","102","n/e","8052","344","183","0","448","5522","20040"
"BZN|DE-LU","20.02.2020 00:45 - 20.02.2020 01:00 (CET)","4886","5527","n/e","6487","1759","431","n/e","n/e","4","129","2797","1714","78","n/e","8045","344","183","0","446","5691","19761"
"BZN|DE-LU","20.02.2020 01:00 - 20.02.2020 01:15 (CET)","4858","5342","n/e","6230","1841","431","n/e","n/e","4","132","2926","1714","52","n/e","7969","344","183","0","434","5674","19758"
"BZN|DE-LU","20.02.2020 01:15 - 20.02.2020 01:30 (CET)","4850","5154","n/e","6131","1842","433","n/e","n/e","4","53","3035","1714","42","n/e","7942","344","183","0","433","5846","19701"
"BZN|DE-LU","20.02.2020 01:30 - 20.02.2020 01:45 (CET)","4868","5175","n/e","6121","1845","434","n/e","n/e","4","116","3513","1714","46","n/e","7942","344","183","0","430","5958","19564"
"BZN|DE-LU","20.02.2020 01:45 - 20.02.2020 02:00 (CET)","4854","5154","n/e","6026","1841","434","n/e","n/e","4","112","3653","1712","45","n/e","7920","344","183","0","446","6044","19159"
"BZN|DE-LU","20.02.2020 02:00 - 20.02.2020 02:15 (CET)","4833","5166","n/e","5763","1831","434","n/e","n/e","4","196","3864","1705","57","n/e","7870","344","183","0","450","6090","18834"
"BZN|DE-LU","20.02.2020 02:15 - 20.02.2020 02:30 (CET)","4852","5167","n/e","5806","1831","434","n/e","n/e","4","143","3752","1705","57","n/e","7864","344","183","0","439","6126","18447"
"BZN|DE-LU","20.02.2020 02:30 - 20.02.2020 02:45 (CET)","4826","5164","n/e","5782","1836","434","n/e","n/e","4","227","3777","1699","67","n/e","7866","344","183","0","444","6136","18341"
"BZN|DE-LU","20.02.2020 02:45 - 20.02.2020 03:00 (CET)","4818","5155","n/e","5923","1851","434","n/e","n/e","4","256","3804","1697","90","n/e","7839","340","181","0","444","6090","18276"
"BZN|DE-LU","20.02.2020 03:00 - 20.02.2020 03:15 (CET)","4824","5229","n/e","6313","1856","434","n/e","n/e","4","148","3681","1697","84","n/e","7882","337","179","0","438","6039","18263"
"BZN|DE-LU","20.02.2020 03:15 - 20.02.2020 03:30 (CET)","4812","5226","n/e","6415","1858","434","n/e","n/e","4","147","3755","1693","85","n/e","7946","337","179","0","435","6105","17752"
"BZN|DE-LU","20.02.2020 03:30 - 20.02.2020 03:45 (CET)","4824","5292","n/e","6320","1857","434","n/e","n/e","4","147","3695","1695","85","n/e","7953","337","179","0","432","6151","17438"
"BZN|DE-LU","20.02.2020 03:45 - 20.02.2020 04:00 (CET)","4817","5374","n/e","6395","1866","434","n/e","n/e","4","123","3348","1693","73","n/e","7951","337","179","0","435","6084","17488"
"BZN|DE-LU","20.02.2020 04:00 - 20.02.2020 04:15 (CET)","4821","5566","n/e","6587","1898","434","n/e","n/e","4","116","3081","1697","98","n/e","7948","337","179","0","431","6150","17472"
"BZN|DE-LU","20.02.2020 04:15 - 20.02.2020 04:30 (CET)","4829","5680","n/e","6542","1921","434","n/e","n/e","4","90","2457","1695","51","n/e","7946","337","179","0","430","6148","17618"
"BZN|DE-LU","20.02.2020 04:30 - 20.02.2020 04:45 (CET)","4818","5730","n/e","6460","1922","433","n/e","n/e","4","128","2029","1693","44","n/e","7945","337","179","0","439","6116","17679"
"BZN|DE-LU","20.02.2020 04:45 - 20.02.2020 05:00 (CET)","4807","5805","n/e","6568","1956","434","n/e","n/e","4","118","1964","1692","43","n/e","7937","350","186","0","444","6063","17884"
"BZN|DE-LU","20.02.2020 05:00 - 20.02.2020 05:15 (CET)","4798","5689","n/e","6132","2004","434","n/e","n/e","4","108","2435","1690","45","n/e","7852","357","190","0","447","6045","18196"
"BZN|DE-LU","20.02.2020 05:15 - 20.02.2020 05:30 (CET)","4804","5878","n/e","6264","2048","434","n/e","n/e","4","46","1983","1691","40","n/e","7849","357","190","0","446","5998","18310"
"BZN|DE-LU","20.02.2020 05:30 - 20.02.2020 05:45 (CET)","4801","6202","n/e","6413","2072","434","n/e","n/e","4","46","1703","1688","45","n/e","7864","357","190","0","444","5927","18364"
"BZN|DE-LU","20.02.2020 05:45 - 20.02.2020 06:00 (CET)","4798","6872","n/e","6546","2142","434","n/e","n/e","4","65","1286","1687","39","n/e","7848","357","190","0","446","5890","18759"
"BZN|DE-LU","20.02.2020 06:00 - 20.02.2020 06:15 (CET)","4787","7184","n/e","6804","2336","433","n/e","n/e","4","454","665","1687","93","n/e","7755","362","190","0","445","5856","19344"
"BZN|DE-LU","20.02.2020 06:15 - 20.02.2020 06:30 (CET)","4791","7555","n/e","6899","2548","434","n/e","n/e","4","1431","147","1686","83","n/e","7758","362","189","0","447","5602","19519"
"BZN|DE-LU","20.02.2020 06:30 - 20.02.2020 06:45 (CET)","4791","7632","n/e","6940","2690","434","n/e","n/e","4","3128","5","1685","69","n/e","7753","362","190","0","449","5514","19821"
"BZN|DE-LU","20.02.2020 06:45 - 20.02.2020 07:00 (CET)","4785","7679","n/e","7184","2792","434","n/e","n/e","4","3845","7","1685","101","n/e","7754","362","189","0","449","5535","19925"
"BZN|DE-LU","20.02.2020 07:00 - 20.02.2020 07:15 (CET)","4791","7705","n/e","7445","2770","434","n/e","n/e","4","3932","8","1686","55","n/e","7785","359","189","3","448","5473","20186"
"BZN|DE-LU","20.02.2020 07:15 - 20.02.2020 07:30 (CET)","4784","7681","n/e","7516","2798","434","n/e","n/e","4","5238","5","1685","84","n/e","7797","359","189","37","446","5375","20604"
"BZN|DE-LU","20.02.2020 07:30 - 20.02.2020 07:45 (CET)","4782","7695","n/e","7554","2795","434","n/e","n/e","4","5330","4","1687","81","n/e","7795","359","189","181","445","5191","21216"
"BZN|DE-LU","20.02.2020 07:45 - 20.02.2020 08:00 (CET)","4785","7736","n/e","7648","2813","434","n/e","n/e","4","5100","4","1689","76","n/e","7795","359","189","424","447","4930","21325"
"BZN|DE-LU","20.02.2020 08:00 - 20.02.2020 08:15 (CET)","4810","7771","n/e","7703","2851","434","n/e","n/e","4","4582","0","1693","89","n/e","7795","360","189","758","447","4960","21450"
"BZN|DE-LU","20.02.2020 08:15 - 20.02.2020 08:30 (CET)","4809","7789","n/e","7739","2856","435","n/e","n/e","4","4428","4","1693","91","n/e","7795","361","190","1214","444","5040","21344"
"BZN|DE-LU","20.02.2020 08:30 - 20.02.2020 08:45 (CET)","4814","7787","n/e","7723","2886","434","n/e","n/e","4","4122","7","1695","90","n/e","7796","362","190","1747","453","5094","21312"
"BZN|DE-LU","20.02.2020 08:45 - 20.02.2020 09:00 (CET)","4813","7780","n/e","7735","2862","434","n/e","n/e","4","3461","2","1694","130","n/e","7752","362","190","2125","449","5180","21415"
"BZN|DE-LU","20.02.2020 09:00 - 20.02.2020 09:15 (CET)","4802","7793","n/e","7720","2830","434","n/e","n/e","4","4070","13","1694","169","n/e","7701","364","190","2553","438","5249","21447"
"BZN|DE-LU","20.02.2020 09:15 - 20.02.2020 09:30 (CET)","4793","7770","n/e","7746","2827","434","n/e","n/e","4","3816","12","1694","164","n/e","7697","363","190","3021","447","5261","21617"
"BZN|DE-LU","20.02.2020 09:30 - 20.02.2020 09:45 (CET)","4812","7767","n/e","7722","2841","434","n/e","n/e","4","3845","12","1695","162","n/e","7690","364","190","3520","449","5263","21821"
"BZN|DE-LU","20.02.2020 09:45 - 20.02.2020 10:00 (CET)","4829","7751","n/e","7758","2833","434","n/e","n/e","4","3332","12","1698","153","n/e","7683","364","190","4045","451","5322","21811"
"BZN|DE-LU","20.02.2020 10:00 - 20.02.2020 10:15 (CET)","4813","7822","n/e","7730","2729","434","n/e","n/e","4","3898","12","1693","209","n/e","7697","365","190","4588","455","5372","21839"
"BZN|DE-LU","20.02.2020 10:15 - 20.02.2020 10:30 (CET)","4790","7832","n/e","7746","2567","434","n/e","n/e","4","3855","13","1692","116","n/e","7696","365","190","5047","447","5237","22010"
"BZN|DE-LU","20.02.2020 10:30 - 20.02.2020 10:45 (CET)","4799","7903","n/e","7709","2558","434","n/e","n/e","4","3545","13","1694","129","n/e","7696","365","190","5558","446","5162","22012"
"BZN|DE-LU","20.02.2020 10:45 - 20.02.2020 11:00 (CET)","4805","7966","n/e","7707","2549","434","n/e","n/e","4","2873","15","1692","73","n/e","7678","365","190","5955","450","5207","22452"
"BZN|DE-LU","20.02.2020 11:00 - 20.02.2020 11:15 (CET)","4822","8010","n/e","7624","2664","434","n/e","n/e","4","1584","16","1694","158","n/e","7662","366","190","6425","447","5265","22747"
"BZN|DE-LU","20.02.2020 11:15 - 20.02.2020 11:30 (CET)","4832","8027","n/e","7622","2721","434","n/e","n/e","4","1183","15","1693","104","n/e","7675","366","190","6892","434","5280","23001"
"BZN|DE-LU","20.02.2020 11:30 - 20.02.2020 11:45 (CET)","4823","8116","n/e","7558","2724","434","n/e","n/e","4","732","41","1695","69","n/e","7671","366","190","7186","414","5285","23316"
"BZN|DE-LU","20.02.2020 11:45 - 20.02.2020 12:00 (CET)","4817","8168","n/e","7591","2711","434","n/e","n/e","4","635","449","1697","96","n/e","7606","365","190","7276","418","5296","23874"
"BZN|DE-LU","20.02.2020 12:00 - 20.02.2020 12:15 (CET)","4847","8069","n/e","7646","2660","434","n/e","n/e","4","922","160","1706","193","n/e","7621","356","185","7684","444","5283","24478"
"BZN|DE-LU","20.02.2020 12:15 - 20.02.2020 12:30 (CET)","4839","7934","n/e","7687","2640","434","n/e","n/e","4","691","164","1709","170","n/e","7622","350","185","7930","447","5301","24668"
"BZN|DE-LU","20.02.2020 12:30 - 20.02.2020 12:45 (CET)","4850","7888","n/e","7640","2640","434","n/e","n/e","4","646","191","1713","136","n/e","7622","350","185","7966","447","5309","24458"
"BZN|DE-LU","20.02.2020 12:45 - 20.02.2020 13:00 (CET)","4845","7742","n/e","7677","2663","434","n/e","n/e","4","615","204","1712","125","n/e","7622","346","184","8127","445","5307","24548"
"BZN|DE-LU","20.02.2020 13:00 - 20.02.2020 13:15 (CET)","4831","7724","n/e","7487","2662","434","n/e","n/e","4","791","355","1709","138","n/e","7623","332","177","8141","441","5327","24735"
"BZN|DE-LU","20.02.2020 13:15 - 20.02.2020 13:30 (CET)","4842","7657","n/e","7533","2651","434","n/e","n/e","4","557","379","1711","121","n/e","7621","331","177","7874","420","5341","25018"
"BZN|DE-LU","20.02.2020 13:30 - 20.02.2020 13:45 (CET)","4824","7560","n/e","7498","2643","434","n/e","n/e","4","338","391","1707","66","n/e","7622","331","177","7687","407","5336","25376"
"BZN|DE-LU","20.02.2020 13:45 - 20.02.2020 14:00 (CET)","4839","7500","n/e","7317","2629","434","n/e","n/e","4","219","708","1704","45","n/e","7612","316","173","7413","423","5343","25379"
"BZN|DE-LU","20.02.2020 14:00 - 20.02.2020 14:15 (CET)","4834","7360","n/e","7437","2614","434","n/e","n/e","4","553","694","1701","152","n/e","7668","314","172","6977","437","5341","25370"
"BZN|DE-LU","20.02.2020 14:15 - 20.02.2020 14:30 (CET)","4842","7337","n/e","7364","2619","434","n/e","n/e","4","583","623","1701","140","n/e","7764","314","172","6669","442","5345","25330"
"BZN|DE-LU","20.02.2020 14:30 - 20.02.2020 14:45 (CET)","4854","7341","n/e","7387","2614","434","n/e","n/e","4","579","447","1700","147","n/e","7828","314","172","6328","438","5344","25289"
"BZN|DE-LU","20.02.2020 14:45 - 20.02.2020 15:00 (CET)","4851","7334","n/e","7452","2579","434","n/e","n/e","4","479","428","1700","120","n/e","7887","314","172","5937","445","5353","25340"
"BZN|DE-LU","20.02.2020 15:00 - 20.02.2020 15:15 (CET)","4865","6963","n/e","7379","2469","434","n/e","n/e","4","610","369","1703","96","n/e","7910","315","172","5510","438","5578","25671"
"BZN|DE-LU","20.02.2020 15:15 - 20.02.2020 15:30 (CET)","4873","6907","n/e","7461","2431","434","n/e","n/e","4","616","265","1702","84","n/e","7907","315","172","5055","450","5547","25755"
"BZN|DE-LU","20.02.2020 15:30 - 20.02.2020 15:45 (CET)","4853","6868","n/e","7406","2425","434","n/e","n/e","4","477","256","1701","50","n/e","7897","315","172","4521","461","5548","25969"
"BZN|DE-LU","20.02.2020 15:45 - 20.02.2020 16:00 (CET)","4842","6784","n/e","7386","2417","434","n/e","n/e","4","461","343","1701","42","n/e","7845","314","172","3988","449","5556","26112"
"BZN|DE-LU","20.02.2020 16:00 - 20.02.2020 16:15 (CET)","4844","6667","n/e","7262","2422","434","n/e","n/e","4","157","989","1701","52","n/e","7697","314","172","3370","445","5656","26351"
"BZN|DE-LU","20.02.2020 16:15 - 20.02.2020 16:30 (CET)","4848","6648","n/e","7167","2429","434","n/e","n/e","4","352","1045","1695","55","n/e","7713","315","172","2721","446","5504","27360"
"BZN|DE-LU","20.02.2020 16:30 - 20.02.2020 16:45 (CET)","4849","6643","n/e","7154","2444","434","n/e","n/e","4","361","941","1693","63","n/e","7699","314","172","2038","448","5607","27752"
"BZN|DE-LU","20.02.2020 16:45 - 20.02.2020 17:00 (CET)","4840","6765","n/e","7113","2409","434","n/e","n/e","4","370","822","1693","49","n/e","7631","314","172","1429","450","5696","28153"
"BZN|DE-LU","20.02.2020 17:00 - 20.02.2020 17:15 (CET)","4822","7099","n/e","7200","2344","434","n/e","n/e","4","493","641","1688","127","n/e","7658","315","172","898","446","5742","28506"
